GCCSA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
9OTER,2013,1702,3714,880,516,1397,203,361,563,92,92,185,26,30,53,1201,999,2200,584,501,1087,2.2,3,2.4,59.7,58.7,59.2,58.4,56.9,57.8,33,42,75,22,34,53,134,186,318,100,165,270,453,147,600,27,30,58,38,60,99,521,234,761,1597,1575,3171,294,258,550,1211,1194,2402,572,537,1109
99799,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,100,100,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
99499,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
8ACTE,156932,165485,322415,79559,57377,136935,20409,36593,57001,4650,6840,11485,5370,4797,10167,109984,105599,215586,37825,50604,88427,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18761,16021,34782,5276,8125,13404,32304,39304,71604,13269,16462,29724,22667,12507,35174,1179,1804,2990,1760,3641,5398,25608,17952,43557,144451,150035,294482,32909,33952,66855,88330,93519,181846,81850,83884,165732
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55,49,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
7RNTE,33985,33722,67701,12175,9609,21784,2554,4031,6579,1161,1227,2386,2314,1825,4139,18202,16695,34892,10828,12404,23237,12.7,10.9,11.9,53.6,49.5,51.5,46.8,44.1,45.4,656,949,1605,322,731,1051,2045,3459,5506,1609,1971,3578,5650,2606,8255,564,742,1309,546,617,1159,6753,3966,10727,32322,32204,64521,6041,6201,12247,23047,23183,46231,12570,12672,25239
7GDAR,57821,51481,109301,31136,20766,51904,5324,9485,14809,2427,2218,4641,1876,1584,3466,40764,34055,74817,9750,12102,21855,4.6,4.7,4.6,70.5,66.2,68.5,67.3,63.1,65.3,2189,2455,4646,775,1652,2430,6171,9019,15194,4250,4896,9149,14931,6073,21000,602,831,1432,826,1093,1921,16354,7994,24352,45097,41819,86924,15030,14342,29369,24727,23064,47789,32313,30043,62358
79799,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0,0,0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
79499,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
