GCCSA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
9OTER,18,40,131,197,215,187,79,9,0,880,19,17,24,19,44,40,33,4,0,203,0,4,15,10,8,14,8,0,0,58,0,6,4,6,3,7,0,3,0,37,30,69,174,235,276,248,119,21,3,1175,3,0,0,0,3,3,0,0,0,17,0,0,0,0,0,4,0,0,0,9,4,0,0,7,3,9,0,0,0,26,39,72,175,239,276,259,120,21,3,1201,56,41,106,79,60,56,99,60,21,584,10,19,39,24,38,39,36,15,3,227,101,134,329,345,371,359,255,95,28,2013,4,25,89,118,139,108,35,0,0,516,26,15,56,74,73,69,40,9,0,361,3,3,13,12,8,11,3,0,0,62,9,0,0,3,11,5,3,0,0,33,43,44,161,207,231,193,81,12,0,970,3,0,5,3,3,3,0,0,0,16,0,0,0,3,0,4,0,0,0,12,3,0,8,9,3,5,0,0,0,30
99799,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,0,0,7,0,0,0,0,0,0,7,0,0,11,0,3,0,0,0,0,0,0,0,0,0,6,0,4,3,3,6,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
8ACTE,1211,5911,21858,21100,17985,9686,1691,113,8,79559,3423,4032,3754,2793,2224,2421,1501,246,19,20409,211,274,651,571,575,489,185,19,3,2982,156,277,430,351,244,136,52,15,4,1666,5000,10490,26694,24814,21022,12736,3427,388,44,104617,243,501,719,580,458,373,57,4,0,2933,966,563,317,163,121,198,98,14,4,2441,1207,1064,1035,740,576,569,155,18,3,5370,6205,11553,27724,25553,21600,13307,3583,407,50,109984,5666,3364,2579,1758,2023,5530,9507,5456,1951,37825,478,902,2069,1561,1338,1032,839,577,321,9123,12350,15829,32368,28875,24959,19870,13929,6436,2316,156932,799,4919,16575,13458,13715,7047,812,39,3,57377,4556,4839,6921,8346,6153,4239,1389,134,15,36593,201,399,2098,1296,699,635,147,20,7,5495,181,258,295,219,206,125,48,12,9,1350,5736,10416,25887,23319,20769,12043,2393,208,31,100807,137,300,563,429,316,167,13,5,0,1926,989,552,457,355,237,206,60,6,4,2866,1123,855,1016,783,557,376,74,10,4,4797
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,11,18,21,13,8,0,0,0,63,3,7,11,5,0,3,0,0,0,24,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,18,31,20,15,9,0,0,0,102,0,0,10,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,3,7,9,3,3,0,0,0,29,5,23,38,30,17,16,0,0,0,133,7,14,16,17,11,10,15,3,0,89,3,6,12,22,12,18,3,0,0,80,16,36,63,67,43,38,15,5,0,297,0,7,25,14,5,9,0,0,0,56,4,14,0,5,10,4,0,0,0,37,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,7,3,3,0,0,0,0,0,14
7RNTE,287,1037,3075,2631,2695,1993,425,37,4,12175,343,236,516,460,420,371,179,23,0,2554,29,41,129,133,131,138,32,3,0,631,45,61,149,97,85,61,20,3,0,522,699,1375,3874,3322,3324,2561,657,67,5,15882,224,344,509,362,290,116,11,3,0,1857,55,71,120,86,62,44,7,0,0,460,273,417,632,450,354,163,24,3,0,2314,980,1788,4500,3769,3682,2723,679,72,5,18202,1947,1169,2092,1581,1319,1062,1124,447,86,10828,493,590,1104,794,877,656,315,103,19,4950,3420,3544,7695,6143,5881,4439,2119,624,116,33985,225,776,2479,1979,2334,1555,252,17,0,9609,322,279,935,987,776,537,177,19,3,4031,24,44,232,160,135,116,23,8,0,738,38,71,122,92,92,51,17,8,0,494,605,1168,3768,3213,3338,2258,469,47,3,14868,175,241,358,270,211,68,11,0,0,1338,53,54,142,106,81,41,7,0,0,482,225,292,501,379,294,108,22,0,0,1825
7GDAR,575,2666,8968,7681,6481,3921,781,55,7,31136,942,737,1130,743,701,677,345,46,0,5324,61,161,365,288,300,253,54,7,0,1496,62,135,267,180,159,93,22,7,0,927,1638,3702,10734,8887,7641,4946,1214,117,10,38883,117,212,330,258,258,191,31,0,0,1402,168,81,63,37,53,54,20,0,0,479,283,292,394,298,309,241,53,0,0,1876,1919,3995,11129,9186,7949,5188,1269,117,9,40764,1740,582,972,828,876,1288,2263,979,222,9750,380,624,1948,1459,1263,953,490,145,36,7307,4039,5198,14046,11472,10094,7434,4021,1246,273,57821,395,1872,5869,4832,4679,2673,426,17,0,20766,1077,957,2251,2161,1558,1100,346,34,3,9485,43,122,552,334,265,212,50,0,0,1578,55,88,175,99,130,69,21,0,3,637,1564,3031,8851,7431,6634,4053,838,55,6,32474,90,130,206,182,165,76,8,0,0,853,176,76,184,139,81,51,17,0,0,729,264,211,391,319,245,123,22,0,0,1584
79799,0,0,6,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,10,9,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,0,0,0,0,22,0,4,12,12,3,0,0,0,0,28,0,0,5,4,0,0,0,0,0,12,0,4,23,16,11,3,0,0,0,61,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,10,31,64,50,56,38,11,0,0,254,0,4,7,0,10,6,0,0,0,36,0,0,8,12,4,3,0,0,0,23,0,4,5,0,0,0,0,0,0,9,11,39,84,62,70,44,13,0,0,320,0,3,9,13,7,4,0,0,0,32,0,0,4,0,4,3,0,0,0,10,0,4,12,14,10,7,0,0,0,48,10,46,94,71,84,54,13,0,0,369,3,16,33,64,75,118,129,15,0,465,3,33,93,80,99,57,34,9,0,405,16,98,219,215,257,229,174,20,0,1240,5,27,46,22,28,20,0,0,0,149,0,8,17,11,12,14,0,0,0,66,0,0,17,3,0,8,0,0,0,29,0,0,4,0,0,0,0,0,0,9,8,34,80,39,39,46,0,0,0,252,0,3,8,8,5,6,0,0,0,21,0,0,0,3,0,0,0,0,0,10,0,3,8,12,5,4,0,0,0,33
