GCCSA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
9OTER,0,8,6,6,6,4,3,0,41,0,8,6,5,0,0,0,0,12,16,45,57,74,70,41,9,5,318,7,12,17,32,42,13,11,0,130,4,4,9,11,7,3,0,0,42,0,0,4,3,3,7,3,0,28,0,3,13,8,3,7,3,0,40,5,14,25,19,9,11,3,0,86,8,22,13,10,11,10,0,0,73,0,0,0,3,0,5,0,0,11,0,11,17,10,9,4,0,0,53,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,15,78,146,96,79,71,44,24,3,537,118,272,272,266,241,146,52,13,1371,0,5,9,3,0,0,0,0,16,0,4,0,3,0,0,0,0,13,4,3,4,0,5,0,4,0,18,0,0,0,3,0,0,0,0,4,3,3,8,5,3,0,0,0,16,4,12,18,13,27,16,3,3,90,5,23,23,22,20,12,5,0,113,12,40
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8ACTE,468,1338,1179,1276,1197,927,356,127,6860,773,3036,3253,2041,1186,355,32,0,10677,915,3544,3513,3333,2820,2108,1037,356,17636,682,1989,1545,1260,1021,774,436,134,7849,112,460,482,446,377,224,117,29,2250,188,1131,928,734,610,287,144,57,4094,111,630,726,587,631,465,240,69,3460,1200,4282,4191,3465,2397,1335,410,141,17426,1132,4165,3591,2995,2697,2144,733,228,17687,447,1152,852,575,385,186,59,13,3660,341,944,735,483,274,155,63,18,3013,57,22,11,7,20,16,19,7,166,99,322,393,353,259,189,112,42,1778,1773,2558,2023,1702,1267,1035,767,396,11519,8304,25560,23433,19253,15148,10210,4534,1628,108072,573,1503,1373,1078,696,401,115,56,5802,203,884,825,701,419,119,14,0,3163,163,594,443,282,249,148,104,59,2032,101,328,242,199,120,55,10,0,1062,137,364,383,261,137,68,26,3,1374,745,3290,2675,2287,2133,1210,647,212,13206,440,2160,2260,1947,2080,1673,712,162,11426,1962,6337
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,8,6,6,3,11,0,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,3,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,11,3,7,3,3,0,3,0,0,18,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26,16,18,7,0,0,84,25,35,48,29,36,15,0,0,186,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,13,0,0,0,0,6,4,0,0,12,10,5
7RNTE,16,55,55,54,48,27,9,0,257,21,75,50,35,30,9,3,0,222,299,882,720,796,654,282,67,16,3725,87,331,280,244,210,104,29,3,1286,97,189,176,182,85,32,10,0,776,28,207,185,176,109,43,9,0,752,21,138,152,153,169,88,20,0,734,56,308,289,265,220,69,10,0,1222,78,334,333,287,221,60,18,0,1328,34,72,61,51,39,21,6,0,284,93,167,113,121,69,28,4,0,590,7,6,8,5,10,6,0,0,43,25,75,73,60,43,13,3,0,292,1784,1790,1302,1201,853,436,150,31,7542,2627,4618,3789,3634,2767,1224,334,56,19062,14,68,66,32,23,9,0,0,214,8,38,20,13,13,6,0,0,96,21,63,59,49,16,14,0,0,219,7,28,15,16,7,0,0,0,68,86,124,108,51,24,4,0,0,399,120,613,530,503,436,137,48,12,2403,49,444,420,469,432,152,37,5,2008,172,653
7GDAR,38,169,194,184,148,73,21,3,830,159,386,328,146,74,17,0,0,1110,917,3318,2647,2388,1595,758,237,38,11902,239,1142,768,614,485,269,96,17,3640,52,187,216,187,135,57,14,7,853,80,468,382,299,219,81,22,5,1565,11,157,235,232,269,156,34,4,1104,288,1130,978,865,525,227,44,6,4065,201,622,573,493,365,182,49,10,2497,67,162,143,89,68,43,11,3,594,133,421,306,244,121,49,9,0,1284,24,25,11,13,17,11,3,0,102,56,169,164,124,75,34,5,3,626,1443,2492,1927,1659,1176,631,201,59,9602,3702,10854,8879,7534,5278,2591,756,165,39769,66,220,249,160,80,30,0,0,805,16,133,143,64,55,13,0,0,429,89,241,171,122,73,40,12,3,751,20,96,66,46,16,3,0,0,249,54,159,175,93,47,10,3,0,540,304,1566,1059,781,625,267,94,22,4709,126,827,866,776,614,296,73,12,3587,663,2295
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,0,12,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,3,0,0,3,0,0,4,0,0,0,0,5,0,0,0,9,3,25,19,40,41,36,4,0,171,8,14,11,8,14,16,0,0,60,0,7,3,0,3,0,3,0,21,0,6,0,0,4,0,0,0,6,0,9,0,3,11,3,0,0,27,4,11,11,14,9,6,0,0,52,6,5,8,8,3,4,0,0,30,3,8,0,0,0,0,0,0,7,3,4,4,0,8,3,0,0,16,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,43,100,87,110,67,43,6,0,453,83,180,154,188,159,112,19,0,890,3,6,4,3,0,0,0,0,15,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,5,0,4,3,0,0,0,0,16,0,22,11,18,26,6,0,0,82,0,12,6,4,13,9,0,0,43,10,12
