GCCSA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
9OTER,416,232,97,26,2337
99799,0,0,0,0,4
99499,4,4,0,0,31
8ACTE,30129,19523,8580,3555,219307
89799,0,0,0,0,0
89499,57,17,3,0,339
7RNTE,5307,2126,591,131,36937
7GDAR,9373,4338,1290,317,72912
79799,3,0,3,0,60
79499,284,173,22,0,1635
6RTAS,23809,17295,8072,2687,126584
6GHOB,18103,12072,6043,2445,106815
69799,5,7,0,0,44
69499,78,50,10,0,517
5RWAU,38800,23237,10054,3361,241489
5GPER,132687,83771,41545,17115,974194
59799,31,4,3,0,338
59499,633,368,58,13,3820
4RSAU,28921,21363,9766,4009,159554
4GADE,93644,63012,30330,13966,617270
49799,0,0,0,0,3
49499,247,159,30,10,1595
3RQLD,178773,120546,55642,20575,1124382
3GBRI,148977,92602,41329,17476,1109268
39799,15,15,6,3,71
39499,1426,1050,215,24,7409
2RVIC,117330,84407,40072,16459,671490
2GMEL,287668,179183,87676,38164,2249964
29799,10,0,0,0,25
29499,526,263,61,19,4580
1RNSW,225242,160991,80369,33044,1257485
1GSYD,326789,203675,97132,44595,2444653
19799,43,60,25,3,212
19499,1142,722,150,41,7741
