GCCSA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
9OTER,3,29,0,15,15,3,0,3,0,71,9,44,4,20,5,0,0,3,0,88,40,13,3,34,70,9,3,15,0,187,10,13,0,22,11,6,0,5,0,72,6,5,0,0,0,3,0,3,0,23,3,0,13,8,5,3,0,7,0,49,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,0,0,0,0,5,7,3,5,10,4,4,0,7,6,43,91,123,36,127,123,37,6,42,8,590,7,11,3,6,5,0,0,7,3,45,3,3,6,3,3,0,0,4,0,21,43,24,131,10,5,5,24,26,7,282,18,3,51,6,0,0,7,12,0,99,11,9,14,0,3,3,0,12,5,52,10,35,3,20,15,3,0,3,0,93,23,65,7,21,5,0,0,5,0,126,80,15,11,44,77,13,0,20,4,264,23,25,3,48,17,6,0,3,3,132,6,7,4,3,0,3,0,3,3,32
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8ACTE,594,6155,271,1321,937,196,13,78,96,9661,785,4891,63,1037,707,124,11,81,83,7783,3810,4486,224,1160,6676,1132,39,344,408,18283,3190,7591,280,3187,3540,479,33,257,428,18979,688,1652,148,315,817,258,12,56,79,4024,316,163,797,591,752,294,15,145,60,3126,10,10,0,6,5,6,0,7,3,49,282,375,26,153,339,61,6,34,61,1341,97,182,48,163,250,84,0,56,176,1052,11423,29683,2547,8531,15642,3056,191,1285,1618,73974,1655,4354,517,469,1150,229,57,161,215,8800,1996,6627,890,333,916,304,130,209,314,11708,2257,3825,4298,594,1030,427,671,779,262,14135,1322,819,3221,165,426,187,198,501,111,6953,492,705,574,144,414,94,69,176,53,2733,888,8391,374,1770,1092,240,50,135,143,13084,1133,6430,119,1263,868,171,47,160,117,10317,8054,8777,757,1881,9060,1899,315,775,775,32293,6145,12919,641,4964,5149,809,188,555,811,32180,1139,2913,472,517,1128,426,63,176,132,6967
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,7,3,3,0,0,8,0,0,0,0,21,0,10,0,10,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,3,12,18,3,0,3,0,72,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,3,8,0,3,0,0,5,0,0,0,0,12,7,10,0,0,8,0,0,0,0,24,5,12,0,14,3,0,0,3,0,34,0,3,0,0,0,0,0,0,0,8
7RNTE,116,1291,41,301,142,28,9,41,22,1991,157,1036,10,272,95,23,0,25,14,1637,366,254,40,200,745,159,21,73,24,1883,166,501,37,656,244,58,8,52,22,1743,45,100,8,44,38,28,3,15,3,284,61,41,124,134,143,57,4,52,6,622,0,11,0,3,0,0,0,3,3,23,17,36,4,25,28,8,4,0,3,133,25,86,23,132,78,39,7,63,92,544,1059,3563,352,1850,1655,453,74,415,204,9633,68,179,34,36,35,11,3,22,9,404,33,73,55,21,30,20,14,13,4,266,372,430,1438,224,132,68,257,282,73,3265,180,65,404,74,36,15,72,128,34,1012,177,201,92,82,105,31,41,162,17,904,164,1683,61,398,157,32,30,64,26,2623,262,1401,46,340,108,23,19,43,24,2266,692,422,109,369,878,219,86,137,51,2968,288,795,59,1140,309,81,43,94,52,2855,81,166,43,76,53,38,6,29,3,500
7GDAR,201,2471,90,554,320,112,18,80,38,3884,276,1741,30,460,221,51,9,46,19,2851,1090,1055,88,448,2344,553,50,174,80,5883,456,1184,76,1226,693,177,20,131,51,4009,98,252,34,85,139,69,3,22,4,704,143,58,356,286,327,157,23,128,26,1505,0,5,5,5,11,0,0,12,3,47,35,57,19,59,66,16,3,13,9,269,55,66,36,96,140,75,7,68,94,645,2629,7544,1029,3405,4609,1334,168,849,346,21910,209,616,159,95,132,39,16,57,14,1323,197,416,216,93,155,71,45,81,21,1287,1122,1359,5504,447,443,266,762,663,166,10750,508,202,1512,125,102,59,225,436,61,3236,171,226,211,97,138,46,67,158,14,1128,328,3322,159,752,376,130,55,120,55,5298,410,2189,98,554,278,58,52,76,35,3743,2126,1788,366,822,2816,808,270,354,140,9478,751,1739,187,1964,872,229,83,215,81,6125,162,387,151,130,165,85,21,59,15,1177
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,33,3,8,3,0,0,0,0,44,3,7,0,0,3,0,0,0,0,18,9,4,3,5,6,3,0,3,0,29,0,7,0,9,0,0,4,3,0,27,0,4,0,6,0,0,0,0,0,8,0,0,3,4,0,0,0,7,0,18,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,13,60,16,40,16,3,9,21,3,178,0,6,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,4,16,34,3,3,0,9,8,0,82,0,3,12,0,0,4,3,4,0,29,0,5,0,0,0,0,0,5,0,14,3,33,3,5,0,0,3,0,0,53,3,12,0,3,3,0,0,3,0,28,10,3,6,7,6,0,0,6,0,47,0,10,3,11,6,5,4,8,3,44,0,6,0,6,0,0,0,3,0,16
