GCCSA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
9OTER,4,17,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,5,22,61,5,17,13,4,0,4,4,142,0,0,0,0,0,0,0,0,0,0,9,9,0,10,11,3,0,0,0,53,8,12,9,20,25,0,0,10,0,82,13,3,16,39,34,10,3,8,0,117,3,0,0,5,7,3,0,3,0,20,3,7,0,15,14,6,0,3,0,46,0,0,0,0,3,0,0,3,0,11,7,3,3,16,8,9,0,6,0,56,91,123,36,127,123,37,6,42,8,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,21,0,4,4,0,0,0,0,61,0,0,0,0,0,0,0,0,0,3,13,21,0,3,0,0,0,0,0,35,0,3,0,0,4,0,0,0,0,10,58,99,12,29,20,11,0,16,11,259,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
8ACTE,804,2644,40,329,555,42,3,23,58,4503,341,719,11,42,236,14,0,0,24,1396,4539,14916,589,2268,5059,955,47,377,564,29313,15,21,7,19,27,11,0,3,6,111,680,1140,154,628,1284,231,11,83,87,4289,1098,1196,330,1476,2232,371,20,142,170,7022,827,983,1057,2383,3022,721,74,267,192,9526,93,97,48,201,372,164,8,74,17,1081,180,209,63,334,782,178,12,93,40,1891,71,180,22,100,183,37,3,33,21,653,114,208,48,163,302,102,11,77,126,1154,11423,29683,2547,8531,15642,3056,191,1285,1618,73974,55,216,0,4,28,4,0,0,4,320,1031,4430,82,51,348,16,9,24,84,6085,5255,10834,415,892,2492,413,104,272,536,21213,139,403,6,32,88,14,0,9,18,718,1536,4270,121,439,816,84,21,47,124,7462,621,1062,38,96,370,25,3,3,51,2276,9622,27326,1787,3598,7684,1658,335,1032,1187,54226,28,30,18,31,32,12,7,8,14,181
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,17,0,4,12,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,8,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,3,12,18,3,0,3,0,72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,9,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,24,0,7,10,0,0,5,3,50,0,0,0,0,0,0,0,0,0,0
7RNTE,60,285,3,42,37,3,3,6,0,439,27,124,0,10,9,3,0,0,0,176,334,1722,59,337,302,93,8,79,25,2958,6,4,3,8,0,0,0,0,0,21,92,188,10,129,103,18,3,24,10,570,162,187,36,274,233,43,7,42,10,994,177,238,165,583,598,129,30,108,31,2069,30,59,21,111,102,58,9,39,11,437,32,47,19,111,92,30,8,28,18,386,7,25,3,29,22,11,0,8,3,107,25,101,27,141,87,53,7,69,93,600,1059,3563,352,1850,1655,453,74,415,204,9633,5,33,0,3,0,0,0,0,0,42,23,118,8,10,6,0,0,0,0,169,219,698,26,105,91,16,8,13,13,1189,15,40,0,6,7,3,0,0,0,72,96,399,6,61,41,7,3,10,3,627,46,152,5,26,15,3,3,4,0,246,624,2679,173,556,395,116,41,151,56,4794,5,3,10,17,0,0,0,3,0,35
7GDAR,148,696,11,79,85,11,0,4,4,1046,69,169,3,21,39,0,0,3,3,315,827,3977,168,763,1028,316,10,215,75,7376,0,0,3,16,9,10,0,3,3,52,173,320,53,228,264,64,13,51,14,1178,405,435,129,635,686,183,15,84,34,2610,453,412,513,1083,1583,411,92,245,73,4874,50,29,35,93,214,87,9,51,12,575,57,62,36,209,261,94,9,50,9,790,22,60,17,37,56,23,4,26,6,250,58,80,29,116,151,88,10,92,88,707,2629,7544,1029,3405,4609,1334,168,849,346,21910,13,50,0,3,6,0,0,0,0,72,89,500,10,11,14,3,0,5,6,642,655,1665,115,245,344,108,38,71,31,3269,35,99,4,8,15,6,0,0,3,169,249,949,37,108,120,18,4,6,10,1504,116,241,10,44,52,3,4,3,3,472,1837,6288,712,1166,1418,507,218,512,134,12790,8,3,8,25,12,10,0,8,9,81
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
79499,0,6,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,3,5,32,0,11,8,0,0,3,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,4,0,20,3,4,3,5,6,0,0,7,0,32,0,0,3,0,0,0,0,0,0,5,0,0,0,5,0,3,0,3,0,10,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,13,60,16,40,16,3,9,21,3,178,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,12,0,3,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,4,46,3,15,8,3,3,6,0,90,0,0,0,0,0,0,0,0,0,0
6RTAS,95,617,10,152,75,19,4,9,3,984,58,264,3,19,45,4,0,0,0,391,902,6227,210,691,800,241,14,223,68,9375,5,6,0,29,8,4,0,3,0,62,290,623,78,502,383,97,10,82,34,2086,490,542,217,1310,927,245,20,157,54,3973,694,461,1308,3338,2262,947,116,782,95,10008,92,38,82,316,357,310,21,231,19,1471,152,78,79,582,482,228,18,183,21,1824,31,62,12,71,96,32,3,27,5,333,142,156,79,297,216,225,18,253,112,1512,3175,10424,2113,7375,5804,2394,226,1968,430,33897,14,69,0,4,10,0,0,0,0,99,80,607,9,13,42,3,3,4,11,775,427,1594,69,82,158,42,12,45,27,2456,20,92,3,9,8,0,0,3,0,140,184,920,26,176,97,25,15,19,6,1476,115,356,14,57,66,10,3,3,3,621,2017,9389,538,992,1060,362,105,428,121,15007,15,12,8,34,12,7,0,8,0,101
6GHOB,143,947,26,172,135,25,0,7,8,1471,89,357,0,24,62,5,0,0,5,546,1087,6338,254,969,1272,362,30,144,96,10562,6,15,6,23,4,5,0,3,0,64,242,576,87,428,450,98,10,29,32,1950,375,453,181,958,840,238,16,64,45,3166,480,416,916,2426,1960,723,67,370,79,7432,47,42,54,185,271,233,11,132,7,979,91,103,32,402,383,144,15,96,27,1286,19,97,18,45,97,25,4,23,3,335,71,143,48,207,153,115,13,125,69,939,3074,11875,1677,6046,5940,2038,164,1036,411,32269,24,98,0,3,6,0,0,0,0,136,167,1571,34,22,68,10,3,11,17,1891,791,2574,114,262,378,97,40,90,53,4401,33,137,7,12,23,3,0,0,6,215,282,1401,62,215,193,38,7,19,13,2230,165,482,9,68,94,10,3,0,16,851,2434,10782,739,1484,1888,610,149,371,199,18658,12,22,7,23,7,5,4,3,0,82
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,3,0,0,0,0,16,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,25,0,14,6,3,0,4,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,0,6,4,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0
5RWAU,277,1616,33,236,195,35,14,42,12,2452,79,389,9,26,37,0,0,4,5,563,2107,10463,413,1383,1844,567,130,723,126,17751,20,22,6,49,24,10,3,15,0,158,814,1440,244,952,1016,286,96,262,36,5145,908,939,408,2133,1622,525,165,385,65,7146,1492,1010,2209,4926,3957,1620,581,1359,172,17321,244,122,115,525,796,553,81,359,28,2823,366,173,175,845,908,383,90,333,20,3288,109,135,31,147,164,59,23,101,16,779,383,284,185,575,531,376,99,474,206,3103,7208,18189,3872,11951,11316,4485,1285,4101,706,63101,31,132,7,13,16,4,0,0,0,200,102,531,19,12,23,11,3,13,8,719,842,2138,163,193,263,84,68,121,33,3908,46,187,3,17,15,7,3,6,3,281,485,2234,73,294,226,46,41,75,23,3496,155,500,44,54,60,7,12,7,5,840,4707,16042,1450,1914,2261,827,579,1365,244,29397,29,41,34,54,33,14,12,21,0,241
