GCCSA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
9OTER,18,52,18,26,11,130,8,5,24,21,24,3,84,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,51,63,46,259,220,630,124,1335
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
99499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
8ACTE,1839,6640,1542,1698,220,16787,2769,1220,7111,2955,3107,488,17653,338,162,895,316,513,57,2293,429,150,986,718,2114,122,4528,431,89,934,449,888,479,3269,27619,10453,54226,21811,31984,3792,149895
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
7RNTE,299,1127,299,618,146,2858,342,255,1150,611,849,218,3425,33,20,120,44,152,38,408,49,34,152,107,603,110,1049,25,18,114,67,327,255,819,1399,945,4794,3030,8174,1487,19827
7GDAR,616,1868,542,865,103,4832,669,384,2323,937,1098,172,5585,80,28,235,170,310,39,859,82,32,236,215,1082,79,1729,85,33,302,229,924,361,1941,3985,2146,12790,7523,20076,2201,48723
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
79499,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
6RTAS,573,3960,1010,1655,207,8485,832,656,3700,2585,4307,527,12617,64,37,227,183,470,45,1025,61,36,230,343,2398,104,3171,44,15,237,236,1181,493,2219,3332,2236,15007,10596,35725,3823,70717
6GHOB,736,3679,824,1171,153,8560,1154,778,4053,2007,3424,405,11811,177,88,509,185,430,43,1423,139,69,376,333,1685,87,2690,101,23,302,160,760,296,1644,6428,3296,18658,9334,25019,2492,65228
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
69499,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
5RWAU,1917,6867,2134,3609,496,16005,1045,943,5794,3697,5139,808,17439,69,34,402,296,751,79,1630,121,74,496,730,4769,265,6467,115,62,594,685,2938,950,5345,4822,4613,29397,22046,75097,8007,143989
5GPER,8575,29318,8500,10801,1700,69772,9292,5017,37967,17319,19059,3383,92025,710,370,3334,1717,3103,384,9627,1093,473,4168,4143,16429,830,27126,1744,483,6073,3952,10308,3181,25743,54850,26509,198031,102938,215181,24900,622406
59799,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
59499,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
4RSAU,949,4537,1718,2038,234,10171,628,607,4144,3479,5520,598,14972,23,18,122,137,389,65,761,56,42,262,406,3202,151,4124,43,41,252,298,1363,574,2575,2537,2557,16683,14328,48751,5521,90371
4GADE,4282,19551,6168,5629,779,45433,8006,4142,29313,14051,17243,2264,75016,385,182,1637,1042,1836,199,5278,675,354,2439,2409,10632,580,17083,672,189,2278,1476,4343,1685,10631,36053,16388,118527,64709,138554,14335,388573
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49499,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
3RQLD,7868,33964,10489,14515,1811,78112,9001,5210,38016,22831,30188,3883,109124,402,187,2307,2079,4494,497,9969,608,343,2772,4574,21358,1156,30799,755,295,3481,3391,12420,4265,24605,33771,21266,153532,112545,313437,31500,666057
3GBRI,8517,34775,9817,12543,1478,83677,12632,6236,46368,21481,25586,3275,115584,725,391,3425,1862,3190,373,9963,1312,641,4583,5041,17463,876,29917,1845,436,5646,3797,10797,3911,26423,70525,30983,225729,119131,249413,25734,721503
39799,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
39499,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
2RVIC,6731,19824,6358,6715,946,46340,5417,5539,23548,15214,20748,2965,73433,281,210,1398,1164,2297,290,5638,347,271,1392,2343,11650,588,16588,372,239,1689,1741,6726,2611,13372,19713,18731,90013,67408,178376,20209,394456
2GMEL,21381,64832,18311,14665,2968,159934,29412,15820,84936,38992,39764,7209,216134,2754,1353,11124,5253,6516,916,27914,3538,1405,10141,10058,29387,1964,56496,5847,1432,17190,9662,18906,8545,61581,186841,75131,521227,246323,392519,55071,1477105
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
29499,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
1RNSW,8227,38199,11744,14213,1917,86873,9998,5829,41282,26630,41403,4978,130112,430,234,2005,1436,3743,400,8253,711,331,2734,4013,24017,1040,32845,757,330,3079,2848,12231,4148,23390,41674,23893,164755,117301,338892,34361,720873
1GSYD,11961,67726,17584,15804,3400,157325,32696,10156,89721,38000,40175,7903,218639,2791,766,9279,4423,6305,942,24509,4099,1034,11592,9727,32074,2032,60567,7714,1165,20412,10633,20098,9638,69660,232116,54442,583239,259708,411695,64344,1605537
19799,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
19499,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
