GCCSA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
9OTER,0,0,9,8,19,13,4,0,0,58,3,11,10,22,32,19,15,0,0,111,70,114,333,442,504,443,201,29,4,2151
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
8ACTE,333,792,1505,1306,1163,739,239,21,5,6102,305,621,1394,1199,974,565,212,47,25,5346,10736,20908,52577,48137,41795,24780,5821,594,78,205419
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
7RNTE,65,187,465,406,381,235,57,0,0,1799,97,166,358,305,284,199,54,17,0,1488,1306,2545,7640,6536,6668,4817,1125,115,9,30752
7GDAR,158,273,626,499,477,271,68,8,0,2378,187,330,802,694,661,381,108,17,6,3191,3203,6740,19584,16319,14271,9000,2053,172,21,71357
79799,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9,0,0,8,9,9,0,0,0,0,28
79499,0,0,0,0,0,0,0,0,0,9,0,4,12,6,4,9,0,0,0,36,18,75,169,97,111,89,11,0,0,574
6RTAS,222,530,909,854,991,721,188,17,0,4441,283,355,734,826,985,812,296,87,26,4397,6741,9945,20280,22976,28587,22736,5260,758,120,117405
6GHOB,140,373,808,765,773,600,181,28,0,3670,168,285,618,586,626,436,174,54,19,2958,5175,8821,20471,21039,22407,16873,3635,407,58,98883
69799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47
69499,0,3,4,0,0,0,0,0,0,6,0,0,8,3,8,0,0,0,0,18,12,22,86,47,46,23,0,0,0,247
5RWAU,629,1037,2048,1953,1814,1237,322,44,0,9080,594,867,1838,1961,2190,1677,582,185,28,9929,11858,16897,47675,50979,54551,40812,10779,1666,221,235431
5GPER,1644,4312,9656,7462,7255,4927,1300,155,14,36729,1879,4248,10358,9434,9158,5652,1819,413,77,43030,46211,88498,222260,201490,195311,131038,31760,3270,364,920196
59799,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,60,0,19,100,98,82,35,4,0,0,334
59499,0,0,12,9,7,3,0,0,0,44,3,12,41,28,24,23,4,0,0,126,26,202,598,332,308,266,40,0,0,1773
4RSAU,316,619,1131,1093,1249,985,281,40,9,5729,344,414,845,903,1180,985,416,168,47,5303,8564,12189,27321,30310,37742,31778,8684,1467,263,158308
4GADE,774,2482,5349,4784,5063,3718,1052,133,9,23353,798,1808,4241,3976,4115,2882,967,271,86,19133,28487,55620,129432,125726,130434,93473,21363,2206,308,587060
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
49499,4,0,0,7,5,0,0,0,0,23,0,6,15,8,9,8,3,0,0,46,23,88,242,125,131,102,24,3,0,734
3RQLD,2481,4850,9749,9024,8600,5978,1714,151,7,42551,2678,4105,8629,9371,9767,7097,2540,720,164,45065,65656,94742,212136,225875,239632,171672,43304,5754,744,1059525
3GBRI,2006,4755,10282,8680,8162,5397,1373,154,11,40813,2275,4988,10842,10407,9480,5878,1794,410,114,46178,60083,111449,252724,242798,226688,144487,32052,3110,389,1073778
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
39499,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
2RVIC,1121,2646,4654,4237,4760,3777,1085,141,20,22437,1601,2286,4009,4488,5444,4549,1755,604,159,24896,36413,53437,112772,122157,141612,116189,30307,4785,919,618583
2GMEL,2357,7843,19386,16399,16136,10439,2812,329,38,75730,3493,10223,25832,22634,22461,14069,4386,905,280,104281,88109,202474,538588,483008,440905,284768,69019,7429,1203,2115493
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
29499,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
1RNSW,2452,5099,9307,8848,9037,6547,1895,254,37,43467,2694,4065,7380,8008,9166,7202,2705,973,270,42468,66071,96123,207157,225112,252505,198277,49771,7880,1272,1104163
1GSYD,3309,8330,19722,18034,16845,11226,3051,345,34,80900,4439,11792,29759,25730,23976,15062,4445,931,238,116381,95877,214769,571197,527605,466922,308826,77795,8569,1152,2272718
19799,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
19499,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
