GCCSA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
9OTER,340,236,379,298,249,130,160,295,51,2151
99799,0,3,0,0,0,0,0,4,0,6
99499,0,3,0,4,0,0,3,0,0,11
8ACTE,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
89799,0,0,0,0,0,0,0,0,0,0
89499,21,57,14,34,28,12,8,20,6,202
7RNTE,3682,6777,3740,5232,3673,1783,1578,3230,1050,30752
7GDAR,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
79799,0,4,8,0,0,0,0,13,0,28
79499,41,108,104,84,34,32,63,104,15,574
6RTAS,15238,18332,17083,14033,13605,11744,9285,16018,2056,117405
6GHOB,11212,22388,13110,12690,14567,9641,4487,9097,1704,98883
69799,3,14,9,9,0,0,3,15,0,47
69499,17,49,38,33,27,14,20,54,3,247
5RWAU,33822,32446,43338,23037,25054,18013,25850,29749,4112,235431
5GPER,105412,204472,143621,99683,125233,84231,60231,82364,14947,920196
59799,11,78,87,3,10,0,35,100,9,334
59499,104,235,349,162,114,90,276,386,58,1773
4RSAU,26799,20136,22431,17595,16456,14184,13271,24893,2556,158308
4GADE,67230,130848,77599,71974,83026,57531,32166,57749,8937,587060
49799,0,3,0,0,0,0,0,0,0,3
49499,54,103,112,53,57,49,85,212,11,734
3RQLD,131019,177163,165977,124999,132531,107632,80093,123030,17077,1059525
3GBRI,127222,246294,139054,116612,158546,99974,67242,101412,17421,1073778
39799,13,8,9,0,7,7,0,6,4,60
39499,264,446,392,349,226,182,300,825,97,3087
2RVIC,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
2GMEL,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
29799,0,4,7,0,0,0,0,3,0,23
29499,178,405,297,277,182,134,200,307,57,2033
1RNSW,144050,199664,163683,131603,136560,106127,78469,125843,18165,1104163
1GSYD,311762,597798,265056,218206,331135,205051,128020,171450,44228,2272718
19799,3,22,18,16,21,17,10,18,5,130
19499,274,649,480,430,261,224,339,582,103,3331
