GCCSA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
9OTER,3,0,4,4,3,3,3,8,0,30,6,4,13,11,0,0,9,22,3,69,25,17,39,31,12,0,19,27,5,174,44,25,63,20,10,7,22,31,12,235,50,14,90,27,15,0,31,34,6,276,46,25,76,14,6,8,29,33,4,248,18,16,30,4,4,3,33,17,3,119,6,0,5,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,3,203,102,323,112,52,29,151,170,37,1175,0,0,0,20,0,13,0,0,0,43,3,5,3,9,12,3,0,5,0,44,18,27,9,42,27,13,0,20,0,161,35,38,16,41,49,7,6,15,4,207,41,28,19,43,52,20,0,30,5,231,27,35,3,26,37,22,3,35,3,193,14,8,3,7,10,23,0,16,6,81,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,140,143,54,188,193,104,16,132,12,970
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
8ACTE,295,168,686,964,175,1306,189,1144,78,5000,942,1504,2221,1842,986,1299,391,1111,203,10490,3515,8846,5069,2078,2769,1134,874,1705,710,26694,5239,8485,3483,1519,2545,764,810,1216,754,24814,5353,6264,2756,1179,2292,631,982,947,611,21022,2835,3907,1600,625,1438,422,817,755,332,12736,576,1167,390,192,373,175,251,216,97,3427,72,137,37,19,37,24,20,23,24,388,8,12,5,0,0,3,0,3,9,44,18842,30491,16240,8412,10615,5749,4325,7119,2820,104617,168,217,197,1821,450,2368,21,425,64,5736,566,1902,511,2718,2349,1822,40,335,167,10416,2974,10422,942,2953,5903,1386,64,645,596,25887,4282,8598,729,2164,5439,879,53,581,598,23319,3925,6434,609,2068,5654,850,92,619,519,20769,1745,3759,323,1254,3482,673,68,490,255,12043,236,771,68,245,682,187,18,111,65,2393,18,61,3,19,58,20,0,9,12,208,5,8,0,0,7,0,0,0,10,31,13916,32172,3380,13243,24022,8197,361,3215,2301,100807
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,3,0,5,0,18,3,10,3,3,0,0,7,4,0,31,0,6,3,4,4,0,0,5,0,20,0,0,6,0,0,0,0,4,3,15,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,13,9,5,10,4,14,9,102,0,0,0,0,0,0,0,0,0,4,0,6,0,8,4,0,0,3,0,19,3,9,0,3,3,4,0,0,0,27,0,5,3,7,3,0,0,0,0,22,3,3,0,3,0,0,0,0,0,13,3,6,0,0,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,3,27,20,6,0,3,0,101
7RNTE,10,33,104,98,17,153,25,221,36,699,60,160,350,195,46,75,84,325,73,1375,389,722,887,621,156,139,295,510,162,3874,479,601,675,537,183,83,289,347,127,3322,578,573,597,446,196,87,348,373,135,3324,484,479,429,264,153,92,297,276,85,2561,143,117,94,56,40,20,74,86,23,657,17,13,9,3,0,3,8,11,4,67,0,0,0,3,0,0,0,5,0,5,2170,2692,3149,2216,803,641,1423,2151,638,15882,11,41,26,135,83,204,3,69,30,605,46,175,61,297,252,140,20,131,51,1168,306,1123,166,833,698,252,47,241,106,3768,311,1014,113,652,599,203,27,204,87,3213,455,930,127,631,664,182,37,228,77,3338,326,684,64,384,459,124,18,155,42,2258,51,114,20,76,100,35,13,37,15,469,7,10,0,9,4,3,0,3,3,47,0,3,0,0,0,0,0,0,0,3,1512,4088,585,3018,2871,1139,153,1080,411,14868
7GDAR,22,44,366,203,65,419,77,408,34,1638,184,223,1135,738,192,307,327,500,107,3702,953,1612,3578,1250,573,401,931,1219,232,10734,1385,1436,2558,857,547,315,787,820,193,8887,1443,1168,1955,586,507,285,887,626,189,7641,971,852,1052,288,396,167,672,427,120,4946,220,263,197,66,107,60,160,99,37,1214,24,26,21,0,11,15,10,6,10,117,0,0,3,0,0,0,0,3,0,10,5197,5619,10869,3987,2389,1973,3838,4100,915,38883,24,34,84,357,224,677,12,116,32,1564,148,398,198,720,766,492,48,195,68,3031,843,2648,452,1438,2048,716,105,478,133,8851,946,2146,286,1024,1854,501,78,465,129,7431,987,1655,271,785,1742,478,94,522,100,6634,534,1054,149,464,1102,283,58,345,67,4053,106,191,31,76,258,77,7,71,28,838,9,18,3,9,9,4,3,4,0,55,0,0,0,0,0,3,0,0,3,6,3598,8147,1465,4872,8004,3234,404,2186,560,32474
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,10,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
79499,0,0,8,0,0,3,0,0,0,11,0,0,11,6,0,0,0,17,0,39,7,15,17,11,0,6,8,21,0,84,3,17,12,4,0,3,9,7,4,62,3,12,18,0,3,3,16,14,0,70,0,0,7,3,3,0,12,7,0,44,0,0,3,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,88,28,10,15,51,62,7,320,0,0,3,3,0,0,0,0,0,8,4,3,3,10,3,3,0,8,0,34,3,35,7,24,0,3,0,12,0,80,7,10,0,3,6,0,0,4,0,39,7,12,4,10,5,3,3,9,0,39,4,9,7,3,10,5,0,6,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,23,54,26,17,11,39,5,252
