RA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
RA10,53,388,529,1543,2097,4335,8236,8741,2470,28393,384,1344,4777,13986,6296,9306,3696,1174,295,41257,3328,8455,11880,81400,13692,8510,4913,2397,838,135404,189,881,4998,14596,4029,3015,2011,770,265,30759,126,1044,1819,11553,3155,2510,1371,634,251,22472,309,2713,5314,15505,7367,4693,2458,1164,325,39843,123,954,656,10400,3119,2057,2125,1161,432,21030,65,332,852,5087,3846,6848,11014,11481,5130,44655,236,897,1279,5975,2612,1095,630,236,83,13032,434,2339,6469,23571,8131,5362,2633,1257,311,50511,198,829,2150,15863,13683,11654,7723,3348,1056,56502,206,932,3205,11142,4459,4999,3494,1149,289,29877,4,22,75,441,778,2894,5126,2742,859,12935,9,80,209,1357,986,1233,909,432,184,5400,19,154,836,2544,1198,817,488,266,103,6432,152,888,6770,21338,924,517,156,30,4,30779,60,339,386,1789,1159,1628,3147,1872,996,11382,1078,6699,11685,34189,17488,13818,7239,2690,932,95820,9,77,135,1195,915,735,1023,537,163,4786,657,2241,3453,12639,2604,1382,479,128,34,23629
RA11,0,16,17,50,78,173,297,255,61,948,6,49,102,253,146,206,72,34,6,869,127,430,322,3590,500,423,358,203,65,6019,7,51,39,282,119,102,106,74,31,806,5,48,50,229,73,60,29,14,6,510,11,23,31,146,53,43,23,10,3,341,21,182,52,676,363,345,477,253,90,2455,5,26,40,225,231,544,913,685,297,2973,12,79,69,337,148,83,63,21,13,825,4,45,225,609,93,61,18,7,4,1062,3,9,30,162,210,151,103,52,11,734,39,67,75,441,310,251,133,44,11,1362,3,0,5,34,99,316,626,204,32,1314,0,3,0,55,51,80,65,21,10,290,3,58,104,316,78,26,18,18,8,634,13,124,179,817,47,18,5,3,0,1198,4,44,55,268,314,832,1673,873,317,4380,91,675,948,4078,3354,3626,2597,947,273,16592,0,19,13,131,138,136,310,173,36,967,31,95,66,324,51,47,19,5,3,636
RA12,0,0,0,7,11,24,48,28,3,119,0,3,10,51,25,40,9,8,0,155,38,103,104,1009,209,176,84,40,14,1778,3,11,9,66,17,19,28,13,7,170,0,4,9,25,10,5,0,3,0,49,0,6,5,17,11,0,3,4,0,50,5,22,22,130,66,64,109,41,7,463,0,6,23,63,92,223,542,535,285,1769,8,13,10,66,24,8,6,3,3,137,0,9,15,110,22,9,8,0,0,175,0,3,4,22,21,16,22,6,3,96,0,10,31,144,72,59,16,16,4,348,0,0,3,11,15,54,96,30,9,209,0,0,3,12,6,9,10,0,0,38,0,0,0,31,6,10,3,0,0,51,0,4,3,63,8,0,0,0,0,84,0,3,9,57,78,195,439,199,69,1058,34,196,280,969,819,935,626,199,52,4110,0,6,0,22,25,25,66,27,7,182,7,26,9,116,25,5,0,0,0,195
RA13,0,0,0,0,0,3,4,0,0,10,0,0,3,4,0,5,3,0,0,14,3,10,8,78,3,4,4,0,0,108,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,3,5,4,0,42,0,0,0,0,0,3,12,3,5,22,0,0,0,3,0,0,0,0,0,9,0,0,6,18,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,10,0,0,0,3,4,0,0,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,20,0,0,0,0,0,22,0,0,0,3,0,3,11,3,0,34,0,3,15,69,52,49,18,12,0,234,0,0,0,4,3,4,0,4,0,22,0,7,0,18,5,4,0,0,0,38
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,3,0,0,0,16,17,9,3,6,3,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,3,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,3,3,3,3,3,0,10,0,0,16,23,3,0,0,0,0,39,4,3,20,100,3,3,0,3,0,140,0,0,11,14,9,4,4,0,0,35,0,0,0,16,3,0,0,0,0,20,0,3,5,14,7,3,0,0,0,36,0,0,8,21,7,3,3,0,0,45,0,0,8,21,3,9,3,0,3,49,0,0,3,6,0,0,0,0,0,12,0,0,13,21,3,0,0,0,0,39,0,0,0,14,15,0,3,3,0,33,0,0,3,29,9,7,0,0,0,43,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,11,15,0,0,0,0,0,30,0,0,7,8,3,8,18,0,0,48,9,9,34,101,64,60,48,9,0,324,0,0,4,6,4,0,0,0,0,14,4,3,4,22,0,0,0,0,0,32
RA20,63,643,758,2218,4204,7534,13277,13580,3497,45778,259,868,3185,8393,2739,3497,1433,502,106,20976,3289,9279,17332,102001,13161,9051,5464,2373,865,162817,186,637,3958,8627,1556,1004,752,314,105,17129,182,1572,1788,9107,1749,1005,527,191,56,16167,187,1447,2304,7667,3302,1716,796,359,97,17883,117,679,441,6049,1760,1518,1450,986,474,13476,81,417,836,4244,4627,10681,17740,17868,7567,64066,143,643,991,3988,1207,456,342,101,70,7941,143,942,2606,7923,1615,628,244,85,16,14201,96,306,781,5204,3984,3129,1933,790,219,16441,591,2422,8658,18483,6113,6465,3678,1238,317,47968,9,50,147,701,1171,3971,6005,3223,843,16119,17,293,809,4058,1803,2060,1355,694,295,11380,61,753,1961,4902,1274,677,336,206,73,10245,48,333,1986,6095,269,161,56,15,3,8969,46,307,273,1436,1013,2206,4065,2511,1210,13063,1445,8270,10964,32053,12084,8540,3926,1407,483,79174,12,87,119,990,767,843,1000,590,208,4618,643,2121,3289,11968,1315,662,312,71,18,20411
RA21,3,7,13,51,104,242,346,293,78,1142,0,30,88,195,63,77,30,11,4,501,121,387,351,3638,431,334,275,120,43,5706,3,19,42,225,70,46,61,40,22,536,12,68,59,175,36,19,18,8,0,385,7,44,104,314,133,41,20,9,0,662,6,112,47,466,268,312,341,227,83,1875,4,20,27,155,337,926,1673,1361,611,5122,3,50,45,212,85,41,24,13,4,481,6,34,97,253,24,10,8,3,0,444,0,0,15,80,46,39,20,5,5,210,21,84,144,587,289,244,97,35,7,1502,0,3,15,56,93,445,678,252,39,1585,0,15,19,116,80,63,49,13,3,359,0,20,83,293,80,50,26,25,8,589,5,38,57,215,14,5,0,0,0,335,4,38,57,290,358,1112,2293,1175,403,5738,101,660,938,3330,2397,2225,1352,448,118,11571,3,6,8,96,161,205,297,143,49,980,16,95,70,318,45,24,5,3,6,584
RA22,0,0,3,3,26,45,118,81,21,297,0,4,16,69,11,14,5,4,0,122,24,84,61,763,84,61,39,21,3,1137,4,9,18,51,28,11,12,3,3,124,0,11,8,30,3,3,0,0,0,55,0,8,7,27,23,0,0,0,0,66,0,12,6,53,39,38,43,26,16,233,0,8,9,44,72,183,404,402,168,1282,0,4,13,43,5,9,3,3,0,84,3,4,29,75,0,3,0,0,0,111,0,0,0,5,4,6,4,5,0,22,10,24,99,297,46,44,12,7,0,537,0,0,0,3,14,47,68,25,11,165,0,6,0,18,10,13,17,3,0,61,0,3,14,76,20,13,6,4,0,130,0,3,9,52,0,0,0,0,0,67,0,3,11,44,48,220,407,181,56,961,32,123,196,591,473,441,294,103,16,2266,0,3,0,13,13,33,45,21,6,139,3,23,10,65,14,3,3,0,0,124
