RA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
RA10,20,83,350,1158,1108,1382,2236,1553,381,378,428,514,535,382,321,10833,183,896,2022,1638,6109,37627,54486,45572,8598,10041,11606,14895,17160,9856,9723,230404,24,300,2996,6135,596,1444,2145,134,33,39,51,52,41,26,484,14491,17,1077,2161,3698,1176,3594,2230,1850,330,428,595,393,434,239,644,18866,51,87,326,1075,3497,10875,8840,3510,646,555,605,560,423,274,948,32267,176,5343,3639,2302,1607,1378,2536,1825,391,417,388,458,481,354,795,22083,92,2654,12188,8193,1167,699,543,266,177,375,256,225,187,76,1291,28393,71,134,561,1992,6830,15077,7475,2916,649,827,940,1077,1092,588,1038,41257,40,393,526,3681,3193,11253,26643,37496,4911,6273,7933,10293,11032,8038,3706,135404,30,225,301,871,2619,4585,9052,4988,1064,1100,1175,1533,1557,877,789,30759,5,22,50,767,1819,3696,3803,3593,1450,1862,2682,769,993,409,545,22472,4,16,94,1123,1247,4614,11900,7891,1967,1720,3525,2054,1522,1352,817,39843,51,298,923,2679,1356,2919,3227,3573
RA11,13,26,114,352,271,224,380,254,63,63,46,42,47,26,81,1999,18,71,101,52,150,354,547,703,118,134,135,177,243,202,282,3304,6,31,292,467,29,41,45,5,0,0,3,0,0,0,52,985,3,128,124,110,14,47,83,74,21,44,15,4,19,7,32,725,16,34,74,97,124,232,168,105,18,49,31,34,26,11,66,1083,18,1827,1286,646,519,430,399,228,38,49,37,55,43,24,218,5808,11,147,361,242,43,20,24,14,3,10,9,16,3,0,58,948,8,21,46,115,138,157,109,54,15,13,20,29,53,20,81,869,9,125,121,337,159,269,540,2008,263,500,454,433,352,220,226,6019,7,95,77,53,56,73,147,104,29,37,35,20,28,24,32,806,0,3,3,21,39,51,70,58,23,56,51,48,30,16,30,510,0,0,6,34,12,21,61,41,16,11,31,40,18,0,38,341,11,75,231,536,214,337,289,288
RA12,3,7,30,60,46,47,68,59,7,8,13,12,23,9,13,410,10,8,24,8,20,94,85,112,22,18,5,23,34,18,41,516,0,10,31,63,5,10,3,0,0,0,0,0,0,0,3,128,0,14,23,15,0,9,3,16,3,0,0,0,0,3,4,95,6,7,13,24,32,91,80,100,14,23,29,32,4,3,23,477,0,410,318,214,150,104,93,61,8,12,10,7,14,7,61,1479,0,20,48,30,9,3,0,0,0,0,0,0,0,0,3,119,3,0,12,20,22,22,17,10,0,0,3,9,19,7,15,155,3,20,20,56,38,82,287,602,65,124,126,101,87,57,102,1778,0,20,18,12,3,18,23,25,0,17,5,6,10,4,15,170,0,0,3,5,3,0,3,10,0,3,8,0,4,3,4,49,0,0,0,8,0,3,7,21,3,0,3,0,0,0,7,50,0,16,52,100,41,64,48,59
RA13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,16,0,0,0,0,0,3,10,10,4,0,3,3,0,0,0,30,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,0,0,0,3,3,0,6,6,0,0,0,0,0,4,3,29,0,18,17,9,7,6,3,6,0,0,0,0,6,0,3,77,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,7,0,0,0,0,0,4,14,0,0,0,0,0,0,10,38,7,8,13,13,7,7,0,108,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,4,7
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,0,0,0,0,0,0,3,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,3,3,7,0,3,0,0,5,0,11,4,5,34,0,0,0,0,0,12,15,29,13,18,20,35,24,43,18,225,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,5,3,3,0,0,0,0,0,3,4,23,0,0,3,0,0,8,9,3,0,0,0,0,0,0,7,22,0,5,9,3,4,4,3,0,0,0,0,5,19,13,11,78,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,8,3,5,0,3,0,9,10,7,4,39,0,0,0,0,3,5,10,17,3,4,3,9,11,61,18,140,0,0,0,0,0,4,3,0,0,0,0,4,0,7,6,35,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,20,0,0,0,0,0,5,4,6,0,0,0,10,0,8,4,36,0,0,4,0,0,3,7,3
RA20,17,41,224,721,731,911,1437,1112,325,321,369,389,484,306,224,7607,53,264,899,697,2526,16496,28581,35508,7297,8752,10366,13932,16099,8797,7025,157289,18,256,2589,6802,636,1457,1698,149,39,37,46,41,49,10,453,14283,16,853,2029,2324,682,1909,1592,1274,276,308,434,238,278,130,379,12728,14,38,86,297,953,3048,2472,1594,252,278,285,229,225,125,253,10143,183,5817,4085,2034,1544,1132,1898,1370,296,274,283,340,398,248,708,20598,92,3422,18988,15337,1856,1033,593,308,313,698,559,392,299,117,1791,45778,31,64,274,875,2629,6138,4173,2212,454,641,723,843,883,456,589,20976,45,389,393,5000,3076,8769,25919,57433,6218,7379,9380,12696,12394,9058,4671,162817,21,147,182,354,793,1679,5134,2858,606,730,844,983,1350,1073,382,17129,3,23,16,170,616,1375,1683,2780,1482,2012,3286,901,938,461,398,16167,0,3,12,102,351,2220,5202,3777,1008,658,1603,905,779,808,449,17883,34,364,966,1894,1027,1799,1421,2187
RA21,10,17,56,191,138,126,231,143,22,37,28,31,35,34,41,1132,9,21,51,18,36,179,450,701,112,118,155,192,268,243,282,2839,3,42,309,519,44,37,26,9,0,0,0,0,0,0,53,1046,0,65,90,68,13,34,61,68,11,8,11,13,12,7,15,476,7,13,16,33,53,121,92,90,17,23,24,20,5,9,27,538,15,1824,1133,515,344,178,237,149,28,34,28,18,26,19,177,4733,8,197,458,280,51,22,16,10,4,14,0,0,3,0,74,1142,3,3,23,39,55,70,61,60,11,11,17,33,34,21,61,501,7,84,74,252,96,148,610,2540,244,268,292,315,333,215,243,5706,5,50,37,26,31,48,105,96,13,19,20,24,20,18,30,536,0,0,3,7,12,25,39,78,35,35,74,34,15,18,10,385,0,0,0,0,3,59,301,124,27,26,23,33,23,8,36,662,7,121,233,396,179,240,202,183
RA22,3,3,12,29,23,18,38,31,8,0,6,4,9,5,5,189,0,8,8,0,4,23,60,109,22,25,26,25,20,22,29,383,6,18,53,58,7,7,0,0,0,0,0,0,0,0,9,151,0,9,14,9,0,0,4,7,0,3,5,3,0,0,3,68,0,0,5,4,26,18,35,24,0,4,3,3,0,0,7,128,3,339,257,96,73,33,27,31,3,4,6,3,5,3,26,913,3,44,124,97,12,10,0,0,0,0,0,0,0,0,12,297,0,0,0,3,19,8,12,11,3,8,4,15,11,10,16,122,3,16,11,30,11,23,98,482,45,79,85,75,75,50,60,1137,0,9,8,3,5,7,16,30,3,5,9,6,5,6,3,124,0,0,0,0,3,3,4,11,3,9,16,0,0,3,3,55,0,0,0,0,0,0,31,11,7,7,4,0,3,0,0,66,0,16,31,47,23,25,17,22
