RA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
RA10,..,3446,10966,2813,3081,3115,2949,2996,1493,1855,32725,..,3483,14280,4200,5089,5954,5772,5024,2279,1957,48041,..,40,187,156,386,954,1661,3070,3268,1346,11073,..,22,77,31,28,43,63,122,103,57,548,..,3547,14541,4388,5507,6953,7494,8217,5647,3356,59654,..,5,25,10,7,8,15,26,59,103,259,..,7008,25535,7206,8589,10080,10459,11245,7198,5319,92639,8367,11824,6516,1129,1370,1472,2069,2696,2309,1694,39452,10073,18507,20338,5528,7544,10442,14530,17767,12877,4979,122586,73,400,700,423,931,1708,2321,3440,2991,1844,14820,53,107,119,38,48,62,84,85,85,73,760,10201,19009,21161,5988,8521,12207,16941,21293,15949,6893,138166,17,25,24,4,8,10,13,16,18,365,498,18586,30862,27702,7125,9899,13690,19017,24004,18275,8957,178114,25702,7934,15473,5069,5482,5725,5513,5400,3070,2499,81870,39730,34333,76256,12947,16036,19314,20663,21096,11701,5844,257931,512,2110,6690,1748,2769,3991,3610,3875,2456,1913,29672,216,225,421,76,95,101,115,108,59,105,1532,40458,36670
RA11,..,431,1442,369,396,364,298,278,145,241,3969,..,109,726,229,370,375,368,333,149,119,2778,..,0,13,5,12,32,75,149,149,57,503,..,0,5,0,3,3,0,7,3,6,28,..,111,739,233,394,413,445,488,308,188,3317,..,0,5,3,0,0,3,3,4,6,24,..,548,2186,609,788,784,744,769,457,428,7308,747,1178,801,148,130,158,113,142,111,200,3726,138,425,701,171,226,235,332,382,242,141,2990,4,11,20,4,19,36,77,150,155,117,593,0,10,7,0,0,0,3,9,4,3,34,139,444,728,176,244,265,413,535,401,269,3618,0,0,6,0,3,0,0,0,0,114,120,890,1626,1531,328,374,426,526,680,511,582,7469,1931,686,1235,348,356,276,265,281,132,234,5745,538,591,2778,514,732,647,723,791,410,216,7940,3,47,161,48,96,112,151,241,160,121,1129,7,7,18,3,9,11,4,7,3,10,71,552,641
RA12,..,88,251,72,82,80,45,70,28,64,776,..,32,144,47,80,73,78,66,12,37,578,..,0,3,0,3,8,12,31,21,19,91,..,0,3,0,4,0,0,0,3,0,15,..,32,149,49,82,86,89,98,36,64,684,..,0,0,0,0,0,0,0,0,9,5,..,117,395,121,161,168,130,168,59,134,1463,111,215,131,23,23,38,37,52,43,63,744,17,87,141,33,52,57,76,94,43,35,643,0,3,3,4,6,4,8,24,24,37,118,0,0,0,0,0,0,0,0,0,0,0,20,95,145,34,54,60,86,119,69,72,757,0,0,0,0,0,0,0,0,0,36,37,131,312,276,54,79,98,126,172,113,174,1536,366,171,276,83,101,82,55,55,34,73,1302,99,138,589,105,166,185,183,166,78,81,1778,0,22,53,16,21,38,71,92,34,69,408,3,0,7,0,0,4,3,0,3,4,31,104,155
RA13,..,3,11,10,3,0,9,0,0,9,41,..,0,21,0,5,6,3,0,5,0,48,..,0,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,21,0,5,10,10,0,5,0,59,..,0,0,0,0,0,0,0,0,0,0,..,3,31,11,12,13,17,3,9,7,98,11,7,6,5,3,0,3,3,0,4,47,0,0,11,0,4,3,8,8,3,5,44,0,0,0,0,0,0,0,3,0,4,13,0,0,0,0,0,0,0,0,0,0,4,0,0,11,6,4,3,8,8,3,17,61,0,0,0,0,0,0,0,0,0,0,0,15,7,19,5,4,8,8,15,3,22,108,20,12,35,12,8,8,11,6,0,5,128,5,7,42,13,20,13,19,19,6,13,162,0,0,4,3,0,0,0,6,3,4,20,0,0,0,0,0,0,0,0,0,0,0,5,14
RA14,..,0,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,5,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,0,3,..,0,0,0,0,0,0,0,0,3,4,..,0,3,0,0,0,5,0,0,3,12,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,16,6,0,3,0,0,0,0,0,0,0,16,3,0,10,3,0,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
RA15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
RA19,..,0,0,0,0,0,8,3,25,9,40,..,0,4,0,3,4,0,10,17,9,41,..,0,0,0,0,0,0,0,18,3,25,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,3,0,10,37,10,70,..,0,0,0,0,0,0,0,0,0,0,..,3,7,0,3,3,3,16,56,23,112,18,10,11,3,3,7,11,88,61,9,218,5,12,24,7,11,15,26,86,83,27,295,0,0,3,3,0,9,15,12,16,11,65,0,0,0,0,0,0,0,0,0,0,0,5,12,20,9,11,21,49,96,99,34,359,0,0,0,0,0,0,0,0,0,16,17,22,23,29,11,17,24,58,184,165,60,594,37,8,13,3,9,7,22,48,55,18,220,45,14,64,22,23,17,55,91,124,37,489,3,0,8,0,0,6,15,21,11,17,86,0,0,0,0,0,0,0,0,0,0,0,45,14
RA20,..,2896,9826,2809,3108,2735,2479,2653,1323,1527,29363,..,2768,15063,4333,5234,6587,5579,5188,2113,1945,48808,..,26,201,176,375,1009,1588,2933,2887,1233,10433,..,13,79,22,35,70,63,118,102,84,577,..,2806,15339,4530,5644,7670,7233,8243,5102,3264,59816,..,8,19,11,20,9,10,39,58,147,328,..,5713,25181,7347,8768,10414,9725,10936,6480,4945,89507,6170,10122,7370,1353,1613,1512,1974,2728,2382,1369,36589,5958,13957,21645,5941,8043,10978,15727,18570,13206,4704,118726,54,332,648,384,804,1524,2183,3170,2610,1521,13222,44,94,119,36,41,56,101,93,79,64,727,6052,14381,22416,6359,8887,12549,18011,21830,15894,6289,132669,8,28,30,3,5,8,20,23,11,317,449,12223,24533,29812,7719,10506,14071,19999,24579,18284,7978,169704,20067,7395,14096,4398,4820,4487,4216,4126,2389,1987,67966,25948,28724,74690,11621,14603,16422,17471,16737,9314,4571,220096,284,1475,5333,1456,2299,3172,2500,2956,1960,1314,22739,199,158,470,64,105,123,101,95,54,92,1446,26429,30353
RA21,..,330,1137,314,255,287,240,221,109,225,3120,..,140,812,193,227,285,203,240,107,124,2327,..,4,20,0,11,33,71,102,143,63,439,..,0,5,0,0,3,0,3,3,4,25,..,142,837,190,237,317,271,352,247,194,2792,..,0,3,3,0,0,3,3,4,13,29,..,475,1975,508,496,603,517,575,360,431,5941,548,912,718,117,121,73,97,128,57,134,2901,153,479,915,175,182,267,241,330,257,203,3193,6,14,40,20,19,37,71,149,130,124,606,0,4,3,0,3,4,0,3,3,9,30,159,493,955,188,208,307,313,476,391,337,3831,0,0,0,0,0,0,0,0,0,71,84,702,1407,1679,311,327,387,409,606,450,544,6818,1443,560,976,224,253,237,193,175,96,181,4335,483,622,2781,399,540,529,502,522,273,176,6825,5,44,222,50,75,101,182,230,121,116,1152,4,11,21,3,3,0,10,4,0,9,66,493,671
RA22,..,59,175,21,48,40,53,29,22,23,462,..,18,164,46,63,60,54,75,24,31,534,..,0,0,0,3,3,8,31,18,11,73,..,0,0,0,0,0,0,0,0,3,4,..,18,164,44,69,64,64,104,43,46,616,..,0,0,0,0,0,0,0,0,6,10,..,75,340,64,115,102,112,132,61,75,1088,89,155,84,15,11,15,22,38,15,40,488,23,96,187,33,32,49,59,55,58,38,634,6,3,9,3,11,9,19,31,55,48,191,0,0,0,0,0,0,0,0,0,4,9,29,99,193,36,48,60,80,88,111,86,829,0,0,0,0,0,0,0,0,3,6,7,122,250,273,54,60,74,99,128,133,135,1327,224,82,187,49,54,51,40,43,24,37,785,107,112,543,100,143,176,155,149,79,92,1656,3,20,81,15,35,31,59,86,62,68,453,0,0,3,0,3,0,3,0,3,0,15,110,136
