RA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
RA10,472,507,408,382,276,2564,118339,32929,4558,4816,1324,1367,1540,1564,1400,1221,3184,53908,978,59,35,15,12,9,12,14,10,94,1236,138021,10910,7699,1823,1857,2058,1983,1792,1503,5845,173489,188,7,13,7,0,4,0,3,3,290,517,216441,14612,9561,2170,2202,2338,2230,2046,1634,8141,261366,72147,1141,965,195,183,118,150,153,75,1852,76967,69763,1380,1086,218,202,222,190,223,165,1729,75183,27079,2425,3293,804,768,852,816,775,526,1851,39193,789,27,16,0,11,3,4,5,3,115,970,97636,3830,4396,1020,982,1080,1012,1003,697,3690,115341,227,4,6,3,0,0,5,0,0,245,493,170007,4974,5364,1223,1163,1198,1165,1158,768,5785,192800,34547,717,421,75,60,59,40,39,28,1454,37450,34158,597,421,60,68,58,56,62,36,1269,36778,26060,1977,1583,259,274,268,212,218,147,1574,32566,528,25,10,3,3,0,4,0,3,163,731,60749,2596,2007,319,342,320,268,272,191,3004,70079,212,6,0,0,0,0
RA11,51,28,25,26,6,127,4226,285,54,74,30,22,21,30,40,42,74,674,37,3,5,0,3,0,0,0,0,0,49,3781,340,265,64,74,53,56,63,54,205,4952,47,0,0,0,0,0,0,0,0,123,167,22493,1094,694,133,142,96,105,100,78,1018,25950,23103,407,292,47,52,37,50,27,8,800,24814,3854,70,72,9,12,5,11,3,4,121,4164,358,24,60,15,18,15,12,16,15,36,566,61,0,0,0,0,0,0,0,0,11,70,4268,96,132,22,31,22,21,21,22,157,4799,91,0,0,0,0,0,3,0,0,73,162,27462,504,422,73,78,60,71,47,31,1033,29781,11418,172,128,15,10,10,14,18,11,473,12264,2430,34,15,3,6,5,3,3,0,99,2593,347,11,25,7,7,5,4,0,6,44,455,36,0,3,0,0,0,0,0,0,10,51,2820,46,43,6,11,13,7,4,6,149,3099,79,3,0,0,0,0
RA12,14,3,11,7,7,35,1007,95,12,23,4,12,3,8,7,16,28,205,5,3,0,0,0,0,0,0,0,3,16,865,118,80,16,24,6,21,18,18,65,1223,13,0,0,0,0,0,0,0,0,23,34,5300,309,174,38,50,24,25,27,22,329,6308,5601,71,39,9,3,8,7,7,3,215,5959,995,35,16,5,3,0,3,0,0,41,1101,120,9,3,3,0,0,4,5,0,11,159,18,0,0,0,0,0,0,0,0,0,16,1131,44,22,9,7,3,6,4,0,53,1277,13,0,0,0,0,0,0,0,0,7,25,6754,111,60,20,11,10,10,13,5,279,7264,2433,33,16,3,0,4,0,6,3,104,2600,702,11,3,0,3,0,0,0,0,38,760,202,7,6,0,0,0,0,0,0,18,229,17,0,0,0,0,0,0,0,0,0,21,925,14,13,0,3,0,0,0,0,50,1011,20,0,0,0,0,0
RA13,0,0,0,0,0,0,58,4,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,56,4,3,0,0,0,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,204,11,15,3,0,0,0,3,3,8,245,172,0,3,0,0,0,0,0,0,13,188,63,0,3,0,0,0,0,0,0,3,66,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,0,0,0,0,0,3,71,0,0,0,0,0,0,0,0,0,0,3,238,0,3,0,0,0,0,0,0,12,263,83,0,0,0,0,0,0,0,0,4,87,38,0,3,0,0,0,0,0,0,0,43,10,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,47,0,3,0,0,0,0,0,0,5,52,3,0,0,0,0,0
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,41,0,0,0,0,0,0,0,0,3,43,26,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RA15,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,10,33,19,0,0,0,0,0,0,3,0,8,31,8,0,0,0,0,0,0,0,0,3,15,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,3,0,12,54,0,0,0,0,0,0,4,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
RA19,0,0,0,0,0,3,77,16,0,4,0,0,3,0,0,0,5,29,4,0,0,0,0,0,0,0,0,0,3,74,4,9,0,0,3,0,0,0,14,105,0,0,0,0,0,0,0,0,0,35,35,250,15,21,3,0,6,0,3,5,55,355,177,15,0,0,0,0,0,0,8,7,214,30,0,0,0,0,0,0,0,0,3,38,9,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,11,15,219,18,0,0,0,0,0,0,8,26,270,42,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0
RA20,478,437,401,392,257,2005,84808,20237,2680,3519,935,944,1152,1152,1101,1056,2340,35108,639,47,30,4,13,5,4,8,5,88,847,93855,7380,6277,1417,1439,1597,1552,1496,1313,4432,120760,169,9,5,0,0,0,0,3,0,164,353,158477,10476,8108,1753,1734,1872,1783,1696,1426,6259,193599,61626,961,745,146,122,108,92,131,59,1607,65600,59139,983,901,220,237,197,186,202,136,1702,63899,20790,1378,2082,504,483,514,489,539,461,1384,28622,732,13,19,3,3,3,3,3,9,86,874,80653,2373,2998,730,727,716,682,743,610,3165,93403,230,7,6,0,0,0,0,0,0,146,388,142509,3338,3754,882,846,823,772,879,665,4923,159392,30118,491,364,37,38,45,41,36,17,1114,32304,35384,329,360,66,45,56,50,43,24,1189,37528,24370,1003,970,184,157,149,134,95,81,1309,28465,577,9,5,0,0,0,0,0,0,110,706,60326,1336,1336,254,207,206,183,139,107,2610,66694,236,0,0,0,0,0
RA21,16,15,12,25,13,131,3393,226,58,82,19,31,44,29,27,41,54,621,31,0,7,0,0,0,0,0,0,5,48,3058,259,245,42,45,63,40,51,52,196,4062,44,0,0,0,0,0,0,0,0,116,162,17201,757,597,100,89,111,77,94,76,882,19983,17700,219,141,33,31,32,9,22,10,678,18876,3462,40,35,11,7,5,5,3,13,112,3700,390,33,48,12,8,23,9,21,19,46,610,56,0,0,0,0,0,0,0,0,12,63,3902,75,86,18,12,29,14,26,27,169,4372,73,0,0,0,0,0,0,0,0,61,128,21675,294,226,54,50,59,25,52,37,906,23383,8265,93,53,14,3,4,4,12,0,353,8795,2634,14,13,3,0,3,0,3,5,104,2777,616,18,24,9,3,6,10,0,3,51,733,52,0,0,0,0,0,0,0,0,6,62,3303,31,31,7,3,9,10,3,6,163,3569,67,3,0,0,0,0
RA22,5,3,8,9,7,28,733,98,15,41,12,22,9,6,9,6,21,240,6,0,3,0,0,0,0,0,0,0,10,682,69,86,14,30,11,15,19,8,47,982,3,0,0,0,0,0,0,0,0,0,6,3248,153,146,26,37,29,17,22,16,155,3851,3351,44,34,3,4,3,4,3,0,142,3597,782,8,12,0,3,3,3,3,0,38,849,138,11,9,0,10,3,0,0,8,25,199,19,0,0,0,0,0,0,0,0,0,22,942,21,19,0,13,7,7,3,13,59,1077,15,0,0,0,0,0,0,0,0,10,22,4303,69,57,6,16,6,13,8,15,209,4698,1561,26,7,4,0,0,0,0,0,75,1685,592,3,3,0,0,0,0,0,0,34,631,156,0,0,3,0,0,0,0,0,13,176,15,0,0,0,0,0,0,0,0,0,15,763,8,4,3,0,0,0,0,0,41,822,16,0,0,0,0,0
