RA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
RA10,2869,75,72782,4431,31953,2595,159,34709,24,39160,101,4088,4298,34,8416,7,8519,45,194,32,78,302,0,342,4569,36225,6926,276,43424,29,48025,70,21,0,0,28,74,169,74484,39048,6968,309,46316,176,120981,31221,1188,19,16,1219,23,32463,2139,21192,1780,84,23062,9,25212,72,3124,3703,27,6850,3,6928,26,117,16,40,172,3,199,2238,24435,5500,149,30086,13,32332,32,13,3,0,19,26,76,33488,25633,5523,165,31320,63,64877,15043,601,16,3,615,14,15674,1009,10959,980,37,11973,3,12990,27,1679,2254,13,3943,0,3970,8,58,19,22,97,0,103,1049,12693,3247,72,16011,3,17065,6,10,0,0,11,14,34,16102,13307,3261,69,16639,30,32774,554784,28840,434,299,29575,676,585031,44651,294859,18639,1437,314937,188,359778,961,32622,27731,287,60646,41,61646,349,1608,220,733,2558,25,2927,45960,329088,46585,2457,378132,259,424355,742,415,45,31,492,1034,2264,601492,358350,47071,2783,408198,1966,1011657
RA11,325,65,26937,531,862,42,3,908,3,1442,13,57,111,0,173,0,183,10,5,0,3,14,0,19,553,925,157,9,1090,3,1646,64,3,0,0,5,29,105,27166,1247,162,17,1423,99,28682,5933,74,0,0,74,11,6015,154,305,20,3,327,0,479,3,22,55,0,82,0,85,0,0,0,0,0,0,3,157,328,75,3,405,0,564,6,0,0,0,0,9,21,6094,402,79,3,478,17,6595,1815,32,0,0,32,0,1849,39,93,4,0,97,0,131,0,8,25,0,34,0,40,3,0,0,0,0,0,4,43,100,29,0,132,0,171,3,0,0,0,0,0,4,1854,136,29,0,169,3,2026,194299,2812,50,41,2911,450,197658,4547,8565,320,35,8919,40,13514,98,664,704,0,1374,0,1469,48,52,0,36,85,10,136,4695,9276,1029,75,10376,50,15122,447,27,9,0,35,386,870,199442,12124,1082,115,13317,884,213643
RA12,87,19,7437,113,258,10,0,265,0,383,0,14,11,5,33,0,36,3,0,0,3,3,0,4,123,270,25,6,306,0,422,23,0,0,0,0,14,36,7466,356,29,10,389,36,7894,1122,13,0,0,13,7,1141,15,46,0,0,46,0,55,0,0,4,0,5,0,5,0,0,0,0,0,0,0,15,43,4,0,48,0,60,0,0,0,0,0,5,4,1137,58,4,0,65,6,1209,205,0,0,0,4,0,212,9,9,0,0,9,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,13,0,0,13,0,20,0,0,0,0,0,0,0,213,11,0,0,13,0,230,56311,668,6,4,678,189,57177,1080,2001,98,6,2107,5,3190,30,170,118,8,290,0,321,20,25,0,25,50,0,73,1132,2190,215,32,2443,4,3579,180,8,0,0,10,157,339,57623,2863,222,40,3125,347,61101
RA13,3,0,345,0,15,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,17,0,0,0,0,0,0,0,347,14,0,0,16,0,364,26,0,0,0,0,0,26,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,26,3,0,0,3,0,32,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3827,30,0,0,30,17,3872,56,149,3,0,153,0,213,0,8,0,0,8,0,8,0,0,0,0,0,0,0,56,162,3,0,166,0,223,13,0,0,0,0,24,36,3894,194,3,0,199,37,4124
RA14,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,45,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,635,6,0,0,6,0,644,12,13,0,0,13,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,6,17,13,0,0,15,0,28,5,0,0,0,0,5,11,656,15,0,0,19,5,678
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,2362,62,60579,3570,24410,1771,113,26292,10,29872,80,3114,3588,20,6714,3,6798,23,147,22,88,257,0,282,3679,27668,5371,216,33265,13,36949,62,24,3,0,24,63,152,61892,30003,5413,240,35651,136,97682,31143,1111,18,12,1140,23,32307,1900,16889,1291,55,18239,16,20150,40,2345,2844,12,5203,3,5238,16,77,17,43,136,3,159,1959,19308,4151,107,23574,20,25552,35,10,0,0,12,34,84,33138,20434,4168,121,24728,76,57935,15688,554,5,3,566,15,16267,1014,8739,698,28,9474,5,10490,24,1266,1684,0,2949,0,2972,14,42,8,31,91,0,102,1047,10051,2390,65,12509,9,13565,28,10,0,0,6,9,48,16757,10610,2403,74,13080,39,29875,463454,23035,313,260,23609,576,487638,35067,236410,13107,1150,250667,193,285926,631,26466,23021,215,49699,25,50364,300,1270,165,681,2116,13,2424,36001,264143,36293,2046,302479,232,338714,585,302,31,29,364,804,1749,500035,287484,36636,2335,326452,1607,828097
RA21,327,31,22840,395,745,50,12,807,5,1203,16,89,131,0,224,0,241,4,0,0,5,3,0,9,413,832,185,13,1033,5,1449,58,0,0,0,3,32,96,22953,1156,191,21,1365,62,24381,6674,98,0,0,98,9,6778,133,245,19,0,258,0,395,8,49,68,0,119,0,126,3,0,0,0,0,0,0,137,288,89,0,379,0,522,16,0,0,0,0,7,24,6830,387,89,0,475,16,7323,2051,22,0,0,27,3,2078,46,88,7,0,94,0,138,0,17,20,0,39,0,40,0,0,0,0,0,0,0,44,107,24,0,132,0,184,3,0,0,0,0,0,3,2103,133,24,0,157,3,2263,163859,2276,28,35,2338,368,166567,3504,7463,387,60,7915,31,11448,102,795,859,0,1655,0,1752,39,28,3,28,62,0,103,3647,8285,1255,86,9623,29,13298,416,18,4,0,23,327,759,167918,10576,1278,119,11977,725,180627
RA22,54,16,4809,66,179,17,0,195,0,259,3,35,32,0,69,0,70,0,0,0,0,0,0,0,66,210,54,0,263,0,333,16,0,0,0,3,7,27,4825,264,56,3,325,28,5170,937,9,0,0,9,3,952,22,41,3,0,38,0,58,0,8,17,0,23,0,21,0,0,0,0,0,0,0,24,41,16,0,64,0,84,4,0,0,0,0,0,6,957,53,18,0,72,3,1038,186,0,0,0,0,0,191,0,9,0,0,9,0,12,0,3,3,0,5,0,5,0,0,0,0,0,0,0,0,15,3,0,15,0,17,0,0,0,0,0,0,0,188,16,3,0,17,0,207,31811,388,7,3,391,115,32322,637,1483,120,7,1615,3,2251,22,186,254,3,444,0,466,8,10,0,3,15,0,19,660,1681,376,17,2072,3,2743,97,10,10,0,17,79,187,32571,2075,388,20,2485,195,35252
