RA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
RA10,147,2286,15,2303,..,40636,2091,42726,344,43071,..,25056,3066,28123,300,28423,..,14017,1257,15278,113,15391,..,5783,2475,8263,73,8329,..,8826,1676,10497,97,10599,..,34019,13056,47079,278,47354,..,89990,19621,109615,2342,111953,..,720698,139641,860336,8485,868818,..,6768,1505,8280,152437,160716,1715434,727469,141143,868611,160921,2744970,1744815,..,..,..,..,1744815,..,2974,43,3018,15,3029,..,79143,17382,96531,891,97421,..,341,13,349,19,369,..,52628,21852,74475,380,74857,..,89790,36951,126739,681,127423,..,6533,2880,9419,50,9465,..,148957,61681,210636,1114,211748,..,8759,1489,10254,99,10351,..,3458,91,3548,44,3591,..,10360,429,10788,101,10890,..,9351,292,9642,121,9758,..,33432,7346,40783,420,41204,..,12429,1605,14037,93,14138,..,30414,1883,32296,294,32590,..,11621,1656,13280,101,13381,..,5029,229,5257,31,5287,..,10988,1422,12411,135,12548,..,25777,2678,28458,204,28669,..,96266,9481,105743,862,106603,..,29694,5281,34971,432,35410,..,7984,1446,9436,67,9497,..,19707,10807,30514
RA11,5,161,0,166,..,1488,50,1536,20,1560,..,1121,105,1222,16,1241,..,239,42,280,0,281,..,371,87,461,7,467,..,144,11,155,3,155,..,417,127,543,7,549,..,4911,1119,6035,170,6198,..,25749,3923,29669,504,30174,..,1763,125,1883,53496,55383,612226,27514,4044,31554,54004,697786,639657,..,..,..,..,639657,..,654,12,663,7,667,..,1038,176,1221,21,1239,..,360,21,384,25,401,..,708,311,1016,15,1033,..,1380,592,1974,23,1998,..,97,38,132,4,136,..,2179,940,3122,48,3161,..,455,40,494,9,510,..,884,26,906,10,920,..,1097,52,1147,9,1158,..,2053,56,2116,31,2147,..,854,100,954,26,979,..,271,32,298,3,302,..,565,36,598,4,605,..,1055,223,1281,13,1294,..,286,27,314,0,311,..,200,32,235,7,237,..,836,225,1061,10,1071,..,3208,574,3780,41,3830,..,1808,170,1975,45,2023,..,583,68,646,7,661,..,275,139,417
RA12,8,65,3,67,..,458,26,484,7,495,..,204,27,232,8,235,..,53,5,63,0,63,..,79,14,88,5,96,..,66,26,94,0,95,..,61,21,82,3,90,..,1198,275,1471,49,1522,..,6469,1108,7576,167,7749,..,625,42,672,20212,20884,189021,7093,1152,8248,20382,217654,188620,..,..,..,..,188620,..,174,4,175,0,175,..,98,12,106,4,112,..,148,10,159,5,168,..,149,75,222,3,226,..,244,189,430,5,440,..,14,10,26,0,26,..,401,271,673,12,685,..,61,4,69,0,69,..,193,0,193,4,198,..,183,7,189,3,189,..,513,7,519,5,521,..,104,14,115,0,112,..,39,4,43,0,43,..,103,7,109,3,115,..,347,119,469,6,472,..,43,0,43,3,39,..,63,12,74,0,74,..,148,38,188,3,192,..,740,180,923,12,935,..,1187,259,1449,26,1477,..,84,11,94,3,98,..,47,23,66
RA13,0,0,0,0,..,21,0,21,0,21,..,9,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,6,0,6,..,106,5,106,4,110,..,408,60,465,4,469,..,46,7,50,1859,1913,12701,455,65,517,1868,15080,12026,..,..,..,..,12026,..,28,0,29,0,29,..,6,0,7,0,7,..,9,3,12,3,19,..,12,5,20,0,20,..,19,5,23,0,26,..,0,0,0,0,0,..,36,10,42,0,45,..,4,0,5,0,5,..,4,0,4,0,4,..,7,0,7,0,7,..,29,0,27,0,27,..,5,0,8,0,8,..,3,0,3,0,3,..,9,0,11,0,11,..,9,0,7,0,7,..,7,0,4,0,4,..,14,0,15,0,13,..,23,5,33,0,32,..,70,12,81,3,81,..,21,3,23,0,23,..,6,0,6,0,8,..,3,3,10
RA14,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,8,20,0,20,..,67,10,73,4,83,..,3,0,3,491,494,2423,66,10,76,496,2999,2229,..,..,..,..,2229,..,0,0,0,0,0,..,0,0,0,0,3,..,30,0,34,3,38,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0
RA15,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,9,11,0,11,..,0,0,0,0,0,..,19,15,36,0,36,..,0,0,0,12,15,119,25,15,39,12,171,154,..,..,..,..,154,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,3,10,11,0,11,..,0,0,3,0,3,..,3,14,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3
RA19,0,3,0,3,..,39,0,39,0,39,..,43,7,57,3,55,..,9,0,9,0,9,..,13,4,19,0,19,..,14,3,19,0,19,..,34,9,40,0,40,..,140,19,159,6,161,..,823,166,986,10,997,..,24,3,25,2154,2181,4175,840,168,1010,2165,7351,3038,..,..,..,..,3038,..,0,0,0,0,0,..,29,15,48,0,48,..,4,0,10,0,10,..,42,10,53,0,51,..,103,41,145,0,145,..,3,4,10,0,10,..,152,57,206,0,211,..,4,0,4,0,4,..,13,0,13,0,13,..,32,3,38,4,41,..,23,0,23,0,23,..,18,0,19,0,19,..,7,3,9,0,9,..,20,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,8,3,15,0,15,..,13,0,18,0,18,..,55,6,65,0,65,..,24,3,21,0,26,..,6,3,9,0,9,..,12,7,20
RA20,179,3088,27,3119,..,24937,1063,26005,199,26200,..,14440,1624,16069,180,16251,..,12120,1196,13319,119,13439,..,2869,705,3571,36,3605,..,12651,2381,15034,157,15197,..,34678,12290,46964,377,47345,..,88272,21258,109531,2151,111685,..,594364,108434,702798,7418,710217,..,5436,1334,6771,121823,128594,1393500,599803,109766,709567,129245,2232314,1438017,..,..,..,..,1438017,..,2300,27,2327,17,2346,..,30649,6909,37564,426,37987,..,139,3,138,0,138,..,30205,10257,40462,234,40697,..,75517,26248,101765,565,102336,..,7029,2873,9904,57,9960,..,112757,39374,152133,857,152990,..,8530,1556,10090,114,10202,..,3453,99,3559,47,3608,..,8910,363,9278,78,9350,..,8399,259,8655,104,8768,..,44355,11133,55490,522,56011,..,4508,451,4958,37,4995,..,22042,1445,23487,185,23669,..,20088,3045,23133,239,23367,..,16538,1222,17754,133,17889,..,8075,1196,9268,86,9362,..,13165,1506,14674,95,14764,..,84421,8853,93275,773,94040,..,45321,9145,54463,694,55157,..,5223,905,6131,51,6181,..,5603,2267,7866
RA21,12,147,0,149,..,1203,72,1275,9,1283,..,552,56,608,11,616,..,241,26,266,5,273,..,229,52,279,3,289,..,313,90,399,3,398,..,318,91,412,6,416,..,4354,1302,5661,147,5812,..,22986,3921,26904,437,27347,..,1359,122,1485,40072,41556,479623,24344,4044,28391,40511,548523,498587,..,..,..,..,498587,..,349,11,356,0,358,..,921,268,1188,21,1210,..,100,3,102,6,113,..,421,137,559,8,565,..,1497,719,2218,25,2242,..,122,62,185,0,185,..,2042,922,2961,31,2993,..,431,63,490,3,499,..,983,22,1001,13,1018,..,703,31,729,12,739,..,1451,52,1496,18,1518,..,942,150,1089,17,1107,..,149,17,167,3,166,..,546,42,590,4,594,..,864,168,1028,13,1042,..,370,29,399,7,404,..,218,28,242,3,248,..,421,77,496,7,509,..,2561,367,2924,32,2960,..,3011,515,3531,59,3587,..,402,37,441,3,449,..,150,41,189
RA22,40,122,0,121,..,374,65,441,3,446,..,86,9,93,0,93,..,46,32,78,0,81,..,58,20,80,0,75,..,179,65,248,3,253,..,149,110,256,4,263,..,1231,426,1652,37,1693,..,5083,1216,6300,122,6425,..,337,33,363,10076,10447,104432,5420,1251,6667,10197,121298,105695,..,..,..,..,105695,..,89,0,89,0,89,..,74,13,82,0,86,..,29,0,29,0,29,..,113,42,157,4,155,..,314,206,523,8,525,..,18,6,26,0,27,..,440,255,696,10,709,..,68,9,71,0,71,..,130,0,130,9,135,..,108,3,107,3,112,..,300,5,302,5,309,..,237,49,291,8,293,..,39,0,39,0,39,..,75,10,83,0,83,..,184,37,214,3,218,..,56,9,65,0,63,..,14,5,22,0,23,..,71,0,75,0,75,..,440,55,497,7,497,..,874,133,1001,25,1024,..,51,16,72,0,72,..,43,13,60
