RA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
RA10,267,30785,..,11011,2789,13803,149,13953,..,5357,485,5846,77,5924,..,8196,1865,10059,95,10157,..,6522,841,7360,67,7430,..,8568,1688,10255,67,10319,..,7567,613,8187,174,8356,..,8667,1964,10635,103,10740,..,12512,371,12888,111,12998,..,13704,1729,15434,116,15545,..,23699,759,24460,251,24709,..,2843,171,3013,20,3037,..,52765,3032,55796,500,56294,..,27356,4171,31525,321,31852,..,12214,1341,13557,95,13649,..,10930,3581,14509,139,14646,..,8217,2231,10447,106,10553,..,33800,19917,53715,299,54017,..,88356,22211,110564,2194,112759,..,739953,182503,922452,8836,931292,..,6967,1518,8489,147982,156469,1744815,746919,184027,930942,156817,2832572,3460247,..,..,..,..,3460247,..,5839,89,5928,34,5966,..,164286,31542,195822,1833,197654,..,647,25,670,30,700,..,102075,37975,140048,702,140748,..,167290,66488,233777,1285,235065,..,12596,5101,17698,93,17793,..,281960,109563,391523,2080,393606,..,17090,2645,19738,184,19923,..,6383,153,6538,83,6623,..,20122,837,20956,187,21142,..,17311,525,17834,210,18040
RA11,7,420,..,171,21,197,0,196,..,398,11,413,8,417,..,159,50,209,0,210,..,385,29,415,4,420,..,350,30,381,0,378,..,73,6,79,3,81,..,273,34,310,5,315,..,856,26,881,12,890,..,299,17,321,4,322,..,1386,36,1420,13,1438,..,252,4,257,0,258,..,2797,82,2875,33,2906,..,1302,99,1404,13,1417,..,215,17,230,0,231,..,837,178,1011,14,1027,..,103,8,113,0,116,..,477,166,643,13,656,..,5090,1084,6171,168,6342,..,28096,4183,32278,546,32823,..,1873,116,1993,48734,50731,639657,29967,4303,34269,49280,723206,1251885,..,..,..,..,1251885,..,1315,16,1333,11,1347,..,2339,337,2671,36,2707,..,711,32,749,37,781,..,1379,620,2004,32,2038,..,2487,1197,3686,54,3735,..,213,89,303,4,306,..,4074,1918,5991,89,6078,..,937,97,1032,27,1059,..,1630,33,1658,21,1682,..,2020,91,2112,26,2136,..,3731,112,3839,57,3896
RA12,0,66,..,18,0,21,0,18,..,46,3,49,3,55,..,11,4,20,0,20,..,63,3,64,3,65,..,57,3,63,0,63,..,133,18,151,3,154,..,31,10,43,0,43,..,248,7,254,3,257,..,71,10,80,0,80,..,371,13,387,7,396,..,74,7,87,3,90,..,766,41,803,17,822,..,198,27,227,0,226,..,43,8,48,0,49,..,187,49,228,11,235,..,43,33,71,0,71,..,93,18,111,3,119,..,1159,191,1353,39,1391,..,6781,1206,7985,160,8144,..,635,41,675,18941,19618,188620,7419,1244,8662,19103,216382,377641,..,..,..,..,377641,..,356,6,359,3,364,..,246,25,267,7,271,..,290,24,319,7,323,..,272,143,420,15,430,..,404,350,752,11,760,..,29,14,46,0,47,..,707,502,1217,23,1240,..,117,10,127,0,130,..,343,3,347,6,350,..,338,19,351,5,359,..,936,23,957,16,971
RA13,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,18,4,27,0,27,..,14,0,13,0,16,..,0,0,0,0,0,..,15,0,16,3,24,..,5,0,5,0,5,..,39,4,36,4,42,..,11,0,11,0,11,..,0,0,0,0,0,..,10,3,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,81,6,93,3,97,..,406,54,460,15,475,..,41,0,39,1667,1710,12026,447,55,505,1687,14214,24729,..,..,..,..,24729,..,53,3,56,0,56,..,19,0,18,0,18,..,21,4,27,3,28,..,23,9,32,0,32,..,31,16,44,0,51,..,0,0,0,0,0,..,57,27,79,0,84,..,27,3,31,0,31,..,16,0,16,0,16,..,20,0,20,0,20,..,53,0,52,0,51
RA14,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,4,17,0,20,..,70,5,76,4,81,..,11,0,11,348,363,2229,78,5,83,356,2669,4647,..,..,..,..,4647,..,0,0,0,0,0,..,3,0,4,0,5,..,55,3,59,8,69,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12
RA15,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,5,11,0,11,..,3,0,3,0,3,..,28,26,54,0,55,..,0,0,3,30,33,154,30,26,58,27,239,279,..,..,..,..,279,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,0,0,0,..,3,3,4,0,4,..,7,19,22,0,22,..,0,3,5,0,5,..,14,22,31,0,31,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
RA19,0,20,..,3,0,3,0,3,..,6,0,6,0,6,..,6,0,6,0,6,..,4,0,4,0,4,..,11,0,11,0,11,..,18,0,18,0,18,..,3,0,3,0,3,..,17,0,17,0,17,..,10,0,13,0,13,..,16,0,16,0,16,..,8,0,8,0,8,..,53,0,52,0,52,..,41,3,43,0,43,..,3,0,3,0,3,..,11,7,18,0,18,..,6,0,6,0,6,..,27,14,38,0,38,..,97,26,123,0,124,..,670,146,819,9,821,..,13,3,21,1058,1072,3038,688,150,836,1061,4939,7212,..,..,..,..,7212,..,5,0,5,0,5,..,122,33,154,0,155,..,16,3,19,0,19,..,66,22,84,0,87,..,210,94,307,0,307,..,7,7,14,0,19,..,285,121,406,3,405,..,12,0,12,0,12,..,23,0,23,0,23,..,76,8,86,4,88,..,57,0,57,0,57
RA20,64,7937,..,11810,2747,14556,145,14702,..,7694,657,8349,115,8471,..,5932,1472,7405,65,7467,..,6972,1132,8101,80,8180,..,7719,1799,9511,81,9593,..,5296,361,5653,114,5770,..,6826,1535,8363,85,8448,..,9001,256,9258,85,9339,..,8089,600,8692,60,8750,..,11838,348,12192,143,12328,..,3601,208,3805,29,3836,..,32531,1411,33945,308,34256,..,15402,2117,17523,149,17669,..,10391,1073,11461,100,11563,..,5610,1277,6891,59,6946,..,11892,3319,15206,151,15355,..,34967,19241,54207,406,54614,..,83204,24480,107680,2042,109725,..,606317,143505,749825,7649,757472,..,5686,1403,7091,121298,128393,1438017,612007,144914,756913,128946,2323878,2831516,..,..,..,..,2831516,..,4589,57,4649,28,4677,..,63845,12072,75921,833,76755,..,268,9,272,3,278,..,57893,18290,76182,453,76634,..,138515,46894,185411,1027,186442,..,13582,5183,18767,106,18867,..,209990,70366,280357,1581,281942,..,16436,2677,19115,227,19341,..,6231,175,6411,82,6490,..,16911,672,17580,152,17732,..,15727,454,16180,197,16371
RA21,4,186,..,243,45,287,3,295,..,449,22,468,9,477,..,123,22,148,0,148,..,382,42,427,3,430,..,219,28,247,3,247,..,160,4,168,0,168,..,211,34,250,0,249,..,821,26,848,10,863,..,283,10,295,6,299,..,901,24,925,9,932,..,253,22,272,3,274,..,2254,89,2338,27,2366,..,631,66,693,6,699,..,233,16,255,3,256,..,483,111,597,13,612,..,267,87,353,5,357,..,313,118,427,8,434,..,4337,1245,5587,163,5746,..,24346,4400,28746,460,29206,..,1403,114,1511,38112,39628,498587,25743,4514,30256,38574,567422,978214,..,..,..,..,978214,..,684,14,706,3,705,..,2007,493,2499,37,2541,..,175,5,175,5,184,..,798,269,1068,10,1075,..,2780,1387,4168,50,4215,..,282,122,405,0,404,..,3856,1781,5636,60,5701,..,879,116,997,11,1009,..,1776,39,1819,25,1839,..,1267,54,1316,16,1332,..,2638,73,2706,34,2744
RA22,0,60,..,12,0,12,0,12,..,27,4,33,0,33,..,15,5,20,0,20,..,49,7,51,0,53,..,24,4,27,0,27,..,38,5,43,0,43,..,30,3,33,0,33,..,217,18,231,3,232,..,51,6,59,4,64,..,213,10,225,3,225,..,103,18,118,3,120,..,578,50,634,7,641,..,91,14,103,0,109,..,39,3,46,0,46,..,112,20,130,3,126,..,160,81,236,0,236,..,110,147,260,7,264,..,1187,321,1503,27,1530,..,5344,1214,6558,108,6662,..,348,24,376,9803,10175,105695,5689,1244,6929,9905,122533,210121,..,..,..,..,210121,..,163,0,163,3,164,..,167,25,194,3,198,..,48,3,53,8,56,..,196,98,300,4,300,..,554,347,900,12,916,..,27,9,34,0,40,..,775,458,1239,17,1250,..,138,15,151,0,151,..,239,0,242,7,250,..,204,15,214,4,216,..,530,13,544,10,547
