RA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
RA10,84381,109391,193771,334315,388444,722754,5323,5615,10937,33240,37832,71081,1913,1988,3900,661236,728674,1389913,2414,2859,5272,88935,92678,181606,6419,8478,14892,6651,7153,13806,5325,6530,11860,12959,13142,26098,12467,14065,26531,28112,33143,61258,54589,62146,116737,3896,5149,9039,7408,8801,16207,57885,73003,130883,60076,67739,127813,2453,2808,5266,1385608,1560254,2945858,91807,82897,174705,137993,123751,261750,17130,18395,35529,359,371,732,15195,12875,28077,11710,13395,25103,27262,26638,53901,742169,663055,1405233,8231,6502,14732,3253,4673,7933,753663,674234,1427896,247125,237011,484132,2744970,2832572,5577538
RA11,4718,6691,11406,151535,172609,324143,16,9,23,8921,9944,18861,1052,1085,2134,162867,178197,341066,492,622,1114,2980,2848,5827,2625,3392,6023,889,1074,1963,2821,3442,6262,289,264,548,2163,2414,4577,5816,6954,12771,24451,27022,51472,1908,2337,4241,2080,2451,4532,27947,34482,62434,13418,15468,28881,668,739,1409,412932,465358,878293,2756,2546,5304,2494,2050,4550,568,597,1165,242,233,476,1390,1244,2629,1638,2527,4164,3265,3999,7266,193334,171474,364815,2011,1646,3657,1060,1623,2678,196405,174750,371149,74652,67218,141864,697786,723206,1420993
RA12,986,1467,2448,50979,54147,105125,0,0,0,2116,2204,4317,187,206,391,50714,52947,103662,101,121,226,410,393,806,743,949,1690,244,294,539,998,1187,2184,66,53,112,582,597,1182,1411,1779,3194,9175,9396,18572,819,1038,1858,779,960,1736,10118,11866,21983,3712,4144,7855,154,179,329,133316,142459,275780,629,543,1169,631,416,1040,83,100,176,149,149,297,528,465,992,412,624,1029,1087,1227,2321,53914,45690,99606,440,355,798,230,364,594,54586,46417,101000,26339,23760,50095,217654,216382,434034
RA13,36,60,97,3650,3712,7366,0,0,0,122,116,243,43,42,79,4209,4261,8473,0,4,6,54,47,99,30,35,74,23,17,38,45,38,87,6,10,18,29,23,53,32,46,72,645,528,1174,24,19,41,46,35,88,730,734,1464,192,223,411,11,7,18,9901,9894,19793,40,58,97,53,47,99,0,3,8,11,8,25,14,12,24,15,16,27,40,34,72,2881,2217,5093,10,12,21,15,14,25,2902,2238,5144,2112,1879,3995,15080,14214,29298
RA14,8,3,8,517,503,1022,0,0,0,23,29,55,8,10,20,798,779,1579,0,3,7,3,8,12,3,8,5,0,3,3,16,7,25,3,0,4,10,8,15,13,13,21,70,56,126,4,7,9,22,27,55,95,96,190,45,46,96,3,3,7,1634,1601,3232,7,6,11,3,0,6,0,0,0,9,5,15,0,0,0,3,4,4,10,7,18,726,568,1297,3,7,8,0,3,4,726,583,1309,612,473,1077,2999,2669,5664
RA15,3,10,17,32,37,69,0,0,0,7,0,5,0,0,0,47,71,120,0,0,0,4,6,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,5,15,0,0,0,0,0,3,7,7,18,3,3,5,0,0,0,104,143,249,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,48,85,0,0,0,0,0,0,40,49,88,20,36,60,171,239,412
RA19,100,107,211,785,549,1339,4,0,8,44,37,79,0,0,0,912,731,1643,0,3,3,43,38,83,21,11,31,58,24,81,11,13,32,15,7,17,26,25,48,34,43,75,134,104,238,9,13,26,21,19,46,143,146,292,147,138,281,8,5,9,2419,1912,4328,73,48,122,150,70,222,17,10,24,11,7,17,13,3,14,31,26,60,54,39,91,2021,1415,3434,33,27,57,21,26,52,2073,1463,3537,2461,1286,3744,7351,4939,12288
RA20,76891,94782,171677,153132,190568,343694,1347,1371,2724,28465,32946,61417,1031,1028,2054,505628,566780,1072407,3065,3911,6969,96207,100963,197168,4646,5918,10564,4719,5144,9861,7091,9044,16138,7614,7790,15402,8372,9696,18066,19827,23070,42898,33112,39415,72529,2624,3680,6301,3622,4270,7890,46026,62631,108654,54821,63478,118297,1844,2185,4031,983192,1133874,2117067,70154,60023,130176,99709,89021,188726,20025,21610,41640,106,119,224,27844,22285,50132,7105,8525,15630,35062,30921,65984,728508,680054,1408564,7221,5810,13034,2864,4247,7106,738599,690112,1428709,208676,203536,412213,2232314,2323878,4556193
RA21,3474,4772,8246,69145,82530,151670,7,4,11,6132,7083,13218,665,662,1327,122213,133933,256150,1227,1562,2791,3165,3009,6173,1435,1900,3333,671,801,1476,2945,3516,6460,190,164,357,1368,1585,2953,3790,4422,8212,17211,19268,36480,1350,1879,3223,892,1133,2029,28734,37233,65971,10819,12260,23082,283,333,620,272254,313286,585536,2074,1896,3971,3528,3005,6531,236,272,508,61,63,123,1153,970,2122,1198,1953,3151,2416,2977,5396,203000,183698,386697,1694,1426,3124,708,1151,1859,205401,186271,391670,59145,54938,114084,548523,567422,1115946
RA22,801,1049,1851,16099,18379,34484,0,0,0,1347,1392,2736,193,194,391,22796,24503,47298,466,638,1101,603,541,1139,299,413,711,165,193,349,2408,2705,5109,35,29,61,331,331,654,945,1144,2090,3866,3946,7819,310,428,741,280,379,656,10266,12211,22476,2243,2584,4823,99,118,217,62741,70118,132861,383,304,686,898,620,1517,48,46,92,25,30,58,268,224,493,229,326,558,528,575,1110,41625,36208,77836,291,246,538,128,183,314,42046,36634,78679,13856,13183,27038,121298,122533,243825
