RA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA10,51454,46705,98160,159889,149934,309823,45090,44428,89516,27246,25691,52939,232225,220054,452279,99031,96673,195705,46085,44506,90595,32401,30995,63397,177515,172171,349686,8749,9198,17945,8210,13658,21865,17135,8647,25776,15942,25527,41475,529,521,1051,50562,57559,108117,85508,96324,181830,30985,33390,64371,10246,11544,21788,25570,37871,63439,633,767,1402,152937,179894,332828,9605,12100,21703,11582,20535,32121,290,440,734,21479,33069,54553,179172,179655,358829,865343,889115,1754455
RA11,13311,12286,25592,41472,38666,80138,12145,12075,24221,6454,6035,12489,60071,56773,116846,27139,26354,53493,10912,11397,22314,6814,7196,14008,44871,44948,89815,1554,2048,3602,997,2315,3309,5347,3535,8886,4109,7989,12096,159,134,291,12168,16011,28179,5196,8640,13840,2347,4157,6504,1062,1922,2984,4043,8786,12823,67,97,165,12721,23598,36317,866,1028,1889,1550,3516,5063,72,100,166,2480,4643,7124,62316,59505,121821,207934,217767,425699
RA12,3930,3588,7519,12937,12382,25313,3744,3643,7395,1044,1052,2093,17721,17077,34800,9435,9157,18595,2276,2404,4679,1135,1216,2348,12841,12778,25620,298,421,715,183,552,742,1333,930,2260,1065,2235,3297,34,49,84,2914,4191,7107,661,1135,1792,227,672,899,179,411,592,751,1989,2747,13,27,43,1833,4240,6073,216,267,488,345,860,1203,22,28,56,586,1158,1745,23573,22719,46293,63400,65750,129146
RA13,289,327,614,837,778,1613,416,452,869,28,19,46,1278,1253,2534,590,578,1168,27,43,70,53,65,114,672,685,1360,22,22,36,11,34,47,57,63,124,52,152,204,3,3,4,146,273,421,37,83,119,11,23,34,14,29,34,40,136,178,0,3,3,101,273,377,10,18,25,14,50,64,3,3,3,21,62,88,2084,1923,4010,4593,4802,9393
RA14,64,47,108,171,207,380,49,32,77,0,3,7,220,242,463,92,100,190,13,9,19,11,10,25,114,112,226,3,7,10,3,10,14,3,3,7,10,13,21,0,0,0,24,36,60,3,21,25,3,5,8,0,7,9,10,22,29,0,0,0,20,48,72,9,9,15,3,6,14,0,0,0,13,14,24,516,384,903,969,890,1858
RA15,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
RA19,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
RA20,38411,35577,73983,123964,115204,239165,38328,37655,75982,20869,21553,42420,183158,174411,357565,78151,73195,151340,31908,33467,65370,30236,31019,61251,140287,137678,277966,11094,10198,21294,7418,10673,18092,10796,5073,15872,11513,14977,26489,379,316,692,41198,41241,82437,80051,91314,171363,27490,30795,58286,6520,8217,14736,18606,29304,47909,486,654,1139,133160,160274,293435,8759,10505,19259,10794,20031,30827,287,415,704,19840,30954,50789,144851,148522,293370,700908,728648,1429554
RA21,9114,8296,17412,31815,29271,61088,11703,11466,23174,4002,4069,8073,47529,44807,92333,19870,19040,38906,10268,10323,20591,5655,5771,11428,35792,35134,70929,1647,1874,3516,698,1567,2260,3381,1919,5299,2398,4125,6529,90,84,180,8212,9573,17792,4849,7694,12547,1598,3151,4743,681,1258,1936,2527,5960,8490,44,83,125,9694,18150,27849,1096,1130,2226,1569,3299,4864,73,78,153,2730,4507,7240,47252,46503,93751,160322,166980,327303
RA22,1808,1682,3487,6905,6385,13290,1822,1783,3606,809,715,1520,9536,8881,18417,5396,5262,10653,1469,1569,3036,597,664,1256,7459,7485,14948,267,319,582,118,250,377,575,406,982,483,829,1313,29,20,47,1469,1832,3298,351,786,1135,139,425,561,92,205,294,361,1005,1359,6,13,23,947,2429,3376,174,242,417,262,621,881,19,20,39,452,888,1337,11914,11845,23764,33579,35042,68623
RA23,15,17,32,99,92,192,0,0,0,10,6,13,105,97,203,74,89,163,0,0,0,0,3,4,79,90,169,0,0,0,0,0,0,10,3,13,3,3,3,0,0,0,13,10,23,3,4,4,0,0,0,0,3,3,0,13,21,0,0,0,3,27,27,0,0,5,0,3,3,0,0,0,0,10,11,139,125,268,355,379,737
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
RA29,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
RA30,19845,18217,38058,88069,82678,170744,21986,21600,43585,17506,17410,34910,127563,121686,249245,54505,51627,106137,19763,18803,38570,21417,21170,42590,95683,91607,187291,4909,5711,10623,4062,7695,11760,5470,4413,9884,7218,12732,19948,175,214,387,21836,30761,52594,39474,48785,88261,14918,18435,33349,4150,5851,9996,13015,21266,34282,237,310,545,71792,94637,166426,4205,5524,9731,5462,10603,16067,150,170,325,9822,16301,26127,98089,98796,196888,444627,472003,916630
RA31,5049,4778,9827,29530,27334,56871,7074,7163,14233,5084,5066,10156,41693,39565,81261,19668,18547,38214,6638,6324,12959,5457,5654,11103,31763,30519,62280,767,1037,1805,547,1404,1954,1740,1770,3518,1814,4188,6011,65,74,136,4944,8474,13419,3259,5255,8514,1695,3101,4798,891,1621,2511,2676,6034,8708,27,61,88,8545,16069,24614,775,990,1767,1419,3015,4437,49,72,121,2244,4077,6320,41518,37326,78848,135755,140808,276569
RA32,3710,3427,7135,20320,18636,38961,6983,7168,14152,2418,2267,4689,29724,28075,57799,13938,13276,27217,5251,5123,10373,2438,2275,4718,21622,20679,42303,580,640,1221,500,1169,1663,1051,1079,2130,1348,3031,4374,55,49,99,3529,5966,9495,3122,5108,8230,1402,2575,3970,488,956,1440,2067,4436,6499,29,65,89,7096,13133,20231,515,694,1210,925,2127,3047,48,47,91,1483,2866,4353,36344,31621,67960,103519,105760,209278
RA33,426,407,831,2566,2338,4902,616,606,1225,95,105,205,3274,3059,6335,1213,1146,2353,528,421,947,131,119,250,1873,1688,3559,30,42,73,27,46,78,104,74,179,132,335,470,6,5,10,297,509,807,54,113,170,42,94,138,21,76,93,196,378,580,0,3,3,315,664,984,46,57,102,83,175,262,3,3,8,135,234,368,5214,3985,9198,11529,10547,22077
RA34,380,371,747,2443,2361,4802,332,287,627,94,85,182,2877,2735,5607,1025,1099,2125,132,84,219,121,124,246,1276,1312,2585,36,46,78,23,52,74,53,74,129,79,171,248,7,12,18,199,350,548,39,70,111,32,85,114,17,51,67,112,259,366,0,3,3,199,464,661,41,40,77,58,95,153,4,3,4,94,135,233,2778,2541,5319,7797,7912,15707
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21,14,18,33
RA39,19,15,31,91,93,182,8,10,21,34,29,66,129,133,264,54,47,97,6,0,4,12,12,21,70,59,128,12,10,22,11,17,24,8,19,33,17,25,41,3,7,9,53,80,136,53,75,127,40,63,100,12,10,19,26,22,52,3,5,9,126,171,301,20,29,51,18,39,57,0,3,5,41,71,112,1598,1045,2650,2039,1581,3621
RA40,7714,7396,15114,34254,31970,66221,10768,10572,21339,8188,8168,16358,53207,50716,103923,18206,17026,35232,8115,8356,16473,8439,8209,16641,34756,33587,68345,2280,2247,4531,2169,3443,5609,2361,1845,4204,3857,6158,10014,95,92,186,10767,13780,24551,17813,21113,38929,7198,8242,15442,1719,2150,3873,4965,8021,12984,96,159,256,31794,39693,71484,1521,1908,3437,2128,3700,5830,68,82,149,3721,5699,9416,34633,35301,69937,176587,186172,362758
RA41,1297,1194,2492,6649,6182,12835,961,894,1859,2322,2246,4568,9934,9322,19257,3877,3832,7706,670,663,1334,1742,1797,3535,6284,6293,12575,199,288,485,124,399,519,528,452,980,503,1010,1516,14,21,33,1364,2170,3530,833,1385,2223,273,517,791,112,182,299,440,1032,1471,11,18,28,1666,3140,4801,133,176,318,223,506,731,10,6,16,365,694,1062,7553,7383,14935,28469,30192,58657
RA42,1020,951,1969,5953,5410,11366,1270,1179,2453,642,661,1300,7864,7251,15109,3804,3640,7441,681,677,1359,287,315,600,4768,4634,9401,150,168,317,92,278,370,383,329,719,375,736,1112,12,14,24,1015,1522,2542,151,359,511,98,279,379,41,96,134,196,548,743,4,9,13,490,1290,1784,87,112,196,155,382,543,5,14,16,254,508,759,8188,6898,15082,23601,23049,46650
RA43,285,231,514,1591,1392,2984,260,276,537,155,147,307,2011,1820,3828,926,823,1746,133,176,310,86,137,231,1148,1138,2285,15,37,52,23,45,76,73,63,132,88,196,284,8,7,13,205,348,549,18,65,83,14,70,92,16,37,47,80,185,262,0,0,0,127,362,484,18,23,46,37,92,127,0,0,0,55,117,171,2174,1786,3965,6001,5802,11802
RA44,94,100,196,552,508,1062,0,0,3,27,23,50,576,537,1115,247,277,524,7,3,6,18,19,36,268,299,568,6,6,10,4,10,18,19,17,39,50,65,117,0,0,0,80,105,184,3,17,21,8,14,24,3,6,11,30,53,78,0,0,0,39,101,138,17,16,28,11,20,30,0,0,0,23,32,61,998,900,1896,2080,2062,4143
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,5,8,8,28,30,55,0,3,5,0,5,8,29,43,76,34,38,70,0,0,0,4,6,15,39,47,86,4,5,12,7,10,20,0,4,3,3,7,10,0,0,0,21,24,43,22,12,35,16,19,33,0,3,3,7,9,12,0,0,0,40,38,81,11,10,21,7,3,13,0,0,0,18,11,29,403,220,625,552,393,946
RA50,12059,11441,23501,57154,52908,110059,14592,14394,28983,11528,11509,23045,83280,78814,162092,33871,31914,65777,14062,14133,28188,14909,14959,29866,62832,61002,123841,4740,4180,8919,3453,5107,8557,4641,2664,7303,4918,7766,12686,175,145,315,17919,19858,37779,24086,27512,51602,9047,10928,19972,2909,3831,6735,7860,12453,20312,165,255,414,44072,54971,99038,2627,2984,5612,3494,6552,10047,106,116,218,6227,9657,15882,67918,64901,132824,294305,300643,594950
RA51,1386,1216,2605,6753,6295,13046,1624,1613,3236,1322,1273,2596,9695,9187,18878,4699,4536,9237,1310,1372,2685,1332,1358,2694,7342,7260,14608,298,359,657,125,346,478,637,362,1003,415,987,1402,16,14,31,1503,2071,3571,329,722,1052,185,528,710,87,174,266,364,1033,1389,3,11,11,965,2465,3427,132,205,340,238,537,779,12,8,18,384,755,1138,12673,9282,21951,33954,32237,66187
RA52,1152,1025,2179,5707,5453,11158,1453,1502,2958,837,878,1718,8002,7833,15839,3945,3607,7548,1152,1247,2401,802,807,1613,5899,5665,11564,253,285,538,100,246,346,439,405,845,421,1021,1449,19,18,35,1239,1978,3214,243,330,569,174,291,460,59,143,202,313,815,1125,3,3,10,789,1577,2363,171,142,310,152,363,516,9,10,13,329,511,844,9905,8582,18486,27309,27179,54486
