RA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA10,1112,2299,7324,10226,18020,34211,44686,40301,23165,181344,300,1388,5056,5361,8209,10630,9785,10260,4950,55934,15504,25896,63135,49359,45171,42192,40605,34259,25950,342068,150506,390944,870315,788819,722955,615084,445643,248728,117003,4349994
RA11,491,659,1771,2379,4554,10339,15033,13287,8408,56920,70,115,318,413,549,664,753,650,312,3844,5859,6745,13397,13840,16437,18001,19066,15551,9369,118267,39013,74180,147546,161244,188180,199394,170154,92297,38393,1110408
RA12,153,221,643,921,1997,4779,6730,5350,2816,23602,16,24,99,88,166,241,360,276,127,1398,2181,2159,4490,4807,6448,7549,7595,5646,2835,43717,11292,19614,41083,45649,58981,67568,55668,29482,11239,340573
RA13,15,34,70,83,175,352,501,359,150,1738,0,4,7,6,18,32,39,31,10,138,194,215,506,478,575,594,519,352,118,3554,796,1550,3654,3363,4021,4033,2924,1595,533,22476
RA14,6,10,19,27,46,100,113,49,26,384,0,0,0,0,0,9,10,3,3,25,40,71,163,112,161,121,95,53,9,824,176,328,731,655,848,806,539,223,70,4380
RA15,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
RA19,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
RA20,1630,2575,8195,10185,14779,25501,48124,47782,25586,184366,366,1556,4996,5567,7135,8141,8145,9332,3966,49218,13217,21776,52286,39923,36838,33503,32232,27801,18654,276231,117856,339757,743246,646889,592834,482033,349083,201104,92399,3565181
RA21,603,806,1892,2135,3363,6832,14978,14183,8712,53501,70,162,531,580,722,599,596,528,239,4030,4367,4657,9804,10708,13055,14521,14853,11567,6314,89854,28154,60148,119061,131090,152208,155945,127296,66000,27981,867884
RA22,143,187,481,541,996,1949,4254,4183,2465,15196,23,45,118,159,214,174,175,197,71,1178,1033,1132,2346,2308,3365,3912,4210,3083,1802,23187,5615,11379,23795,25472,33149,37398,31679,17222,7321,193035
RA23,0,0,0,3,5,18,61,59,51,195,0,0,0,0,0,0,0,4,0,5,9,14,19,31,44,48,51,41,21,262,34,90,199,286,409,597,542,274,109,2524
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
RA29,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
RA30,579,1082,3242,4299,6545,10501,26282,22821,12981,88329,149,552,1757,1771,2251,2229,1630,1374,709,12420,9537,14873,31494,26296,26077,23138,21547,17531,13275,183770,97502,214625,434765,411375,390786,323284,244432,124306,55248,2296325
RA31,240,386,1226,1688,3121,5884,18200,14474,6278,51503,49,99,293,340,483,437,458,357,172,2681,3826,4517,9309,9855,11362,11507,11341,8424,4777,74920,29081,51418,103883,112118,128901,126647,105358,52632,19166,729212
