RA_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
RA10,4854,16428,24378,22077,23838,25193,40038,32438,19609,208850,3899,19325,34168,30974,30040,24790,23347,12266,7382,186185,2358,19992,38656,32996,32463,24914,15329,7019,3104,176831,1188,18800,45675,34421,34674,25763,11369,4534,2156,178579,440,13906,51899,36462,34570,25507,9329,3103,1615,176836,138,5403,38842,27835,24431,16382,5089,1380,686,120179,69,1737,29752,25629,22088,14722,3812,1143,640,99605,51,503,16681,19305,16603,10624,2600,802,395,67559,55,405,19908,29699,23031,12949,3465,1167,576,91257,149,304,5511,17254,15459,7377,3024,1316,768,51168,11990,14339,33396,25724,23286,21311,20136,17925,17803,185906,162588,193813,441807,399488,369632,318235,231582,136904,74350,2328398,162117,60846,70243,52100,44817,55855,28608,12515,5041,492151,69005,26789,15760,16149,15101,18115,13773,5815,1937,182450,30698,42158,37476,33478,34169,44091,40888,24282,8042,295283,13362,30993,35009,31402,36337,48368,83638,58281,19760,357152,12006,31696,41042,33648,37615,41945,66119,49753,27616,341449,10161,37827,55419,45165,44674,41255,42584,22604,10840,310524,5699,40398,70864,54344,53199,44721,30329,14240,5506,319289,2960,39095,94581,67669,65750,52465,25823,9247,3714,361304
RA11,1847,3974,6237,6687,8159,10016,16581,12087,6269,71862,1509,5332,9406,9271,10345,9880,9597,4790,2670,62802,749,5136,9423,9314,10674,9081,5850,2730,1058,54024,299,3384,8152,8464,10254,8565,3699,1572,792,45177,105,1947,6871,7396,8776,7230,2777,1174,507,36781,22,697,4691,4850,5639,4309,1244,383,136,21967,7,217,2960,4213,4780,3694,885,282,112,17148,4,78,1466,3032,3607,2847,530,173,74,11823,13,50,1275,3261,3838,2792,708,252,89,12274,53,75,401,1159,1517,1192,647,311,176,5538,5045,3286,6032,6456,7816,8723,9234,7937,6279,60815,42756,36445,74959,83167,97137,102232,86071,49217,24019,596008,32485,4336,6455,6602,7843,13094,5777,2148,1057,79800,19727,3634,3127,3487,4042,6231,4247,1496,560,46552,8400,8963,9451,8836,10060,16013,15665,7568,2238,87186,4064,5738,8071,8972,11847,18754,36755,23130,6829,124163,4400,6793,9186,10042,13133,17544,29106,19471,8879,118556,3784,9647,13415,13076,15082,16703,18413,9224,3905,103244,2004,10579,16633,15090,17448,16875,12230,5762,1963,98583,886,8200,18070,16828,19875,18491,9459,3404,1354,96576
RA12,481,1022,1846,2038,2674,3442,4794,3650,1810,21766,422,1419,2662,2775,3149,3228,2728,1309,749,18436,215,1311,2559,2674,3360,2786,1663,726,291,15595,105,795,2009,2310,3001,2589,1090,426,241,12568,24,497,1670,1776,2333,2103,800,326,161,9689,13,220,1092,1104,1429,1213,358,131,39,5594,7,57,692,931,1224,938,293,76,34,4247,4,15,341,648,884,731,193,47,31,2889,4,22,312,675,850,653,193,75,41,2829,19,20,109,255,388,334,200,105,37,1463,1887,1042,2127,2269,3066,3594,3502,2802,1869,22151,11870,9379,20880,23326,29736,33289,26819,15065,6967,177331,9414,1080,1854,1967,2677,4363,1886,713,258,24209,4822,826,1018,1071,1449,2210,1395,520,169,13468,2098,2220,3001,3026,3967,6377,5426,2451,635,29207,1059,1377,2464,2951,4320,7079,12382,7443,2018,41104,1228,1765,2746,3160,4602,6514,9253,6119,2622,38010,1044,2511,3835,4003,5002,5761,5527,2634,1074,31395,626,2812,4630,4586,5829,5630,3773,1582,543,30008,312,2227,4811,4834,6307,6087,2813,985,406,28788
RA13,28,65,131,133,136,161,224,182,80,1150,31,95,181,176,192,163,106,53,39,1040,17,71,173,163,180,145,71,43,10,869,10,68,170,148,158,130,56,26,11,770,6,44,178,116,153,138,41,19,10,704,0,16,130,86,111,55,19,15,3,433,0,11,86,64,96,58,5,3,5,321,0,0,44,49,51,52,14,3,0,211,0,3,47,59,45,54,14,3,0,220,0,5,16,27,48,35,15,11,3,163,134,125,258,263,278,239,233,167,69,1765,723,759,1849,1688,1946,1812,1307,775,333,11189,601,86,159,164,191,269,124,49,23,1674,169,50,86,69,111,96,64,33,3,681,121,159,250,214,282,325,266,112,36,1762,49,124,186,214,286,412,588,354,107,2327,64,110,199,220,267,353,480,355,126,2171,79,168,288,256,326,322,234,103,60,1835,43,157,310,273,334,321,180,88,22,1718,26,161,351,296,340,311,150,63,17,1720
RA14,8,25,29,24,28,33,30,29,8,209,3,13,30,22,31,14,24,5,3,156,3,23,36,20,27,27,23,5,4,165,0,14,22,28,36,23,11,7,0,136,0,3,25,17,24,19,9,0,0,105,0,4,12,18,18,9,3,3,0,70,0,0,9,12,13,14,0,0,0,51,0,0,10,7,7,4,3,0,0,35,0,0,0,13,11,13,3,0,0,45,0,0,0,0,11,7,4,0,0,19,28,27,78,50,79,62,45,21,3,391,147,164,358,308,403,351,228,99,43,2107,106,16,31,32,38,60,22,11,3,322,24,17,14,26,17,19,8,3,3,132,43,44,72,61,104,81,46,19,5,472,12,25,50,57,73,83,96,48,16,462,14,31,51,46,53,79,86,39,23,424,6,22,47,41,53,34,37,11,10,273,10,32,60,42,65,57,44,12,3,321,3,18,52,43,75,61,20,8,4,292
RA15,0,0,3,0,0,5,6,3,3,22,3,0,0,3,3,0,4,3,0,25,0,0,3,0,10,4,4,0,0,25,0,0,3,4,3,0,4,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,13,17,10,3,50,7,4,24,14,31,53,60,24,7,220,4,0,0,0,0,13,0,0,0,24,0,0,0,3,0,0,0,0,0,11,3,0,0,0,3,5,6,11,0,33,0,0,4,0,0,12,20,5,0,46,0,0,3,0,0,6,14,3,3,34,3,0,3,3,8,0,16,7,4,38,0,0,8,5,13,9,11,5,0,47,0,0,3,5,6,4,5,0,0,24
RA19,10,38,71,45,72,72,79,17,7,409,6,54,78,46,41,55,47,7,5,350,4,47,91,27,37,38,16,3,0,270,3,45,64,25,32,25,15,7,3,221,6,25,77,22,24,34,9,5,0,201,0,7,51,16,18,9,3,0,0,104,3,3,27,18,11,12,5,0,0,81,0,4,21,10,13,3,0,0,0,44,0,0,19,26,14,4,3,0,0,70,0,0,3,13,8,3,3,0,0,29,49,131,241,133,118,126,81,30,15,935,232,615,1091,629,646,732,477,120,48,4590,163,228,302,144,155,184,54,16,10,1241,39,53,53,63,61,74,14,6,3,364,109,214,297,302,250,250,100,19,3,1549,16,94,210,189,235,227,298,61,11,1328,16,81,140,134,188,180,248,39,12,1047,26,100,154,94,93,112,101,21,5,698,14,122,203,83,105,87,49,16,3,681,14,108,212,108,81,78,47,15,3,664
RA20,2678,13781,20634,19437,21100,21335,32141,26044,15173,172318,2136,15549,29154,26844,26562,21122,19260,10199,5869,156699,1279,15391,33899,28230,28344,20327,12395,5573,2594,148047,660,14593,41760,29550,29876,20495,8702,3409,1809,150867,299,9666,46721,30033,29065,19963,6765,2385,1251,146142,76,3064,33775,22953,20264,12891,3684,1032,597,98336,72,961,22338,20376,17379,10639,2653,832,478,75726,37,341,10841,13513,11807,7222,1748,563,291,46359,61,293,12195,19013,14831,8005,2263,793,443,57899,122,295,3127,10676,9904,4800,2170,1018,548,32650,10821,12431,28099,21518,20242,18118,17353,14922,12986,156485,134561,168809,377870,328400,305066,250678,184411,111296,58219,1919303,134090,58209,61682,43968,37169,42796,22454,9517,3992,413882,63925,28519,15765,15392,13553,14741,10929,4979,1843,169658,24781,43489,37445,31022,29548,35631,33269,20934,6695,262814,8757,29045,31653,27229,29422,36599,64436,47327,15952,290426,7118,27624,35125,29050,31948,33708,51821,39473,21202,277065,5571,31664,49073,38997,38756,34055,34951,18760,8792,260621,3232,31961,64890,47563,46246,36499,24537,11474,4654,271050,1773,30347,87727,59316,57021,42174,19995,7184,3272,308810
RA21,1126,3104,4904,5665,7001,8200,12327,8780,4942,56048,874,3879,7119,7804,8628,8139,7536,3466,2014,49463,429,3890,7376,7459,8568,7289,4322,1841,786,41957,162,2822,6939,6934,8322,6554,2701,1020,497,35958,75,1569,6190,5842,7443,5578,1897,738,401,29734,24,491,4021,3977,4618,3314,889,267,113,17708,0,135,2241,3003,3687,2697,616,198,77,12654,3,46,883,1810,2258,1605,356,136,63,7155,3,30,741,1763,2147,1495,452,180,66,6871,46,67,323,884,1153,819,453,251,117,4114,3904,2431,4734,5194,6237,7096,7399,5748,4111,46847,32883,29275,61144,67694,78557,79981,64529,35061,17618,466745,26434,4003,5487,5977,6716,10691,4837,1648,730,66524,16886,3529,2948,3327,3421,4897,3244,1138,437,39826,6370,7634,7734,7580,8319,12611,11761,5650,1831,69494,2696,4822,6469,7540,9273,13942,26580,16026,4844,92189,2952,5518,7192,8168,10670,13633,21663,14109,6917,90823,2341,7326,10163,10742,12384,13470,14551,6717,3021,80715,1219,8278,12998,12056,13932,13461,9326,4031,1449,76763,564,7018,15314,13937,16298,14486,6887,2342,916,77754
RA22,213,566,1011,1284,1620,1971,2956,2292,1243,13161,184,761,1534,1605,1986,1917,1615,875,535,11009,95,794,1447,1546,1954,1716,983,452,201,9199,41,538,1216,1313,1734,1495,621,246,111,7311,16,310,1103,1004,1434,1233,465,196,106,5870,3,101,661,689,853,704,222,48,29,3306,0,29,381,489,704,550,126,46,17,2348,0,9,150,271,385,341,82,26,7,1279,0,4,123,239,344,273,84,43,15,1123,11,13,61,121,182,202,98,55,26,767,912,577,1162,1190,1567,1928,1874,1555,1021,11784,6803,5490,12133,13221,16873,18590,15380,9025,4505,102019,5303,618,1135,1097,1459,2390,1074,473,165,13713,3504,570,597,658,837,1208,793,296,159,8627,1271,1225,1682,1754,2205,3319,3049,1406,458,16366,553,843,1467,1698,2333,3630,7049,4239,1393,23198,564,1034,1575,1980,2634,3556,5552,3736,1788,22425,520,1479,2293,2308,2988,3379,3391,1712,783,18847,244,1723,2801,2652,3384,3351,2176,1010,365,17711,127,1404,3101,2854,3631,3567,1645,541,221,17088
