RA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA10,1257,29913,111601,78608,71889,56180,23815,7197,2939,383398,412,12926,83640,62841,53634,38334,13841,3506,1365,270498,215,5276,67440,60811,50967,34614,10565,2803,1172,233864,123,1944,41858,49014,40144,25929,6962,1813,775,168559,126,1571,57327,88495,67549,39615,10581,2794,1086,269153,316,905,19527,61466,59192,31985,10699,3463,1564,189122,25621,30079,69844,54738,48938,42592,38092,30769,25769,366457,334081,392426,871631,789932,723966,616060,446326,249090,117134,4540648
RA11,354,5009,17063,17059,19173,17260,8211,2718,983,87834,96,2091,11496,11732,13111,10833,3848,1007,323,54526,28,891,8182,10668,11777,9151,2638,671,251,44261,19,369,4796,8217,9271,6982,1586,420,174,31830,28,304,5578,11474,12726,8828,2188,604,199,41930,104,211,1684,4660,6123,4867,2087,773,335,20846,10756,7582,14442,14579,16771,17842,18010,13979,9379,123336,87125,74345,147650,161324,188280,199472,170225,92372,38424,1159221
RA12,100,1370,4444,4490,5650,5520,2427,793,289,25072,40,590,2770,2977,3513,3129,1140,308,95,14564,16,224,1947,2479,3050,2434,763,181,76,11171,14,131,1118,1897,2188,1756,514,135,62,7816,7,84,1349,2316,2711,1992,580,185,87,9322,40,59,441,998,1299,1218,576,255,85,4964,4082,2371,4696,4936,6443,7518,7236,5208,2836,45320,24903,19651,41124,45682,59009,67596,55696,29512,11249,354419
RA13,20,134,394,292,359,311,119,40,10,1682,4,58,279,204,257,175,60,25,4,1065,3,40,229,189,202,161,29,9,5,874,0,21,150,141,126,131,39,8,0,623,0,18,194,207,196,146,41,12,6,820,7,14,51,109,153,118,43,21,3,515,305,248,530,515,588,591,515,318,105,3718,1490,1550,3654,3363,4027,4032,2930,1595,533,23182
RA14,0,16,57,55,63,64,22,3,3,281,0,5,29,35,34,25,13,3,0,157,0,3,38,28,38,30,4,4,0,142,0,0,20,30,19,17,11,3,0,93,0,3,16,26,28,37,10,0,0,125,0,3,3,13,17,32,13,0,0,82,68,79,179,119,168,145,102,46,11,921,291,327,733,658,848,804,539,220,72,4502
RA15,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
RA19,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
RA20,785,20655,99697,67228,61310,44712,17347,5484,2354,319573,229,7619,72235,53692,45355,30463,10023,2630,1132,223373,189,2985,52289,50096,41818,26839,7593,2028,892,184741,84,1213,29527,37686,31156,19393,5015,1314,585,125979,151,1060,37598,61922,48987,28022,7477,2018,889,188125,264,823,11661,39582,39982,21778,7694,2492,1139,125417,22477,25838,57792,44950,41316,35199,31986,25715,19125,304396,273424,341054,744159,647695,593592,482623,349520,201334,92512,3725933
RA21,219,4144,15245,14221,16467,13822,5524,1716,723,72081,67,1526,10208,10442,11323,8709,2774,671,226,45954,17,627,6503,8847,9769,7353,1813,474,178,35584,15,223,3493,6034,6902,4927,1141,290,140,23158,18,191,3672,7519,8740,6041,1519,452,146,28297,95,183,1288,3558,4786,3614,1476,588,227,15816,8406,5296,10442,11208,13254,14339,14251,10192,6226,93617,68294,60323,119172,131149,152272,155999,127348,66036,28004,908600
RA22,53,801,2860,2602,3457,3205,1257,444,203,14870,8,266,1675,1790,2064,1834,612,167,55,8474,4,101,1033,1360,1765,1492,388,112,44,6302,3,43,480,860,1142,958,247,75,21,3825,7,30,456,999,1309,995,260,102,29,4188,24,43,217,461,643,646,302,135,51,2530,1957,1242,2445,2420,3301,3875,3912,2794,1593,23541,14141,11429,23816,25486,33164,37410,31698,17239,7324,201709
RA23,0,9,22,21,34,50,24,12,9,180,0,4,14,31,21,15,7,3,4,105,0,0,17,14,19,21,0,0,0,67,0,0,5,3,20,9,5,3,0,48,0,0,0,9,7,22,3,0,0,44,0,0,3,8,6,5,3,0,0,28,19,11,25,29,41,43,52,42,14,266,121,90,199,286,404,597,545,274,109,2617
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
RA29,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
