RA_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
RA10,30006,129072,12421,171494,27974,155900,14733,198610,50467,344551,34813,429826,61886,301458,27096,390446,63714,267145,23484,354337,46968,231454,19412,297829,35965,162445,16333,214740,15114,85309,11765,112191,2990,33480,6320,42783,335077,1710808,166368,2212259,35643,116032,10912,162588,35795,144830,13191,193813,64295,346476,31031,441807,87178,289044,23264,399488,79878,269097,20660,369632,55707,243761,18771,318235,43729,170239,17614,231582,18698,102606,15603,136904,4017,57622,12702,74350,424940,1739707,163747,2328398,65655,245099,23329,334081,63772,300729,27923,392426,114757,691031,65840,871631,149071,590502,50358,789932,143589,536239,44142,723966,102675,475215,38178,616060,79692,332685,33950,446326,33810,187912,27370,249090,7008,91105,19023,117134,760021,3450514,330119,4540648
RA11,7602,31511,5257,44368,5242,28582,4075,37896,10307,54352,8025,72687,15887,54624,7653,78160,19657,63250,8233,91142,20397,68360,8479,97238,19440,56371,8338,84158,8110,29023,6021,43154,1304,10275,2829,14409,107940,396365,58918,563218,9178,28872,4701,42756,6508,26963,2979,36445,13974,55448,5544,74959,23644,53708,5814,83167,24845,65139,7151,97137,25010,69403,7828,102232,24611,53183,8274,86071,10464,31156,7599,49217,1957,17119,4940,24019,140196,400977,54825,596008,16779,60386,9961,87125,11746,55545,7053,74345,24283,109803,13571,147650,39528,108330,13465,161324,44508,128392,15387,188280,45398,137766,16308,199472,44052,109557,16621,170225,18576,60178,13617,92372,3265,27393,7770,38424,248139,797343,113743,1159221
RA12,2478,8512,2046,13037,1551,7406,1309,10269,3430,14349,2467,20245,5705,14120,2525,22355,7413,18667,3193,29274,8149,22527,3630,34306,7163,18124,3586,28879,2810,9215,2414,14443,453,2925,907,4286,39153,115852,22080,177088,2699,7339,1829,11870,1674,6757,951,9379,4759,14145,1974,20880,7948,13232,2149,23326,9016,17931,2792,29736,9412,20675,3200,33289,8417,15206,3197,26819,3695,8707,2662,15065,752,4727,1488,6967,48367,108729,20234,177331,5178,15850,3874,24903,3222,14166,2262,19651,8188,28498,4439,41124,13651,27354,4680,45682,16427,36598,5979,59009,17565,43203,6834,67596,15579,33333,6783,55696,6510,17930,5072,29512,1203,7653,2393,11249,87522,224576,42318,354419
RA13,145,443,182,769,121,557,113,792,342,1202,258,1806,505,941,227,1681,540,1248,291,2079,500,1390,332,2220,320,1039,258,1620,138,516,165,819,17,139,45,206,2639,7477,1874,11990,169,432,126,723,139,509,102,759,466,1153,238,1849,600,858,235,1688,613,1071,258,1946,538,1051,227,1812,370,736,205,1307,192,425,156,775,33,230,62,333,3114,6466,1604,11189,316,876,300,1490,267,1070,212,1550,806,2352,497,3654,1106,1798,461,3363,1158,2317,547,4027,1036,2436,562,4032,689,1778,459,2930,330,948,320,1595,51,370,110,533,5755,13944,3482,23182
RA14,23,93,26,140,15,98,50,167,50,222,104,371,96,184,59,342,96,272,87,446,112,280,70,459,60,194,56,314,22,76,25,126,5,14,7,28,478,1434,477,2393,25,104,25,147,30,109,17,164,73,219,67,358,98,159,57,308,122,204,77,403,90,212,47,351,55,131,43,228,21,58,20,99,5,35,4,43,512,1241,355,2107,44,195,47,291,48,211,72,327,120,440,167,733,189,349,116,658,214,473,158,848,199,493,117,804,115,328,93,539,45,135,42,220,10,53,10,72,995,2680,829,4502
RA15,0,5,0,3,3,0,3,9,0,10,0,11,0,7,3,18,3,15,0,25,3,16,4,22,10,29,5,48,3,14,9,16,0,4,0,3,21,104,30,157,0,8,0,7,0,4,0,4,0,18,5,24,0,14,0,14,4,19,5,31,6,34,8,53,8,40,17,60,6,13,11,24,3,0,0,7,24,151,48,220,0,9,0,12,3,7,3,9,3,26,7,32,3,23,4,34,9,40,10,50,9,55,12,74,17,73,22,108,9,23,16,42,3,7,0,10,47,251,75,374
RA19,37,174,76,285,88,495,168,746,132,978,508,1615,100,676,495,1269,100,593,455,1148,89,583,315,986,73,470,176,719,13,96,48,162,0,22,8,32,620,4089,2247,6958,38,149,48,232,88,396,132,615,167,649,276,1091,92,349,191,629,107,361,182,646,124,468,147,732,70,316,93,477,13,66,38,120,0,33,11,48,688,2779,1121,4590,72,322,125,517,174,890,300,1358,297,1626,780,2703,194,1020,687,1900,206,960,636,1798,210,1048,457,1722,143,787,266,1196,27,165,87,282,0,54,27,78,1313,6866,3364,11545
RA20,23069,105551,10244,138864,26320,133831,12096,172246,46044,292273,27969,366290,53373,244594,21338,319298,55443,214696,18392,288526,38454,178471,15026,231945,29197,122984,12933,165117,13096,66921,10021,90041,2591,26776,4930,34296,287591,1386097,132941,1806629,28519,96620,9419,134561,35249,122554,11005,168809,59950,292174,25747,377870,74973,234654,18773,328400,67415,220477,17170,305066,45166,190252,15264,250678,36572,133242,14597,184411,15934,82258,13102,111296,3313,45632,9276,58219,367091,1417864,134348,1919303,51592,202172,19663,273424,61564,256385,23099,341054,105992,584450,53715,744159,128348,479244,40104,647695,122857,435169,35565,593592,83613,368718,30293,482623,65773,256227,27526,349520,29031,149185,23124,201334,5904,72408,14200,92512,654676,2803959,267291,3725933
RA21,7000,24363,4052,35409,5327,23101,2621,31052,9480,43186,5357,58022,15016,42876,5570,63462,18906,48463,6347,73715,18258,51171,6586,76020,16379,39879,6561,62816,6628,19765,4586,30974,1082,7365,1940,10386,98071,300167,43624,441862,8023,21194,3666,32883,6060,21020,2196,29275,12422,44407,4316,61144,21543,41531,4618,67694,23016,49954,5589,78557,20934,52876,6169,79981,19197,38726,6615,64529,7705,21784,5569,35061,1522,12722,3371,17618,120413,304219,42114,466745,15022,45552,7719,68294,11390,44116,4817,60323,21896,87596,9675,119172,36558,84404,10187,131149,41918,98418,11935,152272,39192,104050,12759,155999,35576,78599,13175,127348,14328,41549,10158,66036,2601,20093,5317,28004,218486,604380,85737,908600
RA22,1856,4493,997,7337,1170,4158,612,5936,2435,8055,1195,11681,3581,7545,1145,12269,5075,9625,1585,16287,5482,11605,1735,18821,4545,9811,1963,16316,1950,4980,1285,8210,320,1901,600,2822,26410,62165,11110,99691,1910,3995,903,6803,1248,3719,520,5490,2974,8093,1064,12133,4901,7220,1102,13221,5706,9766,1400,16873,5588,11327,1677,18590,5032,8569,1776,15380,2278,5152,1594,9025,452,3098,950,4505,30093,60938,10983,102019,3765,8479,1896,14141,2418,7879,1127,11429,5406,16147,2263,23816,8479,14765,2246,25486,10784,19388,2989,33164,11069,22935,3409,37410,9576,18375,3744,31698,4229,10136,2873,17239,773,5004,1551,7324,56505,123107,22099,201709
