RA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA10,55161,21128,117134,1069671,1131680,485734,375681,1126578,351318,4540648
RA11,16715,8695,38424,222082,305579,155079,124824,227799,123860,1159221
RA12,4796,2698,11249,61257,86232,46564,42051,72065,46244,354419
RA13,238,127,533,3919,5204,2471,2449,5351,3785,23182
RA14,35,15,72,720,871,449,471,1137,853,4502
RA15,5,0,10,23,36,19,40,163,93,374
RA19,41,26,78,1976,1606,620,412,3500,3428,11545
RA20,44173,15974,92512,910984,943145,389505,295270,900568,286455,3725933
RA21,12582,6005,28004,181579,238092,118515,98047,178264,94104,908600
RA22,3185,1703,7324,36530,49538,26530,23011,41788,24322,201709
RA23,37,24,109,430,664,374,388,484,275,2617
RA25,0,0,0,7,3,3,0,11,3,25
RA29,22,12,38,1281,954,324,278,1969,2020,6825
RA30,24324,12310,55303,579526,655464,273670,200153,489635,190779,2389230
RA31,8411,4290,19169,144623,198108,100221,87943,150464,78179,759537
RA32,4511,2037,9844,106394,139486,63711,54972,104465,64640,533673
RA33,288,134,665,11270,13193,6109,5767,11178,8674,56190
RA34,248,101,502,9258,8992,3785,3741,9405,4861,40039
RA35,0,3,4,23,24,19,6,50,23,144
RA39,25,11,44,2026,1961,823,592,3533,2759,11693
RA40,16227,5018,33097,230378,282418,123940,86182,225547,68506,1016978
RA41,2584,921,5489,34869,49283,25509,20005,31802,14730,176195
RA42,2010,1030,4615,25340,35641,19141,16673,29983,15222,141991
RA43,474,217,1088,6677,9278,4783,4028,6532,3818,35115
RA44,56,56,173,1918,2560,1282,956,2194,1800,10711
RA45,0,0,0,4,0,0,0,3,0,3
RA49,17,0,22,466,435,143,126,850,627,2648
RA50,14300,7480,34447,362318,411516,175383,141251,334468,126302,1551233
RA51,1461,734,3621,32602,45027,23058,21139,31443,20811,174076
RA52,1371,789,3416,28051,37391,18393,17138,28387,17538,146896
RA53,280,141,688,13462,16096,6825,6306,12251,9855,64799
RA54,93,55,233,10304,10879,4258,3511,15077,10707,54730
RA55,3,0,3,32,31,10,9,274,81,434
RA59,7,6,23,962,791,327,210,1663,1594,5559
RA61,3959,1430,8503,59768,78413,35946,25785,58994,23179,282083
RA62,1353,607,3080,22278,32554,18114,16200,26398,12669,128211
RA63,48,30,121,994,1590,891,784,1411,780,6449
RA64,29,6,59,396,525,337,220,396,229,2110
RA65,0,0,0,7,6,3,10,36,8,73
RA69,0,0,3,153,152,50,40,256,178,835
RA72,302,111,626,24659,29042,10331,7406,22263,15605,109301
RA73,110,54,238,7435,8843,3257,2095,6943,6638,35215
RA74,30,13,68,8503,7824,3359,1796,5943,5066,32488
RA75,0,0,0,0,0,0,4,43,23,72
RA79,0,0,0,334,366,137,92,522,839,2281
RA80,2194,1335,6150,82242,101903,39321,22561,53792,22079,321901
RA81,0,0,3,114,173,65,39,55,66,512
RA85,0,0,0,0,0,0,0,0,0,0
RA89,3,0,3,133,94,23,10,138,118,506
RA91,0,0,0,55,59,21,22,76,85,312
RA94,20,9,51,569,830,347,270,688,694,3402
RA95,0,0,0,0,0,0,0,3,0,6
RA99,0,0,0,5,11,0,3,22,4,46
