RA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA10,7628,150304,13567,171494,9840,172945,15824,198610,25177,367783,36867,429826,35146,326323,28971,390446,44030,284950,25358,354337,42470,234049,21305,297829,26158,170178,18407,214740,12045,86644,13501,112191,3733,31961,7090,42783,206232,1825129,180895,2212259,8385,142171,12025,162588,12155,167527,14127,193813,38807,370001,33002,441807,56079,318074,25331,399488,70585,276398,22640,369632,69080,228410,20744,318235,37477,173927,20174,231582,14229,104599,18075,136904,2920,57407,14027,74350,309724,1838521,180152,2328398,16016,292472,25595,334081,21998,340476,29951,392426,63979,737782,69871,871631,91230,644395,54307,789932,114616,561352,48000,723966,111548,462460,42050,616060,63636,344105,38581,446326,26273,191246,31570,249090,6650,89362,21117,117134,515951,3663650,361047,4540648
RA11,1970,36815,5589,44368,1973,31628,4296,37896,5192,59091,8405,72687,7814,62205,8138,78160,11385,70885,8876,91142,13794,74251,9193,97238,9373,65403,9388,84158,4400,31831,6929,43154,1168,10035,3208,14409,57058,442149,64016,563218,2348,35312,5099,42756,2702,30540,3202,36445,8879,60166,5921,74959,13393,63523,6252,83167,19154,70312,7676,97137,22936,70697,8603,102232,12976,63460,9636,86071,5022,35214,8986,49217,885,17576,5555,24019,88292,446797,60920,596008,4320,72129,10686,87125,4676,62167,7499,74345,14072,119256,14320,147650,21205,125729,14393,161324,30536,141197,16550,188280,36730,144950,17799,199472,22349,128859,19019,170225,9415,67046,15910,92372,2049,27617,8765,38424,145345,888939,124938,1159221
RA12,652,10203,2183,13037,610,8256,1406,10269,1501,16118,2626,20245,2316,17374,2659,22355,3738,22113,3422,29274,4595,25793,3921,34306,2885,21993,4000,28879,1281,10404,2757,14443,347,2909,1025,4286,17921,135158,24009,177088,654,9310,1902,11870,801,7560,1023,9379,2492,16261,2123,20880,3758,17247,2324,23326,5853,20882,3002,29736,7065,22747,3483,33289,3916,19256,3654,26819,1486,10510,3075,15065,300,4983,1682,6967,26329,128745,22264,177331,1305,19510,4085,24903,1407,15814,2432,19651,3996,32379,4750,41124,6074,34622,4990,45682,9599,42989,6417,59009,11663,48534,7401,67596,6801,41245,7657,55696,2763,20913,5832,29512,646,7898,2707,11249,44245,263900,46269,354419
RA13,47,528,189,769,42,635,114,792,120,1418,268,1806,168,1273,238,1681,227,1546,307,2079,230,1640,348,2220,126,1198,292,1620,66,573,180,819,15,139,51,206,1041,8959,1992,11990,50,541,130,723,47,611,107,759,183,1418,248,1849,246,1195,245,1688,347,1328,274,1946,343,1224,245,1812,186,901,225,1307,62,523,188,775,15,239,68,333,1471,7983,1733,11189,95,1077,320,1490,89,1241,223,1550,299,2836,517,3654,410,2470,488,3363,575,2872,576,4027,579,2862,593,4032,309,2099,518,2930,125,1100,373,1595,32,379,123,533,2513,16944,3723,23182
RA14,10,107,33,140,6,103,57,167,16,252,103,371,29,249,63,342,46,311,89,446,42,338,73,459,23,231,59,314,6,89,29,126,0,17,6,28,181,1695,516,2393,9,110,30,147,6,140,17,164,34,258,70,358,45,211,56,308,60,268,68,403,59,249,49,351,24,165,42,228,12,70,19,99,3,30,8,43,241,1500,360,2107,15,218,54,291,11,240,76,327,52,510,168,733,74,462,119,658,108,578,159,848,102,589,123,804,43,397,103,539,13,155,50,220,3,54,16,72,426,3196,878,4502
RA15,0,5,0,3,0,3,0,9,0,8,0,11,0,8,4,18,3,18,0,25,5,14,4,22,0,38,5,48,0,9,9,16,0,3,0,3,12,105,33,157,0,7,0,7,3,0,0,4,3,13,5,24,0,12,3,14,0,19,9,31,11,33,9,53,6,43,14,60,0,11,12,24,0,3,0,7,28,137,54,220,0,12,0,12,0,4,0,9,3,23,7,32,3,21,8,34,6,39,7,50,13,45,18,74,10,73,22,108,0,25,20,42,0,9,0,10,40,247,91,374
RA19,8,198,78,285,31,544,171,746,74,1032,507,1615,76,690,505,1269,98,588,466,1148,85,582,323,986,57,477,186,719,8,103,47,162,0,18,17,32,433,4229,2297,6958,17,164,54,232,31,450,135,615,72,734,292,1091,64,375,192,629,100,365,180,646,114,466,149,732,58,316,100,477,6,72,40,120,3,31,15,48,457,2981,1146,4590,26,358,130,517,58,1002,303,1358,138,1765,799,2703,134,1069,695,1900,193,956,647,1798,203,1046,468,1722,121,797,282,1196,14,176,89,282,3,47,25,78,888,7214,3448,11545
RA20,5535,122130,11206,138864,8010,151096,13140,172246,20867,315735,29695,366290,28381,268032,22885,319298,36134,232357,20032,288526,33678,181930,16341,231945,20195,130338,14578,165117,10301,68192,11549,90041,3077,25530,5690,34296,166184,1495329,145120,1806629,6387,117887,10288,134561,10173,146796,11842,168809,31940,318423,27504,377870,45913,262037,20448,328400,59675,226647,18746,305066,55980,177899,16796,250678,30304,137246,16854,184411,12151,83731,15405,111296,2360,45345,10514,58219,254895,1516011,148393,1919303,11917,240018,21491,273424,18181,297889,24984,341054,52808,634155,57198,744159,74294,530068,43328,647695,95807,459009,38779,593592,89660,359824,33144,482623,50499,267586,31432,349520,22457,151925,26956,201334,5443,70874,16200,92512,421072,3011340,293513,3725933
RA21,1413,29658,4341,35409,1585,26585,2870,31052,4046,48344,5637,58022,6358,51130,5976,63462,9024,57820,6868,73715,10643,58233,7136,76020,6999,48454,7366,62816,3129,22476,5371,30974,837,7298,2253,10386,44037,349997,47824,441862,1721,27225,3942,32883,2217,24692,2364,29275,7041,49507,4602,61144,11007,51678,5011,67694,15709,56775,6068,78557,18133,55088,6766,79981,9960,46943,7631,64529,3447,25011,6608,35061,665,13116,3833,17618,69891,350026,46825,466745,3138,56880,8283,68294,3800,51285,5234,60323,11080,97845,10235,119172,17360,102806,10986,131149,24735,114593,12941,152272,28776,113327,13903,155999,16960,95397,14996,127348,6578,47483,11976,66036,1496,20414,6089,28004,113930,700025,94646,908600
RA22,355,5930,1056,7337,345,4946,649,5936,857,9551,1276,11681,1287,9767,1217,12269,2030,12530,1722,16287,2633,14291,1899,18821,1674,12434,2205,16316,773,5954,1484,8210,217,1929,681,2822,10173,77332,12188,99691,344,5494,961,6803,400,4531,566,5490,1478,9500,1158,12133,2056,9974,1193,13221,3343,12039,1492,16873,3977,12789,1825,18590,2176,11168,2031,15380,893,6295,1845,9025,182,3263,1063,4505,14843,75034,12139,102019,704,11420,2014,14141,744,9469,1210,11429,2331,19048,2437,23816,3339,19738,2409,25486,5377,24571,3214,33164,6610,27075,3725,37410,3854,23605,4238,31698,1664,12249,3325,17239,395,5193,1742,7324,25013,152367,24325,201709
