RA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA10,710,6632,118,7451,151267,12774,171494,4207,5443,165,9813,173924,14869,198610,84158,9462,1518,95137,299665,35029,429826,187910,6462,3733,198109,165051,27283,390446,110197,8225,2155,120574,209983,23778,354337,21040,24484,550,46071,231797,19960,297829,3807,33762,256,37822,159721,17200,214740,721,8766,66,9556,90379,12251,112191,146,601,12,754,35527,6505,42783,412887,103826,8569,525286,1517315,169661,2212259,1280,11041,149,12468,138950,11171,162588,10987,10569,503,22058,158470,13294,193813,141039,16887,4982,162913,247844,31045,441807,231411,12008,9378,252793,123581,23116,399488,106363,22790,4013,133170,215406,21055,369632,11012,63603,932,75547,223394,19298,318235,2896,54830,413,58138,155027,18418,231582,748,10107,94,10951,109563,16392,136904,198,731,5,935,60431,12978,74350,505938,202569,20465,728966,1432663,166771,2328398,1988,17668,261,19919,290215,23947,334081,15190,16009,670,31871,332396,28161,392426,225199,26347,6499,258054,547502,66073,871631,419322,18468,13110,450896,288630,50404,789932,216558,31013,6171,253747,425384,44837,723966,32052,88088,1480,121617,455193,39254,616060,6703,88591,665,95954,314746,35618,446326,1473,18875,157,20502,199941,28645,249090,339,1335,13,1692
RA11,292,1982,21,2289,36696,5385,44368,2282,1560,58,3902,29930,4068,37896,23298,2386,672,26359,38332,7999,72687,39569,1868,1253,42691,27849,7626,78160,23736,3787,723,28243,54581,8322,91142,4687,9045,170,13901,74684,8647,97238,778,8512,41,9330,66100,8733,84158,139,1645,17,1802,35043,6307,43154,62,97,0,163,11372,2872,14409,94834,30875,2959,128673,374588,59957,563218,667,3724,53,4438,33523,4795,42756,5189,2874,236,8298,25161,2981,36445,35131,3921,2142,41189,28305,5467,74959,49348,3111,2840,55300,22127,5745,83167,22721,9330,1144,33195,56792,7151,97137,2082,20623,198,22903,71298,8032,102232,532,13221,72,13825,63548,8702,86071,178,1976,11,2173,38948,8095,49217,70,183,7,256,18649,5104,24019,115919,58959,6697,181576,358365,56061,596008,953,5699,66,6724,70221,10177,87125,7469,4440,296,12206,55091,7049,74345,58426,6303,2812,67547,66639,13469,147650,88914,4973,4095,97985,49974,13365,161324,46460,13119,1864,61442,111374,15470,188280,6769,29668,370,36811,145984,16677,199472,1306,21727,117,23153,129645,17431,170225,320,3624,30,3972,73998,14397,92372,133,277,9,419
RA12,95,537,0,634,10281,2118,13037,724,389,21,1127,7835,1304,10269,6562,657,169,7388,10396,2459,20245,10912,566,343,11816,8048,2484,22355,6794,1130,165,8094,17978,3197,29274,1435,2620,41,4102,26508,3693,34306,255,2107,19,2382,22822,3672,28879,50,436,0,491,11468,2483,14443,23,19,0,47,3308,930,4286,26860,8467,757,36085,118650,22354,177088,234,964,13,1208,8811,1846,11870,1719,749,77,2546,5908,921,9379,10278,1035,630,11947,6975,1959,20880,13323,965,679,14965,6250,2118,23326,6164,2874,267,9300,17635,2804,29736,598,5782,45,6420,23597,3272,33289,173,3402,15,3586,19908,3323,26819,39,557,3,599,11662,2806,15065,44,55,0,93,5330,1538,6967,32573,16381,1714,50666,106082,20583,177331,330,1498,14,1845,19094,3963,24903,2444,1139,97,3680,13739,2228,19651,16838,1692,794,19335,17375,4416,41124,24241,1527,1014,26780,14300,4599,45682,12959,4007,431,17393,35612,6002,59009,2038,8408,83,10527,50102,6964,67596,427,5507,32,5971,42730,6998,55696,88,993,0,1083,23133,5289,29512,65,70,3,144
RA13,6,25,3,35,552,183,769,56,38,3,98,580,114,792,553,41,14,602,946,254,1806,764,40,17,819,628,228,1681,386,77,11,474,1317,285,2079,70,137,0,210,1671,345,2220,13,95,0,109,1252,259,1620,0,13,0,19,628,174,819,5,0,0,3,151,46,206,1858,466,41,2366,7735,1885,11990,15,69,4,86,509,121,723,148,45,8,197,457,102,759,846,97,38,983,634,231,1849,858,69,28,961,499,233,1688,305,201,20,527,1163,263,1946,34,310,0,345,1236,228,1812,0,139,0,144,958,206,1307,0,25,0,28,591,155,775,7,3,0,10,260,60,333,2217,955,95,3274,6303,1612,11189,21,92,6,124,1065,300,1490,203,80,6,300,1042,214,1550,1402,139,45,1586,1583,484,3654,1629,110,46,1777,1128,459,3363,692,275,27,1000,2475,549,4027,100,443,0,551,2908,572,4032,18,235,0,253,2207,469,2930,3,40,0,44,1214,337,1595,11,5,0,16
RA14,0,7,0,9,106,26,140,12,7,0,19,97,48,167,76,13,0,86,186,97,371,116,11,6,131,153,60,342,61,21,0,81,279,87,446,13,24,0,36,351,70,459,0,8,0,8,249,52,314,0,0,0,0,94,27,126,0,0,0,0,25,7,28,279,92,10,381,1528,485,2393,4,10,0,16,105,23,147,30,15,0,42,95,21,164,134,15,3,154,139,64,358,131,12,10,149,110,45,308,48,41,0,88,246,70,403,9,35,0,43,262,48,351,3,15,0,15,169,42,228,0,3,0,0,79,17,99,0,0,0,0,35,4,43,363,146,16,520,1243,340,2107,7,22,0,29,215,50,291,39,19,0,63,191,72,327,204,31,8,239,323,167,733,250,20,11,286,261,110,658,110,58,4,173,521,156,848,22,56,0,78,607,120,804,3,29,0,27,419,96,539,4,4,0,7,171,46,220,0,0,0,0
RA15,0,0,0,0,3,0,3,0,0,0,0,4,3,9,3,0,0,3,8,0,11,7,0,0,10,5,3,18,5,0,0,5,12,0,25,3,7,0,8,17,4,22,0,9,0,10,29,9,48,0,0,0,0,12,9,16,0,0,0,0,3,0,3,20,15,0,34,93,32,157,0,0,0,0,6,0,7,0,0,0,0,3,0,4,3,0,0,6,14,5,24,8,0,0,8,3,3,14,5,3,0,4,14,6,31,3,7,0,10,34,6,53,0,11,0,11,35,12,60,0,0,0,0,13,10,24,0,0,0,0,5,0,7,21,19,0,43,128,47,220,0,3,0,3,9,0,12,0,0,0,0,10,3,9,7,0,0,8,21,7,32,16,0,0,14,8,4,34,8,3,0,10,32,5,50,6,7,0,19,46,8,74,0,20,0,22,62,23,108,0,0,0,0,29,17,42,0,0,0,0
RA19,3,10,0,11,196,76,285,31,19,0,48,533,163,746,147,30,13,190,918,503,1615,194,28,5,233,536,503,1269,79,21,3,110,586,458,1148,25,39,0,65,615,310,986,3,51,0,52,499,175,719,0,0,0,0,110,48,162,0,0,0,0,17,11,32,490,198,23,709,4003,2250,6958,8,15,0,22,163,50,232,29,28,0,59,430,132,615,143,52,9,206,608,277,1091,128,18,7,157,290,185,629,40,39,9,93,381,177,646,7,83,0,88,500,140,732,3,44,0,45,331,94,477,0,3,0,3,76,41,120,0,0,0,0,35,10,48,359,282,21,668,2813,1111,4590,13,18,0,31,356,123,517,63,41,0,106,961,298,1358,289,84,19,395,1526,781,2703,324,48,17,385,825,685,1900,120,65,15,200,968,637,1798,35,118,0,153,1111,451,1722,3,89,0,100,832,271,1196,0,0,0,0,187,94,282,0,0,0,3
RA20,569,5006,89,5660,122675,10532,138864,2987,4564,129,7683,152281,12285,172246,69483,8116,1018,78620,259474,28196,366290,156856,5290,3067,165217,132646,21443,319298,93107,6023,1844,100980,168831,18711,288526,16172,17764,454,34394,182083,15471,231945,2564,26855,200,29615,121955,13538,165117,552,7275,44,7870,71736,10438,90041,144,439,3,594,28610,5094,34296,342444,81336,6851,430629,1240284,135715,1806629,843,8192,104,9134,115772,9658,134561,7691,8762,394,16845,140827,11129,168809,113303,15331,3873,132503,219617,25747,377870,188624,10560,8396,207582,102127,18691,328400,90504,16699,3573,110767,176886,17413,305066,8539,48917,707,58164,176819,15693,250678,2282,45685,336,48304,120807,15299,184411,682,8456,76,9216,88307,13771,111296,215,557,14,781,47858,9582,58219,412680,163149,17464,593292,1189011,136997,1919303,1412,13197,189,14795,238440,20187,273424,10675,13326,529,24533,293106,23416,341054,182784,23445,4890,211126,479090,53945,744159,345486,15850,11466,372797,234766,40131,647695,183611,22722,5416,211749,345720,36128,593592,24715,66683,1161,92557,358897,31169,482623,4844,72544,535,77918,242766,28835,349520,1239,15732,114,17078,160044,24209,201334,361,1001,19,1374
RA21,194,1481,7,1682,29551,4182,35409,1565,1206,60,2828,25567,2658,31052,18427,1950,506,20888,31826,5311,58022,33940,1460,1082,36482,21395,5583,63462,20588,2751,568,23915,43424,6372,73715,3544,7262,115,10923,58350,6745,76020,609,7290,31,7933,48018,6868,62816,131,1383,8,1529,24591,4858,30974,72,87,0,167,8209,2014,10386,79077,24865,2392,106337,290921,44600,441862,402,2602,28,3033,26109,3745,32883,3347,2377,154,5883,21204,2189,29275,27283,3616,1681,32577,24266,4303,61144,40611,2676,2660,45943,17204,4541,67694,19185,7105,957,27252,45687,5619,78557,1789,17464,140,19396,54282,6306,79981,477,11568,66,12110,45434,6993,64529,125,1713,17,1850,27253,5959,35061,116,144,9,269,13843,3499,17618,93333,49264,5721,148320,275274,43152,466745,589,4085,42,4711,55655,7924,68294,4914,3586,216,8710,46767,4848,60323,45713,5564,2189,53465,56092,9611,119172,74548,4134,3741,82429,38595,10127,131149,39775,9858,1526,51166,89114,11994,152272,5331,24730,256,30322,112628,13053,155999,1090,18855,102,20043,93447,13857,127348,253,3097,24,3382,51842,10815,66036,190,231,18,434
RA22,49,296,0,347,5951,1040,7337,333,227,10,573,4752,612,5936,3660,386,94,4144,6332,1206,11681,6235,296,203,6735,4403,1136,12269,4005,568,106,4678,10028,1582,16287,752,1517,26,2290,14775,1762,18821,138,1283,5,1424,12829,2064,16316,31,252,0,280,6589,1342,8210,24,19,0,40,2166,614,2822,15228,4838,448,20511,67824,11357,99691,86,523,6,618,5257,927,6803,739,453,45,1235,3722,531,5490,5556,627,338,6523,4540,1075,12133,7615,491,467,8564,3571,1080,13221,3578,1540,156,5275,10188,1419,16873,345,3456,25,3835,13063,1695,18590,82,1984,14,2081,11451,1845,15380,32,344,3,379,6956,1695,9025,23,39,0,63,3456,990,4505,18049,9464,1054,28571,62198,11254,102019,139,818,6,965,11205,1967,14141,1072,684,54,1808,8475,1142,11429,9217,1015,431,10663,10871,2281,23816,13854,785,664,15302,7971,2216,25486,7581,2110,261,9952,20211,2996,33164,1093,4971,54,6124,27835,3451,37410,215,3265,16,3503,24279,3914,31698,58,599,3,660,13540,3036,17239,42,62,3,107
