RA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA10,95961,19482,117134,918820,306399,29031,1254253,2949973,336428,4540648
RA11,30029,7979,38424,210751,89837,9661,310251,732951,116021,1159221
RA12,8642,2463,11249,59430,24850,2472,86753,224729,42938,354419
RA13,415,109,533,4076,1426,141,5641,14041,3497,23182
RA14,61,10,72,644,239,20,900,2773,825,4502
RA15,6,0,10,39,37,0,79,226,76,374
RA19,49,28,78,847,475,45,1373,6811,3361,11545
RA20,76463,14681,92512,755123,244492,24316,1023923,2429293,272709,3725933
RA21,22049,5514,28004,172412,74132,8112,254649,566202,87753,908600
RA22,5623,1602,7324,33276,14311,1500,49080,130017,22607,201709
RA23,86,19,109,373,166,11,545,1819,256,2617
RA25,0,0,0,5,0,0,5,18,3,25
RA29,25,13,38,649,290,14,960,3900,1969,6825
RA30,43213,11537,55303,498698,167881,20180,686764,1519502,182970,2389230
RA31,15048,3923,19169,144656,53387,6560,204602,481643,73290,759537
RA32,7886,1830,9844,104400,35358,4691,144449,328149,61070,533673
RA33,519,130,665,11030,3473,498,15005,32975,8213,56190
RA34,405,85,502,7856,3009,483,11346,24115,4576,40039
RA35,0,3,4,13,17,0,28,90,21,144
RA39,30,11,44,760,474,19,1251,7804,2633,11693
RA40,28136,4567,33097,194229,80236,7679,282149,670130,64706,1016978
RA41,4569,852,5489,32771,15128,1620,49517,112963,13715,176195
RA42,3616,936,4615,24173,10687,1139,35991,91980,14027,141991
RA43,871,197,1088,6681,2763,365,9809,21739,3570,35115
RA44,113,59,173,1877,823,156,2853,6107,1753,10711
RA45,0,0,0,0,0,0,0,6,0,3
RA49,16,4,22,262,141,16,411,1621,609,2648
RA50,26999,7073,34447,324400,109500,12339,446235,983189,121812,1551233
RA51,2887,689,3621,35279,12590,1627,49497,104794,19783,174076
RA52,2641,738,3416,27946,9683,1327,38959,91316,16623,146896
RA53,532,138,688,14317,3689,709,18711,36766,9323,64799
RA54,169,57,233,10006,3639,748,14396,29942,10394,54730
RA55,3,0,3,54,4,0,61,297,72,434
RA59,13,3,23,376,169,14,558,3441,1554,5559
RA61,7128,1290,8503,52914,22037,2512,77459,182766,21859,282083
RA62,2475,545,3080,22040,9030,967,32042,84517,11661,128211
RA63,93,24,121,1011,394,38,1445,4279,730,6449
RA64,47,13,59,316,138,12,465,1443,203,2110
RA65,0,0,0,4,0,0,9,53,9,73
RA69,3,0,3,89,38,5,128,530,180,835
RA72,510,103,626,22297,6088,801,29179,64988,15137,109301
RA73,184,53,238,6381,2351,489,9220,19591,6395,35215
RA74,46,10,68,6638,5555,1905,14101,13552,4839,32488
RA75,0,0,0,3,0,0,4,43,26,72
RA79,0,0,0,151,57,0,211,1317,747,2281
RA80,4773,1275,6150,67118,23248,2685,93051,207219,21634,321901
RA81,0,0,3,123,20,4,151,300,63,512
RA85,0,0,0,0,0,0,0,0,0,0
RA89,3,0,3,39,33,7,73,322,108,506
RA91,0,0,0,42,21,0,67,162,81,312
RA94,43,9,51,571,187,29,780,1965,657,3402
RA95,0,0,0,0,0,0,0,6,0,6
RA99,0,0,0,3,0,0,6,35,4,46
