RA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA10,492945,985082,11171,64155,65641,307624,16544,76880,372633,1445236,465989,1893889,41028,174532,61016,212152,132597,430584,234639,817259,700629,2711151,3017,14299,14800,53361,7289,26401,76538,208391,101652,302459,10885,35497,24915,56973,90295,198967,126095,291437,227746,593893,26199,56047,1447522,4346179
RA11,161330,319316,2649,14656,14765,68736,4814,21993,76098,302640,98329,408025,6174,25194,10747,34644,27800,86523,44725,146366,143051,554388,818,3768,4588,16511,2440,8842,26915,74471,34765,103597,2049,6306,5464,11766,21232,44925,28745,63000,63510,166594,4561,9516,372445,1049809
RA12,51838,102386,790,4327,4213,19307,1394,6317,21683,87534,28081,117487,1548,6105,2866,8803,8069,24882,12475,39785,40559,157271,225,1064,1307,4798,731,2721,7786,22173,10048,30748,453,1400,1380,2893,6222,13175,8054,17467,18099,48222,1519,3194,112018,311071
RA13,2947,5827,37,205,257,1102,107,471,1579,6444,1986,8221,82,287,153,419,454,1387,680,2092,2665,10317,19,98,63,228,62,252,584,1743,726,2318,22,64,62,136,443,954,532,1152,1260,3466,128,272,7000,19881
RA14,467,918,11,53,43,169,20,89,277,1094,337,1399,15,41,26,59,73,237,116,341,451,1743,4,9,16,73,17,61,145,455,181,601,4,10,5,17,97,244,111,267,293,866,29,65,1245,3593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,406901,811296,7855,44885,53890,251191,10576,48357,309542,1190034,381866,1534464,33801,142984,53099,186505,99754,321888,186646,651374,568520,2185834,2217,10672,12627,45050,4764,17074,58745,156815,78356,229615,9607,30953,21996,50433,69559,152301,101159,233685,179520,463302,23557,50008,1178492,3510443
RA21,122671,242455,2082,11565,12316,57455,3058,13843,63627,252952,81088,335811,5772,23813,9775,31998,21498,66966,37045,122776,118135,458589,640,2883,3451,12350,1555,5473,18567,50430,24211,71140,1853,5809,4667,10115,15176,31910,21697,47840,45905,118978,3457,7154,290170,827171
RA22,29695,58527,419,2303,2593,12044,599,2687,12220,48945,15837,65983,1006,4009,1981,6273,4261,13067,7247,23347,23082,89334,118,550,704,2522,279,978,3778,10352,4889,14408,276,851,865,1857,3047,6404,4191,9111,9079,23513,775,1625,62630,172998
