RA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
RA10,631763,36207,20153,8580,823,430,2669,700629
RA11,122086,10507,7142,1687,226,137,1256,143051
RA12,34828,2656,2003,486,69,48,478,40559
RA13,2297,127,140,48,7,9,43,2665
RA14,382,27,10,8,0,0,21,451
RA15,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0
RA20,515980,29560,14808,5823,553,262,1539,568520
RA21,102723,8302,5346,874,144,67,681,118135
RA22,19985,1590,1079,187,39,20,186,23082
RA23,215,6,7,3,0,0,0,231
RA25,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0
RA30,295262,25502,14788,3843,557,260,1450,341666
RA31,81472,7738,5478,1081,207,108,696,96782
RA32,58066,5046,3444,792,128,61,513,68055
RA33,5974,418,346,114,23,13,92,6977
RA34,4098,300,238,219,33,20,119,5023
RA35,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0
RA40,123028,9807,4949,1297,180,77,537,139876
RA41,19641,1876,1173,187,31,9,171,23087
RA42,13960,1175,865,139,29,13,166,16359
RA43,3699,277,210,29,6,3,23,4242
RA44,964,73,48,53,0,7,25,1172
RA45,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0
RA50,208120,15064,8398,2491,311,156,1024,235556
RA51,20429,1713,1229,259,32,20,191,23879
RA52,16092,1237,997,214,30,19,188,18784
RA53,7787,590,440,117,21,13,93,9060
RA54,3870,357,237,201,38,23,135,4861
RA55,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0
RA61,29784,3122,1905,273,60,35,227,35408
RA62,12525,1362,881,132,20,11,118,15056
RA63,531,39,37,0,3,0,10,615
RA64,182,14,11,0,0,0,3,203
RA65,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0
RA72,12902,1155,719,243,23,9,86,15144
RA73,3510,300,183,125,23,17,81,4237
RA74,3332,218,128,478,52,41,184,4425
RA75,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0
RA80,42639,3008,1602,437,43,23,165,47920
RA81,77,3,0,0,0,0,0,85
RA85,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0
RA91,24,0,0,3,0,0,0,24
RA94,360,22,17,5,0,0,0,404
RA95,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0
