RA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA10,425771,66818,71275,3434,1280,568580,455914,77821,93735,1322,1256,630051,130956,63297,221288,3722,2095,421357,28548,25190,30901,72,159,84880,45480,14966,37079,1289,957,99777,2423,3600,5644,59,149,11878,6674,2500,3852,1052,324,14410,4033,1245,2542,125,121,8059,218115,110797,301300,6319,3814,640354,5581,4833,5892,87,359,16753,25996,8050,14917,832,1805,51605,1131382,268318,487122,12001,8518,1907344
RA11,176418,11297,4264,4455,1001,197444,154931,4757,1812,806,716,163019,52554,15889,11583,588,464,81078,9610,3439,2603,124,55,15827,25274,3105,2211,533,375,31498,1498,1270,640,15,95,3523,3898,454,298,1203,233,6081,2553,322,219,128,68,3288,95381,24486,17553,2583,1291,141301,3059,1390,684,111,112,5367,11517,1866,1282,564,547,15785,441307,43804,25597,8531,3673,522910
RA12,64921,1397,721,1345,551,68938,43088,509,322,361,349,44628,11846,1718,2733,138,113,16555,2671,300,532,4,15,3522,11380,489,644,222,175,12903,876,218,387,3,39,1524,3323,113,271,313,150,4175,1970,76,88,43,34,2213,32061,2916,4659,725,534,40889,1296,120,77,53,44,1604,4686,266,435,207,158,5756,146060,5200,6215,2684,1634,161806
RA13,3791,9,20,132,64,4020,1976,0,3,22,51,2060,418,21,83,9,11,536,443,11,42,0,15,519,907,12,57,18,22,1016,237,11,37,0,6,288,794,31,103,25,20,976,260,0,18,11,8,292,3053,84,341,54,91,3620,160,0,3,11,5,181,417,4,19,43,16,505,9408,97,392,262,228,10388
RA14,628,0,0,53,6,689,236,0,0,3,9,248,15,0,0,0,0,15,137,3,16,0,0,156,115,0,3,5,0,128,192,0,18,0,0,209,170,6,15,8,0,194,50,0,0,0,3,55,676,15,45,14,3,756,47,3,0,16,0,64,78,3,8,17,8,117,1663,24,52,106,25,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,391007,65757,29288,1552,819,488418,454250,77499,39281,869,1022,572924,141583,83298,116692,1577,1242,344390,12990,10513,14354,102,99,38057,45066,17597,17601,669,498,81425,2074,2005,3018,28,52,7182,4969,1538,1945,1184,141,9776,3805,1378,1266,97,74,6621,210476,116343,154873,3657,2111,487457,6096,4273,2563,67,110,13109,27046,7813,7209,367,720,43152,1088876,271678,233216,6511,4778,1605066
RA21,144412,5629,1803,1598,642,154086,141383,2747,661,494,540,145837,40759,9360,3815,220,234,54381,6995,2981,1204,3,23,11207,19908,1865,770,256,199,22986,1026,675,356,4,16,2071,3208,300,173,553,100,4337,2281,249,122,39,31,2716,74173,15425,6435,1074,602,97707,2343,479,223,46,50,3145,10140,1217,583,245,247,12437,372456,25502,9709,3451,2083,413207
RA22,37242,887,474,550,251,39402,26694,322,166,109,184,27481,7324,1202,1191,36,55,9806,1549,469,514,3,10,2541,5704,292,250,78,83,6409,267,89,130,0,8,497,1355,66,93,191,43,1752,843,40,51,17,28,975,17046,2159,2224,326,229,21978,713,127,36,17,18,909,2688,212,214,103,140,3354,84380,3704,3116,1108,825,93133
