RA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
RA10,988,4504,7518,649,799,4568,19025,138,3773,279,665,118,61,5032,976,31027,1930,1485,674,287,36389,3443,14937,3733,2693,995,245,26045,4181,6932,4060,1029,632,143,16978,11336,5915,6091,1149,2558,198,27242,42477,6518,12775,1239,2020,355,65376,115950,4673,21087,1064,2501,544,145818,96257,1197,14669,378,1416,353,114264,60414,369,8644,137,687,168,70422,34273,185,5167,101,351,117,40191,17637,76,3187,55,185,54,21199,9901,45,1837,29,107,27,11936,16749,39,3764,17,245,46,20858,6637,4693,5036,1186,1125,890,19579,421357,84880,99777,11878,14410,8059,640354
RA11,207,691,2575,225,850,2171,6720,142,691,260,303,143,15,1553,1722,5148,1997,612,630,145,10257,6685,3754,3523,1065,822,191,16041,5731,1507,3608,334,537,99,11822,14253,1618,5101,279,1222,132,22604,23614,1156,6581,229,747,177,32501,19627,281,4350,113,386,105,24868,5308,37,1256,24,113,20,6753,1580,7,454,5,42,14,2095,571,11,204,3,19,0,809,207,8,87,3,14,3,320,87,3,38,3,15,3,144,184,5,159,0,28,8,385,1155,904,1315,329,525,204,4434,81078,15827,31498,3523,6081,3288,141301
RA12,83,175,1941,272,1506,1765,5741,86,197,278,128,179,32,901,1080,1145,1852,445,504,87,5103,3226,962,2497,380,525,106,7691,2169,360,1797,91,263,54,4737,3676,300,1698,70,264,44,6054,3655,131,1350,30,187,33,5382,1906,26,593,9,87,11,2628,281,6,110,3,20,0,420,60,0,36,0,10,0,111,13,3,25,0,3,3,47,12,3,16,0,4,0,37,10,0,4,0,5,0,23,36,3,63,0,14,7,129,266,210,650,88,593,83,1885,16555,3522,12903,1524,4175,2213,40889
RA13,14,60,219,33,494,247,1067,8,24,30,22,54,3,140,56,108,194,58,110,9,532,159,173,209,125,147,13,819,100,77,128,28,32,4,372,99,37,91,21,25,4,268,65,6,41,3,10,0,128,22,0,4,3,7,0,36,0,0,0,0,4,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,4,26,85,7,92,8,234,536,519,1016,288,976,292,3620
RA14,0,26,34,15,124,37,236,0,32,4,86,15,4,138,0,54,29,68,15,11,172,9,23,21,26,10,0,84,0,14,6,4,0,0,31,3,4,3,4,0,0,13,3,3,6,0,8,0,15,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,12,22,0,45,15,156,128,209,194,55,756
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,938,1937,7082,387,539,3985,14870,258,1763,441,369,119,47,2999,1323,14943,2893,967,563,218,20906,4157,6131,4915,1688,840,167,17903,5849,3080,4212,825,648,126,14740,25429,2965,8545,971,1463,248,39611,95224,2929,18876,734,2377,470,120603,112727,1381,15208,323,1372,370,131376,47408,260,7115,133,486,151,55557,21793,101,3373,50,230,65,25611,9811,61,1598,25,104,32,11639,4858,31,980,23,60,21,5977,2500,17,491,7,36,15,3063,5664,15,1160,3,108,38,6991,6434,2441,4540,678,832,684,15614,344390,38057,81425,7182,9776,6621,487457
RA21,128,686,2328,174,807,1910,6034,116,688,338,180,129,27,1479,1874,4822,2241,418,495,135,9992,6198,2319,3830,545,606,150,13647,5803,1057,3446,280,395,76,11054,14209,659,4289,208,722,100,20192,15966,196,3341,57,463,92,20121,7506,71,1441,27,153,44,9251,1215,19,375,9,38,13,1670,306,11,90,0,17,4,434,104,0,47,0,5,0,166,42,4,32,0,3,0,86,21,5,22,0,4,0,57,73,4,99,0,20,7,200,814,663,1065,170,477,152,3341,54381,11207,22986,2071,4337,2716,97707
RA22,34,177,1025,45,568,755,2603,60,257,203,57,79,8,670,645,972,1026,143,312,60,3142,2154,591,1451,117,248,44,4600,1330,199,864,36,132,20,2584,2414,137,780,20,98,16,3464,2175,39,469,15,61,17,2784,719,15,162,10,30,5,948,49,5,35,0,11,7,105,18,3,13,0,8,0,44,9,0,10,0,0,0,24,3,0,12,0,3,0,22,0,4,10,0,0,0,10,21,0,35,0,5,0,65,166,143,329,44,202,45,927,9806,2541,6409,497,1752,975,21978
