RA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
RA10,976383,219296,406153,8336,5499,1615671,129369,40896,65711,2829,1231,240035,25634,8124,15252,841,1786,51639,1131382,268318,487122,12001,8518,1907344
RA11,357513,28863,15575,4952,2420,409313,72399,13079,8708,3010,708,97907,11395,1868,1318,569,546,15697,441307,43804,25597,8531,3673,522910
RA12,107115,3068,3228,1565,1137,116113,34355,1884,2552,938,343,40070,4588,251,435,183,152,5623,146060,5200,6215,2684,1634,161806
RA13,6255,74,200,125,137,6798,2737,27,162,105,72,3095,412,3,29,33,23,494,9408,97,392,262,228,10388
RA14,1059,9,19,48,14,1148,528,6,26,44,3,610,77,3,8,20,8,115,1663,24,52,106,25,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,939177,227387,196396,4665,3475,1371096,123814,36691,29526,1486,568,192087,25891,7596,7286,360,733,41876,1088876,271678,233216,6511,4778,1605066
RA21,302329,16148,5449,2049,1477,327452,60461,8160,3647,1172,362,73801,9669,1196,616,225,242,11951,372456,25502,9709,3451,2083,413207
RA22,63741,2118,1546,610,551,68567,17994,1385,1356,402,137,21280,2641,203,215,93,139,3292,84380,3704,3116,1108,825,93133
RA23,891,13,0,12,10,926,308,12,5,7,4,339,30,0,0,3,3,39,1231,28,4,21,16,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,664158,106662,123307,3886,2567,900576,64962,22055,24269,2221,573,114081,15093,4525,4780,444,986,25826,744210,133240,152357,6544,4119,1040479
RA31,244038,15213,7979,2868,1272,271368,45690,7635,4254,1699,335,59616,7046,979,593,428,488,9535,296773,23830,12826,4997,2098,340521
RA32,159283,10646,14142,2250,947,187261,30927,4385,5062,1171,288,41835,5028,654,928,395,341,7342,195238,15676,20126,3815,1573,236442
RA33,14871,808,580,428,380,17074,4114,282,297,267,106,5065,630,46,75,102,41,898,19610,1132,953,803,526,23030
RA34,9639,729,295,356,191,11220,3544,297,183,186,52,4262,622,69,40,108,37,877,13814,1091,516,656,282,16358
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
