RA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
RA10,45182,4764,539,315,50797,915,269,1182,51979,2599,45,54616,76402,7950,793,564,85705,811,181,996,86697,1782,75,88560,19941,1799,1838,200,23784,268,30,296,24078,457,27,24559,1243,136,31,902,2312,34,9,45,2361,115,82,2558,142769,14646,3204,1977,162599,2028,488,2514,165117,4952,225,170291,2220,293,28,50,2590,315,44,355,2943,150,7,3102,4232,581,36,91,4938,274,81,359,5293,206,10,5511,6454,875,67,133,7527,587,130,715,8242,359,16,8613,149219,15517,3273,2116,170121,2612,619,3233,173356,5312,243,178907,71874,12769,1691,2215,88543,3154,821,3978,92522,12024,317,104852,358,87,6,371,820,17,6,26,842,95,793,1736,221445,28369,4963,4704,259484,5789,1445,7229,266721,17431,1355,285500,60126,6674,505,389,67691,1360,397,1760,69452,3558,79,73089,85647,8789,832,689,95959,1181,267,1446,97409,2421,75,99911,3709,425,685,58,4872,60,14,75,4947,168,11,5123,1043,140,19,1042,2245,36,18,49,2299,133,84,2510,150517,16039,2037,2174,170766,2640,695,3339
RA11,6987,994,133,50,8168,96,50,151,8317,560,12,8887,18366,2323,265,174,21128,172,52,219,21351,512,27,21887,3919,413,487,34,4845,56,10,66,4913,105,6,5023,249,38,8,220,517,8,6,12,532,28,10,574,29524,3767,887,479,34664,336,117,456,35114,1201,52,36369,222,63,5,5,295,75,5,79,376,34,3,410,700,103,20,26,854,69,16,86,943,46,0,985,923,167,22,35,1144,147,21,172,1313,82,6,1402,30444,3933,916,518,35810,479,141,623,36430,1285,56,37772,13044,2265,403,443,16152,731,144,876,17025,2109,47,19180,118,22,4,40,182,0,0,4,189,8,134,332,43607,6214,1325,997,52141,1211,285,1496,53639,3401,232,57277,12723,1658,193,92,14661,201,78,278,14939,875,16,15824,21916,2936,320,219,25390,274,67,339,25727,892,28,26648,989,158,242,21,1406,24,5,31,1432,59,0,1495,245,32,6,267,546,17,0,17,555,47,16,622,35868,4774,760,592,41993,515,144,664
RA12,1949,242,31,24,2242,28,3,30,2270,126,3,2401,5088,546,71,66,5777,54,24,71,5846,166,14,6027,1041,111,121,15,1288,16,0,16,1302,27,4,1329,80,12,3,76,170,3,0,3,176,8,3,184,8165,904,227,177,9474,94,27,116,9594,327,22,9948,54,8,0,6,73,21,6,25,96,14,0,108,187,27,0,3,220,18,8,27,249,20,3,270,238,43,3,7,294,39,9,49,341,32,3,378,8400,944,232,190,9765,136,34,172,9939,366,23,10325,4006,638,138,166,4952,298,54,355,5304,733,20,6065,37,4,0,10,51,0,0,0,51,3,55,109,12446,1584,372,368,14769,433,93,521,15287,1103,101,16493,3748,459,53,29,4288,52,15,69,4366,219,7,4588,6335,777,100,69,7286,91,39,128,7413,291,18,7721,307,41,61,8,407,0,6,6,411,17,3,435,90,6,3,128,229,3,3,3,233,14,11,261,10478,1283,217,243,12217,149,59,211
RA13,234,19,3,0,252,0,0,0,252,5,0,263,379,33,4,7,419,12,0,12,430,11,0,435,99,4,9,0,119,0,0,0,122,0,0,124,8,0,0,11,23,0,0,0,20,0,0,26,719,54,16,20,813,14,0,14,826,12,0,841,4,0,0,0,4,0,0,0,7,0,0,7,10,3,0,0,13,0,0,0,19,3,0,15,13,3,0,0,19,3,0,0,21,3,0,25,731,64,16,20,834,16,0,13,845,17,0,868,320,35,18,21,388,17,0,22,410,54,3,471,3,0,0,0,8,0,0,0,8,0,8,12,1052,92,38,40,1231,34,3,36,1262,73,14,1347,372,18,0,6,403,0,0,0,399,6,0,410,429,49,5,9,492,5,0,5,498,16,0,516,14,4,13,0,28,0,0,0,28,0,0,31,15,0,0,21,31,0,0,0,30,0,0,36,834,69,15,33,954,9,0,13
RA14,34,9,0,0,40,0,0,0,40,8,0,46,47,7,0,0,54,0,0,0,54,7,0,57,14,3,0,5,25,0,0,0,25,0,0,25,4,0,0,0,3,0,0,0,3,0,0,3,91,15,0,7,118,0,0,0,118,10,0,130,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,91,15,0,7,118,3,0,3,119,17,0,134,62,3,0,0,68,11,0,11,75,21,0,97,0,0,0,0,0,0,0,0,0,0,3,3,151,22,0,7,183,9,0,10,196,37,4,236,68,11,0,0,77,0,3,5,82,6,0,92,40,4,0,0,47,0,0,0,48,15,0,57,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,7,0,0,7,109,15,0,3,125,3,3,10
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,29990,3986,396,210,34581,869,208,1073,35650,2042,46,37739,66511,7545,714,560,75332,872,196,1065,76396,1672,74,78148,16303,1562,1542,155,19568,207,26,240,19805,344,12,20157,970,140,16,774,1903,45,4,50,1950,95,72,2116,113778,13232,2675,1699,131380,1988,437,2428,133807,4148,207,138161,1963,341,21,50,2370,398,28,426,2793,183,4,2979,3735,548,31,41,4359,320,110,428,4793,147,11,4953,5696,888,55,92,6730,712,138,849,7580,330,15,7927,119470,14119,2728,1790,138109,2706,573,3280,141387,4481,225,146090,63143,10167,1508,1654,76478,3048,595,3649,80122,9867,231,90215,347,82,14,310,748,21,3,24,773,72,661,1507,182961,24373,4240,3762,215332,5775,1177,6952,222281,14423,1108,237811,39302,5231,383,277,45191,1170,280,1447,46642,2680,48,49370,74639,8002,692,643,83974,1094,206,1303,85269,2210,91,87578,2830,383,553,33,3809,38,11,45,3854,135,3,3990,799,147,14,756,1712,38,14,47,1766,112,67,1946,117568,13756,1643,1713,134688,2339,507,2847
RA21,4285,687,79,29,5076,88,35,120,5194,357,5,5558,16686,1842,300,140,18969,185,38,225,19189,402,17,19617,3612,386,411,50,4461,37,7,47,4512,65,3,4581,269,21,8,149,447,0,4,3,448,21,10,479,24849,2931,798,373,28948,312,79,396,29345,847,40,30231,145,22,5,7,184,38,4,38,224,32,0,255,553,62,9,10,635,46,10,57,690,25,0,723,703,85,16,16,821,79,15,97,918,57,0,973,25546,3019,813,386,29767,396,101,496,30265,903,39,31204,12541,1769,384,366,15057,557,90,645,15703,1542,33,17275,88,9,3,30,131,0,0,4,131,10,104,249,38180,4795,1196,780,44955,954,193,1144,46101,2455,169,48723,7949,1139,124,67,9278,102,64,163,9447,588,18,10046,20480,2345,334,204,23367,226,45,273,23633,671,26,24334,789,122,217,20,1142,14,11,26,1171,47,4,1220,229,23,3,193,450,4,0,6,456,30,10,497,29439,3630,679,488,34240,352,118,463
RA22,780,113,6,6,910,24,4,23,934,62,0,993,3134,333,51,32,3552,39,11,48,3597,83,3,3683,644,63,75,7,789,8,0,8,797,19,0,817,43,5,0,36,86,0,0,0,90,5,3,96,4601,522,137,74,5336,69,17,86,5422,165,7,5593,27,3,0,0,29,9,3,8,35,14,0,55,70,14,0,0,87,17,5,21,103,8,0,115,96,19,0,0,110,26,7,33,143,26,0,166,4699,537,137,74,5445,97,20,113,5563,185,7,5757,2494,346,76,80,2994,152,40,194,3189,364,6,3551,11,0,0,4,16,0,0,0,20,7,32,58,7204,879,215,163,8462,252,59,311,8772,553,46,9368,1594,236,19,9,1860,31,11,44,1901,114,0,2009,3963,470,64,44,4538,33,12,44,4579,160,4,4742,158,27,34,5,224,4,0,4,229,7,0,235,45,3,0,57,111,0,0,0,115,14,4,132,5762,733,120,114,6729,72,21,92
