RA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
RA10,29447,973,324,1296,30750,6936,144,37833,164,50,4,119,331,4,3,7,339,51,384,777,110594,14532,1584,2258,128958,3039,864,3907,132866,11411,680,144954,25488,2549,275,187,28499,541,131,676,29172,1589,32,30791,26142,3397,321,237,30094,466,110,571,30665,1140,27,31840,662,99,159,18,942,17,0,13,952,53,0,1008,317,49,5,379,754,22,6,26,781,67,38,886,52607,6096,755,820,60284,1043,248,1293,61577,2845,96,64521,770,127,13,15,926,150,19,168,1103,82,0,1182,1299,248,15,44,1612,133,68,208,1818,136,4,1956,2071,377,31,58,2537,286,93,375,2917,221,3,3136,54681,6476,786,885,62826,1325,340,1666,64495,3068,102,67664,13323,2832,269,439,16862,517,213,728,17594,4420,82,22096,86,32,0,76,196,8,3,9,206,20,245,481,68089,9336,1058,1394,79888,1854,555,2408,82292,7506,436,90237,36226,3549,404,296,40472,909,188,1100,41575,2490,36,44105,33329,4724,421,350,38822,644,141,789,39611,1747,47,41404
RA11,5272,211,40,249,5522,1377,19,6920,49,4,0,23,74,3,3,3,78,10,91,184,26507,3784,633,532,31454,678,148,826,32278,2625,154,35063,6510,743,97,63,7402,117,21,139,7538,384,8,7926,7227,1102,127,91,8542,123,30,155,8697,438,12,9148,220,59,83,3,358,6,0,4,363,30,0,399,92,8,0,118,221,8,0,8,230,19,4,247,14048,1905,301,278,16527,251,53,305,16836,869,23,17720,142,31,0,10,181,33,0,40,216,30,0,252,223,42,3,3,269,21,10,33,306,24,0,329,363,73,4,14,455,55,14,66,523,59,0,579,14411,1978,308,292,16981,306,71,376,17359,924,23,18299,2395,431,66,80,2977,126,10,134,3111,941,12,4066,38,3,0,12,60,0,3,3,61,3,45,119,16845,2412,371,384,20019,431,85,512,20535,1866,82,22485,9050,1015,149,83,10297,128,36,163,10457,547,15,11015,8988,1472,174,108,10743,139,36,179,10924,570,17,11511
RA12,1502,74,14,86,1593,534,13,2139,29,7,0,3,35,0,0,0,40,0,42,82,7743,1063,196,187,9194,239,48,286,9476,944,67,10494,1797,185,22,19,2018,19,8,26,2045,110,3,2161,1940,312,38,24,2314,42,11,50,2359,128,8,2490,61,7,20,0,92,0,0,0,92,3,0,96,36,3,3,41,83,0,0,0,83,8,0,90,3829,511,87,79,4509,54,23,78,4588,248,7,4840,26,14,0,3,44,27,0,28,70,19,0,86,53,9,3,3,65,14,0,13,80,4,0,84,81,17,3,6,107,36,3,42,150,27,0,171,3906,528,91,89,4615,95,26,120,4729,274,7,5015,675,114,30,22,840,56,17,68,906,397,9,1314,10,5,0,4,19,0,0,0,19,0,19,43,4597,645,115,109,5468,149,39,185,5657,668,39,6369,2419,277,40,35,2771,27,5,38,2808,163,0,2972,2306,430,57,35,2825,38,7,50,2875,176,3,3055
RA13,84,4,0,9,97,48,3,141,3,0,0,0,3,0,0,0,3,0,3,5,534,51,13,24,620,19,3,19,638,71,9,713,71,10,3,0,89,0,0,0,90,6,0,99,70,20,0,7,93,6,0,6,102,4,0,105,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,7,10,0,0,0,10,0,0,11,145,30,3,13,196,5,0,5,199,13,0,216,5,0,0,0,5,0,3,3,4,3,0,11,0,0,0,0,0,0,0,0,3,0,0,7,6,0,0,0,6,0,3,3,11,3,0,16,155,30,3,13,201,5,3,7,211,17,0,229,36,0,0,4,37,6,0,9,46,26,0,68,0,0,0,0,0,0,0,0,0,0,3,3,187,34,4,17,243,10,3,14,258,40,3,298,107,13,3,0,116,5,0,5,121,4,0,125,99,9,0,8,119,3,0,3,125,7,0,129
RA14,11,0,0,0,17,15,0,29,0,0,0,0,0,0,0,0,0,0,3,3,66,4,3,0,72,4,0,4,75,27,3,108,19,0,0,0,19,0,0,0,19,3,0,25,7,0,0,0,11,0,0,0,11,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,25,0,0,3,28,0,0,0,28,4,0,35,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,31,0,0,3,29,0,0,0,29,4,0,36,6,0,0,0,5,0,0,0,5,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,3,35,0,0,0,35,16,0,52,13,0,0,0,13,0,0,0,13,3,0,17,5,3,0,0,7,0,0,0,7,7,0,11
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,22985,899,245,1137,24128,4950,92,29168,143,25,3,125,298,4,0,5,302,34,280,622,88591,11712,1272,1814,103395,2843,674,3516,106908,8486,504,115897,17570,2029,181,129,19912,505,104,605,20523,1112,28,21659,23773,2897,259,218,27148,405,100,505,27651,966,31,28646,533,81,129,3,747,22,3,25,768,43,0,804,303,55,3,326,681,24,5,27,707,45,18,773,42176,5064,569,670,48483,956,209,1164,49647,2166,72,51880,594,115,11,18,734,167,17,185,921,87,0,1008,1046,181,5,26,1262,135,61,193,1464,103,3,1567,1643,298,20,47,2002,298,79,379,2383,191,3,2576,43820,5361,593,718,50487,1256,287,1543,52029,2355,75,54460,10391,1896,171,312,12765,494,143,642,13407,3151,59,16618,85,20,0,49,151,7,0,4,158,28,180,363,54292,7276,762,1073,63400,1752,439,2187,65587,5536,314,71440,25816,2892,305,199,29220,731,155,890,30101,1766,32,31897,30983,3980,391,305,35665,590,111,702,36365,1581,42,37986
RA21,4682,171,30,202,4880,952,18,5847,30,9,4,23,68,0,0,0,66,0,53,125,22307,2853,536,517,26215,493,119,609,26824,1872,114,28808,4596,495,66,39,5196,60,18,78,5267,262,10,5541,6770,846,132,91,7830,93,29,114,7945,322,12,8284,218,32,48,0,300,10,3,14,312,14,0,326,59,12,3,95,168,0,0,0,170,8,3,183,11637,1383,247,223,13495,166,45,206,13701,603,29,14331,95,21,3,4,123,29,0,33,159,15,0,174,207,25,6,3,243,11,8,21,264,22,0,288,308,50,8,9,369,47,9,51,424,38,0,464,11950,1432,251,231,13867,207,51,260,14127,640,25,14790,2096,315,81,82,2577,98,29,124,2700,647,8,3359,27,6,0,9,45,3,0,4,50,3,40,94,14075,1759,339,319,16490,307,76,389,16877,1289,76,18238,6661,699,105,47,7511,105,25,132,7641,332,21,7992,8890,1148,186,104,10328,120,19,139,10466,448,13,10931
RA22,801,40,23,64,863,259,7,1133,18,0,0,6,25,0,0,0,27,5,19,47,4372,502,105,109,5086,113,34,156,5239,490,37,5759,973,97,20,9,1094,14,3,24,1118,44,0,1166,1348,149,20,24,1542,17,4,25,1563,76,0,1644,37,9,8,0,58,0,0,0,54,4,0,60,18,3,0,27,44,0,0,0,43,3,3,53,2379,256,48,53,2738,38,9,45,2782,129,8,2919,23,9,0,0,27,9,0,9,41,3,0,42,22,0,0,0,23,3,8,14,34,4,0,37,43,7,0,0,50,15,8,23,76,9,0,80,2420,262,48,60,2788,54,13,68,2855,137,8,3004,375,66,5,22,474,12,9,18,491,182,3,679,6,3,0,3,12,0,0,0,12,0,11,26,2802,339,59,80,3272,69,18,92,3364,321,22,3706,1455,142,34,7,1636,27,0,24,1667,76,9,1750,1810,240,42,16,2113,28,5,35,2146,113,3,2261
