RA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
RA10,896,164,232,17,1310,17,8,22,1333,82,3,1412,412,67,15,552,1040,27,4,34,1078,87,36,1189,70857,8499,1072,1218,81646,1604,345,1944,83590,4406,115,88112,892,192,15,30,1126,206,21,231,1357,147,0,1502,1405,365,24,37,1835,160,92,255,2091,204,3,2300,2301,558,37,69,2968,371,117,483,3448,347,7,3804,73157,9057,1110,1287,84609,1967,458,2427,87042,4754,123,91910,16974,3626,329,612,21534,731,246,979,22516,5995,78,28589,92,29,0,78,210,3,0,3,213,35,232,478,90231,12716,1441,1974,106354,2703,703,3408,109763,10781,437,120981,19593,2204,235,126,22152,490,132,618,22773,1567,13,24356,16002,2684,219,142,19049,365,102,467,19511,1216,17,20747,504,98,186,14,805,12,9,14,815,64,4,879,204,39,15,373,630,9,3,15,647,60,21,731,36298,5029,653,655,42636,879,243,1121,43753,2900,57,46712,448,100,7,12,576,120,15,132,710,101,0,815,641,197,13,21,872,80,72,145
RA11,285,58,83,3,429,4,0,5,432,33,0,468,134,16,3,151,302,5,0,5,307,31,3,340,18458,2558,407,344,21771,278,72,356,22127,1182,38,23338,156,31,7,3,195,52,3,52,253,39,0,293,229,41,4,9,283,24,12,28,314,36,0,349,385,74,9,13,480,70,12,86,570,78,0,647,18837,2636,419,358,22252,352,85,441,22691,1255,38,23985,2733,479,89,70,3366,148,33,182,3544,1049,9,4609,29,3,3,3,41,0,3,3,44,4,44,92,21603,3124,508,426,25658,498,122,625,26285,2312,89,28682,2137,235,38,21,2430,34,11,48,2476,140,0,2612,2003,321,39,16,2384,25,13,43,2431,147,3,2583,56,17,27,0,101,0,0,0,105,11,0,121,33,3,0,31,64,0,0,0,64,3,0,75,4230,576,113,70,4985,60,22,87,5072,303,8,5383,34,8,0,0,42,18,0,18,59,7,0,70,43,11,3,0,48,5,3,8
RA12,94,11,33,0,134,5,0,3,141,8,0,150,41,4,3,70,117,0,0,0,114,6,0,123,4857,726,131,134,5843,74,17,96,5939,355,3,6300,36,17,3,3,63,28,3,30,93,14,0,108,43,8,3,4,60,13,3,14,76,6,0,83,86,30,5,6,122,35,12,43,169,24,0,196,4941,752,136,140,5970,111,31,137,6108,380,3,6495,695,138,28,22,893,44,12,52,946,409,9,1360,8,4,0,3,17,0,0,0,14,3,21,38,5646,898,167,165,6872,153,38,192,7069,796,30,7894,408,46,7,4,465,0,0,0,465,32,0,497,346,56,9,0,415,4,0,6,422,30,3,452,9,5,5,0,12,3,0,3,13,0,0,13,3,4,0,4,15,0,0,0,15,3,0,16,766,107,18,16,900,4,3,7,911,61,4,977,3,0,0,0,3,3,0,3,8,7,0,15,7,0,0,0,7,0,0,0
RA13,4,0,3,0,5,0,0,0,5,0,0,5,0,0,3,4,10,0,0,0,10,0,0,11,208,24,8,13,249,5,0,8,258,13,0,268,5,0,0,0,3,5,0,5,4,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,6,5,0,4,11,3,0,11,213,22,8,13,257,11,0,10,269,12,0,286,36,3,0,4,44,4,0,4,47,29,0,76,0,0,0,0,0,0,0,0,0,0,0,0,249,24,10,10,300,19,0,18,320,46,0,364,9,0,0,0,6,0,0,0,7,0,0,7,10,3,0,0,11,0,0,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,23,0,0,0,24,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,24,0,0,0,25,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,24,0,0,0,25,4,0,30,3,0,0,0,7,3,0,3,6,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,23,3,7,0,30,3,0,3,35,10,0,45,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,762,131,194,14,1095,23,8,31,1128,69,3,1201,395,65,3,467,933,31,5,34,971,57,24,1054,57956,7075,893,987,66910,1371,282,1656,68569,3472,94,72135,762,158,9,21,959,251,18,264,1224,120,3,1347,1208,236,14,46,1504,163,83,242,1741,161,0,1906,1976,395,29,68,2463,409,96,505,2968,281,6,3249,59931,7467,924,1050,69371,1783,374,2161,71533,3751,99,75386,13414,2412,241,430,16495,657,175,828,17327,4523,65,21912,101,21,0,57,180,3,0,4,184,14,184,383,73449,9898,1166,1537,86045,2443,552,2997,89043,8287,350,97682,15873,1801,174,128,17982,458,94,550,18534,1247,22,19797,16753,2595,208,153,19709,383,78,461,20173,1139,21,21334,449,93,159,19,722,17,3,22,738,54,0,793,205,29,4,296,532,15,3,23,550,50,12,611,33278,4518,551,597,38937,876,175,1052,39996,2493,54,42539,449,80,8,16,548,167,11,175,728,75,7,808,622,166,15,16,820,87,57,142
RA21,290,47,89,6,431,6,0,9,440,35,0,472,113,22,3,184,318,0,0,0,316,16,3,332,15952,1917,380,339,18586,228,47,279,18864,826,33,19732,154,21,3,4,184,28,3,38,216,16,0,236,208,28,8,6,247,15,10,30,276,24,0,296,360,53,12,7,432,45,14,65,493,43,0,532,16307,1965,394,354,19023,278,65,338,19358,869,39,20268,2469,406,103,94,3077,107,27,141,3214,798,10,4019,33,3,0,3,41,3,0,3,44,5,44,99,18813,2380,502,448,22141,384,96,481,22618,1675,94,24381,2084,236,38,13,2374,31,11,40,2418,138,8,2561,2485,359,60,29,2928,36,3,38,2971,138,3,3109,88,23,37,3,147,0,0,0,147,10,0,154,41,6,0,39,87,0,0,0,86,9,0,92,4694,620,134,91,5536,68,15,87,5622,290,7,5924,37,7,0,0,54,11,0,14,63,7,0,74,59,3,0,0,66,0,3,3
RA22,65,9,19,0,92,0,0,0,97,5,0,99,31,3,0,36,73,3,0,3,76,9,0,79,3368,387,92,69,3917,58,7,64,3980,202,9,4195,31,7,0,0,35,9,0,9,48,8,0,48,31,5,0,0,43,5,3,3,46,10,0,61,61,11,0,0,80,17,3,16,93,21,0,110,3429,404,92,72,3993,71,7,77,4069,219,9,4306,467,81,13,26,589,18,3,22,609,222,3,831,13,3,0,0,12,0,0,0,12,0,20,29,3908,485,103,96,4591,92,13,102,4696,440,32,5170,302,27,9,3,340,3,0,3,341,25,0,365,325,55,11,6,397,4,0,8,402,34,0,442,13,0,10,0,24,0,0,0,24,0,0,24,3,3,0,3,9,0,0,0,9,3,0,9,640,91,23,12,767,6,0,7,775,58,4,838,6,0,0,0,6,4,0,4,8,3,0,11,7,0,0,0,7,0,0,0
