RA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
RA10,1481,2764,2318,1987,3262,1542,866,14226,362,788,646,531,790,357,208,3686,37,64,42,51,65,38,14,308,80,86,60,53,69,37,23,425,1965,3704,3071,2623,4185,1978,1114,18641,125,268,187,147,209,81,54,1073,49,138,75,61,64,36,22,449,176,405,264,202,277,117,78,1522,2141,4109,3331,2825,4465,2092,1192,20165,824,1255,1036,836,987,478,350,5770,73,73,56,44,39,14,14,312,3047,5443,4415,3710,5483,2588,1555,26241,4555,10395,8658,6654,10814,5703,3104,49882,6968,13501,9219,6220,8366,3457,1726,49452,953,602,359,269,395,164,122,2863,279,404,325,232,362,153,87,1836,12754,24907,18564,13369,19933,9483,5033,104035,578,1432,866,637,904,344,173,4927,1404,2589,1404,857,1025,399,191,7879,1982,4023,2274,1493,1926,743,365,12804,14738,28926,20835,14867,21864,10220,5393,116841,21460,19968,10651,6946,8396,3676,2186,73280,362,431,242,173,117,63,26,1417,36560,49322,31727,21978,30376,13967,7611,191536,6041,13160,10975,8644,14080,7245,3976,64110
RA11,366,881,782,686,1013,212,89,4035,134,358,305,205,324,66,15,1404,21,23,18,19,38,3,3,127,15,35,34,23,25,10,3,142,539,1304,1145,929,1395,288,109,5711,67,121,102,87,98,21,3,495,13,92,47,31,29,0,0,219,79,212,145,112,131,23,3,712,620,1519,1287,1041,1521,309,118,6417,378,638,442,368,401,85,38,2343,25,43,37,29,20,0,3,158,1023,2199,1773,1434,1938,403,150,8920,1030,2635,2327,1918,2961,626,186,11681,2835,5402,3593,2481,3036,516,136,17997,342,290,182,113,159,34,8,1129,89,150,108,82,111,15,3,551,4302,8469,6210,4593,6259,1188,330,31363,257,657,445,302,338,67,18,2085,592,1040,420,273,267,50,12,2656,852,1697,863,579,606,119,31,4740,5153,10172,7072,5168,6865,1311,361,36099,8590,7381,3732,2198,2120,397,137,24560,157,147,107,71,44,3,0,526,13903,17699,10910,7442,9027,1711,499,61182,1397,3514,3113,2607,3967,837,276,15716
RA12,115,223,185,172,272,36,11,1017,44,125,83,63,89,19,3,421,7,8,7,3,14,0,0,38,3,13,10,13,6,0,0,48,165,369,288,249,384,56,12,1523,15,44,31,30,36,5,0,159,15,29,14,19,5,3,0,84,31,69,46,40,43,12,0,243,196,445,332,291,426,69,15,1771,150,251,154,104,138,18,6,806,11,16,16,12,5,0,0,53,353,706,500,402,570,82,17,2630,289,737,579,458,678,108,17,2865,785,1468,969,641,769,91,13,4737,95,69,30,21,30,12,4,267,43,45,36,18,27,7,0,175,1215,2318,1609,1139,1513,210,43,8044,97,222,158,108,120,8,4,705,190,262,129,94,78,12,0,757,284,481,290,195,196,14,4,1468,1497,2800,1899,1342,1706,230,45,9511,2909,2429,1251,715,676,101,25,8109,65,74,46,22,18,0,0,236,4474,5296,3197,2077,2405,332,67,17852,405,956,762,623,953,149,28,3881
RA13,7,11,16,10,11,3,0,51,3,7,4,0,3,0,0,17,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,14,17,21,10,11,3,0,73,3,11,4,0,0,3,0,18,0,7,0,0,0,0,0,7,3,11,4,3,0,3,0,22,16,30,23,10,12,4,0,97,12,16,6,7,16,3,0,57,0,4,3,3,0,0,0,9,29,44,37,18,29,5,0,164,28,63,47,23,22,4,0,188,56,77,45,31,18,3,0,233,3,4,3,0,0,0,0,12,4,8,0,9,7,0,0,24,91,152,98,62,51,6,0,461,3,21,19,13,5,0,0,69,22,33,5,11,5,0,0,76,24,53,24,18,12,0,0,142,121,202,127,79,68,7,0,597,251,184,120,66,42,6,0,671,11,11,8,5,7,0,0,50,378,403,257,153,113,14,0,1316,34,68,64,34,37,5,0,242
RA14,0,0,4,3,0,0,0,14,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,8,3,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,8,8,3,0,0,27,8,13,3,5,3,0,0,33,3,0,0,0,0,0,0,3,11,15,12,12,9,0,0,60,6,17,13,5,7,0,0,52,3,10,3,0,3,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,33,16,9,11,0,0,76,3,4,0,0,0,0,0,8,0,7,3,3,0,0,0,12,3,12,3,3,0,0,0,20,19,44,20,8,9,0,0,101,67,69,19,20,12,4,0,189,0,3,3,0,0,0,0,10,90,112,38,30,20,4,0,292,11,18,18,9,10,0,0,64
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1034,2106,1700,1506,2622,1522,850,11336,290,634,525,387,624,372,206,3024,51,38,34,45,66,41,29,302,76,68,54,50,61,35,25,368,1444,2844,2311,1987,3374,1972,1101,15030,109,186,150,118,176,108,63,899,45,128,71,47,71,31,19,407,146,308,224,164,244,135,85,1311,1595,3155,2531,2154,3614,2107,1183,16339,600,1009,756,602,784,449,278,4479,55,69,35,29,34,15,11,255,2251,4229,3321,2781,4431,2577,1480,21069,3022,6964,5867,4726,8072,4910,2862,36425,5431,10949,7863,5629,7637,3796,1875,43178,699,443,298,216,316,180,125,2280,222,336,277,190,286,193,108,1613,9378,18689,14310,10757,16312,9073,4969,83497,547,1139,711,511,780,403,191,4275,971,1935,1187,724,805,406,199,6225,1513,3070,1898,1231,1584,808,390,10499,10888,21764,16207,11992,17898,9881,5357,93990,15521,14418,7896,5212,6849,3406,2006,55311,302,338,217,163,131,61,38,1257,26715,36527,24328,17368,24872,13353,7401,150556,4058,9070,7571,6230,10693,6432,3717,47760
RA21,246,591,545,451,826,251,86,3003,77,204,187,143,231,75,15,936,11,23,19,20,27,11,3,109,17,18,15,12,17,3,0,85,352,843,763,629,1106,336,108,4137,33,74,67,52,75,14,4,315,17,46,36,20,27,4,4,165,55,122,103,72,101,15,12,475,408,960,866,707,1202,351,118,4607,238,400,317,227,262,77,27,1547,21,15,20,17,11,3,0,86,663,1378,1202,954,1477,425,142,6244,541,1467,1363,1182,2023,651,218,7443,1976,4169,2774,1905,2588,657,181,14247,277,239,134,93,134,35,20,930,54,80,65,43,76,16,6,349,2848,5953,4339,3224,4827,1360,423,22965,126,429,270,173,211,52,16,1273,361,728,383,219,252,62,8,2017,488,1163,655,390,461,114,19,3294,3336,7113,4990,3613,5284,1477,444,26264,5808,5073,2477,1627,1717,437,101,17232,81,97,58,44,38,7,3,328,9228,12280,7522,5280,7044,1920,548,43818,793,2058,1905,1635,2851,901,305,10444
RA22,54,113,140,116,165,26,6,630,33,74,42,31,47,8,0,243,0,3,7,6,4,0,0,26,0,3,6,3,4,0,0,18,93,194,195,161,227,35,7,914,12,13,8,10,16,0,0,57,0,11,5,5,0,0,0,29,11,26,14,16,16,0,0,87,108,219,209,175,242,34,12,996,56,106,61,60,62,15,3,360,5,10,3,0,3,0,0,30,165,346,274,236,305,55,14,1390,104,292,255,249,382,93,22,1402,363,737,517,335,505,103,17,2567,40,26,23,12,25,0,0,136,13,27,18,10,17,0,0,92,516,1083,814,608,932,201,40,4192,17,68,51,32,33,14,3,216,53,134,62,50,40,11,0,350,68,201,114,81,77,21,3,562,588,1291,930,687,1003,220,42,4756,1263,1122,537,337,374,55,17,3712,24,26,19,12,12,8,0,86,1872,2441,1476,1036,1387,281,59,8556,159,411,395,364,548,119,28,2024
