RA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA10,88348,56724,38045,19601,5716,1356,310045,1718,15883,19613,17065,15751,7710,2035,450,80230,70678,255905,198529,133223,94087,50304,18590,5746,827067,30624,88676,92928,86473,63499,36620,15076,5370,419271,57781,122325,114675,115382,89294,56541,27943,9619,593559,7935,8029,8430,8012,6337,3479,1027,375,43621,6255,11162,15681,20020,19761,15037,6248,2600,96758,71966,141514,138788,143417,115390,75051,35217,12595,733942,3132,7722,7726,8105,8297,6801,3531,1526,46841,51783,69325,55140,51581,48566,45885,37867,27548,387685,235449,673736,601074,496592,383635,241972,118028,54594,2805077
RA11,5874,6182,6405,4297,1249,256,28662,242,2274,3396,3975,5182,2718,638,115,18553,4881,23214,25962,21591,21782,13996,5014,1404,117846,3836,12949,17496,20674,20864,14082,5553,1568,97024,21960,42122,41134,45598,40667,26529,11873,3284,233168,3653,3191,2758,2979,2645,1612,419,93,17343,1862,2744,3760,5596,6689,5701,2290,721,29371,27479,48056,47654,54171,49999,33836,14586,4104,279891,446,811,916,1291,1889,2111,1040,439,8942,17385,14650,15139,18184,20752,22294,17632,10144,136183,54473,106150,116448,126065,126860,93345,45720,18033,687094
RA12,949,1100,1252,860,222,41,5128,54,488,734,909,1236,648,130,23,4225,1058,5490,6204,5386,5590,3583,1094,333,28735,773,2941,4116,5433,5907,3683,1333,342,24528,5925,11210,11294,13352,13076,8019,3036,744,66654,1013,867,891,1030,950,485,126,26,5384,518,835,1102,1676,1940,1444,504,132,8159,7458,12914,13287,16057,15966,9952,3662,903,80199,120,231,215,343,578,535,267,82,2374,6272,4962,5307,7264,8617,8649,6364,3094,50529,15783,27689,30814,36489,39141,27900,13068,4823,195713
RA13,57,49,37,20,4,3,240,7,42,32,51,39,16,0,0,187,91,573,413,271,214,105,30,9,1704,53,268,271,335,267,118,43,10,1362,385,771,690,660,612,315,121,25,3581,62,73,62,67,50,19,3,3,336,44,46,77,90,76,45,18,3,398,487,893,828,821,736,380,135,29,4314,11,13,17,19,21,16,4,3,110,532,534,522,628,653,563,378,124,3926,1179,2407,2129,2184,1969,1208,604,176,11850
RA14,10,15,13,5,0,0,44,0,7,4,4,4,6,0,0,29,6,74,56,37,41,17,4,0,245,7,47,51,63,52,29,14,0,265,68,120,110,119,128,55,13,3,615,18,25,25,18,13,7,0,0,100,8,9,13,29,19,16,3,0,89,100,159,152,162,156,71,12,3,805,0,7,5,6,0,5,0,0,26,146,194,138,180,156,107,59,9,984,258,486,421,469,418,240,88,18,2405
RA15,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
RA19,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
RA20,66481,40519,26325,13702,3880,927,236531,2096,20565,23926,21577,17417,7870,1959,414,95825,63510,221351,167387,107035,71483,37811,14022,4553,687152,29752,82748,76454,67232,48920,30117,12524,4417,352172,50582,105043,91111,94671,68872,40617,20619,6806,478310,6399,6149,5797,5219,3754,2038,560,167,30089,4762,9061,10891,12347,10643,7513,3303,1505,60020,61747,120256,107800,112231,83259,50172,24485,8472,568426,2426,5921,5298,4719,4417,3924,2246,1015,29961,43782,56703,44427,41773,38683,37501,30783,19823,313471,208628,586922,491767,395090,290506,181098,89896,39625,2283532
RA21,4562,4507,4392,2792,716,120,20779,276,2910,4315,4633,4823,2550,531,70,20102,4778,20336,21907,16576,16133,10170,3247,907,94058,3832,11926,14439,16409,15760,11166,4062,1201,78794,17699,34378,32032,35333,29772,18136,7412,2083,176850,2354,2204,1988,1839,1620,856,184,70,11102,1257,2207,2739,3081,3324,2613,900,343,16457,21307,38794,36760,40252,34715,21607,8493,2493,204414,275,641,691,846,1039,1193,638,284,5603,12975,10646,11708,14458,16589,17457,12943,6877,103651,43811,88577,94375,97681,93453,66932,30629,11953,527404
RA22,557,443,507,355,85,10,2439,73,453,626,724,810,396,71,23,3160,718,3541,3445,2712,2975,1850,614,173,16026,672,2111,2706,3149,3417,2348,806,256,15467,3548,6624,6309,7679,7101,4381,1649,442,37747,605,522,454,440,426,224,43,13,2733,282,464,575,705,783,585,198,67,3655,4434,7611,7342,8828,8317,5191,1889,521,44134,80,112,134,175,213,254,140,60,1169,3156,2555,2580,3614,4477,4889,3496,1959,26721,9193,16794,17396,19642,20713,15283,7097,3004,109118
