RA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,383635,241972,118028,54594,2805077
RA11,126860,93345,45720,18033,687094
RA12,39141,27900,13068,4823,195713
RA13,1969,1208,604,176,11850
RA14,418,240,88,18,2405
RA15,43,60,25,3,212
RA19,1142,722,150,41,7741
RA20,290506,181098,89896,39625,2283532
RA21,93453,66932,30629,11953,527404
RA22,20713,15283,7097,3004,109118
RA23,327,274,124,44,1390
RA25,10,0,0,0,25
RA29,526,263,61,19,4580
RA30,199526,129251,60149,25885,1459037
RA31,72152,50425,23038,8092,419955
RA32,48468,29496,12322,3711,303687
RA33,4582,2565,934,203,30881
RA34,3018,1407,527,158,20081
RA35,15,15,6,3,71
RA39,1426,1050,215,24,7409
RA40,87856,59372,29064,13550,585821
RA41,17817,13417,5711,2197,96818
RA42,12565,8942,4199,1751,69976
RA43,3330,2123,924,400,18622
RA44,991,517,194,84,5595
RA45,0,0,0,0,3
RA49,247,159,30,10,1595
RA50,130564,82459,41019,17012,959984
RA51,17192,11589,5088,1674,102060
RA52,14066,8988,4169,1386,80747
RA53,5293,2349,916,304,39043
RA54,4374,1620,407,103,33846
RA55,31,4,3,0,338
RA59,633,368,58,13,3820
RA61,26942,18526,9395,3831,160665
RA62,13930,10064,4382,1213,68034
RA63,742,585,233,70,3468
RA64,299,195,91,27,1240
RA65,5,7,0,0,44
RA69,78,50,10,0,517
RA72,9373,4338,1290,317,72912
RA73,3482,1511,448,118,22326
RA74,1825,614,140,13,14613
RA75,3,0,3,0,60
RA79,284,173,22,0,1635
RA80,30075,19509,8580,3556,218939
RA81,49,21,4,3,368
RA85,0,0,0,0,0
RA89,57,17,3,0,339
RA91,23,12,3,0,218
RA94,394,226,93,26,2124
RA95,0,0,0,0,4
RA99,4,4,0,0,31
