RA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
RA10,6044,81883,3864,22368,9607,3619,524,2033,915,130858,8510,66228,782,12440,7629,2472,311,1179,654,100206,45915,63306,3840,18581,95953,26684,2128,7785,3429,267619,15132,50948,2602,41622,25463,7725,867,3895,1951,150202,7200,22835,2632,4352,8246,5749,334,1156,599,53096,4575,1841,12548,9746,8286,5661,561,3006,551,46783,95,121,58,256,197,186,23,191,45,1173,1733,3413,454,1464,2710,1153,189,484,333,11939,1274,2379,697,2644,3364,2037,344,1547,2939,17233,101751,328380,36345,119428,176075,61385,6684,25227,12621,867889,9794,27127,5750,3797,6955,3277,1368,2119,795,60978,15178,44465,9641,2958,8358,4420,3208,3341,1577,93142,36855,53582,92635,7358,15101,10180,23412,18134,3744,261008,18354,13676,50899,2195,4539,2998,5207,9332,1326,108532,3122,3833,7326,1279,2131,1317,1633,3441,327,24412,9524,114209,5654,28453,10904,4678,1684,3259,1371,179728,12427,85364,1981,14594,8769,3223,1384,2030,908,130683,106840,130125,13340,27483,123843,48680,13157,17296,7043,487810,28412,85350,5974,58637,32885,11526,4108,7336,3320,237551,11828,39977,7214,6537,10709,8595,1799,3066,1049,90767
RA11,1967,20987,1490,7657,2760,1156,177,883,249,37330,2644,18306,277,4025,1905,539,74,397,150,28321,6746,6145,873,3600,21013,5819,376,2064,459,47093,2572,7999,612,13984,4435,1625,170,1409,335,33143,818,2284,414,820,1122,718,59,314,64,6616,1325,419,4273,3276,2070,1792,179,1306,143,14777,22,26,5,52,38,30,3,51,4,242,253,386,82,275,382,127,38,94,59,1691,495,614,299,1038,1015,877,75,773,527,5716,18748,60847,10312,35922,37081,13785,1549,8640,2151,189032,1414,3468,1024,547,776,352,132,366,106,8188,921,1753,962,274,730,392,168,478,88,5768,8500,6395,31208,2133,2505,2384,8818,6304,994,69241,5653,1406,15734,721,775,837,2223,3232,357,30939,3772,2260,3524,779,1126,909,1183,2738,220,16506,2851,27499,1879,9429,2962,1323,419,1221,356,47942,4101,24423,739,4696,2156,714,383,647,218,38068,13915,11399,2243,4788,23624,8746,1784,3457,799,70755,4394,12175,1210,18707,5202,2109,648,2156,530,47136,1349,3768,1063,1135,1313,1011,249,658,119,10659
RA12,997,4925,409,2122,729,313,49,344,77,9959,1193,5445,78,1111,531,123,32,181,65,8762,2165,1372,258,919,5231,1337,98,693,117,12192,751,1770,182,3676,1058,380,61,460,89,8427,206,404,70,155,217,103,12,89,9,1270,429,79,1111,803,485,354,48,380,35,3724,12,10,0,8,10,7,0,12,0,76,99,99,19,75,95,28,6,46,21,488,294,212,138,408,357,271,38,303,197,2223,7158,15165,2785,9621,9503,3186,472,3102,663,51663,440,662,220,109,180,57,51,133,19,1870,179,215,190,70,142,59,40,116,20,1035,3340,1081,8569,415,574,566,2715,2164,303,19725,1659,217,3194,186,169,191,615,936,107,7277,4416,999,1042,267,525,342,604,1405,128,9729,1240,6049,479,2533,763,343,99,440,100,12043,1656,6857,178,1243,574,153,118,276,78,11140,3980,2209,527,1126,5645,1990,424,1079,176,17154,1273,2501,315,4739,1209,466,169,664,145,11478,330,618,195,200,243,136,49,166,23,1954
RA13,111,251,22,156,63,10,6,27,8,647,122,432,6,74,38,11,3,15,4,692,196,68,17,54,256,64,14,35,8,698,47,67,4,202,63,14,14,31,4,449,15,9,3,3,21,7,0,5,0,62,40,0,50,36,35,17,6,26,0,207,0,0,0,0,0,0,0,3,0,7,0,13,0,4,3,3,0,4,0,31,28,29,0,23,32,16,8,23,12,164,657,934,131,571,557,145,54,196,42,3281,28,44,4,7,8,3,7,3,0,107,3,3,6,0,9,0,3,10,0,37,271,69,510,16,20,22,181,132,19,1242,98,7,109,9,5,3,40,43,3,325,547,63,60,11,46,18,57,104,16,916,120,319,18,177,68,10,11,25,10,761,147,528,14,84,37,11,13,19,6,851,342,86,30,72,267,79,29,46,8,963,81,99,8,289,69,18,19,43,5,633,19,11,7,8,21,9,0,5,0,76
RA14,22,40,3,23,9,0,0,7,3,111,29,64,0,13,5,0,0,0,3,118,28,4,6,13,27,3,0,5,3,97,6,11,0,29,3,3,0,6,3,63,3,0,0,0,3,0,0,0,0,11,7,0,6,3,9,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,10,4,3,14,5,4,0,3,6,50,120,135,27,112,76,19,0,42,21,546,3,3,0,3,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,11,53,5,60,8,7,3,18,31,3,191,13,4,13,3,3,0,8,13,0,56,68,8,5,3,8,0,7,27,3,127,26,51,3,29,9,0,0,7,3,129,29,83,7,15,9,0,0,0,3,146,51,5,10,17,32,8,0,8,3,146,9,20,0,65,3,9,3,6,3,115,5,3,0,0,3,0,0,3,0,22
RA15,0,3,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0,0,0,6,0,3,0,0,3,3,0,0,0,10,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,9,8,6,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0,0,0,5,0,4,0,0,3,3,0,0,0,12,0,0,0,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3
RA19,7,73,3,26,9,11,3,15,0,148,7,37,0,15,4,3,0,0,0,67,31,52,5,28,56,15,3,24,3,221,9,45,8,47,25,7,0,18,7,161,7,41,7,13,5,4,3,10,0,95,4,0,11,25,3,10,3,9,0,68,0,0,0,0,0,0,0,0,0,3,0,5,0,3,4,0,0,0,0,15,0,3,0,0,3,4,0,0,10,30,69,290,65,168,108,64,14,108,22,909,4,22,11,10,5,8,4,8,0,73,9,26,6,0,7,4,6,8,0,80,28,58,117,12,11,14,55,54,9,350,18,8,89,7,5,5,13,25,0,171,4,6,17,3,3,3,5,16,0,55,11,118,12,40,7,13,5,17,3,221,4,55,3,16,4,3,3,10,0,101,59,103,11,48,76,38,14,54,7,412,21,76,11,71,30,14,9,34,5,268,14,64,15,21,10,8,8,14,3,149
RA20,5311,73033,3162,19475,8984,3524,432,1694,773,116394,6245,53831,872,13061,6641,2376,246,1113,490,84885,32357,44557,3121,13036,62238,18993,1606,5630,2188,183718,12032,40679,2545,42084,20734,7343,830,3965,1432,131647,5314,17306,2374,4011,6331,5473,327,1063,425,42626,4070,1511,11610,8639,6967,5748,591,3209,439,42788,81,97,43,152,140,106,27,163,27,840,1933,3642,536,1770,2908,1251,134,519,338,13032,1074,1835,641,2381,2536,1843,328,1311,2252,14199,78749,268721,33246,110485,129786,52805,5715,22621,9364,711494,9240,25672,4990,3759,5958,3509,1120,2113,693,57048,13349,37636,7716,2824,7241,4096,2762,3496,1254,80381,31043,43904,73446,5771,11483,8533,17808,16739,2766,211491,13068,11709,48746,1752,3615,2874,3831,7413,1034,94041,3058,3050,6663,1133,1863,1322,1237,2527,304,21148,8168,98668,4739,25002,10110,4524,1364,2893,1142,156606,9755,70582,1967,15044,7642,3111,1070,1919,704,111792,79123,93914,10456,20281,84648,35155,10974,13532,4569,352647,21608,64971,5460,54943,26644,10752,3691,7316,2455,197837,9362,31991,6520,6327,8761,8538,1714,3051,789,77069
RA21,1811,18941,1198,6284,2407,927,110,700,196,32577,2003,14089,266,3542,1638,587,49,386,141,22711,4693,4595,680,2163,12021,3322,217,1240,310,29230,2166,6075,584,13264,3381,1590,143,1575,294,29075,573,1629,388,615,798,640,50,250,60,5006,1138,320,3661,2324,1702,1647,118,1222,117,12254,11,30,5,28,23,27,3,47,11,185,244,480,111,264,382,139,24,105,45,1791,474,517,280,924,734,669,86,684,441,4817,15108,49708,8960,30349,24976,10482,1036,7472,1741,149835,1341,2792,784,499,659,302,123,392,94,6994,862,1878,802,197,595,275,136,299,92,5137,7323,4970,24483,1457,1854,1757,6206,5415,803,54269,4438,1037,14491,528,562,680,1692,2826,328,26586,5086,1719,2904,594,943,751,1118,2284,193,15591,2472,23913,1541,7816,2597,1054,260,981,261,40895,3315,19245,700,4234,1910,776,336,687,222,31425,10599,9217,1802,3030,14059,5252,1221,2361,569,48109,3463,8866,1072,16523,3968,1979,509,2359,413,39158,1026,2888,948,875,964,925,246,633,110,8611
RA22,568,3612,171,1406,475,176,24,166,28,6628,620,2894,55,657,307,89,13,98,32,4763,934,734,131,409,2221,630,42,301,51,5455,437,977,129,2696,510,271,23,361,52,5443,107,233,55,87,120,73,5,71,8,765,337,58,719,473,384,363,24,310,26,2688,5,0,0,7,7,5,0,9,4,38,48,63,14,57,54,8,4,20,3,270,144,99,61,205,151,183,21,196,105,1164,3755,9127,1605,6188,4588,1969,220,1860,337,29654,241,367,95,62,91,24,31,66,13,996,100,129,102,42,71,52,30,58,12,596,1664,662,4490,199,301,345,1250,1145,148,10204,988,141,2138,96,78,117,346,508,68,4482,2942,546,618,169,242,221,381,877,78,6075,703,4333,219,1684,505,200,59,214,44,7964,912,3832,123,779,356,115,78,150,55,6392,1959,1356,285,567,2498,957,220,528,85,8467,673,1350,200,3272,596,334,82,485,66,7051,172,354,125,126,144,112,26,125,11,1187
