RA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA10,3334,16377,307,2551,2988,571,39,187,227,26588,1172,4519,59,291,789,122,9,32,54,7052,42414,178703,7711,27256,49591,18316,1458,6711,3971,336125,156,252,60,473,320,161,26,65,31,1541,8500,17692,2416,10350,17120,5212,540,1926,773,64529,10865,15147,4554,24208,25567,8596,713,2869,1175,93694,9587,10766,15982,34816,35882,13301,2090,6225,1679,130327,1318,1077,675,2583,6442,2855,381,1386,173,16885,2912,2740,1283,6438,13003,3952,537,1849,438,33157,1318,3202,597,1606,4441,1361,186,789,292,13788,1571,3696,883,3549,5215,2517,398,1936,2371,22140,101751,328380,36345,119428,176075,61385,6684,25227,12621,867889,696,2392,53,103,315,91,21,29,34,3725,3523,24497,428,377,882,209,107,127,253,30395,43061,116896,6167,7845,22669,8900,2826,3553,2900,214818,1497,4295,163,284,763,287,107,116,133,7647,6823,25582,997,3245,4152,985,345,470,390,42989,2391,6363,273,544,1198,238,73,95,128,11296,102138,324390,27111,41741,73146,33933,10989,17645,8548,639645,308,413,257,587,392,255,101,154,63,2538
RA11,726,4166,91,736,581,102,17,60,38,6505,234,1248,24,106,186,24,3,13,12,1848,5462,32598,1106,4244,5582,1541,115,1016,430,52097,41,84,18,157,68,33,5,22,6,428,1966,4785,508,2999,3241,843,99,460,163,15069,2525,3689,972,7130,5479,1686,170,846,254,22748,3669,3902,6262,14902,13247,5518,714,3448,486,52144,537,328,292,1162,2231,1282,138,770,49,6792,911,695,480,2264,3463,1338,133,759,98,10142,228,408,88,341,765,257,41,189,42,2352,691,934,346,1369,1487,1012,102,922,476,7339,18748,60847,10312,35922,37081,13785,1549,8640,2151,189032,73,377,3,24,34,9,0,3,6,525,514,3135,66,56,119,19,0,29,43,3981,3504,10017,352,680,1013,289,81,306,168,16405,102,518,15,35,46,6,0,9,12,752,1301,6111,240,899,724,154,57,105,72,9652,492,1641,70,190,243,41,17,37,23,2755,12206,50122,3109,6351,7170,2599,697,2214,804,85276,79,110,48,182,75,46,12,31,10,596
RA12,247,1045,15,161,136,26,0,33,14,1681,58,281,9,19,28,0,0,4,3,397,1995,8281,262,943,1408,292,39,379,101,13712,13,22,4,35,13,3,0,5,0,104,851,1319,135,794,799,209,34,186,47,4373,859,881,222,1770,1366,331,47,292,57,5819,1412,1155,1690,4151,3397,1304,212,1149,147,14622,277,96,90,384,641,281,38,280,22,2109,445,175,140,685,922,334,44,285,32,3064,118,104,37,91,168,67,9,57,8,659,471,326,148,495,475,309,41,389,204,2863,7158,15165,2785,9621,9503,3186,472,3102,663,51663,19,68,3,4,4,3,0,3,0,105,120,412,11,14,23,3,4,4,14,594,706,1768,72,110,160,42,17,70,27,2983,37,87,8,7,13,0,3,0,0,161,411,1423,39,200,159,42,12,47,21,2349,114,321,21,38,45,3,3,3,0,546,4301,11756,674,1371,1685,468,177,749,189,21369,26,23,7,42,21,9,3,14,3,154
RA13,21,60,3,6,10,0,0,0,0,95,3,10,0,3,0,0,0,0,0,15,202,550,9,87,95,19,6,19,11,997,4,0,0,0,4,0,0,0,0,5,79,76,0,61,62,3,3,16,0,291,81,47,13,112,91,18,3,21,3,388,124,53,85,218,190,56,23,76,8,825,26,5,7,27,36,16,3,19,3,133,43,6,11,27,30,12,4,8,0,147,8,10,0,5,10,0,0,3,0,36,39,26,0,26,31,17,3,33,20,197,657,934,131,571,557,145,54,196,42,3281,0,5,0,0,0,0,0,0,0,4,7,8,0,0,0,0,0,0,0,21,42,110,7,4,11,6,0,3,0,187,4,7,0,0,0,0,0,0,0,12,29,80,4,12,10,0,0,0,0,130,5,9,0,6,0,0,0,0,0,19,396,742,23,120,102,24,24,40,14,1492,4,3,3,0,4,0,0,0,0,12
RA14,4,3,0,0,0,0,0,4,0,12,0,3,0,0,0,0,0,0,0,3,33,77,3,16,15,0,0,3,3,144,0,0,0,0,0,0,0,0,0,0,16,6,0,12,11,3,0,0,0,52,10,8,0,19,11,3,0,9,0,60,29,8,16,29,30,7,0,18,4,137,3,0,3,5,8,0,0,6,0,25,8,3,0,4,0,0,0,5,0,31,0,0,0,0,0,0,0,0,0,5,11,5,3,17,4,4,0,3,6,47,120,135,27,112,76,19,0,42,21,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,19,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,6,6,0,4,0,0,0,4,0,16,0,3,0,0,0,0,0,0,0,3,56,98,6,23,15,3,0,6,7,211,0,0,0,0,0,0,0,0,0,3
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,4,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,9,8,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
RA19,0,15,0,4,3,3,0,0,0,30,0,10,0,0,0,0,0,0,0,9,23,146,20,47,37,23,8,48,9,360,0,0,0,0,0,0,0,0,0,0,12,13,10,14,9,9,0,4,0,59,8,17,5,37,19,8,0,16,4,98,10,17,28,39,25,11,4,17,0,152,0,0,0,10,3,3,5,3,0,21,3,3,3,7,3,5,0,9,0,29,0,6,0,0,6,0,0,0,0,15,0,7,0,10,7,3,0,3,5,36,69,290,65,168,108,64,14,108,22,909,0,3,0,0,0,0,0,0,0,7,3,25,0,0,0,0,0,0,0,22,27,100,4,5,11,7,3,9,3,176,0,0,0,0,0,0,0,0,0,3,3,28,0,6,3,3,0,3,0,50,0,9,0,0,0,0,0,0,0,12,67,273,41,82,57,30,23,81,16,678,0,0,0,0,0,0,0,0,0,0
RA20,4306,22766,479,4177,3593,815,55,227,224,36645,1090,4767,90,358,876,135,11,37,55,7412,32672,144187,7229,24243,41879,16994,1151,5822,2943,277124,141,197,72,496,258,172,18,68,31,1451,6477,12444,2608,9385,12460,4406,426,1599,526,50328,8703,12315,4923,22875,19814,7978,684,2712,888,80883,7225,6724,13444,31389,24659,11377,1989,6237,1181,104218,761,653,522,2352,3496,1925,265,1042,86,11109,1672,1570,931,5581,6363,2577,389,1319,265,20673,838,2166,462,1211,1877,896,119,471,170,8211,1338,2946,848,3475,3624,2144,379,1691,1884,18339,78749,268721,33246,110485,129786,52805,5715,22621,9364,711494,553,2285,66,122,292,88,12,37,27,3482,3283,23946,371,332,853,192,68,125,267,29434,29946,82908,4827,6949,16360,6799,2354,3676,2090,155909,1494,4456,175,348,774,283,87,128,128,7868,8514,34410,1249,5140,4984,1360,388,606,441,57087,2099,6462,276,636,1229,255,66,98,96,11227,82511,261620,23639,36392,62706,30996,9070,15582,6377,528898,258,329,260,626,328,263,115,157,57,2391
RA21,852,5229,110,1071,583,119,9,71,51,8096,217,1160,21,130,152,10,8,10,15,1715,4345,26430,980,3678,4584,1469,92,880,339,42800,28,60,18,143,61,28,0,20,10,369,1721,3421,536,2541,2346,744,71,397,119,11892,2119,3143,917,6482,4357,1364,126,807,214,19533,2688,2161,5260,11702,8386,4122,461,3089,361,38223,370,214,235,872,1233,780,65,556,40,4373,516,259,343,1809,1386,767,79,543,58,5764,158,348,101,204,309,134,18,151,29,1455,652,890,319,1294,976,812,99,842,434,6329,15108,49708,8960,30349,24976,10482,1036,7472,1741,149835,76,347,12,26,27,11,0,3,3,509,362,2261,43,44,67,7,4,29,29,2845,2743,7602,275,514,752,206,65,190,121,12468,131,594,25,46,53,18,3,3,11,878,1563,7427,257,1352,760,179,64,165,89,11865,403,1492,63,201,197,24,14,30,30,2451,10231,40552,2630,5255,5991,2362,578,1914,638,70160,56,82,48,169,78,37,6,30,14,529
RA22,185,942,8,195,90,13,3,9,11,1445,39,174,0,21,12,4,0,3,0,259,999,4966,142,611,685,175,24,220,53,7869,5,11,3,23,17,3,0,0,3,71,502,753,76,535,397,108,12,112,31,2519,529,675,177,1236,824,227,26,172,36,3908,737,476,988,2556,1666,812,88,768,63,8154,116,30,53,242,287,213,22,140,15,1119,163,70,64,377,280,165,13,132,10,1273,44,47,13,48,50,21,5,37,9,272,229,211,75,275,225,210,19,242,112,1602,3755,9127,1605,6188,4588,1969,220,1860,337,29654,11,47,0,3,0,0,0,0,0,66,62,208,3,9,7,0,0,0,10,300,364,882,26,67,82,28,12,41,11,1509,26,80,4,11,7,0,3,0,0,124,303,1227,18,244,105,19,7,24,17,1967,78,213,10,43,21,5,0,4,0,363,2056,7061,336,868,846,255,97,411,98,12039,10,22,10,28,20,7,0,15,3,107
