RA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
RA10,276,65,867,508,1547,184,3438,639,131,1502,1130,5690,202,9297,5902,866,15676,9917,33908,2356,68626,1659,255,2863,2081,5697,286,12837,4048,699,16884,12806,88570,4539,127554,4952,685,11730,5581,11378,1240,35564,6132,840,17902,9525,21153,2467,58016,3182,466,12629,10254,14836,2076,43439,4757,879,12504,9956,23570,2898,54569,5364,997,13718,4986,5298,949,31309,14644,2968,32183,9422,6190,1660,67062,2286,458,6022,3924,6020,778,19493,26350,4418,60678,13523,10485,2929,118382,2588,495,8510,4630,9890,1295,27412,9008,2834,18554,13445,18894,1657,64389,17443,3595,21943,4514,5546,1081,54130,12908,2408,26733,7905,9894,1981,61825,1375,348,4997,2461,4326,531,14035,2476,474,5931,3908,24627,1063,38473,4664,602,11713,5962,17449,6161,46553,130667,24490,303522,136431,324968,36329,956399,165,46,563,368,614,142,1902,219,55,460,203,355,54,1340,2972,595,9693,5411,6557,1350,26572,566,138,1297,570,793,117,3490,1645,366,5603,4419,5627,917,18582,3424,559,8757,4395,4487,885,22509,5072,980,21328,13801,19834,3564,64573,2627,439,12564,9372
RA11,389,125,1621,1375,5364,728,9600,183,80,671,828,6238,241,8235,358,120,1681,1632,12242,752,16789,173,51,473,843,3165,144,4845,196,98,1479,1892,29372,1104,34146,103,31,569,601,3449,238,4995,297,93,1514,1329,8313,663,12210,206,61,1102,1293,5392,524,8583,122,75,688,1131,6716,680,9409,86,58,453,367,993,89,2039,252,126,896,882,655,89,2902,61,44,465,557,1496,153,2776,1220,562,4589,1688,2243,327,10629,108,62,527,666,3340,293,5003,1326,734,3942,4309,7856,540,18718,2353,1200,5692,1334,2090,276,12937,1831,606,4852,2337,3843,462,13931,92,46,489,360,1242,109,2344,207,78,686,587,8595,276,10431,238,90,790,704,5212,1289,8317,9802,4358,33177,24722,117812,8966,198843,188,156,1129,911,1493,412,4287,59,23,246,163,436,39,957,153,89,1003,958,2081,343,4631,50,30,245,216,404,46,1004,85,55,672,930,1940,277,3961,58,39,379,426,978,120,2005,243,190,2180,2730,8294,1219,14852,184,124,1607,2206
RA12,199,101,1669,1649,6488,976,11085,53,21,238,192,1964,106,2578,61,29,355,337,3300,287,4373,27,8,78,166,1047,46,1368,28,15,222,339,6492,339,7433,20,10,146,154,1035,105,1462,50,15,272,236,2048,198,2821,36,20,209,275,1362,197,2103,16,11,87,164,1663,190,2120,12,7,61,39,214,25,364,23,16,146,122,98,5,415,3,5,67,103,294,44,515,187,78,829,254,488,81,1914,16,12,70,122,667,88,975,158,132,689,931,1934,195,4042,291,260,1272,286,496,70,2677,255,84,839,521,914,96,2706,26,19,121,86,414,42,714,49,12,139,113,2393,92,2797,33,10,136,151,1453,481,2273,1542,867,7662,6242,34764,3661,54735,140,170,1315,1180,1631,513,4949,19,4,70,66,132,17,308,35,23,296,238,689,142,1429,13,8,45,45,77,6,183,8,11,98,156,385,59,715,7,14,104,118,323,46,615,48,37,461,610,2119,378,3665,37,30,360,500
RA13,14,10,170,198,751,126,1258,15,6,68,24,325,18,456,3,0,5,11,76,13,101,0,0,0,0,61,4,64,0,0,7,16,219,7,251,0,0,7,10,33,3,51,7,0,14,7,61,11,103,0,0,3,11,60,13,90,3,0,0,3,66,7,85,0,0,3,3,12,0,19,0,0,0,3,3,0,3,0,0,0,0,10,3,13,3,0,15,3,12,0,39,0,0,3,7,24,12,43,6,5,49,72,137,15,285,15,17,80,11,23,3,146,10,6,46,31,40,8,134,0,0,0,5,17,3,29,0,0,9,3,116,5,135,0,0,6,8,86,31,138,76,46,494,429,2135,275,3445,12,19,185,156,206,51,631,6,3,26,13,45,0,89,0,0,7,8,14,3,26,0,0,0,0,3,0,3,0,0,6,10,17,3,37,0,0,12,12,17,0,39,0,3,40,31,81,12,166,0,0,15,25
RA14,0,0,12,24,122,16,167,0,0,0,3,31,3,33,0,0,0,0,3,0,3,0,0,0,3,10,0,9,0,0,0,6,29,0,34,0,0,5,0,0,0,7,0,0,0,0,9,0,12,3,0,4,3,33,0,42,0,0,3,5,5,3,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,6,4,3,0,10,0,0,0,0,10,0,9,3,0,7,25,48,9,97,3,0,17,3,8,4,35,3,0,0,0,11,3,17,0,0,0,3,7,0,9,0,0,3,0,18,3,25,0,0,5,4,19,3,28,10,7,65,88,363,54,580,0,0,23,18,46,12,96,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,3,3,0,0,5,0,0,3,5,12,4,20,0,0,6,8
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,6,3,19,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,12,0,22,3,46,0,0,3,0,18,3,18,0,0,6,7,44,9,63,0,0,3,4,10,0,15,6,0,20,21,151,9,219,3,0,8,0,3,0,19,5,3,16,10,30,3,71,4,0,42,22,42,5,112,3,0,7,10,43,3,69,3,0,6,3,0,4,20,5,0,19,5,0,3,31,0,0,0,0,12,0,19,30,5,45,12,13,3,112,4,0,12,3,23,0,47,4,3,22,12,37,0,84,10,5,18,7,10,0,53,9,0,30,6,12,3,72,5,0,11,7,18,0,38,3,0,7,3,29,4,48,3,0,20,3,46,28,100,116,24,316,132,567,90,1251,3,0,20,4,7,0,40,0,0,0,0,0,0,5,3,0,14,3,4,0,33,0,0,0,0,0,0,3,5,0,7,3,4,0,16,0,0,0,0,3,0,13,7,0,16,13,11,0,51,4,3,43,21
RA20,399,98,1119,714,1484,217,4026,421,79,900,299,931,72,2707,5737,1341,18793,11730,35461,2641,75703,1523,347,3621,1544,3737,307,11073,2332,709,12275,10278,78055,3384,107020,3220,781,9661,4812,9642,1002,29128,4786,1010,17035,9400,17178,2134,51536,2478,384,10391,8795,11435,1500,34981,3832,971,11477,9542,17675,2468,45972,3763,972,9693,3655,3651,603,22338,7473,2278,20130,6655,3399,967,40911,1417,395,4725,2473,4152,478,13640,20393,4343,50521,11024,7297,2167,95741,2182,637,7369,4329,8081,963,23555,5998,2718,13508,8774,10536,1146,42680,15356,5805,18847,4561,4364,873,49809,10016,3037,21464,6398,7401,1389,49702,1396,571,5864,2712,3919,512,14978,1878,550,4745,3957,18857,971,30952,3503,714,9635,5420,14385,5004,38664,98101,27744,251772,117066,261633,28798,785113,197,97,832,470,557,125,2271,156,53,462,89,89,24,868,2716,869,10073,5266,6143,1212,26279,800,264,2060,781,797,143,4845,990,387,4287,3366,3824,542,13388,1939,595,7017,3495,3553,596,17195,3709,1327,21161,13428,15662,2874,58169,2034,480,10197,7506
RA21,228,125,1451,1784,6686,874,11143,62,26,276,199,1747,82,2396,441,221,2161,2148,13344,887,19205,191,115,680,707,2950,165,4810,122,121,1147,1642,25883,1104,30015,101,52,560,605,2750,241,4297,211,110,1332,1303,5840,518,9320,127,72,798,936,3342,351,5626,118,99,663,1020,5139,618,7654,91,53,516,378,935,94,2062,213,148,978,825,461,80,2712,45,30,322,310,1036,94,1833,870,403,4126,1568,1732,256,8958,76,76,454,581,2209,230,3636,695,535,2275,3033,4543,381,11465,1658,1617,4150,1174,1397,203,10196,1416,786,3700,1702,2548,344,10501,119,71,521,453,1050,125,2331,158,78,494,520,6170,272,7695,169,81,759,679,4351,1266,7299,7110,4806,27360,21580,94106,8180,163147,161,198,1224,1250,1545,501,4880,15,15,92,55,88,10,268,167,127,1176,1062,2204,347,5083,65,56,298,210,285,29,949,42,67,538,709,1278,147,2779,45,43,331,355,642,81,1507,155,192,1952,2337,5681,904,11213,134,113,1215,1587
RA22,87,43,659,1058,3819,520,6184,11,4,47,38,323,12,438,34,22,213,235,2106,172,2780,22,9,74,83,478,33,702,5,15,103,170,4010,192,4484,15,7,87,125,678,56,967,26,16,170,218,1267,140,1832,26,14,146,201,846,91,1330,12,16,70,173,1180,158,1614,3,0,55,35,132,8,240,10,7,75,103,61,16,271,7,3,40,44,165,19,278,74,46,498,202,277,44,1141,3,5,65,96,399,47,614,91,73,301,477,835,71,1854,141,272,784,184,328,40,1741,170,95,566,317,579,63,1793,10,11,82,68,213,22,398,9,11,63,96,1337,52,1572,17,17,73,120,917,295,1445,781,678,4168,4052,19948,2050,31672,56,91,605,623,758,219,2363,6,0,11,12,15,0,40,20,16,143,164,370,62,776,12,7,37,31,62,4,156,10,6,76,107,193,28,411,10,0,57,62,157,24,307,17,34,270,378,1248,224,2166,30,24,218,391
