RA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
RA10,12198,2326,39519,1829,427,5407,3989,5206,983,17837,3080,948,11157,2981,2142,527,20822,9111,2201,24246,10080,8784,1846,56257,1757,405,5024,3953,5141,905,17186,15657,3981,42591,12828,10376,2648,88088,2489,655,10143,7071,8144,1661,30164,8642,3416,20430,10540,9846,1572,54443,28436,10754,57514,16223,14056,2782,129762,23787,9679,78022,38485,43165,7412,200556,1552,487,4900,2392,2932,515,12766,1924,660,6711,7204,14195,1236,31926,3321,651,9707,5486,5925,4500,29593,118269,37445,336125,159756,180369,35927,867889,438,111,1438,873,2160,320,5337,862,189,1961,1328,6047,261,10638,8871,1459,25367,15329,40468,3704,95197,2226,393,4158,2657,6495,400,16326,5698,1073,22482,17229,94197,5463,146135,8379,1240,20489,9979,15866,2125,58071,11203,1819,39226,23323,40982,6027,122588,5809,900,25190,19624,27040,4399,82959,6594,1303,17913,13945,28773,3879,72405,8440,1939,24876,7959,7441,1472,52134,23753,5167,56424,19499,14971,3504,123316,4042,863,11049,7875,11164,1679,36678,42009,8404,103272,26348,20862,5579,206473,5078,1148,18653,11703,18034,2956,57570,17649,6251,38979,23983,28734,3228,118834,45880
RA11,6272,919,11316,45,39,363,538,1315,211,2514,90,77,523,314,493,64,1563,138,80,702,1057,1739,190,3908,58,50,447,798,1797,244,3387,762,594,3738,2060,3142,416,10716,133,112,921,1271,2835,461,5730,1109,835,4359,3362,4183,410,14263,4038,3409,14687,5325,5844,774,34081,3285,2603,16706,11994,18414,2196,55199,147,74,604,448,874,115,2262,137,111,704,1611,4851,292,7697,170,99,888,913,1694,941,4717,11115,8798,52097,38243,69077,9692,189032,576,286,2749,2284,6853,1137,13883,240,101,918,994,6668,280,9195,513,213,2684,2595,14322,1092,21419,226,77,715,1062,3565,199,5847,275,160,2154,2822,31314,1383,38108,159,73,950,1025,4429,362,7000,539,282,3697,4060,16608,1880,27059,394,187,2713,3503,11664,1443,19894,165,120,1049,1672,8026,888,11922,173,133,979,682,1485,151,3604,389,214,1598,1943,2397,280,6813,117,96,909,1355,3292,399,6160,1980,1152,8332,3752,5388,736,21341,240,176,1447,1939,6178,754,10731,2439,1571,8302,7670,12038,946,32972,6391
RA12,1710,305,2948,8,15,92,150,392,60,714,18,7,117,65,109,13,333,19,19,178,204,415,51,893,5,7,102,118,353,64,652,146,121,928,452,827,151,2635,19,32,204,291,752,157,1451,175,154,894,796,1079,122,3210,762,878,4328,1519,1821,287,9600,572,571,3595,3149,5050,676,13603,34,23,167,104,235,23,585,22,22,131,307,1239,103,1824,43,34,214,240,473,344,1345,2143,2193,13712,10291,19803,3519,51663,336,264,2990,2827,8118,1491,16033,71,28,310,254,2096,125,2890,100,50,654,567,3986,430,5797,41,11,126,203,1119,48,1554,36,33,320,494,6876,394,8153,25,23,252,272,1357,146,2079,101,51,733,850,4166,578,6483,72,55,571,781,3072,509,5052,20,19,183,310,2051,253,2837,32,20,180,105,322,42,696,47,35,324,326,520,62,1304,10,16,168,226,647,103,1168,337,201,1760,704,1319,229,4556,41,38,279,412,1417,245,2425,330,283,1585,1727,3014,314,7255,1051
RA13,88,17,155,0,0,4,8,28,0,43,0,0,8,5,12,0,21,0,0,4,12,20,6,36,3,0,7,0,11,5,23,6,8,35,23,36,10,108,0,0,10,16,41,21,85,4,5,84,67,76,7,240,62,58,336,104,111,28,702,33,26,191,176,228,36,687,0,0,3,0,3,3,16,0,0,7,11,58,4,82,3,3,19,11,21,19,80,134,125,997,690,1106,232,3281,23,25,353,349,960,170,1883,22,5,89,44,368,21,545,3,0,7,11,91,13,129,0,0,0,4,61,4,69,0,0,15,23,242,14,286,0,0,17,16,54,7,93,8,3,55,41,140,22,270,0,0,19,40,148,31,238,3,0,6,13,91,12,126,0,0,9,4,19,3,44,0,0,4,12,21,6,48,3,0,4,3,18,5,37,9,6,49,27,49,10,150,0,0,18,22,63,26,129,17,8,138,145,209,18,531,83
RA14,26,7,53,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,4,0,0,5,3,3,0,12,0,3,0,4,6,0,19,4,0,10,17,21,0,56,8,6,55,14,29,8,122,6,0,28,22,25,10,91,0,0,0,3,3,0,7,0,0,3,5,3,0,16,0,0,3,3,4,4,17,28,12,144,110,192,51,546,0,4,34,45,165,24,271,0,0,3,6,29,7,45,0,0,0,0,6,0,6,0,0,0,6,10,0,10,0,0,3,6,33,0,42,0,0,3,3,0,0,11,0,0,6,8,16,3,37,3,0,9,10,64,7,89,0,0,5,5,13,3,27,0,0,0,0,0,0,3,0,0,3,0,4,0,10,0,0,0,4,8,0,7,0,0,10,5,3,4,17,0,3,3,5,15,0,30,5,6,24,45,74,11,155,13
RA15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,17,7,15,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
RA19,40,8,113,0,0,7,3,4,0,12,4,0,16,3,0,0,23,5,0,15,9,11,0,37,4,0,7,0,3,0,12,14,3,39,14,11,3,75,5,0,21,9,12,4,53,4,0,21,6,9,0,51,20,17,33,22,9,7,99,10,11,66,28,38,6,163,3,0,15,10,3,0,36,0,0,10,10,12,0,36,3,0,15,7,6,13,47,92,43,360,168,203,49,909,3,0,30,4,36,8,88,0,0,4,0,16,3,22,3,3,17,8,49,13,95,0,0,3,4,5,0,18,11,0,27,27,156,15,233,5,0,14,3,11,0,28,14,3,32,26,44,4,122,11,3,83,45,75,6,229,3,0,12,8,49,4,80,8,0,22,6,3,5,40,9,0,27,10,12,3,70,6,0,10,0,15,3,34,38,5,88,27,26,6,187,6,3,32,18,36,5,102,14,3,46,24,50,5,135,35
RA20,9793,1624,31640,1290,426,4832,3166,3998,700,14422,1958,1016,6467,1966,1352,282,13028,4747,1867,15364,6405,4537,998,33916,1074,351,4064,2754,3527,636,12400,12282,4145,34201,9867,6660,1587,68741,2043,985,8310,5495,5988,1140,23964,6291,4156,16003,7910,7212,1055,42628,23130,15832,47371,14128,10603,2097,113174,19949,13211,65963,33417,33873,5971,172386,1352,786,5329,2556,2651,412,13084,1690,886,5535,6285,10687,967,26043,2370,705,7595,4308,4496,3573,23053,90729,48437,277124,132658,136002,26545,711494,595,197,1953,1179,2039,341,6300,578,130,1358,385,1020,95,3576,8451,2208,28864,16994,41604,3851,101983,2324,610,5682,2323,4532,449,15918,3321,1089,16561,13642,81875,3926,120410,5159,1379,16673,8305,13199,1600,46320,8498,2339,38196,22828,32838,5010,109707,4511,866,20588,16308,21225,3120,66618,5122,1400,16307,12711,21675,3170,60389,5722,1984,16159,5618,4995,886,35365,12227,4144,35495,13057,7936,1967,74826,2487,749,8794,5225,7682,1114,26044,32681,8486,84716,20892,13948,3752,164484,4221,1617,15675,9828,14075,2103,47515,12293,6876,29510,16680,17749,2200,85309,38493
RA21,4158,606,7815,43,39,302,485,910,143,1930,71,114,454,312,397,46,1391,117,118,880,882,1055,139,3189,37,35,320,429,968,147,1935,577,443,3028,1558,1861,268,7748,86,136,647,893,1698,309,3765,757,853,3036,3088,3223,387,11340,2962,3818,11147,3799,3823,588,26132,2876,3638,14236,10175,13142,1965,46034,148,112,628,546,834,131,2402,130,135,600,1328,3335,233,5763,133,132,693,717,1227,801,3698,8714,10384,42800,31791,48357,7785,149835,394,319,2669,3036,8228,1382,16023,76,37,368,257,1833,96,2665,604,350,3334,3208,15556,1236,24286,255,165,981,919,3240,196,5757,164,188,1685,2357,27156,1253,32796,143,92,890,966,3388,320,5805,369,309,3284,3641,11515,1419,20537,259,181,2008,2526,7507,956,13437,162,140,968,1511,6049,757,9586,161,163,970,686,1333,136,3455,333,266,1854,1709,1520,223,5898,76,66,647,734,2002,245,3773,1453,847,7161,3128,3594,524,16706,167,214,1105,1475,3904,540,7402,1455,1386,5309,6128,7768,764,22811,4618
RA22,987,182,1833,8,11,66,89,180,30,384,8,6,52,39,73,6,186,9,9,74,138,176,24,428,8,5,36,82,165,27,325,70,49,456,243,331,47,1196,9,21,133,159,409,81,816,100,113,506,546,600,71,1931,295,746,2296,800,853,106,5099,396,576,2532,2177,2934,438,9055,12,11,90,73,141,17,352,16,23,97,219,647,54,1050,22,15,120,158,249,213,777,1090,1776,7869,6494,10541,1878,29654,145,130,1262,1686,4579,741,8543,11,4,51,52,342,17,478,56,41,357,399,2480,233,3559,37,14,111,110,542,43,860,13,18,175,270,4198,223,4895,26,7,146,186,831,80,1274,49,49,437,593,2512,365,4000,51,45,362,596,1835,270,3160,17,26,135,261,1364,189,2000,9,14,112,81,198,19,429,16,17,144,249,236,44,699,12,13,75,128,334,46,607,140,101,955,449,608,87,2340,14,30,198,253,809,125,1431,189,182,807,1021,1437,145,3787,431
