RA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
RA10,2168,11590,10166,9769,18575,18680,8965,13002,1115,94037,3317,11457,10962,9309,21397,24564,7684,13969,25139,127791,77227,270011,271408,256840,505042,550577,240477,376599,50070,2598257
RA11,633,2994,2290,2546,4524,4286,2362,3840,278,23749,992,2583,1746,1938,3246,3497,1355,2694,5223,23271,22684,73258,62706,74005,109119,96705,51050,88056,11838,589423
RA12,171,763,570,595,1181,1223,605,1038,97,6240,348,740,511,527,914,984,401,897,1836,7172,7000,19935,17245,21072,28741,27124,14590,34800,4453,174964
RA13,14,26,31,27,47,72,26,55,0,295,30,33,39,30,57,56,28,75,163,519,477,1001,934,1223,1626,1838,987,3735,391,12204
RA14,0,3,6,5,9,10,0,9,0,50,3,3,3,7,10,5,4,18,45,96,72,123,132,177,287,336,130,675,84,2028
RA15,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
RA19,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
RA20,1806,10081,8349,8600,15934,14264,6961,9466,860,76323,2938,10152,8386,8086,18566,19204,6285,10990,19978,104595,65554,252235,222858,231901,412942,434661,199232,284387,40442,2144221
RA21,575,2540,1761,2034,3455,3453,1687,2554,229,18295,1011,2201,1438,1549,2792,3162,1197,2421,4350,20125,21308,63890,52475,60376,81554,81643,43784,71464,10002,486498
RA22,112,463,340,389,668,710,301,505,49,3527,253,462,331,356,550,675,200,523,1074,4417,4603,12893,10520,12631,16043,16536,8335,18118,2505,102180
RA23,0,6,0,3,0,3,0,4,0,22,3,3,3,3,0,3,3,8,8,43,50,171,139,157,112,166,87,266,28,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
RA29,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
RA30,1280,6810,5526,6719,10773,9680,5143,7177,545,53656,1725,5901,4584,5142,10293,10818,3814,8069,10833,61181,44449,155658,136456,166779,277203,254637,130135,209656,23251,1398230
RA31,459,2140,1480,1802,3201,2646,1555,2671,176,16130,656,1646,1067,1367,2426,2283,1029,2459,3264,16193,14659,44286,35971,48260,71230,57806,35928,68579,7510,384225
RA32,301,1328,987,1317,2302,2071,1179,2026,135,11644,522,1128,779,993,1593,1684,697,1680,2668,11741,11590,30511,25158,35336,54050,45932,28800,58868,6104,296351
RA33,36,123,86,105,165,190,106,229,15,1051,59,111,53,80,105,180,74,261,331,1249,1251,2587,1941,2929,4065,4575,3926,10297,795,32366
RA34,31,141,65,106,149,169,62,137,32,884,38,66,50,69,91,97,40,158,274,881,848,1675,1207,2004,3210,3646,2237,6629,688,22137
RA35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
RA39,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
RA40,611,2932,2278,2834,4928,3662,2091,2447,202,21987,642,2058,1342,1666,3263,2556,1037,1813,3657,18030,20014,70943,57485,72775,121589,87245,51076,65066,8366,554564
RA41,120,549,326,426,762,602,374,539,32,3723,171,391,246,289,447,438,190,403,623,3197,4083,12494,10117,12865,16401,14422,8631,13965,1584,94566
RA42,85,356,221,272,464,461,227,343,40,2468,124,268,149,197,315,293,125,283,607,2363,3227,8856,7113,9000,11893,10319,6461,12732,1477,71067
RA43,13,90,59,101,111,142,63,96,11,692,31,64,35,47,58,79,40,86,171,618,893,2421,2042,2474,2703,2588,1818,4297,415,19648
RA44,10,18,21,32,32,43,11,32,4,209,16,26,18,6,21,15,12,40,75,234,265,490,457,633,821,781,442,1459,178,5529
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA49,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
RA50,951,5052,3814,4106,7091,6727,3343,4833,341,36256,1435,4521,3229,3105,6549,8119,3002,5756,6693,42406,33107,111569,93550,97461,165298,169960,84658,138282,14949,908835
RA51,127,557,364,430,584,638,361,587,57,3700,214,487,304,322,482,669,291,665,692,4127,4727,12142,9803,11357,14071,14211,9371,16927,1723,94331
RA52,108,402,292,326,525,622,324,678,32,3310,171,388,211,270,323,490,214,551,723,3347,3977,9412,7303,9037,11117,12564,7848,17929,1656,80846
RA53,54,128,106,136,227,244,176,384,23,1479,101,151,91,131,194,251,143,447,353,1862,2031,3360,2647,3616,5127,6158,4875,11592,837,40239
RA54,42,115,85,109,145,193,76,284,34,1072,84,78,51,57,106,105,47,390,306,1215,1855,1612,1358,1917,2965,3277,2905,14700,783,31369
RA55,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,50,0,60,16,12,11,0,4,14,11,274,4,334
RA59,0,6,3,3,8,6,7,5,0,44,17,9,8,8,6,7,10,27,33,126,140,151,146,136,200,222,136,587,60,1773
RA61,152,835,646,774,1211,944,522,650,57,5789,218,554,371,451,753,663,256,443,1016,4721,6222,19903,16589,20266,31431,23683,13087,17004,2291,150484
RA62,76,306,251,255,446,404,168,273,23,2206,146,295,180,225,329,344,134,260,562,2488,2925,8185,7113,8002,10539,9186,5257,9103,1341,61651
RA63,7,18,5,4,15,8,15,13,4,79,5,14,7,6,3,4,6,16,41,104,182,429,295,325,383,336,255,646,79,2922
RA64,0,3,0,0,13,8,3,4,0,30,4,8,0,5,5,5,0,5,11,46,65,142,99,156,168,213,115,236,31,1229
RA65,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
RA69,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,7,0,4,0,18,14,38,27,28,45,38,17,39,10,247
RA72,63,191,165,212,524,515,253,419,40,2378,125,198,138,193,489,541,213,616,681,3191,3080,4658,4445,5708,15081,13484,7364,15976,1568,71357
RA73,32,104,57,78,251,196,76,136,20,944,45,52,37,47,141,115,51,109,221,822,869,1328,1072,1647,4763,3859,2013,3684,457,19691
RA74,28,82,100,99,211,162,34,88,49,852,41,30,22,31,76,68,20,65,317,664,509,723,765,1048,2324,2012,892,2243,558,11064
RA75,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9,3,3,0,0,0,0,0,14,10,28
RA79,0,0,0,0,0,0,0,0,0,9,4,3,7,0,3,3,0,5,4,36,52,28,40,30,78,93,56,175,18,574
RA80,149,820,605,675,1270,1026,617,852,70,6092,189,599,369,370,795,906,349,557,1215,5336,8449,20546,16454,19901,46849,41333,21432,27081,3009,205053
RA81,0,0,0,0,0,3,0,4,0,11,0,0,0,0,3,3,0,0,4,14,24,27,32,44,68,76,35,60,3,369
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,5,11,9,28,14,22,35,46,12,35,6,202
RA91,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,5,11,5,8,15,14,21,42,10,135
RA94,5,5,7,4,8,9,3,8,3,57,5,13,7,10,18,12,4,13,26,102,111,201,147,202,482,319,209,291,57,2013
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,11
