RA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
RA10,3441,567,1002,66,812,399,683,3237,145,10345,1578,2063,3551,51,996,109,4445,505,170,13469,25876,18240,33932,1319,17026,8880,20856,21918,1847,149891,3217,4615,4655,93,3564,535,3293,1546,315,21846,29588,11694,100181,389,21393,3088,12341,33503,2203,214386,20877,16871,5632,229,16225,12670,10563,3571,937,87568,39848,15692,13359,2409,16255,129090,10684,17105,1584,246037,29437,3468,26317,54073,7263,21819,3442,30909,1235,177963,13357,9461,5035,4236,27319,5888,54378,6680,1671,128018,12281,30395,8052,367,8199,4907,636,1069,811,66728,27930,58476,2361,708,54887,5636,984,1162,2835,154984,7126,6813,1570,496,9629,19997,1027,1555,757,48967,33520,139304,17362,764,40004,5141,867,2062,2349,241369,11353,12698,5934,8553,13632,2722,3164,33593,902,92549,18389,36249,10635,31743,39208,887,4673,5461,2942,150191,17137,131888,5146,29129,23637,828,923,3320,1164,213169,16939,131913,10691,92844,44847,2288,2546,12665,2175,316898,6570,10465,3506,11355,4663,2078,445,2428,532,42041,8427,10189,38015,14985,10525,2123,1579,7427,778,94037,15780,16366,16528,5307,15529,8806,12047,13639,23785,127791
RA11,13623,752,1882,77,1100,413,1147,6593,274,25870,816,1037,3644,44,604,47,6121,425,161,12893,5115,2089,9802,428,3050,2234,4371,8621,403,36129,810,925,2556,22,1171,153,1339,674,105,7751,6611,1223,26443,106,4970,736,5750,8616,471,54931,2343,1082,1337,60,1740,2891,1714,1009,111,12280,9576,1664,4476,607,3320,36077,1813,5468,305,63298,8233,332,6244,13509,2163,5555,745,10739,351,47870,2375,970,1227,475,4633,882,11842,1031,196,23633,747,1635,1074,41,850,799,80,192,57,5473,1403,2583,143,68,5055,411,84,98,172,10014,890,576,347,96,1727,4370,300,409,125,8821,2208,12296,3395,117,7177,406,157,510,198,26470,1322,1458,2067,1469,2808,278,671,9291,169,19524,5066,8513,4045,9911,10103,206,1891,2328,812,42883,3984,31200,1483,9086,5753,162,230,1341,260,53496,3848,31455,2873,28947,10817,407,596,4028,547,83513,1084,1667,1070,1778,670,292,113,769,85,7534,1473,1448,12316,3077,2410,439,368,2039,174,23749,2536,1640,3844,1113,2514,1687,2061,3140,4740,23271
RA12,20140,555,1554,67,1113,221,1493,6070,329,31550,285,323,1126,17,178,7,2234,193,44,4405,1254,445,2614,104,854,528,1329,3595,135,10861,193,152,780,10,285,28,428,218,28,2115,1452,190,5391,26,913,108,1894,2159,124,12242,547,296,440,8,588,1034,378,288,23,3603,2459,389,1382,123,881,8781,385,1530,79,16010,2401,70,1563,3321,532,1217,147,2846,100,12197,720,139,290,79,1212,229,3543,277,63,6552,102,314,253,10,167,159,17,45,13,1070,297,436,21,16,1115,98,13,24,42,2060,176,86,81,25,311,860,63,109,31,1747,359,2388,768,36,1914,78,32,130,51,5763,254,357,425,427,690,46,176,2488,55,4914,976,1560,827,2038,2199,50,1091,988,163,9890,968,8006,319,2891,1520,31,61,533,63,14384,849,7125,770,7655,2329,62,103,1175,148,20212,294,361,313,388,177,63,85,261,25,1971,354,337,3496,637,633,145,93,508,41,6240,800,334,1125,323,594,431,663,1227,1670,7172
RA13,2683,55,169,8,136,16,257,723,29,4076,53,109,214,13,48,3,380,31,11,864,40,11,61,4,31,12,44,55,5,259,4,0,58,0,8,6,14,9,0,103,58,3,169,0,36,3,106,80,5,461,25,10,21,0,35,50,14,16,7,172,117,14,69,5,37,380,28,91,4,745,150,3,77,179,31,20,6,132,5,607,58,6,12,3,57,14,164,13,4,329,6,21,13,0,14,4,0,0,0,63,6,6,0,0,64,11,0,0,3,96,11,3,3,0,11,20,3,0,0,54,14,66,28,3,97,6,0,5,0,213,11,24,27,27,39,0,5,131,3,276,67,99,62,194,151,4,97,84,16,772,75,583,17,277,112,0,7,37,3,1096,56,340,57,432,118,7,6,101,10,1125,11,18,11,14,3,0,5,22,0,85,25,18,150,26,27,9,0,35,3,295,80,18,63,18,34,29,49,99,129,519
RA14,461,6,19,0,6,0,12,133,4,645,7,0,21,0,0,0,28,0,0,63,0,0,9,0,0,0,0,0,0,11,0,0,11,0,0,0,6,0,0,26,11,0,24,0,0,0,18,23,0,74,4,0,0,0,0,0,0,3,0,14,23,4,10,0,3,34,0,0,0,69,62,0,29,39,10,12,0,29,0,181,9,3,0,3,10,3,21,0,0,48,0,4,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,7,3,0,0,0,0,3,0,0,0,10,4,7,4,0,8,0,0,0,0,28,3,3,4,12,10,0,0,24,0,60,33,22,17,60,30,0,18,36,8,225,12,101,9,55,30,0,3,4,0,224,5,50,6,66,20,0,0,10,3,167,4,3,4,6,4,0,0,7,0,27,3,4,23,4,0,0,4,6,0,50,13,3,7,8,4,0,0,17,45,96
RA15,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,3,4,0,0,0,16,0,0,5,0,0,3,0,0,0,9,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,9,0,6,0,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0,0,3,0,3,0,4,0,3,13
RA19,9,0,7,0,0,0,15,110,0,143,0,3,3,0,0,0,19,6,0,35,20,13,39,3,12,6,30,48,0,173,7,4,9,0,0,0,6,0,0,30,24,12,163,0,14,3,47,123,0,389,10,8,4,0,12,12,9,11,0,63,27,21,21,0,9,105,23,15,0,223,44,6,53,148,14,20,16,88,3,389,3,9,3,3,20,8,105,10,5,175,7,28,14,0,8,3,0,3,3,62,15,31,0,0,33,5,0,0,0,92,6,8,3,0,8,10,3,8,3,51,26,136,27,4,22,10,0,4,0,222,8,20,12,16,13,0,11,71,5,155,21,46,19,77,26,0,3,6,3,207,10,113,5,34,17,0,0,3,5,185,11,116,9,91,22,3,0,13,3,272,8,26,16,30,4,4,5,12,0,107,3,8,47,16,14,8,3,11,0,109,17,28,32,8,16,14,40,36,62,248
RA20,3702,798,1223,73,1012,466,872,3363,142,11649,873,1376,685,22,480,41,797,174,77,4527,29005,19532,35225,1605,17348,9546,22623,27626,1652,164155,3794,5329,2737,46,4694,1198,2586,1093,301,21775,21774,7756,89821,306,16057,2702,8690,24935,1571,173614,17263,12279,4983,227,13946,11932,9889,3807,585,74915,36143,14153,11263,1928,14952,116836,9130,14141,1119,219660,23088,1831,21388,40766,4529,19124,1781,27326,708,140539,11890,8845,4065,3121,22868,5126,43706,5185,1162,105967,8671,19300,6012,333,6396,4098,351,655,429,46261,15442,35103,1088,420,37982,3937,305,282,1535,96091,5275,4752,1188,591,7291,14849,660,1297,508,36406,25486,111643,14920,729,32117,3754,792,1647,1719,192801,8547,10045,6594,6732,12300,2024,2804,26541,748,76330,12995,26538,5394,29128,26079,544,1072,4127,2478,108353,14347,116086,5061,27912,18162,703,412,2539,934,186164,13732,110762,8722,77509,35657,1663,1883,9032,1361,260323,7416,9989,3324,13445,4150,2174,313,2412,551,43767,7053,7576,31620,12286,8309,1624,1186,6145,528,76323,13882,12638,13516,4406,11950,7294,10409,11706,18795,104595
RA21,18781,677,1843,102,1117,402,1433,6760,315,31424,376,379,1053,30,226,23,1482,262,51,3882,5925,2567,10508,530,3144,2464,5295,11121,433,41989,965,1007,2163,46,1214,97,1457,652,154,7755,5396,864,24147,106,3678,564,4610,7262,432,47055,2028,1011,1069,51,1458,2700,1479,1097,89,10978,7616,1338,3485,410,2766,27823,1612,4392,216,49660,5685,177,4155,8595,1016,4477,291,7924,206,32515,2099,889,1031,394,3731,853,9510,829,183,19520,698,1521,1180,52,824,614,71,197,53,5213,1287,2668,138,56,4547,350,24,62,121,9247,602,397,266,107,1248,2497,190,271,70,5641,1846,9667,3101,79,5629,338,118,340,176,21284,988,1040,1981,1050,2125,224,464,5887,121,13877,3435,5333,2002,9956,6792,123,851,1509,632,30629,2916,24944,1251,7350,3914,110,140,958,227,41798,3060,26352,2442,22388,8768,324,410,3783,364,67883,1092,1448,1171,1771,651,376,109,1014,99,7733,1162,1155,9433,2271,1698,327,314,1802,128,18295,2376,1373,3442,912,1878,1397,1801,2836,4110,20125
RA22,11334,330,759,37,489,98,767,3441,150,17410,76,49,208,0,34,0,279,46,12,707,837,327,1738,74,476,387,975,1499,79,6396,146,120,302,3,193,14,296,152,14,1239,924,98,3551,15,568,84,865,1056,54,7219,385,207,263,5,330,635,290,239,22,2378,1506,213,765,88,499,5859,235,897,46,10112,1634,38,942,1742,294,783,87,1852,64,7434,481,134,229,79,759,161,2246,265,43,4408,81,215,147,3,90,109,14,28,12,696,152,294,10,12,748,37,0,9,10,1276,74,65,52,21,179,479,14,40,8,934,199,1282,444,22,1028,60,17,85,30,3162,204,227,312,233,411,30,100,1436,34,2987,501,819,344,1602,1062,25,274,431,87,5156,532,4660,234,1584,723,31,41,226,43,8065,581,4784,500,4757,1594,55,45,1106,55,13482,187,222,165,287,104,42,21,136,8,1176,184,205,1976,390,306,76,62,315,10,3527,602,235,702,171,375,264,393,706,979,4417
