RA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
RA10,185,26,32,113,15,213,6,149,93,2842,39,3715,51,29,10,57,3,101,6,159,38,778,15,1251,37,45,7,78,3,179,10,610,82,1311,23,2385,10,30,3,37,3,157,8,634,66,779,18,1742,60,193,9,102,7,564,27,1377,169,3282,54,5856,79,334,35,307,31,1740,57,2561,293,3268,58,8771,267,827,52,694,63,3741,87,3290,390,5230,109,14759,505,1397,86,1889,161,8102,168,4239,640,5523,122,22831,1340,2348,154,5506,442,13182,345,4479,811,7305,165,36081,3313,2644,266,10348,844,13532,420,3603,738,6202,155,42050,4301,2063,253,12217,967,13790,416,2688,621,4816,129,42265,6762,1888,296,13969,1275,12682,421,2216,558,4182,118,44355,21957,3382,669,30545,3532,23372,931,3546,940,6348,188,95408,23133,2407,635,29633,3514,8957,799,2042,440,3508,117,75196,20889,1509,517,20338,2950,4957,543,1307,275,2248,77,55617,16439,921,350,9848,2132,12576,252,1032,439,1294,58,45343,49006,2519,963,40596,5248,15396,810,2199
RA11,54,4,8,31,3,22,5,19,7,234,18,398,20,7,4,17,0,27,0,24,7,78,4,193,20,24,0,26,5,42,0,68,8,191,6,386,10,9,0,3,0,22,0,54,13,79,3,195,33,52,9,65,4,67,10,195,27,598,3,1066,59,93,4,104,12,223,18,356,43,555,17,1495,128,235,18,242,17,550,34,618,83,1271,22,3216,225,440,31,671,73,1447,70,1012,141,1356,28,5498,547,851,87,2201,187,2878,126,1122,223,1906,66,10197,1154,869,103,3940,341,2874,154,860,170,1302,52,11827,1396,689,89,4406,383,2624,158,664,159,871,33,11473,2029,569,89,4590,444,2304,168,459,139,633,19,11445,5596,954,219,8762,896,3637,297,587,206,758,65,21973,5149,574,186,6722,758,1339,216,256,96,356,31,15674,4064,288,99,3817,532,604,129,145,34,199,24,9931,2842,115,87,1569,305,997,57,90,57,85,18,6225,5106,291,131,4006,473,1124,135,157
RA12,38,4,10,25,0,14,3,4,4,102,8,204,26,3,0,17,3,8,0,11,0,53,0,127,17,11,3,19,3,20,0,28,9,59,0,162,7,3,0,3,0,15,0,17,3,37,3,90,56,14,4,38,4,38,3,66,3,250,3,480,42,43,8,68,11,86,7,148,24,218,8,659,71,72,8,109,11,250,15,217,26,475,15,1269,156,140,20,347,25,550,23,295,58,517,23,2152,302,247,30,886,69,902,53,329,64,571,31,3490,521,247,40,1318,113,899,44,239,69,390,22,3902,493,187,45,1275,130,719,47,153,48,220,17,3334,688,166,35,1271,147,590,52,99,43,146,16,3253,1633,230,55,2198,262,825,76,133,52,202,20,5686,1328,97,49,1459,167,282,56,45,16,72,16,3577,952,58,26,809,111,121,38,16,9,35,0,2179,539,19,12,286,59,174,12,17,14,15,4,1146,927,45,30,676,87,159,23,19
RA13,10,0,0,3,0,3,0,0,0,3,0,16,4,0,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,4,0,0,0,5,0,14,3,0,0,0,0,0,0,0,0,7,0,12,3,0,0,6,0,4,0,0,3,19,3,47,3,0,0,6,0,6,0,9,0,8,0,36,6,5,0,9,0,13,0,7,3,30,0,75,8,3,0,22,0,24,3,11,3,26,0,115,30,6,3,51,7,47,0,13,7,17,0,191,35,14,7,70,8,53,3,10,0,30,0,233,20,3,0,67,10,46,8,11,4,14,3,190,43,14,0,60,9,32,0,3,0,5,0,172,117,12,4,123,16,73,5,5,7,3,0,368,105,0,4,96,13,13,7,7,3,3,0,257,72,3,0,42,18,10,0,0,0,0,0,149,32,0,3,17,5,19,0,0,0,0,0,76,72,3,4,53,4,11,6,4
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,4,0,0,0,11,0,25,4,0,0,3,0,10,0,8,0,4,0,29,3,0,0,3,0,14,0,4,0,13,0,40,9,0,0,8,3,9,0,0,0,3,0,39,4,0,0,6,0,5,0,0,0,3,0,28,4,0,0,9,0,4,0,0,0,0,3,24,14,0,0,9,0,11,0,0,0,0,0,48,11,0,0,10,0,9,0,0,0,0,0,27,4,3,0,4,0,0,0,0,0,0,0,16,8,0,0,0,0,3,0,0,0,0,0,11,21,0,5,10,3,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,175,37,37,145,20,251,16,141,76,2646,34,3578,50,34,15,63,3,114,10,216,40,765,8,1311,44,78,6,89,11,211,16,567,72,1240,21,2341,15,23,0,26,3,207,0,520,58,723,8,1584,69,180,20,176,15,507,21,1148,117,3021,36,5305,122,371,22,350,31,1596,48,2194,248,2604,48,7638,317,823,52,781,76,3625,97,2739,373,4099,100,13079,517,1351,97,2106,194,7764,164,3661,562,4529,130,21081,1370,2358,157,5869,447,12690,326,3951,697,5893,165,33915,2995,2496,256,10517,845,12664,482,2949,609,4863,151,38828,3808,1945,271,12523,1039,12109,455,2331,459,3761,112,38814,5754,1759,321,13944,1231,10867,382,1772,436,3267,108,39841,17609,3074,614,29728,3260,18971,793,2658,714,4540,185,82159,16929,1989,503,26838,3049,6897,696,1472,370,2144,96,60978,14200,1178,343,16927,2310,3513,384,830,181,1278,52,41190,10667,578,244,7809,1461,8526,195,647,289,774,47,31243,27972,1757,568,29845,3324,10437,602,1342
RA21,65,12,23,47,5,31,3,16,6,197,13,422,36,12,3,18,0,23,0,26,5,72,9,203,23,19,3,47,0,34,4,63,12,149,3,358,10,0,0,7,0,20,5,59,7,84,0,203,65,45,8,64,6,74,4,180,26,471,9,957,55,116,4,114,11,224,22,312,43,431,11,1341,143,166,21,265,28,523,35,514,78,909,24,2697,239,381,30,744,74,1436,64,743,145,1034,29,4924,507,667,75,2131,186,2705,131,916,209,1174,50,8750,889,722,107,3744,339,2723,171,667,169,886,44,10465,1034,567,107,4257,363,2499,152,464,175,613,36,10263,1508,493,82,4596,426,2036,152,339,95,439,31,10202,4023,777,215,8084,903,2873,293,406,169,525,50,18323,3611,432,145,6080,696,1058,174,204,48,223,26,12697,2619,205,98,3098,396,482,104,92,37,101,20,7262,1674,99,50,1270,211,897,38,68,45,49,9,4410,2910,234,94,3130,325,918,134,130
RA22,35,0,6,20,0,11,0,4,0,59,3,146,9,3,0,15,3,16,0,4,3,31,0,80,11,3,0,20,0,7,0,20,3,50,0,117,9,0,0,3,0,3,0,14,0,19,0,51,24,5,3,39,3,22,0,29,0,147,0,277,19,16,4,41,8,76,11,71,14,94,3,357,75,48,4,91,10,151,13,120,14,232,9,765,78,97,14,253,20,378,13,195,32,243,10,1329,185,149,13,625,60,601,28,162,37,253,16,2140,269,134,17,944,90,508,33,153,40,161,11,2356,258,117,23,904,80,409,28,81,29,119,7,2053,367,98,18,890,75,301,27,53,21,70,14,1936,801,114,41,1429,163,400,55,83,21,93,9,3200,693,70,39,810,122,128,41,29,11,41,5,1983,423,28,15,392,52,45,18,9,4,18,0,1003,268,3,6,153,23,69,4,6,3,5,3,548,378,24,15,366,39,107,15,16
