RA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,594,2603,123,120051,10768,1769,712,10461,1077,7587,525,3077,1105,6718,32942,76739,750,106,445,856,185,446,91,177,297,900,1971,6228,159849,24426,5506,187591,22472,141265,5933,39379,8580,69137,36484,700629
RA11,65,199,24,11714,2968,574,161,3166,316,1509,180,673,180,1248,7671,18655,215,42,127,242,41,120,22,41,75,237,335,1489,31612,6671,1445,44593,4800,22415,1772,7404,1731,12159,8448,143051
RA12,16,47,7,2040,1230,190,70,1128,128,517,64,217,54,436,2232,6255,77,9,42,71,13,42,7,14,27,105,148,546,9097,1789,475,12010,1344,6211,518,2068,537,3948,2568,40559
RA13,0,0,0,163,146,11,8,103,6,35,3,8,6,34,150,507,11,0,5,7,0,4,0,0,6,5,12,53,711,80,52,737,112,403,37,100,47,215,173,2665
RA14,0,0,0,34,38,0,0,12,0,7,0,3,3,6,24,96,3,0,0,0,0,0,0,0,0,3,4,12,130,11,4,77,17,79,3,19,3,70,34,451
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,371,1451,80,77745,8129,1643,561,9753,943,6518,479,2401,802,5322,25309,61854,723,122,438,1074,171,556,102,161,250,759,1683,6027,111462,21788,4513,168566,18420,118007,5266,31713,6725,53679,28372,568520
RA21,50,116,19,8056,2470,483,151,3084,278,1351,163,525,142,902,5669,15215,218,26,108,257,46,135,36,25,62,176,281,1372,22100,5446,1325,41060,4299,20045,1688,5759,1545,8547,6325,118135
RA22,3,20,8,996,572,101,33,682,45,281,28,110,39,198,1342,3433,32,8,20,57,8,20,6,11,13,54,72,295,4508,1032,276,7735,795,3518,324,1178,299,1891,1526,23082
RA23,0,0,0,4,3,0,0,9,0,0,0,3,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,3,36,11,3,76,6,40,4,22,3,18,19,231
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,212,698,40,43588,5276,826,260,4827,573,3203,268,1166,399,2319,19105,38225,394,56,241,464,109,210,63,75,129,303,874,2921,79244,12974,2553,99487,11676,64897,3371,17080,4039,25729,20612,341666
RA31,60,146,15,6751,1545,291,93,1625,169,991,85,440,149,824,7296,13508,124,19,85,115,28,77,17,28,55,156,311,1018,19773,3626,866,26839,2870,17617,1149,5285,1428,9450,7872,96782
RA32,47,71,19,5167,1297,184,70,1141,128,650,63,240,108,515,5911,10300,125,15,59,113,24,60,10,14,34,99,244,798,15607,2387,676,18757,2298,11600,852,3192,1044,5285,6351,68055
RA33,7,0,0,744,230,21,8,135,14,89,3,22,14,57,434,1026,21,6,9,19,0,8,4,0,0,10,41,119,1810,204,92,1850,241,1369,73,241,103,495,499,6977
RA34,6,7,0,278,176,25,5,68,13,67,12,27,10,79,321,805,13,3,6,9,3,9,0,3,7,18,49,128,1345,165,69,897,153,831,61,265,81,752,394,5023
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,64,211,14,13830,2056,405,105,2452,229,1316,135,535,161,1159,7217,15776,104,22,77,175,30,70,14,22,40,161,308,1020,26417,6480,1167,44306,4739,24093,1596,8368,1517,13389,7802,139876
RA41,6,24,8,1405,416,99,21,575,40,240,33,105,33,152,1336,3051,21,8,7,26,7,7,0,10,10,24,46,172,4431,1134,252,7829,769,3732,317,1247,304,1629,1453,23087
RA42,0,23,0,806,346,65,19,390,28,151,19,66,15,150,1091,2350,22,4,10,23,10,13,0,9,3,41,45,184,3025,710,195,5368,537,2548,221,840,212,1511,1184,16359
RA43,0,0,0,291,88,18,4,109,11,47,3,13,4,13,290,599,3,0,0,10,4,0,0,0,0,6,16,45,784,235,49,1571,153,642,55,171,49,205,316,4242
RA44,0,0,0,42,30,11,0,23,3,13,0,11,6,26,71,187,0,0,0,0,0,0,0,0,0,7,41,56,224,60,19,292,29,137,8,82,26,178,119,1172
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,304,670,27,37029,3149,630,225,3812,383,2456,208,921,347,1625,19513,33272,211,57,128,291,63,158,37,44,87,220,574,1868,41342,8938,1817,69377,7163,51151,2592,12334,3355,17010,20473,235556
RA51,33,30,3,2079,429,96,20,545,48,311,38,104,50,171,2616,4426,35,8,21,43,3,10,3,9,10,25,71,223,3693,1065,236,7329,658,4581,396,1229,442,1501,2746,23879
RA52,12,24,7,1717,407,59,24,424,42,192,39,69,26,148,1737,3167,27,7,14,27,10,21,0,3,11,26,78,223,3498,730,219,5675,605,3503,269,856,330,1227,1865,18784
RA53,15,9,0,1574,241,36,15,196,29,109,14,19,20,45,658,1374,18,0,9,7,0,15,0,3,10,25,35,122,2024,242,121,2681,345,1995,118,241,167,399,729,9060
RA54,0,3,3,563,81,20,10,61,15,54,7,27,11,118,301,705,14,5,4,14,0,8,0,4,8,27,88,158,990,155,83,950,142,915,68,199,106,848,415,4861
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,10,49,8,2735,595,117,29,750,48,312,32,150,53,279,1723,4084,23,8,15,33,3,10,6,10,12,63,61,247,6631,1884,278,12070,1285,5310,478,2004,416,3129,1902,35408
RA62,4,13,3,567,275,82,14,384,39,173,18,98,35,170,838,2129,12,0,14,18,3,11,8,3,5,29,60,171,2473,787,165,4598,449,2435,234,1044,252,1644,979,15056
RA63,0,0,0,16,10,4,0,24,4,13,0,5,3,8,39,105,0,0,0,0,0,0,0,0,0,0,3,9,82,23,4,169,20,135,11,43,10,72,45,615
RA64,0,0,0,6,9,0,3,3,0,3,0,6,3,0,7,36,0,0,0,0,0,0,0,0,0,0,0,0,42,16,7,72,11,28,0,11,4,7,11,203
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,15,24,4,2815,369,31,13,142,38,154,8,38,29,62,1004,1903,30,0,27,18,3,13,0,3,9,12,48,162,5046,366,200,3219,691,2963,153,472,240,699,1092,15144
RA73,3,5,4,411,131,6,4,53,9,37,3,14,4,61,324,648,6,0,5,3,0,9,0,3,0,14,35,77,1354,113,52,830,177,622,39,131,51,488,378,4237
RA74,0,0,0,149,66,12,8,22,0,36,0,53,23,210,99,518,10,6,9,5,0,19,0,26,10,142,138,367,534,139,65,341,47,618,21,373,87,1935,269,4425
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,39,149,21,11598,909,75,37,549,106,342,25,106,49,240,2561,4991,50,4,23,31,13,22,0,0,7,16,71,241,14603,1699,506,13338,2494,7424,536,1670,427,2472,2752,47920
RA81,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,4,3,33,3,12,0,0,0,3,3,85
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,0,9,3,24
RA94,0,0,0,34,18,0,3,5,0,3,0,0,0,7,22,62,0,0,0,0,0,0,3,0,0,0,0,5,113,20,10,99,12,68,6,16,9,20,26,404
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
