RA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
RA10,8120,10015,14108,18921,51096,84404,46779,105913,3313,342665,22083,47476,56502,58064,122796,173163,69780,111459,6115,667431,6949,16576,22090,23334,67303,84785,37042,49601,5792,313472,9255,49670,46480,42899,43204,30789,15538,16699,4590,259120,11902,36850,46012,44226,100973,77172,27178,27465,3839,375613,7491,56984,38448,29501,36701,32032,13647,19534,3542,237892,3902,9548,11145,12316,36940,29863,16272,26293,3284,149568,5765,39373,33534,24725,38380,30308,11791,14826,4650,203356,1746,3529,3087,2857,7651,8061,2461,4809,14940,49142,77227,270011,271408,256840,505042,550577,240477,376599,50070,2598257
RA11,2190,3419,3739,5254,10006,14057,8778,25677,953,74066,4719,8745,11672,13592,18878,20248,9628,16080,981,104543,2563,5013,5216,7303,19882,21711,11101,15993,1482,90262,3345,12778,11369,14366,12360,6897,3943,4727,1226,71027,2837,8758,9821,11811,18907,10686,4549,4600,677,72637,2283,15830,8718,8638,8976,5509,3213,4380,906,58451,1591,2549,2702,3248,7684,6920,5444,10392,868,41400,2602,15379,8930,9163,11183,9451,3909,5136,1559,67317,551,796,542,624,1251,1221,494,1057,3183,9715,22684,73258,62706,74005,109119,96705,51050,88056,11838,589423
RA12,1029,1760,1659,2431,2998,5452,3205,15664,678,34880,1200,1970,2786,3139,3975,4428,2201,3908,255,23868,750,1507,1525,1890,5169,5111,2695,4370,516,23530,888,3069,2895,3931,3134,1657,912,1308,404,18195,762,2406,2461,3124,4479,2463,1064,1209,233,18205,578,3592,1989,2208,2205,1292,882,1166,267,14179,650,812,919,956,2335,2407,1817,3993,325,14213,920,4557,2848,3188,4079,3949,1677,2789,659,24659,232,257,164,209,363,354,134,394,1115,3234,7000,19935,17245,21072,28741,27124,14590,34800,4453,174964
RA13,99,137,103,181,207,457,241,2043,80,3545,87,98,108,140,234,284,119,328,18,1409,48,79,74,105,216,258,139,324,38,1283,62,154,184,235,255,115,70,96,30,1197,38,133,138,183,235,180,78,87,22,1083,24,107,81,109,86,70,31,70,13,589,39,63,60,72,147,175,176,424,30,1196,67,222,179,185,215,278,123,333,57,1659,7,11,13,20,31,17,12,37,99,245,477,1001,934,1223,1626,1838,987,3735,391,12204
RA14,20,18,13,20,47,88,44,394,11,657,13,7,17,27,50,46,14,41,5,213,7,14,12,16,22,53,17,40,3,182,14,26,32,51,54,38,17,25,8,265,10,15,17,19,39,25,4,28,4,159,0,6,12,5,3,11,0,17,3,61,0,4,3,3,11,12,8,55,4,109,6,25,28,28,45,63,22,71,6,302,8,0,3,0,11,5,0,9,30,69,72,123,132,177,287,336,130,675,84,2028
RA15,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
RA19,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
RA20,6904,9084,11993,17717,42836,66189,39221,83686,2751,280380,18488,41237,47841,56939,97381,129837,58050,81801,4739,536313,6180,14740,17572,21014,61690,74199,31195,37460,4753,268815,8544,48124,38600,39001,33573,24508,11971,13369,3888,221575,9696,31565,36662,37722,76396,59245,22148,19795,3050,296273,6413,59655,32122,25389,29989,24779,11853,16282,3155,209633,3150,7265,8876,10588,31248,25643,13315,17569,2627,120270,4719,37660,26985,21205,34324,24535,9690,11096,3820,174041,1450,2909,2206,2326,5510,5729,1793,3333,11661,36910,65554,252235,222858,231901,412942,434661,199232,284387,40442,2144221
RA21,2337,3566,3492,5103,7905,12370,8080,24466,1011,68335,4253,7319,10565,12578,14067,15297,8207,11774,746,84804,2503,4471,4358,5939,16045,19958,9127,12180,1279,75856,3259,11212,9401,10868,7968,5944,3143,3462,994,56253,2531,7448,8399,9074,12822,8477,3648,3438,579,56405,1923,14155,6848,6322,6141,4248,2500,3190,767,46081,1359,1773,1869,2343,5885,6036,4320,7416,648,31644,2549,13312,7082,7582,9775,8300,4353,4704,1286,58952,596,652,465,559,940,1023,419,828,2696,8167,21308,63890,52475,60376,81554,81643,43784,71464,10002,486498
RA22,706,1101,985,1515,1721,3540,1977,8668,408,20627,775,1107,1820,2148,2458,2543,1386,2146,159,14532,496,921,848,1141,2906,3452,1464,2142,273,13650,723,1996,1914,2366,1547,1117,516,705,234,11110,443,1399,1477,1761,2277,1627,550,610,107,10260,357,2637,1288,1310,1445,829,569,651,145,9234,360,429,420,429,1243,1278,910,1786,161,7018,607,3159,1686,1817,2266,1951,886,1248,349,13978,142,143,73,134,181,200,63,164,663,1770,4603,12893,10520,12631,16043,16536,8335,18118,2505,102180
RA23,5,27,17,41,23,64,26,172,16,393,8,13,15,26,21,27,21,29,3,160,3,20,15,14,18,18,11,15,3,121,7,31,26,27,10,8,7,7,0,122,0,26,14,12,13,4,7,6,6,88,6,15,14,9,4,3,6,3,0,64,7,4,6,5,10,12,7,10,0,56,9,31,25,17,14,19,7,21,0,149,0,0,0,3,0,3,0,3,3,16,50,171,139,157,112,166,87,266,28,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
RA29,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
RA30,4021,5182,6295,9978,25530,35796,23232,54787,1481,166296,11708,23340,26191,36235,58121,69440,31691,51036,2401,310158,4767,9375,10438,14735,41548,45345,24565,34296,2691,187760,6146,29721,25607,31148,26215,16804,8595,10268,2333,156827,6909,19753,22225,25900,57875,36948,15681,15272,1826,202386,3882,35831,20591,20160,21578,15607,8021,13175,1802,140655,2346,4593,5329,7758,18375,14226,9206,17211,1520,80560,3737,26129,18551,19331,24623,17022,7932,10948,2543,130819,938,1741,1239,1530,3336,3456,1210,2667,6646,22759,44449,155658,136456,166779,277203,254637,130135,209656,23251,1398230
RA31,1271,1929,1799,2907,5491,7325,5107,17224,596,43654,2812,4612,5678,8246,10815,11491,6109,10186,506,60461,2023,3459,3047,4638,13844,12611,8602,14212,943,63379,2011,7178,6873,9875,7184,4080,2325,3171,736,43432,1840,5631,5510,6992,12797,7277,3419,3765,464,47688,1220,9869,5276,5856,5800,3093,2098,3045,512,36757,1445,1512,1675,2224,5354,4723,4644,10977,683,33226,1706,9630,5833,7153,9214,6531,3346,5286,1051,49759,337,466,280,369,738,677,282,705,2022,5870,14659,44286,35971,48260,71230,57806,35928,68579,7510,384225
RA32,957,1499,1384,2139,4323,6260,4281,16285,530,37659,2310,3178,3623,6017,8491,9030,4757,8422,431,46262,1685,2188,2071,3167,9580,9370,6305,10731,769,45859,1607,5119,4941,7023,6360,4120,2556,3514,608,35855,1371,3563,3929,5132,9866,5761,2798,2970,371,35760,877,6957,3733,4395,4589,2500,1617,2220,359,27247,1266,1235,1179,1736,4036,3773,3622,9710,603,27172,1212,6480,4107,5452,6233,4534,2572,4309,844,35743,294,302,201,274,584,567,286,701,1592,4798,11590,30511,25158,35336,54050,45932,28800,58868,6104,296351
RA33,142,234,167,252,354,741,444,3609,115,6064,188,226,245,433,549,745,428,940,35,3790,189,223,159,272,565,840,1054,1784,72,5158,121,364,350,586,529,403,245,331,56,2981,120,329,312,398,669,522,258,355,50,3008,55,419,228,323,326,175,102,184,21,1838,227,129,106,157,369,444,988,1858,118,4398,158,642,361,484,633,645,371,1138,126,4552,46,27,22,25,56,63,39,103,197,574,1251,2587,1941,2929,4065,4575,3926,10297,795,32366
RA34,123,133,90,179,301,600,289,2746,97,4561,143,169,145,278,460,638,300,615,33,2789,99,158,94,174,449,557,513,755,71,2884,117,304,250,442,477,408,158,285,77,2518,86,149,199,280,575,410,172,327,40,2236,33,203,115,190,228,115,74,131,27,1114,90,89,48,89,216,282,452,647,61,1978,121,433,233,343,464,593,250,1032,108,3578,40,41,21,33,47,37,23,79,173,495,848,1675,1207,2004,3210,3646,2237,6629,688,22137
RA35,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,4,0,0,0,8,4,4,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
RA39,20,21,12,25,26,37,20,82,9,264,47,34,31,52,73,96,26,72,10,446,30,23,22,28,62,82,33,96,17,392,15,54,52,61,48,40,23,41,13,349,22,24,17,16,55,25,29,30,3,226,13,26,33,29,21,23,13,13,10,182,21,9,16,32,51,40,29,94,11,300,24,69,101,156,134,110,65,127,33,825,12,3,3,3,4,9,0,12,51,97,195,274,297,410,473,463,235,575,158,3087
RA40,1615,2418,2679,4576,11070,12387,9719,17537,497,62509,5287,9942,12000,15747,27416,23636,12784,17059,887,124772,2060,4178,4408,6741,18827,16489,8855,10011,983,72549,3119,14249,10991,14138,10894,6423,3633,3836,985,68265,2960,8090,9236,11648,24675,11419,5761,4387,617,78792,1826,16264,7973,8134,8195,4858,3072,3571,659,54554,994,1791,2023,3052,8414,5106,3598,4777,466,30231,1702,13295,7710,8066,10526,5817,3160,3154,946,54373,449,717,475,660,1565,1105,486,728,2324,8510,20014,70943,57485,72775,121589,87245,51076,65066,8366,554564
RA41,466,723,705,1126,1625,2410,1677,4549,163,13444,755,1193,1677,2049,2428,2380,1456,2158,143,14249,509,961,923,1342,3152,3082,1748,2261,174,14156,578,2197,1869,2411,1600,957,569,701,155,11022,473,1544,1513,1952,2655,1425,798,686,96,11134,362,2349,1425,1507,1296,728,571,644,114,8984,291,415,394,544,1237,1068,831,1914,112,6814,558,3002,1538,1839,2229,2205,907,918,239,13432,95,106,81,86,186,168,82,140,395,1328,4083,12494,10117,12865,16401,14422,8631,13965,1584,94566
RA42,500,722,576,969,1209,2072,1412,5194,189,12844,481,636,979,1185,1547,1434,917,1475,89,8735,394,613,547,788,2135,2123,1151,1727,169,9646,408,1417,1307,1812,1092,636,383,503,140,7707,332,1005,1073,1266,1697,864,419,428,56,7141,244,1689,946,1107,855,483,362,418,91,6198,296,332,352,358,1038,989,994,1834,132,6318,484,2340,1267,1428,2167,1597,750,1016,226,11269,86,100,62,90,153,127,74,137,376,1201,3227,8856,7113,9000,11893,10319,6461,12732,1477,71067
RA43,152,187,188,299,317,606,432,1789,68,4050,160,191,277,317,374,392,291,464,23,2486,88,175,207,288,498,596,358,731,45,2985,96,362,373,402,246,141,102,137,24,1882,76,304,276,355,456,213,112,125,9,1936,65,465,229,281,226,139,109,105,17,1638,82,103,92,79,229,152,232,602,25,1588,145,608,381,428,330,309,174,296,96,2758,27,27,9,17,24,40,14,46,115,322,893,2421,2042,2474,2703,2588,1818,4297,415,19648
RA44,46,53,40,69,96,152,123,572,23,1177,46,32,47,94,137,137,86,142,20,738,42,32,46,59,94,133,58,205,22,694,46,88,88,122,131,91,31,67,20,690,26,60,61,78,128,65,19,38,8,484,16,68,54,40,63,35,25,27,9,334,20,33,25,36,55,48,38,210,11,477,24,117,88,121,104,108,46,171,27,808,10,6,8,7,22,5,5,20,39,126,265,490,457,633,821,781,442,1459,178,5529
