SA4_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101,357,829,519,374,427,63,16,2586,56,45,22,26,17,6,3,173,20,19,8,11,20,3,0,79,672,1429,1014,782,1054,214,72,5238,39,94,66,31,53,10,0,295,78,128,54,22,27,4,0,316,111,224,117,56,87,11,3,608,780,1659,1132,836,1141,225,74,5839,1024,905,473,310,303,53,19,3083,33,38,13,10,8,0,0,108,1840,2602,1616,1159,1451,278,87,9033
102,616,1372,980,658,836,200,87,4747,83,73,51,30,50,11,7,300,23,42,25,32,22,6,0,144,1070,2318,1809,1328,1923,567,256,9260,73,165,93,56,96,17,5,512,164,277,119,69,81,18,6,730,230,448,216,127,175,35,12,1238,1304,2764,2028,1448,2100,599,269,10505,2034,1800,977,586,646,148,71,6261,21,24,20,11,8,0,0,92,3359,4586,3022,2054,2755,743,339,16855
103,459,777,492,341,402,68,12,2561,57,44,26,10,20,6,0,161,16,28,20,12,11,0,0,92,767,1414,1001,705,1028,213,48,5170,52,141,90,72,70,13,0,433,122,168,79,44,39,5,0,463,173,310,164,118,113,17,3,899,945,1726,1168,815,1138,227,47,6069,1453,1154,591,364,383,58,12,4011,29,23,17,13,7,0,0,91,2427,2904,1772,1191,1528,283,63,10174
104,269,611,425,292,383,67,17,2067,18,36,20,12,22,3,0,111,11,19,15,4,16,0,3,75,425,997,779,566,826,139,42,3780,33,112,54,39,29,12,0,286,72,128,42,21,41,3,3,309,102,243,99,64,71,17,3,591,526,1238,880,623,892,155,52,4374,903,909,484,313,292,68,32,2997,6,15,15,15,13,3,0,62,1437,2165,1373,949,1197,225,82,7432
105,331,498,283,187,198,30,10,1539,33,19,17,14,5,4,0,97,19,30,16,19,25,0,0,105,557,946,588,423,528,85,19,3157,48,100,72,51,34,11,0,314,84,123,35,48,23,5,0,323,129,222,107,101,65,14,3,630,690,1168,704,523,588,96,23,3793,1172,932,470,259,258,31,12,3122,46,46,32,16,9,0,0,142,1902,2152,1201,789,853,128,30,7056
106,620,1120,759,465,542,107,40,3647,80,65,32,33,48,6,3,268,15,34,22,26,18,3,7,127,1030,1897,1350,962,1298,304,123,6958,88,193,135,82,99,18,5,624,163,258,99,72,57,10,4,654,251,444,231,153,161,26,4,1284,1277,2347,1582,1115,1457,327,128,8238,2046,1760,901,511,471,77,35,5801,20,35,25,15,14,0,0,109,3346,4144,2503,1649,1944,412,163,14155
107,545,1039,705,498,644,209,92,3724,55,61,36,30,43,9,3,235,24,24,25,10,20,8,0,116,922,1784,1368,1052,1553,596,265,7548,47,137,80,63,92,26,12,451,114,192,92,47,68,18,9,536,157,329,173,109,158,41,23,992,1078,2115,1543,1163,1710,642,290,8538,1442,1299,689,476,524,168,86,4680,21,23,22,14,10,3,0,92,2544,3438,2256,1650,2235,816,375,13312
108,465,910,623,449,576,73,17,3122,54,37,23,14,39,10,5,181,21,30,29,11,14,3,0,110,721,1437,1082,810,1165,162,38,5423,49,118,110,60,90,6,0,436,78,202,96,58,65,3,3,500,130,317,206,117,153,9,7,936,847,1752,1290,928,1322,175,40,6360,1612,1486,781,515,505,85,32,5021,37,40,24,17,16,0,0,132,2501,3279,2092,1462,1838,263,70,11510
109,244,425,261,186,250,43,8,1416,22,21,21,11,6,5,0,94,7,9,12,6,11,3,0,48,373,705,555,406,535,101,38,2707,22,54,32,27,32,5,0,174,45,88,29,30,20,5,0,211,64,138,64,56,51,8,0,385,438,836,615,465,585,111,38,3094,620,582,300,179,165,30,10,1886,16,17,14,10,3,0,0,62,1071,1435,933,647,757,144,53,5043
110,407,664,455,316,378,37,6,2260,61,38,20,15,29,5,3,172,27,27,18,18,17,3,0,111,723,1221,888,668,865,116,31,4501,65,138,95,66,69,3,3,449,107,163,72,36,42,12,0,432,176,304,171,104,108,11,3,878,895,1525,1059,766,971,128,37,5384,1535,1351,661,389,327,61,11,4332,36,32,24,21,10,0,0,133,2463,2903,1746,1179,1317,191,43,9851
