SA4_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
101,1249,1481,1329,882,223,48,6029,42,407,680,843,1054,569,109,19,3724,717,3543,4133,3891,3740,2543,847,241,19657,555,2055,2867,3551,3399,2283,821,217,15744,2835,5878,6030,6954,6366,4030,1685,431,34206,505,411,359,454,416,243,52,20,2464,252,362,574,845,994,836,309,94,4271,3594,6654,6963,8247,7770,5109,2046,542,40940,62,135,134,198,295,277,145,54,1293,2559,2230,2469,3117,3360,3536,2714,1496,21480,7553,15812,18499,21329,20951,15200,6902,2622,108862
102,1481,1429,1290,828,260,83,6391,61,468,711,769,927,481,148,34,3600,1374,6032,6459,4867,4422,2793,1126,324,27408,1206,3844,5220,5346,4440,2954,1247,413,24672,4789,9913,9941,10768,8948,6092,3077,1023,54557,778,588,638,645,573,348,90,34,3687,447,658,882,1306,1516,1341,539,197,6888,6013,11154,11458,12723,11043,7787,3703,1256,65133,92,224,274,406,511,546,280,130,2455,2853,2388,2641,3275,3565,4243,4008,2905,25881,11652,25082,28246,28816,26191,19634,10777,5143,155541
103,751,694,711,433,108,23,3284,39,332,468,493,592,321,75,17,2327,761,3719,3589,2776,2428,1529,511,167,15484,482,1763,2235,2587,2532,1619,647,205,12063,3441,6542,5991,6304,5038,3138,1311,363,32125,585,505,430,481,379,204,74,17,2679,298,410,561,795,890,695,243,61,3951,4321,7457,6986,7577,6308,4039,1629,440,38752,64,113,131,161,252,251,112,57,1148,3219,2574,2562,3116,3164,3484,2579,1148,21847,8906,16511,16716,17398,15989,11675,5656,2049,94905
104,415,469,492,383,102,24,2136,14,158,273,364,530,253,67,11,1664,367,1967,2468,2026,2397,1347,443,149,11166,305,1139,1555,2045,2242,1450,546,149,9418,1796,3427,3621,4438,4534,2882,1273,386,22352,407,296,274,287,326,196,38,7,1842,173,260,362,533,726,583,238,81,2952,2371,3987,4259,5262,5587,3660,1543,471,27142,43,77,83,137,192,204,95,35,872,1510,1227,1333,1726,2161,2202,1901,1118,13178,4628,8801,10380,12016,13593,9496,4694,1965,65577
105,340,269,231,98,20,10,1369,17,202,225,229,252,96,10,0,1032,405,2196,1723,1300,1098,571,184,66,7546,261,983,1092,1341,1197,588,250,65,5777,1778,3470,3004,3182,2785,1599,612,172,16601,285,283,247,286,206,100,22,4,1431,147,216,275,369,414,271,102,30,1827,2216,3972,3520,3840,3408,1965,732,204,19859,19,74,49,97,125,99,49,16,545,1786,1928,1620,1915,2042,1955,1498,751,13497,4717,9743,8572,8990,8361,5377,2744,1112,49615
106,769,783,714,433,118,26,3476,24,298,461,493,615,287,71,10,2271,776,3741,3806,2800,2814,1836,617,155,16544,811,2710,3482,3638,3220,1967,718,183,16715,4750,10320,9523,9443,7261,4623,1881,471,48274,795,751,602,518,429,225,52,4,3375,349,581,674,1022,1048,887,338,87,4992,5894,11654,10800,10985,8736,5733,2271,565,56637,73,158,181,257,320,277,120,64,1450,2891,2925,2771,3055,3297,3518,2599,1396,22449,10492,22094,22272,22007,19719,14050,6507,2399,119550
107,2430,1978,1773,952,232,46,9877,111,841,916,811,1019,429,117,24,4276,2652,7641,6797,4789,4127,2200,760,207,29182,1559,3862,4650,4698,3834,2176,754,230,21770,4787,9040,8568,9062,7352,4464,2296,709,46264,674,531,562,540,446,233,71,26,3084,433,572,907,1231,1324,968,422,153,6021,5898,10139,10034,10832,9119,5665,2791,893,55370,151,243,285,322,413,387,204,74,2086,2662,2334,2215,2636,2914,3158,2862,1721,20501,13184,27391,27326,26061,23213,14965,7723,3189,143053
108,530,548,679,506,152,23,2803,23,205,336,446,697,415,119,28,2266,405,2216,2817,2603,3051,2243,820,246,14391,427,1422,2229,2933,3386,2514,1034,300,14254,2643,4907,5597,7002,7283,5442,2607,753,36226,532,453,454,485,505,346,80,25,2871,259,390,565,873,1200,1089,478,155,5004,3424,5744,6616,8355,8989,6868,3166,935,44104,41,59,134,198,341,411,214,76,1481,2305,1735,1833,2646,3450,4322,3526,2206,22015,6632,11741,14489,17732,20599,17277,9029,3810,101308
109,412,350,305,150,48,10,1614,20,236,281,337,354,157,18,6,1408,422,2114,2119,1476,1345,772,270,68,8587,332,1263,1288,1499,1490,914,375,102,7258,1949,3500,3228,3413,3205,1968,811,239,18316,255,278,238,227,203,96,24,6,1327,160,201,263,400,400,315,130,34,1910,2359,3982,3726,4037,3814,2381,971,284,21550,29,56,67,92,114,121,81,30,591,1488,1187,1198,1480,1907,2007,1684,822,11774,4668,9162,9090,9272,9326,6505,3442,1314,52776
110,776,766,683,430,151,35,3491,22,317,384,460,494,230,70,11,1993,708,3165,3018,2358,2171,1360,476,136,13393,400,1471,1971,2294,2219,1365,523,146,10394,2844,5246,4641,4969,4494,2669,1055,227,26145,500,412,355,382,338,189,60,8,2249,272,373,464,696,712,553,196,58,3318,3619,6031,5463,6046,5539,3411,1313,289,31708,88,155,100,132,191,216,127,51,1052,2782,2172,2178,2688,3017,3067,2308,1073,19295,7640,13936,13898,14743,14320,10075,4968,1743,81332
