SA4_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
101,2294,2580,2029,1228,371,124,11047,566,1422,1721,1880,1678,815,177,31,8282,110,373,384,335,304,188,76,24,1796,500,813,691,564,402,281,61,20,3339,14,7,12,20,16,29,34,11,139,26,79,121,147,106,62,20,11,573,1196,984,1069,1380,1469,1540,1295,941,9874,3807,8037,9423,10580,10188,6702,3040,1481,53261,84,306,497,571,558,474,125,49,2665,178,479,520,471,362,153,24,6,2190,676,2092,2325,2989,3005,2516,1246,337,15182,560,1197,1196,1411,1475,955,437,108,7333,297,618,893,960,852,574,211,54,4457,343,1251,1433,1925,2373,1347,618,179,9475,211,1014,1351,1499,2126,1504,502,119,8321,896,2549,3299,3806,3074,2041,613,191,16465,738,1967,2523,2779,2510,1499,382,78,12477,198,573,543,533,521,339,129,34,2872,699,1292,1125,958,716,505,132,38,5471,24,11,19,29,35,49,48,20,225,67,158,273,323,263,178,69,37,1366,2598,2296,2496,3078,3090,3074,2365,1369,20367,7553,15812,18499,21329
102,3902,3619,3015,2155,780,332,18169,1172,2392,2580,2472,1908,897,224,57,11700,331,651,654,460,337,215,104,29,2784,870,1445,1189,1020,656,520,159,72,5923,29,13,15,26,25,59,59,25,242,49,78,131,151,109,72,30,20,640,1385,1089,1294,1516,1535,1915,2019,1753,12504,6391,13274,14744,14517,12811,8857,4732,2719,78043,166,448,582,511,468,341,154,52,2714,240,680,806,658,372,160,34,6,2949,873,2864,3376,4486,4618,3997,2279,843,23345,763,2092,2265,2246,1827,1319,740,221,11474,298,631,678,612,448,231,117,32,3035,826,2743,2988,3299,3166,1717,779,271,15787,413,2084,2211,2133,2749,1783,760,216,12350,1755,4499,5871,5589,4751,3562,1348,501,27864,1497,3285,3554,3421,2683,1510,463,143,16553,621,1088,1058,748,609,374,186,57,4733,1162,2073,1843,1577,1056,865,318,107,8998,58,33,27,41,41,79,104,32,410,94,192,304,353,288,201,89,56,1571,2899,2384,2698,3147,3114,3495,3400,2616,23760,11652,25082,28246,28816
103,1966,2078,1549,901,302,105,9331,626,1334,1318,1239,964,445,118,25,6073,110,309,295,225,155,134,40,9,1282,545,785,646,477,255,162,45,29,2958,29,8,13,15,14,23,24,5,129,20,51,64,79,59,48,16,7,347,1414,991,1105,1346,1370,1518,1255,666,9667,4447,8280,8548,8621,7740,5290,2676,1178,46789,58,242,314,281,247,204,57,14,1405,98,277,228,192,150,78,15,3,1045,1056,2754,2613,2884,2654,1987,876,254,15076,443,969,935,900,863,582,276,62,5026,317,642,840,895,816,626,292,59,4485,607,1713,1591,1761,1947,1161,521,207,9505,312,1319,1509,1426,1816,1084,405,130,8002,947,2500,2761,2937,2276,1411,479,148,13453,786,1741,1722,1727,1365,768,219,59,8384,188,442,414,348,247,228,64,21,1944,734,1169,1012,798,492,336,116,40,4693,58,14,23,20,30,38,41,10,228,60,125,163,205,153,104,50,21,880,3251,2620,2605,3027,2935,3072,2244,1028,20776,8906,16511,16716,17398
104,1323,1428,1412,837,310,113,6955,330,773,933,1145,1119,455,108,23,4889,61,177,218,196,165,113,38,14,973,325,489,443,388,302,184,56,35,2220,14,10,5,4,11,22,20,13,99,11,32,59,66,56,34,8,11,268,716,543,602,817,922,935,915,683,6130,2399,4667,5560,6297,6740,4145,2064,1071,32938,44,127,196,205,229,189,64,17,1074,100,189,163,139,149,71,13,0,823,463,1079,1178,1668,1961,1795,854,276,9289,220,568,672,826,1035,690,329,82,4419,138,350,435,457,358,193,80,25,2037,293,946,1157,1393,1673,903,375,122,6867,147,704,868,1012,1585,1017,370,78,5781,634,1418,1847,2028,2076,1308,497,164,9966,413,1028,1329,1545,1575,770,204,57,6921,110,304,357,283,327,206,72,16,1675,468,780,703,627,518,356,125,54,3631,25,20,9,21,13,27,33,23,175,26,66,132,155,144,114,55,26,719,1530,1241,1333,1658,1935,1858,1635,1014,12205,4628,8801,10380,12016
105,955,1008,756,344,125,33,4538,321,798,653,680,540,182,34,14,3222,43,105,80,67,65,41,9,3,418,245,386,284,243,150,119,25,9,1464,14,9,3,6,10,13,16,3,70,9,39,33,37,23,8,8,0,161,824,811,737,881,907,853,784,437,6230,2376,5068,4418,4605,4095,2396,1363,629,24951,18,122,113,120,84,51,17,0,529,50,153,89,92,75,26,4,0,495,558,1303,1174,1266,1265,851,378,115,6908,209,477,397,415,460,288,148,38,2425,217,434,495,557,439,271,125,29,2561,356,1021,839,925,1009,520,231,84,4978,175,915,854,778,805,420,136,55,4149,441,1447,1374,1447,1096,541,175,47,6568,403,1085,901,928,728,296,65,20,4420,70,144,118,84,113,71,14,3,625,345,595,472,380,276,212,56,15,2346,21,12,11,14,16,28,22,8,135,28,71,81,85,76,48,25,6,435,1839,1957,1663,1901,1907,1745,1345,694,13044,4717,9743,8572,8990
106,3027,2681,2028,1228,328,124,13723,803,1690,1620,1488,1166,520,110,27,7422,152,325,330,236,207,140,60,18,1466,813,1305,1000,743,417,321,71,22,4694,20,22,15,19,36,27,22,16,170,29,61,85,98,52,48,20,12,410,1309,1228,1158,1335,1421,1528,1288,831,10105,5523,11297,11000,10462,9106,5902,2720,1326,57336,75,358,408,370,372,234,77,23,1917,111,356,317,244,212,103,16,0,1357,1679,4768,4836,5302,4492,3263,1441,377,26159,450,1162,1153,1223,1115,884,396,109,6496,310,587,722,584,430,250,102,26,3014,645,1942,2023,2261,2369,1325,518,155,11234,256,1383,1490,1482,1863,1149,413,128,8173,1607,3924,4133,3810,3034,2005,604,161,19279,1022,2131,2105,1948,1624,839,246,57,9973,254,465,450,331,310,246,93,31,2177,1045,1852,1566,1139,697,565,185,41,7098,51,37,40,22,56,55,40,19,317,85,175,240,270,182,136,76,18,1177,2905,2962,2785,3009,2982,3003,2283,1256,21185,10492,22094,22272,22007
107,3591,3281,2473,1338,474,198,16232,1209,2544,2484,2363,1696,772,202,41,11312,377,678,599,439,299,183,92,24,2694,787,1151,961,799,479,289,86,37,4587,44,16,10,17,30,43,32,23,218,68,112,153,120,91,57,22,7,636,1302,1093,1038,1183,1264,1403,1388,1038,9693,6823,14059,13844,12771,10920,6418,3267,1655,69760,378,846,751,595,565,406,139,20,3702,323,972,865,527,296,115,17,3,3125,1508,4191,4410,5205,5089,3637,1905,604,26546,903,1828,1858,1760,1270,850,509,152,9131,181,472,533,408,292,135,59,17,2098,919,2891,2737,2597,2385,1138,488,161,13312,517,2203,2325,2110,2943,1598,594,147,12439,2140,4922,5365,4948,3856,2200,714,268,24411,1652,3575,3462,3192,2459,1207,363,88,15991,684,1166,962,684,496,266,119,36,4410,1092,1665,1459,1193,734,501,184,71,6909,88,32,24,33,39,72,57,28,375,127,239,313,297,228,138,66,24,1436,2665,2385,2255,2529,2565,2705,2502,1577,19173,13184,27391,27326,26061
108,1775,2144,2194,1692,593,200,10669,490,1170,1429,1498,1407,662,168,35,6861,71,165,238,240,224,174,78,29,1217,440,694,704,605,494,370,109,48,3462,30,13,11,14,20,37,44,23,187,19,35,58,58,85,64,17,10,346,1078,746,847,1197,1471,1872,1698,1299,10202,3446,6272,7669,9165,10147,7544,3888,1989,50117,39,111,217,235,303,308,107,30,1345,118,186,233,255,250,165,29,4,1244,620,1391,1817,2565,3310,3476,1877,614,15665,329,820,1017,1369,1539,1182,644,148,7053,185,417,542,602,563,342,135,29,2808,416,1306,1571,2169,2691,1555,671,218,10593,211,952,1234,1435,2249,1629,660,164,8541,867,1880,2495,2952,3158,2632,973,324,15280,635,1499,1866,2063,2021,1112,318,70,9576,123,270,336,346,394,300,138,53,1969,643,1090,1153,958,846,674,222,77,5659,50,22,17,23,37,56,76,35,306,44,75,141,167,188,199,86,30,932,2359,1730,1849,2579,3051,3651,3101,2016,20332,6632,11741,14489,17732
109,1089,1049,785,393,152,67,4990,324,685,766,778,631,301,61,5,3544,56,142,118,99,68,53,30,5,577,324,512,403,338,242,157,56,12,2042,20,5,5,10,15,14,21,10,97,9,34,44,43,29,17,15,3,196,688,571,602,682,831,848,820,455,5481,2374,4821,4777,4743,4548,2887,1629,705,26493,25,138,178,134,124,77,28,5,713,54,150,150,98,94,46,3,0,597,541,1294,1210,1386,1468,1153,506,149,7707,304,624,504,500,583,379,216,60,3164,204,539,596,587,488,295,115,40,2864,305,999,899,974,1177,689,272,97,5414,173,740,765,800,961,559,242,54,4293,535,1513,1637,1548,1280,730,270,95,7617,417,909,1011,1015,841,436,104,19,4758,99,222,174,151,127,91,35,12,918,426,747,628,528,372,251,106,36,3084,40,16,12,16,18,30,30,15,184,24,75,107,109,84,41,34,7,480,1518,1195,1225,1426,1717,1722,1469,725,10989,4668,9162,9090,9272
110,1656,1698,1389,804,232,97,7968,560,1200,1230,1151,1025,474,114,20,5779,78,217,184,177,114,97,53,14,941,397,643,428,380,264,122,30,14,2281,32,15,10,15,11,30,22,4,141,22,31,63,73,58,41,12,4,298,1311,994,1031,1289,1344,1358,1150,663,9145,3912,7283,7329,7703,7204,4747,2356,1062,41584,88,275,312,282,305,209,72,25,1565,98,215,177,146,101,54,14,3,801,867,1950,1771,1971,2028,1457,646,158,10846,355,734,670,748,743,545,254,53,4113,385,862,959,949,694,555,242,33,4676,491,1473,1307,1548,1785,999,435,156,8199,245,1082,1294,1356,1531,978,380,99,6960,799,2119,2318,2389,2005,1217,385,124,11361,723,1609,1707,1636,1462,795,215,38,8179,122,314,269,269,195,177,79,19,1447,553,979,735,591,475,266,89,23,3703,62,28,15,29,24,46,43,10,255,49,109,136,175,156,105,36,7,777,2815,2203,2227,2642,2819,2688,2067,991,18452,7640,13936,13898,14743
