SA4_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
101,453,98,1350,542,457,360,156,418,44,3885,10,6,6,4,11,5,3,14,4,58,192,158,83,113,151,33,63,75,44,902,324,189,331,262,260,214,183,337,236,2345,10965,14801,10491,7753,8148,3440,2485,4134,1085,63291
102,605,177,1969,950,635,612,220,497,45,5698,5,9,6,12,16,11,9,14,0,91,132,178,135,116,119,55,111,68,37,959,217,209,436,322,293,271,240,396,365,2747,11126,23469,16491,11892,11401,5844,3531,5500,1432,90690
103,387,76,1067,524,324,285,226,339,30,3254,10,4,3,6,7,14,7,18,0,70,92,84,67,59,69,20,81,59,28,561,309,136,322,200,179,213,260,348,213,2172,8567,13080,9911,6564,6285,2976,3531,3807,778,55502
104,237,55,875,330,209,214,86,243,16,2264,8,9,5,8,4,3,0,14,0,46,72,65,47,44,51,23,36,35,11,389,119,82,166,132,107,142,105,205,125,1182,4169,8724,5604,4711,4170,2212,1410,2640,521,34158
105,173,43,535,275,151,142,98,177,16,1614,8,3,3,6,3,4,7,9,0,44,45,44,23,40,33,15,30,35,14,281,192,98,150,152,118,105,125,216,142,1320,4685,6652,4700,3994,3188,1517,1454,2031,425,28645
106,414,96,1597,811,413,462,421,460,49,4715,8,14,13,8,12,14,20,26,9,113,93,94,154,86,90,40,136,55,34,785,210,157,435,224,190,184,305,372,226,2305,8196,14281,15948,8309,8251,3876,5891,4646,1045,70436
107,421,115,1642,785,521,427,232,370,46,4560,6,11,9,15,9,8,5,14,6,87,126,196,110,92,139,42,92,66,35,894,149,194,404,250,202,208,210,323,306,2241,10163,25118,15706,11050,10857,4761,4168,4649,1278,87745
108,329,79,1255,555,276,363,126,396,30,3405,4,8,8,14,9,7,7,10,6,71,68,78,50,43,58,23,52,46,13,436,180,123,275,255,150,221,175,320,193,1884,5800,11986,8464,6924,5560,3313,2033,3722,702,48500
109,255,35,742,311,186,229,90,225,22,2094,5,5,3,12,6,5,4,11,3,62,64,54,40,36,31,18,37,36,6,325,177,74,191,131,89,119,131,222,102,1224,5157,7342,5368,3807,3491,1698,1596,2397,408,31267
110,336,58,862,410,224,202,160,330,17,2607,11,11,3,9,3,7,3,22,3,62,98,75,69,40,52,35,61,59,20,502,303,167,297,196,192,180,244,424,228,2233,7856,11466,7523,5497,5301,2455,2408,3873,730,47109
111,530,171,2173,833,624,563,269,485,59,5702,3,13,10,14,9,17,7,32,3,102,137,259,162,121,166,68,121,84,50,1176,168,241,386,274,255,204,214,328,335,2409,12174,34823,18789,12569,13690,5806,4567,5460,1429,109311
112,442,112,1648,721,364,393,142,490,49,4364,10,16,11,14,7,11,5,15,4,92,113,142,98,94,79,36,58,80,32,733,210,167,317,261,181,240,162,343,245,2124,8089,17151,10733,8803,7026,3898,2336,4836,961,63823
113,279,54,866,396,247,246,91,375,21,2568,10,13,3,17,3,7,9,29,5,95,91,72,48,65,62,29,59,76,27,529,257,105,197,169,156,159,175,342,151,1700,6755,9995,7526,5081,4779,2223,2076,3533,563,42530
114,304,52,921,422,216,207,105,258,10,2504,10,3,3,5,11,7,3,12,0,53,77,86,52,57,60,32,23,47,10,454,142,90,203,142,109,146,94,189,142,1250,5212,9563,7551,5055,4187,2363,1465,2576,584,38560
115,399,140,929,428,514,331,91,167,49,3050,8,7,5,11,11,4,4,8,0,63,197,238,98,91,174,94,57,41,33,1021,195,189,221,106,227,121,89,114,292,1557,15676,28451,10503,5965,12124,4979,2034,2640,1335,83706
116,436,130,1420,622,553,475,459,447,73,4614,19,8,14,16,18,14,33,43,6,177,153,219,189,176,271,125,262,171,54,1616,182,200,358,268,317,193,433,405,480,2832,10928,26460,14763,10758,15631,6106,7310,6156,1825,99929
117,837,259,2399,952,460,428,120,323,62,5846,27,20,38,78,14,28,16,62,9,292,469,889,162,224,311,187,76,95,81,2502,250,451,281,332,211,185,109,253,498,2563,22802,56881,11922,11441,14946,8452,2175,5233,2139,135989
118,567,160,1281,571,391,248,58,175,29,3467,13,13,17,16,13,10,4,12,7,108,364,625,109,156,225,132,44,66,58,1785,266,332,149,187,187,158,68,124,335,1801,20763,47022,8289,7650,11671,6527,1422,2761,1799,107904
119,846,196,2965,1265,906,778,459,631,116,8164,23,20,58,43,41,40,42,108,20,402,275,404,240,259,361,189,224,207,83,2238,364,448,599,434,501,386,413,548,887,4595,20244,47852,22490,16731,23751,12420,8050,10143,3169,164841
120,598,173,1610,620,441,385,126,266,45,4272,15,21,37,34,13,24,14,45,5,208,324,568,112,116,334,133,54,78,66,1785,229,317,200,167,233,167,90,199,396,1993,19888,47306,10085,8202,14564,7261,2187,4037,1939,115462
121,694,242,1501,602,496,397,87,225,44,4278,22,24,9,21,17,18,6,10,5,129,472,776,129,161,355,208,48,57,73,2290,307,492,146,140,251,167,43,99,449,2090,34446,75115,10491,9465,20023,9029,1654,3213,2699,166130
122,615,217,1421,564,512,356,146,209,37,4086,6,13,13,15,9,16,4,15,0,85,258,388,85,114,177,106,53,46,49,1281,253,234,218,153,214,159,82,122,293,1730,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
