SA4_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,227,396,715,717,752,592,165,23,3,3593,254,355,570,667,834,697,219,79,17,3697,5754,7369,16489,19478,23818,18403,5076,818,131,97339
102,271,657,1237,1211,1320,912,230,26,3,5868,332,591,1019,1193,1345,967,301,75,21,5841,8614,12714,26212,29776,32560,23909,5250,496,72,139593
103,215,430,750,700,642,475,158,23,7,3394,244,318,517,580,658,530,248,98,35,3225,5009,7311,16228,17238,19298,15394,4687,961,161,86287
104,106,216,399,391,482,340,95,8,0,2041,121,166,317,382,435,358,129,52,11,1970,3217,3854,8497,10404,12501,10772,2444,337,53,52076
105,101,218,397,334,343,298,111,24,5,1829,116,166,318,290,337,312,146,56,22,1758,2380,3864,9369,8796,10236,8713,2672,558,119,46707
106,286,666,1191,1053,1025,618,163,20,3,5028,261,439,775,900,1005,708,196,68,24,4379,7038,10151,22380,23858,25217,17702,3948,561,104,110966
107,294,636,1199,1103,1062,667,149,12,0,5133,275,563,939,954,1083,679,172,63,19,4744,7545,13546,26295,28201,28614,19307,3404,370,53,127331
108,136,301,516,612,658,524,157,15,3,2928,196,205,391,463,607,543,220,91,20,2731,4568,5143,11183,14276,18402,15919,4002,573,88,74160
109,109,198,403,373,372,320,93,23,3,1891,143,206,287,335,424,379,180,43,6,2008,3084,4253,9060,9631,11089,9721,2746,442,79,50100
110,204,337,601,562,575,481,145,32,7,2951,219,262,517,540,592,513,278,98,27,3050,4495,6223,13967,14543,16864,14285,4535,920,150,75985
111,367,793,1470,1351,1295,887,211,38,3,6421,288,620,1159,1127,1180,770,248,77,15,5485,9318,16603,35405,34334,34861,24635,4705,525,59,160447
112,143,337,658,731,875,604,190,12,4,3537,253,309,729,885,924,800,283,96,35,4321,5682,6801,15188,19888,23191,19943,4905,695,122,96427
113,151,341,551,466,476,371,131,18,3,2505,185,269,535,468,559,445,180,73,19,2732,4362,6604,13766,13483,14967,12129,3397,650,97,69453
114,108,223,447,446,488,358,127,12,4,2214,139,190,338,422,533,461,199,65,18,2360,3612,4410,9330,10976,13436,11351,3252,458,65,56899
115,249,482,754,951,1012,735,220,22,0,4416,257,452,858,1171,1297,752,304,53,5,5145,6653,10917,18661,26431,27918,18797,5352,549,43,115320
116,269,570,1352,1238,1110,716,166,13,0,5425,391,984,2239,2163,1794,1036,234,30,10,8885,7577,14989,37896,38808,30623,19065,3480,198,30,152682
117,105,507,1924,1232,834,522,131,12,0,5274,152,888,3155,1673,1084,580,192,49,8,7785,3351,18249,68812,39942,25148,14579,3875,443,65,174465
118,119,333,1210,923,692,472,194,27,11,3979,152,461,1875,1371,1102,655,326,85,16,6040,3299,11311,40864,32608,24931,15744,5986,973,163,135879
119,313,962,2267,2327,2052,1414,320,43,0,9703,491,1630,3962,3089,2982,1948,452,93,24,14679,9503,25109,66034,55882,50255,32699,7119,712,94,247411
120,136,417,1225,978,1009,671,198,19,3,4639,173,724,2090,1455,1333,816,246,50,18,6900,4174,13355,42936,35407,29638,18831,5127,568,79,150117
