SA4_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
101,103,462,298,386,676,702,363,564,47,3593,159,393,250,306,514,530,215,472,855,3697,4007,10941,9242,11680,18678,16667,8779,15369,1971,97339
102,154,766,615,684,1190,1087,550,755,67,5868,197,577,465,425,980,1040,340,666,1143,5841,5073,16887,15515,16819,26643,26302,11689,18147,2512,139593
103,73,412,312,314,604,635,358,658,34,3394,151,301,204,234,468,463,204,426,782,3225,3377,9642,8344,9653,15282,14178,8097,15867,1847,86287
104,54,289,180,260,410,365,166,293,23,2041,91,250,186,170,292,248,102,178,457,1970,1990,7218,6060,7647,9811,7544,3837,6938,1029,52076
105,61,166,160,174,407,348,171,295,27,1829,86,126,102,114,228,255,113,216,512,1758,1742,4504,3878,5018,8966,7887,4056,9520,1132,46707
106,142,590,457,505,1002,916,507,856,48,5028,148,460,299,365,685,744,281,502,893,4379,4276,13155,11816,12635,20078,18467,11188,17244,2098,110966
107,163,645,527,560,1033,1032,445,677,41,5133,164,453,389,351,750,838,291,546,952,4744,4833,15889,14406,14645,24903,22913,11436,16216,2091,127331
108,77,414,332,313,563,525,258,403,39,2928,133,334,197,241,346,306,143,264,770,2731,3216,10115,8784,10695,13376,11021,5417,9793,1735,74160
109,56,220,198,197,347,331,196,317,30,1891,88,210,144,149,300,298,107,236,461,2008,2052,5910,4957,6134,8535,8370,4492,8559,1087,50100
110,88,359,241,263,613,564,295,478,43,2951,131,307,210,218,444,467,175,371,733,3050,2865,8400,6968,8846,14165,12221,6462,14302,1745,75985
111,181,827,633,690,1333,1186,659,872,40,6421,181,563,380,436,897,955,317,616,1133,5485,5979,19894,17895,19192,30662,29345,14575,20387,2520,160447
112,84,534,406,446,619,623,285,501,45,3537,181,538,369,456,515,590,200,485,988,4321,3401,13538,11708,15006,17060,14282,6686,12663,2085,96427
113,48,270,215,246,519,498,291,386,28,2505,121,258,188,178,423,468,172,312,612,2732,2540,7292,6329,7551,13744,12228,6429,11809,1516,69453
114,70,291,256,278,391,344,208,341,33,2214,109,306,197,189,293,319,135,279,520,2360,2103,8052,6557,7267,9685,9035,4970,8073,1149,56899
115,86,541,434,449,691,924,429,816,42,4416,121,487,397,372,696,1138,329,775,841,5145,3021,13369,11634,10841,18735,25557,10437,19995,1724,115320
116,118,531,507,489,1325,1151,530,709,64,5425,185,591,613,615,1949,1765,524,774,1864,8885,4175,13349,13705,14561,39620,34095,12796,16729,3648,152682
117,130,554,578,555,1081,1052,520,724,83,5274,210,571,920,492,964,1543,523,1072,1499,7785,4777,13386,19650,13384,30394,39422,19305,31132,3013,174465
118,97,523,485,468,652,747,353,611,43,3979,157,592,554,432,618,1254,414,1005,1025,6040,3874,12969,13273,12028,18757,29951,14352,28519,2151,135879
119,208,1182,1208,987,1996,1964,855,1163,142,9703,395,1309,1487,1117,2608,2564,720,981,3499,14679,6791,25529,29620,25067,53963,52848,19650,27434,6504,247411
120,105,556,538,470,903,922,432,649,63,4639,152,634,742,487,1010,1351,415,761,1340,6900,4173,13754,16377,13646,26887,33951,14778,23926,2624,150117
121,139,831,687,591,935,1050,583,928,71,5813,208,864,714,580,1010,1850,590,1350,1308,8474,5740,22058,20241,17824,29832,45918,21590,39856,2668,205722
122,122,714,528,566,729,918,484,713,39,4815,169,635,537,505,741,1273,464,1000,904,6223,3831,15149,14192,13312,17939,26520,13033,23787,1908,129685
123,102,477,383,377,967,955,516,686,64,4538,194,496,426,441,1321,1308,424,712,1215,6540,3831,11661,10901,12182,27184,25004,11565,16904,2572,121806
124,132,627,497,542,1062,1229,607,916,70,5679,202,594,455,514,1390,1390,496,913,1216,7171,4692,15010,13816,14933,30398,29738,14184,21891,2670,147331
125,121,756,767,633,1498,1346,605,729,100,6552,273,1085,1221,929,2360,2288,649,852,2786,12449,4828,18261,20440,17842,45260,44785,15272,19766,4996,191445
126,66,381,380,325,510,542,271,372,26,2866,80,376,323,285,646,864,226,463,763,4034,2436,9684,9147,7980,16686,20612,8103,12443,1506,88601
127,127,918,766,659,1534,1365,599,796,97,6862,272,1102,894,853,2540,2025,572,783,2569,11616,4216,16341,15080,15480,39284,34219,12695,18223,4679,160218
128,94,530,451,503,754,957,407,708,47,4459,131,401,369,360,636,974,327,650,765,4606,3602,12360,11900,11447,18287,23502,11344,18354,1642,112434
197,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
199,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
201,86,359,242,279,448,367,229,284,33,2334,133,290,179,195,362,382,147,296,577,2573,2833,9252,7485,8545,11825,11081,6047,8989,1333,67396
202,85,341,214,309,451,402,243,341,20,2412,116,301,168,216,373,375,154,296,500,2492,2880,9136,7313,8624,11684,10869,5919,8811,1215,66444
203,120,678,467,532,858,820,359,546,54,4438,192,558,360,397,669,810,293,544,1011,4836,5010,17417,14239,15071,21318,22526,10910,16292,2244,125026
204,87,344,231,303,491,550,263,402,38,2709,192,325,216,230,432,502,177,367,671,3120,3334,9075,7861,9531,12699,12826,6988,11610,1615,75545
205,135,602,430,490,770,816,366,615,47,4271,249,498,357,335,571,679,254,578,1070,4577,5299,15207,12321,13746,17808,17150,9562,17008,2391,110486
206,215,1091,978,1122,1826,1605,913,1193,95,9041,342,1213,1145,894,1609,2346,886,1815,2293,12543,9349,31796,31148,30749,53337,69270,35350,54383,4780,320165
207,121,840,637,580,926,839,468,678,47,5134,209,888,691,547,878,1225,359,905,1290,7002,4671,23868,18991,17860,25766,32858,15393,26595,2608,168603
208,156,1027,721,744,1027,1015,580,877,61,6211,215,1020,708,722,1068,1665,573,1273,1444,8688,5780,25007,21037,21285,30081,39789,19692,32526,3002,198179
209,194,1152,987,992,1764,1620,750,1049,100,8613,342,1146,829,884,2119,1940,624,1061,2128,11072,7521,27775,25133,26101,46024,45992,20596,27917,4551,231609
210,144,736,610,669,1345,1134,561,750,83,6033,243,751,619,623,1444,1420,438,723,1836,8097,4970,17458,16482,17200,32896,31374,13588,18625,3811,156400
211,263,1272,1075,1163,2086,2027,992,1499,95,10476,372,1163,887,944,2166,2251,801,1374,1944,11906,8168,31677,25985,27853,46454,48873,23180,31504,4043,247729
212,266,1664,1471,1388,3083,2680,1212,1548,170,13476,513,1731,1579,1551,4519,3803,1203,1642,3888,20428,9495,38992,34162,36674,76013,67845,28551,36490,7479,335693
213,281,1437,1258,1196,2736,2296,1012,1251,148,11612,471,1544,1428,1383,3575,3307,933,1413,3847,17907,9880,33955,32721,34587,73067,69292,28121,37094,7486,326215
214,140,691,540,626,965,986,472,658,60,5134,225,648,495,521,1113,1250,448,784,1136,6633,4683,16885,13804,16011,22849,24365,12310,17601,2403,130907
215,72,267,200,238,478,488,189,306,36,2267,137,267,194,219,357,432,122,311,638,2669,2653,7712,6147,7714,10972,11070,5226,10405,1477,63374
216,67,280,198,225,466,448,212,286,25,2211,138,215,147,163,361,363,149,293,599,2430,2441,6477,5282,6647,9475,9310,5115,8662,1294,54705
217,50,308,180,194,337,337,134,241,23,1800,123,241,152,165,287,312,117,270,528,2195,2565,7510,5882,6864,8397,8512,4890,9737,1248,55609
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
299,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
301,106,570,465,541,881,847,426,651,38,4521,136,459,316,390,794,907,310,712,752,4776,3523,11867,9922,12536,20905,20053,10428,17248,1643,108128
302,85,454,335,470,836,673,364,501,31,3751,109,323,279,255,684,712,240,457,728,3789,3565,10335,9637,11611,22418,20521,10188,14756,1587,104609
303,124,713,705,688,1300,1099,569,784,63,6042,165,704,665,577,1190,1207,383,740,1261,6893,5020,18969,18104,18653,35004,31599,15176,22510,2674,167703
304,56,422,313,344,470,449,241,374,17,2683,80,358,220,225,331,523,147,412,414,2722,2887,12100,8937,9199,14460,16476,8344,14378,1114,87898
305,84,514,422,472,772,712,372,576,39,3957,101,509,425,351,619,852,327,785,847,4812,3932,14668,14086,13518,23795,27604,14667,26146,1855,140263
306,99,455,394,515,925,780,425,686,49,4330,180,449,342,396,593,622,261,571,979,4395,3945,10774,9673,14401,21222,17110,9598,17244,2180,106148
307,46,232,154,214,342,389,222,368,14,1985,111,227,110,190,317,336,143,461,547,2442,2049,5952,4525,5956,8416,7876,4836,13971,1291,54865
308,119,512,321,416,813,654,385,714,39,3978,169,330,216,277,473,521,241,591,736,3554,4006,10233,7977,10240,17153,14343,10353,21538,1813,97655
309,261,1431,1160,1435,1878,1881,947,1506,128,10619,389,1352,1020,1256,1923,2275,798,1832,2284,13123,8014,31151,27312,35753,49370,46518,22806,41114,4855,266886
310,137,707,523,695,1287,916,613,695,67,5642,212,535,387,558,1332,1145,440,759,1291,6671,4766,13566,11720,16130,31269,24078,13066,18690,2681,135965
311,159,648,519,729,1348,1153,642,824,75,6091,218,579,486,604,1646,1426,522,922,1418,7828,4377,13214,11849,16475,31181,24871,13036,19330,2986,137317
312,105,373,270,324,698,509,395,765,47,3488,137,280,194,236,491,439,218,501,687,3182,3096,7446,6072,8270,12907,11016,8775,19149,1654,78391
313,121,468,391,467,822,752,393,580,59,4051,166,470,330,394,844,758,277,629,915,4783,3439,10813,8985,12353,19520,15751,8448,13909,2002,95216
314,106,490,390,468,831,774,416,573,25,4072,104,319,243,281,729,732,276,560,657,3910,3308,10089,8856,11102,20089,18319,9396,14085,1421,96668
315,46,182,100,157,230,264,108,250,36,1380,54,107,61,98,129,161,73,217,409,1321,1347,2500,1863,3165,5100,5450,4224,9149,971,33765
316,155,968,686,882,982,1052,506,750,61,6038,222,823,575,711,866,1010,374,1026,1190,6790,5257,20271,16678,21964,24875,23579,12573,23870,2577,151648
317,86,361,271,289,527,499,310,443,20,2807,76,236,134,180,358,360,179,361,429,2310,2361,7456,6091,8153,13152,10399,6614,11127,1032,66386
