SA4_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
101,30,3,0,12,0,5,0,0,0,191,3,256,6,7,0,7,0,8,0,27,3,150,3,211,4,6,0,8,0,11,0,35,4,114,3,188,0,0,0,3,0,3,0,21,3,72,0,105,39,48,10,29,0,31,7,91,11,910,25,1202,22,41,0,26,4,53,6,158,16,321,7,661,56,89,16,82,5,125,8,268,39,2914,59,3656,86,144,8,132,9,245,21,324,41,1162,12,2176,192,212,20,343,25,303,30,295,34,1366,17,2830,341,224,14,478,35,223,29,179,30,932,16,2505,258,77,8,343,26,211,16,111,25,308,8,1380,476,75,12,332,38,176,10,98,23,278,10,1528,1046,120,37,546,51,282,20,132,39,366,14,2653,731,44,15,350,55,129,14,65,16,167,8,1591,512,31,19,181,33,76,11,36,5,85,3,998,357,5,8,86,12,88,4,21,11,31,3,625,618,69,28,224,46,125,8,38
102,3,0,0,5,0,10,0,10,4,394,11,435,7,3,0,3,0,0,0,38,4,183,7,242,0,3,0,3,0,8,0,47,4,136,0,207,0,0,0,0,0,8,0,28,5,91,5,135,16,40,3,8,0,21,0,96,7,1276,24,1481,5,35,0,12,0,56,9,175,7,502,7,809,15,101,10,46,0,148,9,314,32,4770,83,5539,51,124,10,98,13,359,11,424,47,1810,33,2973,115,214,15,298,23,422,14,359,55,1882,34,3425,303,195,20,529,26,404,22,277,38,1300,26,3146,323,107,21,455,28,316,16,127,21,359,6,1774,517,87,17,472,35,278,17,132,16,346,6,1925,1429,154,29,765,75,443,34,118,23,414,12,3493,1028,67,30,490,42,125,23,75,11,177,0,2065,633,33,22,231,33,53,11,19,5,70,0,1118,332,20,6,85,22,150,5,20,9,50,0,698,508,59,17,249,28,101,10,54
103,23,10,0,17,0,9,0,6,3,190,7,269,15,6,4,10,0,3,0,12,5,137,0,202,8,5,0,7,0,9,0,29,3,84,3,163,3,0,0,5,0,6,0,29,0,53,0,96,40,28,3,32,4,33,3,79,8,838,19,1072,10,29,0,23,3,57,3,146,10,259,8,548,86,75,17,65,0,148,9,242,33,2495,42,3215,86,96,21,130,12,247,9,236,23,839,9,1706,158,155,18,340,16,312,26,253,25,910,17,2229,371,152,14,457,34,266,23,135,26,524,8,2014,273,56,4,341,21,183,11,75,19,144,0,1135,449,72,18,328,26,172,12,49,21,156,9,1304,960,98,28,519,59,242,17,86,28,209,13,2263,647,39,15,313,39,90,6,34,9,68,5,1265,455,22,21,153,14,40,11,17,7,45,0,777,208,12,6,64,14,64,3,9,5,23,3,406,390,39,10,217,18,65,4,24
104,7,3,0,0,0,0,0,3,3,142,4,170,7,0,0,4,0,6,0,15,0,84,0,115,3,3,0,0,0,3,0,16,0,72,0,104,0,0,0,0,0,4,0,16,0,47,0,72,20,24,3,9,0,14,3,64,12,795,17,953,7,32,0,20,0,26,4,124,18,292,3,528,36,86,7,41,0,88,13,222,18,2545,36,3092,39,120,8,87,6,181,9,269,23,946,16,1705,80,142,15,204,10,205,13,210,18,924,17,1842,200,143,18,317,20,154,23,129,17,633,13,1660,156,71,9,249,8,106,6,62,14,165,3,853,233,62,10,237,18,111,19,51,11,196,3,930,438,75,19,363,34,145,18,55,18,191,6,1352,287,37,7,188,21,71,11,19,6,81,0,731,176,17,0,64,4,20,6,12,4,32,0,346,87,4,0,29,4,32,0,3,6,15,0,183,141,13,7,75,6,30,5,23
105,36,0,4,5,0,12,0,3,3,79,4,149,11,0,0,3,3,0,0,7,0,58,3,83,8,3,0,0,0,4,3,15,5,39,0,80,0,3,0,0,0,0,0,13,0,28,0,49,24,9,3,8,3,12,0,52,4,462,8,586,11,12,0,11,3,33,0,65,3,147,0,284,56,50,14,38,3,84,7,139,10,1374,28,1794,85,45,4,76,4,153,3,146,18,337,5,883,135,82,14,141,10,149,12,104,26,389,9,1078,226,64,10,234,15,131,7,63,11,264,8,1034,171,21,8,171,9,102,7,17,8,45,5,573,286,26,12,157,15,93,11,27,8,62,7,698,602,36,16,269,31,133,8,26,11,81,7,1230,439,20,6,159,19,37,7,9,6,26,3,722,271,8,3,85,15,20,0,6,0,9,0,421,142,6,4,21,4,19,0,7,0,5,0,208,218,24,6,70,11,40,0,10
106,16,5,0,4,0,3,0,12,0,270,3,313,9,5,0,4,0,7,0,25,0,175,3,228,0,7,0,0,0,7,3,39,0,113,0,175,3,0,0,0,0,7,0,25,3,71,0,101,21,28,3,22,0,23,4,110,6,1099,21,1337,11,34,3,9,4,50,3,156,9,455,8,743,41,91,8,49,3,119,0,285,36,3607,39,4271,57,116,5,83,13,274,12,336,37,1368,11,2316,115,205,14,297,19,358,26,276,44,1436,21,2806,290,168,15,514,29,303,34,189,35,906,20,2508,287,70,6,427,29,317,10,116,21,260,3,1551,475,60,21,398,32,252,23,82,26,258,6,1632,1211,106,18,694,74,467,33,88,33,317,10,3064,842,67,24,457,61,113,29,26,13,97,8,1731,597,24,22,229,37,38,11,19,9,47,0,1033,247,5,7,48,10,117,6,13,10,16,3,483,453,40,11,231,36,85,9,40
107,8,0,0,0,0,8,0,8,4,377,8,419,5,4,3,3,0,3,0,19,5,226,7,273,0,13,0,0,0,13,0,43,0,124,0,199,0,0,0,0,0,8,0,28,7,79,0,123,10,19,3,4,0,12,0,90,11,1184,16,1357,3,25,0,12,3,57,3,166,19,505,4,792,21,78,7,25,3,107,5,270,34,3970,58,4567,26,103,4,75,8,218,10,319,21,1448,23,2256,85,145,6,234,13,348,21,283,47,1619,21,2826,223,168,3,390,24,307,21,217,29,1050,14,2440,239,70,3,337,28,294,24,126,23,302,8,1450,417,76,8,371,37,227,16,94,26,301,3,1585,1122,128,35,661,77,400,34,130,40,365,4,2996,954,55,19,470,64,133,22,61,12,130,3,1930,675,28,15,241,39,73,6,21,4,54,0,1170,375,14,11,69,23,130,5,22,13,32,0,677,551,41,10,235,34,125,12,42
108,14,4,3,4,0,8,0,7,7,273,7,335,11,12,0,6,0,6,0,17,0,198,7,261,8,10,0,3,0,9,0,39,9,115,0,189,3,3,0,3,0,5,0,28,3,94,0,146,25,33,8,18,5,25,7,111,17,1393,12,1662,10,33,4,19,3,58,3,226,29,576,7,966,63,142,17,75,7,142,7,377,45,5173,77,6131,64,172,19,106,11,250,17,415,41,1767,24,2902,138,259,20,313,19,293,35,308,49,1888,14,3327,307,208,16,505,33,238,35,203,33,1168,18,2765,239,84,9,317,24,164,27,94,21,305,3,1289,354,91,28,334,27,131,16,68,16,320,7,1396,641,99,23,428,43,208,22,82,32,374,10,1959,405,49,16,292,19,77,11,34,8,138,0,1045,217,25,9,106,17,23,7,15,3,46,0,478,131,4,5,44,13,55,0,9,4,28,3,301,225,34,6,138,17,51,3,25
109,22,3,0,4,0,6,0,7,4,121,3,169,10,3,0,4,0,5,0,16,3,71,5,118,0,5,0,3,0,4,0,15,3,49,0,88,0,3,0,3,0,3,0,17,0,36,0,59,17,18,3,11,0,17,3,57,4,483,18,633,16,19,0,10,0,30,0,90,15,154,0,342,39,43,6,44,4,84,5,157,22,1578,32,2018,41,63,7,77,6,151,3,159,22,520,16,1076,113,113,20,220,16,186,19,149,11,621,19,1484,230,85,15,307,15,166,30,81,27,372,10,1332,171,45,4,223,19,120,10,53,12,83,0,739,261,42,7,240,21,87,13,31,13,99,3,821,607,54,17,330,37,127,13,50,17,119,8,1370,362,32,21,191,26,49,12,21,9,48,0,770,204,16,6,76,9,15,0,7,0,19,0,363,92,7,6,27,4,29,0,5,5,16,0,195,156,18,6,99,23,43,3,19
110,39,6,4,12,0,11,0,4,0,154,9,256,14,4,3,7,0,7,0,12,0,78,3,129,6,4,0,16,0,7,0,25,0,77,3,143,4,0,0,0,0,10,0,19,0,43,0,72,43,37,4,28,7,29,5,81,9,760,20,1015,20,30,5,20,0,52,0,132,6,273,8,546,93,110,5,62,3,155,17,215,29,2321,52,3061,118,111,7,150,14,246,10,223,26,676,24,1615,225,162,17,320,20,285,19,189,22,730,16,2005,388,123,28,454,35,201,17,121,21,494,20,1900,289,66,13,322,23,152,13,53,6,118,8,1051,448,69,13,313,23,123,13,53,13,146,7,1220,929,70,26,470,44,200,16,66,26,187,8,2041,548,32,18,273,33,73,9,23,7,64,0,1085,329,18,14,114,15,24,4,13,3,38,0,579,185,8,7,41,6,53,4,3,0,10,0,320,307,19,9,157,24,48,3,23
