SED_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SED10001,2446,97,3,2546,12,3,0,0,14,3,0,3,20,3,0,23,55,7,0,3,62,0,0,4,65,0,0,66,60,14,0,3,73,7,0,5,80,10,0,87,2181,226,51,42,2496,27,4,30,2525,104,3,2633,519,91,14,12,638,19,0,26,660,110,3,770,0,3,0,0,3,0,0,0,3,0,12,15,2700,314,59,59,3134,50,10,58,3188,210,20,3420,481,42,13,0,542,6,3,9,552,31,0,582,770,85,6,6,869,6,3,11,878,28,0,904,25,7,10,0,42,0,0,0,45,3,0,48,8,0,0,3,14,0,0,0,14,0,0,14,1280,140,30,15,1467,16,8,25,1490,61,0,1547,6,3,0,0,10,0,0,0,14,0,0,14,30,3,0,0,30,0,0,3,35,3,0,37,30,6,0,0,40,3,0,5,43,3,0,47,1316,145,29,18,1505,19,9,29,1533,60,0,1593,251,48,6,0
SED10002,1714,146,3,1861,36,11,0,4,52,8,0,15,66,6,0,73,55,22,0,4,82,10,8,18,97,5,0,107,90,34,0,5,136,19,11,30,161,15,0,180,1384,346,24,43,1799,62,20,81,1882,158,7,2048,1245,637,34,88,1995,128,41,170,2160,677,35,2876,13,8,0,6,32,0,3,3,33,6,33,66,2639,984,52,138,3816,187,65,254,4074,843,72,4987,360,70,3,0,432,13,3,20,452,41,0,498,325,105,0,3,431,11,0,12,446,39,0,486,5,0,3,0,14,0,0,0,11,0,0,17,3,5,0,18,29,0,0,0,29,4,0,32,693,180,6,20,906,27,8,33,935,89,3,1026,17,0,0,0,23,7,0,7,33,0,0,32,24,17,0,0,52,8,10,13,65,0,0,64,45,25,3,0,68,14,10,22,91,5,0,100,738,205,12,19,975,43,11,55,1030,93,6,1131,486,271,12,46
SED10003,2062,88,6,2158,11,3,0,0,10,3,0,3,19,0,0,14,29,13,0,3,48,0,4,6,48,4,0,53,37,22,0,3,54,7,4,12,68,6,0,72,1562,430,34,52,2072,39,10,49,2124,94,6,2222,383,94,21,10,507,25,3,27,533,81,7,622,3,4,0,0,7,0,0,0,7,0,7,9,1949,526,49,61,2590,64,12,82,2668,180,13,2858,359,85,5,5,448,6,0,10,459,20,0,476,494,155,12,7,662,6,4,13,676,29,4,708,9,8,8,0,29,0,0,0,29,0,0,26,5,0,0,4,16,0,0,0,18,0,0,19,874,245,26,19,1158,17,6,18,1173,52,4,1232,8,3,0,0,15,0,0,0,15,0,0,15,16,6,0,0,27,4,0,4,27,4,0,30,25,9,0,0,34,4,0,4,42,4,0,46,898,251,26,16,1196,17,6,19,1215,53,4,1271,152,55,3,3
SED10004,2513,76,0,2587,24,9,0,0,28,0,0,0,28,0,0,26,41,3,0,0,50,3,0,3,50,3,0,51,65,7,0,0,77,3,0,3,82,3,0,84,2303,187,33,18,2539,42,8,48,2593,79,0,2674,416,38,6,4,471,17,0,17,483,26,4,510,0,0,0,0,0,0,0,0,0,0,3,5,2722,223,39,25,3010,60,8,66,3075,103,8,3189,463,52,6,0,521,13,0,11,530,36,0,571,416,55,4,0,477,11,0,11,487,9,0,498,8,0,0,0,14,0,0,0,14,0,0,12,4,0,0,3,7,0,0,0,7,0,0,7,892,111,6,7,1014,21,0,21,1042,50,0,1090,10,6,0,0,18,3,0,3,19,0,0,23,23,4,3,0,27,0,0,0,29,0,0,29,34,8,3,0,48,3,0,3,48,0,0,49,932,116,11,9,1065,25,0,28,1089,51,0,1139,168,24,3,4
SED10005,1579,140,9,1724,30,12,0,0,39,11,4,14,59,9,0,66,57,27,0,4,86,16,10,22,113,10,0,122,89,42,0,5,129,22,13,33,168,13,0,184,1297,288,19,31,1641,72,30,101,1745,154,6,1906,1153,562,29,125,1867,110,20,126,2000,590,23,2610,8,7,0,3,23,0,0,0,23,5,39,66,2459,854,56,162,3527,179,54,227,3759,755,65,4580,396,50,4,4,457,12,6,24,476,47,0,528,336,87,4,10,437,25,6,37,475,30,0,500,6,3,3,0,11,0,0,0,16,4,0,14,8,11,0,15,25,0,0,0,25,7,0,29,748,154,12,19,933,44,16,57,992,81,3,1077,23,10,0,0,30,9,3,9,38,5,0,39,25,12,0,0,43,7,5,10,55,13,0,64,47,17,0,0,67,13,5,25,88,20,0,106,797,171,12,19,1000,53,25,80,1081,101,3,1179,517,253,11,58
SED10006,2209,105,0,2316,14,0,0,0,20,6,3,10,27,3,0,32,20,3,0,0,25,4,0,3,31,8,0,42,35,6,0,0,47,10,3,16,59,13,0,76,1940,171,41,65,2214,46,19,63,2275,116,0,2391,481,61,19,24,583,58,17,71,657,201,3,860,10,0,0,0,14,0,0,0,14,0,16,31,2428,234,58,83,2811,103,34,131,2941,318,20,3276,472,28,11,3,508,5,0,5,522,26,0,541,509,48,14,7,576,9,0,9,587,36,0,623,18,3,11,0,25,0,0,0,28,0,0,28,11,0,0,24,27,0,0,3,35,3,0,33,1004,83,28,28,1144,16,0,21,1163,64,0,1230,15,3,0,0,21,8,0,8,30,4,0,31,10,0,0,0,17,0,3,3,20,3,0,20,31,6,0,0,35,14,3,13,51,11,0,55,1033,83,32,28,1177,32,3,38,1214,71,0,1284,170,22,6,11
SED10007,2359,108,3,2469,28,3,0,0,31,3,0,3,30,4,0,38,47,6,4,0,61,3,0,3,65,3,0,62,73,5,4,0,87,5,0,5,96,5,0,98,2135,203,52,28,2419,32,3,36,2454,116,4,2575,502,82,17,15,613,48,3,51,671,160,4,832,0,0,0,0,0,0,0,0,0,0,7,17,2648,279,64,46,3035,81,7,87,3124,277,17,3420,586,50,10,4,647,6,0,6,654,25,0,683,643,65,5,3,725,13,4,15,735,25,0,762,35,3,7,0,43,0,0,0,43,0,0,47,6,0,0,7,15,0,0,0,15,0,0,21,1270,123,27,22,1431,17,4,21,1452,54,0,1509,13,0,0,0,13,4,0,4,19,0,0,17,21,3,0,0,23,0,0,0,25,0,0,31,38,3,0,0,38,4,0,3,47,5,0,47,1308,124,27,22,1472,17,4,26,1495,57,0,1552,218,28,8,10
SED10008,3606,93,0,3700,45,0,0,0,47,12,0,12,52,5,0,55,104,13,0,4,127,0,3,5,126,0,0,126,151,19,0,4,170,12,3,11,181,3,0,186,3374,286,26,30,3709,64,14,72,3785,99,0,3884,1028,102,5,26,1156,34,4,40,1203,65,0,1265,6,0,0,3,12,0,0,0,12,0,0,15,4408,386,33,55,4888,101,20,116,5003,163,3,5168,825,58,11,3,900,26,7,27,934,36,0,971,876,74,6,7,964,17,3,17,985,19,0,1006,18,8,3,0,24,3,0,3,25,3,0,31,14,0,0,6,23,0,0,0,23,3,0,23,1729,147,21,14,1911,44,7,48,1963,63,0,2022,24,3,0,0,30,5,0,5,36,0,0,31,36,7,0,0,41,0,0,0,41,0,0,41,60,6,0,0,72,5,0,5,74,3,0,76,1794,149,28,14,1981,43,7,55,2036,63,0,2100,422,52,5,8
SED10009,1633,101,6,1742,12,0,0,0,12,3,0,6,18,3,0,18,27,12,0,3,38,8,0,8,47,0,0,47,39,12,0,3,53,11,0,7,61,3,0,67,1284,309,39,17,1654,30,10,45,1697,108,6,1806,322,74,13,13,430,31,4,37,460,97,8,566,7,3,0,0,7,0,0,0,7,0,14,18,1612,390,58,25,2086,64,15,82,2164,205,21,2394,322,67,8,0,396,9,3,11,407,30,0,433,435,112,18,3,565,10,5,9,579,36,3,619,21,0,7,0,29,0,0,0,29,0,0,32,3,0,0,7,8,0,0,0,8,3,0,15,784,182,30,9,1002,15,6,17,1025,67,3,1097,8,0,0,0,8,0,0,0,6,3,0,12,15,5,0,0,21,0,0,0,20,0,0,20,20,5,0,0,29,0,0,0,35,3,0,35,810,187,33,9,1034,15,6,25,1058,74,3,1133,151,45,5,3
SED10010,2712,129,4,2848,39,22,3,3,66,17,3,19,85,15,0,97,89,14,0,0,106,12,0,14,115,3,0,118,127,32,3,3,169,26,3,30,199,19,0,218,2378,345,32,60,2819,68,18,93,2910,149,4,3065,1039,186,16,47,1284,48,10,63,1348,218,9,1571,10,4,0,12,29,0,0,0,29,0,15,40,3429,535,52,116,4132,123,29,154,4281,372,28,4677,602,68,4,8,680,19,5,21,699,44,0,743,500,83,10,4,597,12,0,9,604,28,3,636,25,10,9,0,40,0,0,0,37,0,0,43,12,0,0,19,32,0,0,0,32,8,0,36,1129,160,23,31,1340,33,5,35,1380,73,3,1456,35,12,0,3,48,3,0,3,47,3,0,50,39,7,0,0,47,5,0,6,53,9,0,63,68,22,0,3,92,8,0,13,103,6,0,110,1198,176,23,30,1435,44,8,48,1482,82,3,1565,419,82,6,12
