SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10001,0,26,4,279,19,4,3,18,0,25,0,17,3,89,448,625,11,3,6,15,0,8,3,8,6,118,75,247,1604,385,77,1323,114,778,74,627,114,3046,593,8727
SED10002,0,4,0,301,19,0,4,10,3,17,3,4,8,25,353,445,3,0,3,3,0,0,0,0,3,43,64,123,1780,420,45,855,98,1075,52,516,92,2074,459,7463
SED10003,9,61,0,372,10,5,0,6,3,14,0,12,7,76,434,565,6,7,3,7,0,3,3,9,5,77,35,153,1088,594,54,1045,92,583,80,763,89,3261,525,8173
SED10004,13,55,0,2311,30,3,5,5,7,13,0,5,5,20,639,733,12,0,3,3,0,0,3,0,0,17,31,68,3654,352,68,1175,135,880,53,472,70,1243,682,8782
SED10005,0,7,0,101,14,5,3,3,7,20,4,12,4,36,218,310,5,0,7,8,0,3,0,0,0,44,55,121,789,163,36,412,53,652,25,340,70,2061,299,4900
SED10006,0,17,0,279,17,0,5,13,3,27,3,10,7,77,408,575,36,8,10,10,3,14,0,9,4,126,101,321,1881,317,105,1035,114,759,64,495,89,2678,592,8121
SED10007,4,27,3,281,15,0,0,5,8,26,0,17,3,76,347,488,6,5,7,9,3,4,3,6,0,97,55,187,1524,319,80,1085,94,764,56,570,88,2837,462,7872
SED10008,3,38,0,679,9,3,0,3,3,5,0,3,3,43,295,367,4,0,0,3,0,0,0,3,0,40,30,92,1360,273,30,648,78,650,25,562,57,2675,344,6708
SED10009,6,42,0,198,10,3,0,10,5,13,3,16,4,115,520,702,11,6,3,9,0,3,0,7,3,115,77,234,1019,553,77,1009,84,656,86,891,148,5091,675,10294
SED10010,0,8,0,145,20,0,3,12,6,18,0,10,9,54,237,367,11,0,4,5,3,3,0,10,3,49,46,133,1619,192,41,704,85,911,22,354,74,2036,324,6365
SED10011,4,36,0,391,12,8,3,15,0,12,0,6,3,40,361,466,5,3,4,3,0,3,0,0,0,45,25,100,1334,439,44,1014,82,780,68,704,82,2740,418,7687
SED10012,4,4,0,74,4,4,0,7,0,16,3,12,6,44,202,293,4,0,3,0,3,3,0,0,4,38,47,110,660,172,32,375,45,623,30,331,68,2183,273,4802
SED10013,3,26,7,359,31,0,0,6,9,19,0,8,7,40,243,361,13,0,4,5,0,3,0,3,0,72,28,138,2226,210,53,914,133,721,46,372,78,2055,298,7100
SED10014,0,9,0,128,17,0,3,10,7,8,0,11,3,47,237,346,4,0,5,9,0,9,0,3,0,59,31,113,1332,173,44,747,74,831,26,400,74,2119,308,6133
SED10015,0,15,5,295,13,3,0,17,0,22,0,8,6,50,365,489,7,0,10,0,4,0,0,0,0,52,57,131,1573,377,43,828,81,780,42,488,73,2643,465,7407
SED10016,6,36,0,602,18,0,0,8,3,16,0,6,0,32,258,339,14,0,6,6,0,7,0,3,3,36,32,101,1318,265,34,735,65,625,35,403,53,2193,309,6030
SED10017,0,24,0,198,18,4,0,25,3,14,3,16,0,56,307,444,5,4,7,6,0,3,0,3,4,84,39,142,1350,249,49,904,92,695,50,523,71,2856,386,7241
SED10018,4,40,0,348,20,3,0,8,0,6,0,10,0,67,355,469,5,0,0,3,0,3,3,3,3,52,40,109,1304,261,37,906,67,523,23,541,72,3216,433,7402
SED10019,0,30,0,139,14,10,3,8,3,12,3,11,4,114,368,553,5,4,4,5,0,5,0,4,3,122,57,209,966,455,60,974,86,661,69,690,118,4439,528,9048
SED10020,0,21,0,218,16,3,0,14,3,12,4,8,4,58,387,509,4,3,5,3,0,9,0,5,3,74,51,159,1145,410,48,1018,75,621,75,657,78,3613,490,8228
SED10021,4,77,0,1751,45,0,8,20,3,9,3,3,3,25,578,696,11,0,8,3,3,5,0,3,0,24,36,92,3464,336,61,1060,125,664,40,419,50,1376,639,8226
SED10022,0,19,0,251,17,4,3,16,6,39,0,12,4,93,353,543,18,6,6,15,0,10,3,5,3,109,85,263,1513,340,80,1164,102,748,61,563,111,3204,503,8387
SED10023,6,84,4,774,21,0,0,13,3,12,0,4,0,52,365,476,6,3,6,3,3,4,0,3,0,57,21,104,1807,299,64,869,103,608,40,526,67,2530,407,7318
SED10024,10,207,3,1135,14,3,0,7,5,6,0,8,0,52,328,423,12,4,7,3,0,7,0,0,0,51,16,99,1046,313,27,613,64,613,27,609,55,2969,373,6710
SED10025,9,85,0,1358,21,7,4,14,0,12,0,8,3,38,447,550,16,0,0,0,3,3,0,5,0,36,40,103,2702,339,62,915,108,924,47,550,82,2417,511,8663
SED10026,0,31,3,341,28,3,3,14,0,31,3,10,4,56,409,562,21,0,7,9,0,11,0,6,3,82,65,197,1826,314,75,1126,100,720,47,500,85,2359,518,7652
SED10027,0,17,0,264,20,3,3,8,3,17,0,3,0,46,240,338,5,0,5,0,3,0,0,3,0,54,31,107,1233,178,38,566,64,577,30,380,63,2320,296,5745
SED10028,7,65,0,721,0,0,0,10,0,7,0,3,0,59,320,409,5,0,0,3,0,0,0,5,3,44,19,85,1088,240,22,619,58,703,24,520,51,2796,363,6487
SED10029,0,10,0,81,11,0,0,3,0,17,0,6,3,53,205,300,3,0,3,4,3,0,0,0,9,49,47,117,734,129,31,369,43,598,20,320,58,2441,307,5038
SED10030,3,27,3,330,14,3,3,9,0,19,0,6,3,63,362,488,4,3,3,4,3,12,0,7,0,80,59,178,1387,314,50,903,86,753,46,546,61,3089,474,7702
SED10031,7,43,3,503,26,4,0,23,3,24,0,10,9,93,458,653,14,0,0,11,0,0,0,5,3,79,71,199,1730,406,59,1270,121,806,72,651,108,3043,599,8855
SED10032,0,8,0,151,8,3,6,5,0,15,0,12,3,48,280,379,8,4,3,3,4,3,0,3,3,46,42,115,1285,204,45,676,82,853,22,386,80,2024,356,6027
SED10033,3,40,0,380,27,9,0,15,4,17,0,17,7,53,264,412,14,4,3,6,0,4,0,5,3,48,24,114,1634,299,64,923,84,697,45,422,72,2044,328,6605
SED10034,4,20,0,444,20,0,3,7,3,9,0,5,0,46,316,412,5,0,0,4,3,0,0,3,0,60,23,92,1714,243,33,839,84,653,34,508,67,2466,355,7009
SED10035,0,27,0,1607,48,10,5,15,13,13,0,3,4,32,718,867,18,3,8,5,0,5,0,3,0,37,39,115,4995,447,101,1347,178,1097,42,504,64,1937,786,11492
SED10036,0,6,0,216,13,0,0,3,3,11,0,9,4,37,241,333,6,4,7,0,0,7,0,7,0,56,34,111,1386,131,35,503,81,678,24,320,72,1776,316,5315
SED10037,7,42,0,668,10,3,3,8,4,15,0,3,3,39,325,419,8,0,0,3,3,3,0,3,0,33,23,79,1466,293,43,867,86,714,43,552,55,2403,378,6898
SED10038,8,28,0,411,15,4,3,6,5,14,0,11,3,63,370,496,3,3,4,4,0,3,3,0,4,71,50,145,1295,252,38,813,84,584,62,508,103,3211,468,7415
SED10039,3,47,3,315,8,5,0,14,6,19,3,16,0,74,424,571,3,0,3,12,5,0,0,0,3,82,37,140,1148,368,61,922,82,660,51,672,75,3698,519,8252
SED10040,0,16,0,302,14,10,5,11,0,12,3,17,3,42,360,479,7,3,3,0,0,0,0,0,0,46,55,117,1802,472,58,956,93,974,64,557,78,2689,446,8187
SED10041,7,233,3,1245,17,3,0,3,3,7,0,7,4,51,346,443,3,0,3,0,3,0,3,3,0,36,27,87,1489,291,45,705,68,715,27,616,62,2690,389,7099
SED10042,0,31,0,271,9,5,0,5,0,4,4,10,0,82,340,468,6,3,6,7,3,0,0,5,0,91,42,166,1177,303,43,919,85,706,55,587,92,3835,433,8235
SED10043,0,3,0,74,6,3,0,0,4,14,3,9,3,47,274,364,3,0,4,0,0,6,0,3,3,37,45,106,739,195,28,473,51,729,25,395,72,2118,375,5203
SED10044,5,142,0,1482,21,3,5,12,3,11,3,11,0,37,437,534,14,8,0,7,0,0,3,0,3,35,23,92,2582,339,53,898,116,811,40,490,54,2052,488,7916
SED10045,0,18,3,190,15,8,3,19,4,24,4,11,4,75,368,533,17,8,0,12,3,5,0,3,4,67,52,178,1264,502,64,1115,91,690,57,707,106,2971,477,8035
SED10046,0,8,0,93,11,3,3,9,4,22,0,4,4,36,186,284,9,0,3,0,0,9,0,0,4,54,47,128,1002,110,49,469,66,719,18,265,63,1772,264,4799
SED10047,0,11,0,148,31,3,3,13,0,36,3,5,7,59,220,379,10,0,3,7,0,5,0,0,0,85,47,160,1823,172,37,773,103,842,24,360,93,2158,307,6686
SED10048,3,10,0,172,17,4,3,6,3,13,0,8,9,54,208,320,9,0,0,6,0,3,0,3,0,33,41,98,1541,179,37,691,68,859,41,408,75,1942,279,6120
SED10049,0,19,0,261,17,0,3,8,3,15,4,8,8,41,325,437,13,3,8,3,0,0,0,5,3,72,43,148,1569,250,48,1027,105,728,52,492,95,2761,406,7529
SED10050,4,150,3,1733,34,3,3,6,3,9,0,10,0,40,522,634,21,3,7,3,3,0,4,4,0,42,31,110,2909,384,66,1000,123,681,52,499,47,1764,571,8100
SED10051,3,37,0,595,18,0,3,3,3,16,3,8,0,43,374,472,9,4,7,3,0,5,0,7,0,62,47,149,1749,274,47,718,86,625,42,404,48,2132,459,6578
SED10052,5,52,0,572,12,0,0,10,3,13,0,8,3,53,325,434,5,3,3,3,4,4,0,3,3,74,40,142,1465,256,36,748,82,623,46,488,56,2633,394,6827
SED10053,4,28,0,644,30,4,0,14,4,8,6,13,4,40,440,560,5,3,8,0,0,8,0,0,3,43,36,113,2214,311,65,1034,149,739,55,461,91,2057,524,7708
SED10054,0,3,0,106,12,3,3,3,3,18,0,4,11,37,173,275,4,0,6,0,0,3,0,8,3,44,34,91,1190,132,36,560,82,733,19,297,73,1610,241,4969
SED10055,3,10,0,248,32,6,4,6,3,9,0,3,7,25,232,326,10,4,0,0,3,7,0,0,4,39,39,101,1772,166,44,750,82,766,31,335,59,1498,291,5799
SED10056,0,33,0,276,20,10,0,17,7,21,4,15,12,87,408,592,18,7,12,20,3,3,0,15,6,146,83,309,1842,396,104,1362,142,794,81,587,117,3095,578,9111
SED10057,3,45,0,186,13,3,3,5,3,16,0,19,3,112,410,594,9,3,6,3,5,3,0,6,3,162,79,283,863,440,77,896,85,606,77,732,117,5187,563,9647
SED10058,0,52,3,611,13,3,0,12,6,20,0,4,3,44,497,595,4,0,3,0,0,4,0,0,3,49,34,105,1870,349,49,1070,105,697,58,504,77,2298,559,7616
SED10059,3,16,0,1831,32,0,4,9,9,15,0,7,3,19,629,733,13,3,9,0,4,3,0,0,3,14,32,76,4165,424,62,1283,173,860,57,354,42,1046,691,9148
SED10060,17,309,3,3104,51,0,0,11,5,7,4,4,3,27,713,829,17,3,6,9,3,0,5,0,3,21,16,86,4119,444,74,1184,132,1076,49,644,78,1755,750,10295
SED10061,0,25,3,291,22,4,3,20,3,19,3,16,0,68,399,564,32,9,6,11,6,6,0,6,3,81,68,224,1754,442,82,1186,114,738,68,559,93,2887,533,8454
SED10062,3,50,0,488,21,6,3,5,0,16,3,10,8,39,306,402,5,4,0,8,0,8,0,6,3,58,42,127,1370,294,35,688,69,699,34,480,71,2533,370,6650
SED10063,0,31,0,348,23,8,0,13,0,20,0,17,8,78,363,537,17,0,5,7,3,5,0,0,11,93,62,207,1660,320,70,1142,114,759,56,555,112,2673,465,7923
SED10064,10,21,3,168,10,10,0,7,0,10,4,9,5,104,390,556,7,3,12,6,0,6,0,8,0,114,75,229,908,501,82,942,95,656,86,756,130,4150,529,8849
SED10065,0,20,0,445,24,4,4,6,0,14,3,5,4,29,425,510,7,4,4,3,0,0,0,3,0,32,34,96,2511,372,58,1022,104,1269,45,457,60,2154,488,8542
SED10066,0,18,0,266,26,0,0,7,4,16,0,9,4,36,264,378,7,0,3,0,3,6,0,3,0,55,34,117,1828,201,33,873,112,807,44,388,67,2236,336,6926
SED10067,4,180,7,970,18,3,3,10,4,11,3,9,0,54,442,563,11,7,7,8,0,3,0,9,3,54,30,131,1431,409,47,969,74,578,52,667,53,2622,505,7396
SED10068,3,48,0,271,14,3,3,15,3,14,4,21,0,119,429,621,7,4,3,4,3,3,3,3,5,114,73,226,1161,420,54,1002,78,577,65,720,97,5519,563,10253
SED10069,6,54,0,247,10,7,0,3,3,18,3,15,0,89,386,536,4,5,0,10,4,10,3,3,3,121,57,221,1000,354,39,942,95,704,62,598,101,4397,511,8804
SED10070,3,13,0,153,11,3,0,3,0,22,0,7,0,55,202,302,7,3,0,3,0,6,0,3,0,57,34,112,1153,157,32,551,57,691,28,342,54,2451,268,5792
SED10071,0,4,0,387,21,0,0,4,0,6,0,4,0,28,209,273,11,0,6,3,0,3,0,0,3,23,30,81,1909,161,43,715,87,683,37,267,60,1408,253,5617
SED10072,3,33,0,508,22,7,3,10,4,14,3,9,6,48,419,546,7,0,10,0,0,3,0,0,0,59,55,140,2318,458,72,1033,137,872,42,547,78,2497,508,8557
SED10073,3,30,0,625,18,3,3,10,3,12,3,10,0,45,419,540,9,0,5,0,0,0,4,3,0,32,39,91,2508,355,59,1030,116,1163,45,555,85,2563,478,8956
SED10074,0,13,0,360,15,4,3,4,0,10,0,5,4,37,264,356,0,0,3,6,3,6,0,3,0,42,31,98,1827,238,42,724,73,912,40,396,79,2437,332,7105
SED10075,0,22,3,187,18,4,0,14,0,19,0,3,6,92,310,465,10,3,3,6,0,3,0,0,6,82,59,168,1200,241,38,850,104,735,43,501,93,3786,438,8021
