SOS_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOS10,36,2167,705,425,1947,1,1687,2.7
SOS11,42,1517,571,265,1382,0.8,1097,2.4
SOS12,45,1441,550,231,1368,0.8,1117,2.5
SOS13,45,1733,626,200,1601,0.8,1367,2.7
SOS17,58,0,540,0,0,0,0,0
SOS19,39,0,405,0,0,0,0,0
SOS20,36,1800,671,350,1824,0.9,1531,2.6
SOS21,41,1350,583,245,1433,0.8,1133,2.4
SOS22,47,1213,536,200,1330,0.8,1030,2.3
SOS23,45,1517,615,180,1555,0.8,1328,2.6
SOS27,49,0,3000,0,0,0,0,0
SOS29,34,0,398,0,0,0,0,0
SOS30,36,1820,695,360,1764,0.8,1489,2.6
SOS31,39,1600,588,260,1437,0.8,1187,2.5
SOS32,44,1408,520,198,1278,0.8,1060,2.5
SOS33,44,1677,597,220,1490,0.8,1305,2.7
SOS37,56,0,606,0,0,0,0,0
SOS39,45,0,407,0,0,0,0,0
SOS40,39,1517,612,285,1572,0.8,1246,2.4
SOS41,43,1300,565,210,1374,0.7,1064,2.3
SOS42,46,1100,527,175,1292,0.8,1018,2.3
SOS43,45,1300,623,150,1498,0.8,1274,2.6
SOS47,45,0,1749,0,0,0,0,0
SOS49,40,0,370,0,0,0,0,0
SOS50,36,2000,729,365,1957,0.8,1641,2.6
SOS51,37,1733,711,270,1818,0.8,1484,2.5
SOS52,40,1400,559,150,1400,0.8,1174,2.5
SOS53,43,1931,771,150,1731,0.8,1462,2.6
SOS57,40,0,2654,0,0,0,0,0
SOS59,41,0,434,0,0,0,0,0
SOS60,40,1408,637,260,1575,0.8,1221,2.3
SOS61,42,1213,531,220,1287,0.8,980,2.3
SOS62,47,1161,523,200,1290,0.8,1011,2.3
SOS63,46,1300,568,180,1401,0.8,1170,2.5
SOS67,41,0,1089,0,0,0,0,0
SOS69,38,0,385,0,0,0,0,0
SOS70,33,2167,1055,420,2377,0.9,2170,2.7
SOS71,32,1832,737,180,1841,1.1,1803,3
SOS72,28,1950,336,60,876,1.4,1328,3.7
SOS73,34,2300,766,100,1962,1.1,1821,3
SOS77,36,0,700,0,0,0,0,0
SOS79,44,0,449,0,0,0,0,0
SOS80,35,2058,1000,380,2444,0.8,2070,2.5
SOS82,45,2167,880,315,2550,0.8,2055,2.5
SOS83,35,2564,1053,245,2868,0.9,2592,3.1
SOS87,0,0,0,0,0,0,0,0
SOS89,36,0,447,0,0,0,0,0
SOS91,40,1717,1166,152,2394,1,2144,2.7
SOS92,43,1300,604,150,1309,0.9,1153,2.5
SOS93,43,1350,572,115,1311,0.8,1095,2.4
SOS97,39,0,1833,0,0,0,0,0
SOS99,42,0,412,0,0,0,0,0
