SOS_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOS10,965410,667584,805690,731973,664466,557512,397396,224318,105853,5120214,836,999,882,636,631,539,506,384,243,5663,14574,22091,27086,17457,15894,14880,12031,7782,4886,136682,336,840,2202,2481,2663,1712,1243,464,101,12047,530,1231,1938,1942,2322,1905,1274,390,74,11608,105,260,456,444,599,515,444,155,15,2993,238,372,757,690,751,598,304,106,18,3842,20,81,126,134,197,282,266,107,21,1240,35,115,126,94,90,49,33,10,0,557,145,511,610,482,440,406,283,99,28,3000,0,7,0,3,8,3,6,0,0,29,15989,25509,33298,23729,22970,20353,15886,9120,5150,172000,16824,26505,34183,24367,23601,20888,16388,9506,5392,177658,982237,694097,839874,756336,688070,578405,413784,233826,111248,5297872
SOS11,263687,154485,152735,155489,171018,178751,156866,96020,43216,1372272,440,460,339,246,267,277,266,247,111,2657,6362,11303,9347,6801,7688,8915,7756,3808,1737,63718,380,779,921,808,1031,1977,3138,1238,190,10469,592,868,1050,842,1042,1365,1051,228,48,7088,57,105,171,134,230,386,603,166,20,1870,54,96,177,135,126,196,208,46,11,1051,35,61,55,36,88,218,347,93,6,943,29,48,37,46,35,30,15,6,0,243,127,273,220,193,243,414,397,149,12,2031,0,0,0,0,0,3,0,0,0,9,7629,13549,11985,9002,10481,13505,13518,5736,2022,87417,8065,14009,12322,9251,10752,13774,13788,5979,2139,90072,271755,168498,165059,164733,181770,192526,170650,102006,45351,1462340
SOS12,26749,14274,12226,15653,19780,21927,17564,8441,2788,139394,53,55,38,37,54,53,42,13,10,355,1333,1138,1365,1284,1256,1773,1404,406,141,10098,96,83,81,93,143,215,305,93,11,1127,254,214,197,256,233,255,206,44,5,1655,20,21,35,26,25,54,75,17,3,273,15,9,30,35,29,44,29,3,0,194,3,11,3,7,18,18,31,8,3,101,3,14,6,4,8,3,3,0,0,39,75,50,69,79,84,99,96,20,6,574,0,0,0,0,0,5,0,0,0,9,1809,1545,1788,1772,1784,2465,2144,589,165,14066,1858,1600,1835,1808,1842,2520,2184,606,177,14415,28608,15871,14062,17463,21619,24447,19746,9044,2960,153808
SOS13,99829,55547,43520,60614,81845,84742,62049,24547,6938,519630,185,156,126,93,129,174,138,85,29,1124,2448,3530,3246,2384,2664,3192,2616,1078,356,21516,171,360,407,239,340,515,631,212,37,2906,428,669,598,474,574,603,459,89,26,3923,33,118,96,51,64,135,186,38,13,722,25,66,93,46,51,61,50,10,0,411,4,26,22,26,38,79,72,15,4,300,18,42,37,6,8,19,9,0,0,145,97,154,161,131,121,179,133,68,15,1060,0,0,0,0,0,0,0,4,0,5,3222,4960,4659,3356,3864,4791,4161,1511,455,30978,3410,5119,4784,3451,3995,4965,4295,1605,482,32105,103243,60658,48310,64059,85840,89706,66347,26146,7421,551732
SOS17,37,25,32,32,49,73,108,39,10,409,0,0,0,0,0,0,0,0,0,0,209,126,125,165,232,377,429,194,39,1894,42,25,27,45,76,109,118,41,4,474,3,5,8,8,5,18,17,7,3,82,28,7,14,18,18,34,40,17,3,180,4,6,9,8,6,21,8,5,0,72,12,8,4,14,8,23,20,17,0,94,0,3,8,0,3,3,0,3,0,17,11,3,11,6,5,3,9,9,0,62,0,0,0,0,0,0,0,0,0,0,304,187,208,265,353,575,642,294,46,2869,304,187,208,265,353,575,642,294,46,2869,342,211,237,290,404,649,753,335,56,3279
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,772540,567290,688032,599844,546551,437745,310300,181163,84475,4187942,495,695,605,456,431,378,385,308,181,3929,438,1127,2267,2368,2680,2179,1119,309,83,12572,11737,17696,21359,13246,11470,10716,8910,6536,4075,105739,348,776,1252,1105,1599,1350,794,182,43,7448,180,403,567,546,719,691,423,120,26,3667,181,449,636,664,799,739,466,122,28,4085,97,376,232,287,382,522,364,100,15,2374,62,132,100,81,79,71,41,6,0,566,39,133,261,177,192,179,122,23,5,1129,0,8,0,0,3,3,3,0,0,17,13085,21099,26672,18475,17917,16452,12243,7406,4270,137606,13581,21791,27276,18929,18345,16830,12626,7714,4446,141537,786119,589087,715308,618772,564901,454578,322923,188870,88923,4329482
SOS21,194118,117358,118600,119302,126928,123974,100861,60124,28571,989836,191,236,147,136,117,133,135,122,68,1286,187,415,369,246,416,447,366,141,45,2627,4079,6734,5791,4001,4018,4428,3511,2102,1214,35884,119,171,215,196,253,315,210,41,14,1522,82,129,156,187,211,281,244,95,11,1398,33,51,94,71,112,127,80,24,7,595,26,23,34,48,62,123,114,37,3,486,23,32,43,21,31,28,11,0,0,195,6,31,45,18,28,20,18,11,3,176,0,0,0,0,0,0,0,0,0,0,4557,7578,6750,4789,5133,5771,4552,2444,1301,42883,4749,7815,6896,4928,5248,5906,4687,2565,1375,44168,198865,125177,125498,124233,132174,129878,105548,62685,29942,1034001
SOS22,16900,8675,8300,10466,13243,14631,11994,5679,2284,92167,33,21,18,19,29,33,18,13,4,191,198,160,165,175,185,195,98,24,5,1199,1652,1349,1215,1218,1209,1124,855,232,94,8950,226,174,178,171,149,108,81,15,0,1099,121,198,180,126,104,138,66,17,3,940,48,76,71,49,62,64,28,0,0,401,21,11,33,12,32,25,25,3,0,159,25,20,17,6,3,4,0,0,0,78,8,10,23,10,9,8,7,0,0,66,0,0,0,0,0,0,0,0,0,3,2300,1999,1872,1766,1745,1664,1157,290,105,12903,2334,2018,1891,1785,1778,1697,1177,304,110,13097,19232,10695,10197,12247,15019,16325,13170,5980,2395,105265
SOS23,72592,42814,32821,45662,63171,64063,45326,17304,4838,388598,85,102,56,48,88,82,93,57,34,651,81,134,153,126,99,167,134,35,14,939,1386,2151,1871,1233,1253,1618,1439,539,248,11739,56,121,181,79,96,99,93,17,0,738,46,76,77,56,71,84,102,37,9,553,25,28,41,25,38,66,33,18,0,281,11,12,19,20,20,30,38,15,0,162,12,26,28,7,14,7,10,0,0,106,0,3,16,10,6,19,7,0,0,68,0,0,0,0,0,0,0,0,0,0,1617,2543,2393,1551,1593,2102,1855,664,274,14590,1704,2645,2452,1608,1677,2179,1951,714,309,15245,74295,45461,35277,47264,64846,66247,47277,18026,5144,403844
