SOS_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOS10,486,58,71,61,161778,162451,6764,312,213,120,183130,190536,154381,5502,6433,324,248456,415091,242495,11799,19676,694,99705,374373,220013,14594,35109,1931,65088,336739,190411,12128,37852,4472,36022,280884,143671,7790,25151,8742,15688,201050,75188,2814,8861,12927,6007,105800,22749,655,1854,13569,1886,40722,1056168,55652,135223,42841,817768,2107645,866,79,61,65,153187,154257,15630,788,447,119,169024,186005,196227,9174,10559,645,209670,426273,247486,16680,30567,2149,85708,382594,220215,18590,52902,6861,52534,351096,183684,14053,54965,18487,29098,300284,124669,7307,36376,36495,12415,217264,54017,2147,13119,54954,5230,129473,11395,421,3874,52110,3003,70794,1054180,69230,202871,171881,719871,2218034,1346,132,134,130,314968,316706,22393,1101,662,240,352155,376543,350605,14671,16995,965,458124,841359,489984,28481,50241,2843,185414,756967,440222,33178,88016,8791,117624,687831,374095,26182,92815,22960,65123,581173,268347,15096,61524,45244,28105,418310,129209,4966,21987,67882,11241,235279,34148,1075,5726,65681,4890,111515,2110349,124877,338097,214720,1537638,4325678
SOS11,105,21,41,16,43883,44063,1446,104,35,37,38596,40215,27210,1735,1274,101,49459,79780,43062,3891,5142,208,27291,79588,47620,5232,11674,673,21697,86907,55742,4918,15918,1907,13698,92178,55964,3529,12441,4431,5947,82312,31568,1202,4463,6365,2364,45959,8804,235,790,5805,696,16330,271521,20856,51777,19537,203626,567319,94,23,24,17,42305,42465,2669,294,80,51,36800,39894,34305,2967,2069,217,44073,83635,45581,5437,8277,672,24282,84256,50335,6707,17182,2220,17447,93887,57609,5600,20743,6225,9827,99993,51241,2958,15216,15052,4139,88602,24051,851,5402,24210,1858,56366,4670,169,1332,22116,937,29226,270560,25009,70318,70776,181666,618327,200,38,66,30,86193,86529,4117,399,117,88,75394,80110,61520,4704,3344,318,93531,163411,88643,9329,13411,876,51570,163839,97957,11939,28856,2891,39143,180793,113349,10516,36658,8128,23523,192171,107198,6488,27656,19483,10083,170916,55619,2045,9865,30577,4222,102322,13474,401,2122,27919,1630,45558,542080,45865,122097,90320,385292,1185649
SOS12,10,0,3,0,4552,4567,101,9,8,3,3253,3380,2068,136,103,6,4033,6347,4455,349,502,12,2615,7932,5798,558,1296,84,2490,10233,7228,672,2000,252,1659,11809,6708,445,1545,492,722,9916,3010,161,514,638,255,4576,676,23,74,403,76,1252,30056,2358,6041,1899,19659,60015,7,0,0,4,4323,4340,191,25,6,0,2912,3132,2797,235,163,14,3599,6809,5008,498,727,64,2335,8638,6307,636,1659,231,1866,10703,7459,584,2099,660,1080,11875,5894,298,1381,1497,329,9401,2060,76,376,1766,145,4432,319,6,69,1283,49,1724,30043,2358,6491,5507,16645,61045,20,3,4,3,8882,8907,290,36,14,8,6170,6513,4866,372,264,21,7635,13157,9464,843,1230,78,4949,16573,12101,1197,2961,316,4361,20935,14684,1252,4097,912,2741,23683,12605,746,2924,1987,1050,19314,5073,239,888,2408,401,9009,996,30,142,1680,125,2974,60101,4718,12529,7403,36307,121062
SOS13,53,3,4,5,18664,18729,439,28,18,3,13112,13601,8150,393,342,38,14803,23718,19470,1101,1705,73,8730,31084,27949,1949,4789,309,8407,43405,31357,2235,6832,813,5945,47179,26103,1462,4999,1543,2320,36434,10149,441,1368,1729,700,14394,1893,71,190,1080,179,3412,125559,7694,20260,5594,72852,231960,38,3,3,6,16967,17018,765,48,18,11,10697,11532,10775,592,513,40,11219,23136,22395,1221,2031,198,6665,32498,30235,1791,4860,756,5535,43171,31281,1499,5838,1921,3236,43769,21772,775,3526,3603,1071,30752,6546,180,781,3942,339,11785,841,20,169,2792,138,3961,124640,6139,17728,13253,55862,217622,87,9,7,9,35637,35753,1199,80,32,12,23809,25135,18920,990,853,74,26017,46857,41860,2321,3732,269,15396,63585,58184,3740,9650,1059,13938,86576,62629,3730,12672,2736,9177,90948,47878,2241,8527,5146,3394,67180,16697,626,2149,5671,1038,26179,2739,94,356,3867,312,7371,250195,13834,37986,18849,128715,449576
SOS17,0,0,0,0,3,3,0,0,0,0,5,9,3,0,0,0,5,11,15,0,0,0,3,18,14,0,4,0,9,25,18,0,3,0,0,22,38,0,4,4,0,48,13,0,0,3,0,16,0,0,0,3,0,3,102,3,10,7,26,157,0,0,0,0,7,7,0,0,0,0,3,4,8,0,0,0,10,24,9,0,0,0,3,14,15,3,4,0,6,31,32,3,12,0,4,53,38,0,16,12,0,60,8,0,0,7,0,24,3,0,0,3,0,7,119,8,29,21,35,220,0,0,0,0,12,12,3,0,0,0,9,9,18,0,0,0,16,32,26,0,3,0,6,34,30,3,10,0,10,50,56,3,11,4,4,74,70,4,15,15,3,108,27,3,0,12,0,42,3,0,0,3,0,10,223,11,42,30,65,374
SOS19,0,0,4,0,279,285,6,3,0,3,737,746,190,73,30,6,1311,1615,184,161,116,6,798,1269,153,187,250,15,548,1148,269,133,300,28,264,986,296,66,221,51,84,719,53,13,54,21,19,162,13,6,9,8,7,32,1157,635,980,143,4049,6958,0,0,0,0,228,232,24,4,3,0,585,615,183,44,24,3,843,1091,128,56,63,14,366,629,164,83,170,25,208,646,347,50,178,34,121,732,272,19,104,48,33,477,47,3,26,37,10,120,4,0,9,26,3,48,1181,257,569,185,2395,4590,0,0,4,0,514,517,29,7,3,3,1318,1358,370,116,52,5,2155,2703,310,214,179,25,1168,1900,314,268,418,42,757,1798,617,182,479,58,385,1722,567,84,324,105,118,1196,106,16,71,59,31,282,19,4,12,37,6,78,2338,892,1548,335,6445,11545
SOS20,405,46,62,48,131263,131821,4767,237,148,110,160353,165623,127416,4320,4601,293,216543,353161,196727,9376,14947,581,84387,306022,179690,12546,28476,1567,52559,274841,150049,9611,29665,3681,26814,219820,114591,5612,18308,6779,10972,156263,63480,2120,6451,10492,3933,86471,18916,525,1322,11059,1443,33259,856035,44393,103981,34615,688260,1727287,622,63,60,61,127264,128075,11103,556,328,119,150328,162436,160331,7084,7859,563,188379,364222,199702,13307,23462,1762,76436,314671,180552,15802,43322,5206,45745,290627,145578,11194,43838,13844,23366,237818,103397,5674,28629,28705,9240,175652,46348,1780,9888,45586,3866,107472,9606,313,2532,41920,2218,56588,857239,55776,159921,137773,626856,1837560,1030,109,127,110,258528,259900,15874,794,478,233,310684,328057,287745,11397,12462,855,404923,717381,396429,22686,38413,2345,160817,620699,360246,28349,71800,6778,98301,565475,295627,20810,73507,17520,50178,457642,217986,11294,46937,35483,20216,331909,109821,3899,16340,56080,7805,193940,28519,839,3849,52979,3666,89845,1713271,100167,263909,172388,1315117,3564851
SOS21,53,15,25,18,32720,32838,910,58,27,13,30223,31234,21071,1134,855,59,37592,60709,34427,2837,3586,181,18944,59972,37285,3879,8439,496,13660,63752,40764,3296,10149,1276,8039,63525,38058,2133,7305,2795,3588,53877,20866,708,2441,4061,1356,29427,5871,128,427,3902,493,10823,199301,14193,33247,12797,146616,406154,76,16,14,20,30703,30827,1702,178,33,35,28500,30455,26764,2155,1408,131,34663,65121,36390,4255,5898,438,17967,64952,38732,5065,12734,1545,11674,69755,41599,3972,14374,4237,6155,70339,35393,1996,9749,9956,2395,59492,15573,545,3213,15951,1132,36406,3214,108,741,14865,633,19567,199456,18285,48167,47172,133828,446912,134,32,40,36,63422,63665,2610,235,64,49,58728,61683,47835,3289,2258,193,72260,125830,70815,7089,9485,614,36917,124918,76018,8945,21178,2039,25331,133503,82371,7266,24516,5518,14191,133862,73454,4129,17054,12753,5985,113365,36445,1248,5652,20007,2488,65842,9088,232,1174,18768,1125,30387,398760,32477,81407,59967,280450,853064
SOS22,0,0,0,0,2824,2826,43,3,0,0,2014,2060,1405,100,69,4,2741,4325,2955,219,315,17,1780,5280,3848,413,888,71,1645,6869,4777,445,1525,181,1113,8048,4624,359,1160,352,504,6999,2035,98,334,421,178,3069,479,16,52,350,75,972,20177,1659,4337,1402,12873,40448,9,3,4,0,2537,2552,86,16,4,3,1803,1913,1866,149,95,16,2437,4555,3299,316,449,50,1617,5736,4160,466,1095,137,1300,7166,4998,355,1493,469,678,7991,4055,234,1002,951,240,6484,1448,53,273,1290,102,3165,248,10,49,1110,60,1475,20172,1601,4468,4024,10785,41044,7,3,3,0,5359,5379,129,15,3,3,3823,3976,3274,252,162,15,5174,8880,6252,536,762,70,3396,11016,8015,880,1983,208,2949,14036,9781,798,3019,651,1786,16033,8681,594,2160,1304,747,13490,3484,154,605,1712,277,6229,725,22,95,1459,141,2449,40348,3258,8801,5424,23653,81486
SOS23,29,0,3,4,14150,14188,234,19,3,3,10113,10371,6239,334,230,15,11100,17911,14572,905,1282,56,7077,23893,21632,1484,3554,234,6365,33275,24412,1570,5017,696,4011,35706,19796,1121,3595,1190,1699,27407,7421,263,921,1240,557,10409,1455,41,117,760,126,2499,95785,5742,14729,4203,55193,175653,28,0,4,3,12825,12860,402,35,4,11,8353,8809,8104,386,308,23,8519,17334,16342,857,1447,153,5304,24097,23277,1321,3832,547,4174,33153,24328,1096,4283,1501,2174,33382,16688,514,2493,2518,736,22945,4816,94,477,2875,204,8465,663,9,96,1917,79,2766,94647,4308,12944,9548,42359,163808,52,3,8,6,26975,27043,635,50,10,17,18470,19177,14343,717,540,42,19614,35251,30918,1758,2722,209,12381,47992,44911,2802,7386,783,10536,66424,48738,2664,9299,2195,6188,69088,36487,1635,6085,3710,2430,50347,12243,364,1402,4115,760,18869,2122,52,214,2675,201,5266,190436,10048,27671,13749,97555,339459
