SOS_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS10,5163,4670,9829,160927,152616,313542,8195,7849,16048,174281,165134,339417,5081,4831,9918,160898,152496,313388,7418,7180,14598,173398,164510,337908,5062,4565,9620,146091,138172,284265,6591,6102,12690,157742,148834,306578,4760,4553,9312,150247,143007,293255,7448,6695,14137,162451,154257,316706,4256,4158,8415,175322,171295,346619,10957,10554,21513,190536,186005,376543,3252,3411,6658,188293,193545,381839,13393,13111,26501,204932,210068,414999,2606,2974,5582,194402,200873,395276,13143,12353,25497,210155,216200,426361,2265,2492,4756,178666,181371,360046,10868,10068,20936,191809,193934,385740,2365,2730,5096,170479,177011,347489,9724,8924,18641,182564,188658,371227,2234,2628,4864,159811,169417,329224,9100,8407,17505,171144,180449,351596,2016,2317,4331,154941,160243,315184,8643,8075,16715,165596,170638,336236,1648,1864,3512,141954,150815,292770,7920,7656,15573,151517,160336,311851,1211,1432,2649,121334,131611,252943,6825,6909,13729,129364,139949,269317,2043,2441,4481,325088,389494,714584,20440,25595,46035,347571,417531,765106,43963,45065,89030,2428453,2511970,4940417,140659,139476,280137,2613075,2696512,5309583
SOS11,6197,5816,12009,36751,35186,71939,2717,2670,5387,45663,43673,89333,6086,5796,11884,39257,37404,76660,2779,2669,5448,48126,45872,93999,5490,5263,10756,37076,35117,72195,2634,2504,5138,45202,42884,88087,4968,4876,9838,36411,34970,71383,2685,2621,5303,44063,42465,86529,4161,4015,8176,33254,33195,66447,2806,2691,5494,40215,39894,80110,3284,3345,6628,33771,35666,69435,2812,2760,5569,39868,41769,81635,2641,2782,5424,34562,36489,71051,2711,2595,5306,39907,41866,81778,2230,2395,4623,33342,35349,68695,2450,2367,4818,38026,40113,78134,2254,2722,4979,36530,38806,75337,2776,2616,5391,41565,44144,85702,2265,2697,4957,37301,40578,77876,2862,2842,5706,42427,46112,88539,2019,2440,4462,39350,42347,81694,3105,2989,6092,44474,47771,92247,1786,2102,3890,41792,45820,87610,3319,3197,6518,46900,51120,98014,1436,1580,3014,40692,44096,84788,3150,3198,6349,45277,48880,94156,2309,2825,5131,131343,157542,288882,10948,13831,24780,144598,174195,318793,47131,48644,95777,611433,652569,1263996,47755,49538,97299,706317,750755,1457064
SOS12,575,521,1093,3316,3090,6402,265,270,534,4155,3880,8040,632,630,1253,4006,3862,7870,296,363,652,4933,4850,9782,587,574,1166,4050,3795,7848,343,319,662,4982,4691,9676,516,499,1011,3726,3558,7283,324,282,613,4567,4340,8907,381,362,740,2769,2563,5340,224,209,435,3380,3132,6513,288,328,619,2628,2781,5408,233,230,467,3152,3338,6492,255,261,516,2720,2943,5666,230,260,488,3199,3469,6664,226,256,480,3085,3355,6444,241,261,501,3553,3871,7423,264,308,572,3793,4145,7933,321,321,638,4383,4770,9150,276,340,616,4197,4488,8688,329,343,676,4805,5175,9979,276,274,552,4793,4889,9686,358,361,722,5429,5526,10958,276,279,557,5149,5390,10539,432,414,847,5859,6077,11935,210,168,376,5301,5230,10532,441,399,836,5951,5795,11747,364,372,739,14188,13970,28156,1194,1208,2398,15742,15552,31293,5121,5175,10298,63730,64064,127797,5239,5230,10468,74085,74476,148561
SOS13,1043,930,1977,12330,11422,23752,1188,1080,2272,14561,13436,27997,1144,1115,2263,15873,15005,30877,1614,1497,3114,18626,17621,36247,1228,1166,2396,17015,15957,32979,1628,1495,3119,19872,18626,38499,1149,1004,2155,16069,14595,30661,1519,1419,2933,18729,17018,35753,834,679,1511,11515,9859,21372,1258,995,2251,13601,11532,25135,663,481,1142,9950,9366,19313,1091,909,1997,11697,10761,22459,565,467,1030,10404,10858,21264,1051,1058,2110,12022,12381,24395,513,491,1008,11643,12487,24129,1194,1127,2321,13351,14104,27457,583,612,1195,15625,16250,31875,1527,1528,3058,17733,18394,36125,622,646,1265,18212,18421,36625,1816,1723,3533,20642,20780,41428,639,591,1231,20068,19913,39981,2050,1890,3937,22763,22387,45148,573,502,1076,21247,20572,41824,2156,1975,4133,23981,23051,47029,418,367,784,20699,18582,39282,2086,1762,3846,23199,20713,43915,642,550,1191,48594,41665,90266,4992,4282,9277,54232,46497,100731,10616,9607,20226,249236,234957,484194,25166,22736,47900,285013,267300,552316
SOS17,0,0,0,8,3,9,3,0,4,10,4,14,0,0,0,5,5,9,0,0,0,3,5,12,0,3,3,3,5,9,0,0,0,3,9,11,0,0,3,7,6,15,0,0,0,3,7,12,0,0,0,9,4,9,0,0,0,9,4,9,0,0,0,5,10,14,0,0,0,5,12,12,0,0,0,7,13,19,0,3,0,6,14,20,0,0,0,3,3,10,0,0,0,3,3,9,0,0,0,8,13,19,0,0,0,10,12,21,0,3,3,10,9,16,0,0,0,10,7,16,0,0,0,12,21,32,0,3,3,15,22,35,0,0,0,4,19,27,0,0,4,12,23,35,0,0,3,13,20,35,0,9,10,16,26,42,0,0,0,60,84,142,10,12,17,67,92,159,5,10,13,150,206,356,20,27,46,171,239,412
SOS19,26,16,44,143,121,266,12,10,27,188,149,338,16,15,31,97,89,182,11,11,24,119,122,238,8,10,20,60,61,120,11,9,22,82,78,158,26,27,53,211,168,381,39,39,76,285,232,517,60,47,103,587,473,1060,95,102,198,746,615,1358,62,26,90,641,488,1134,219,123,336,928,635,1559,50,19,73,544,352,890,98,79,176,687,457,1142,64,32,94,477,251,721,84,55,140,625,338,955,57,24,74,467,228,695,124,39,167,644,290,940,55,29,91,442,230,671,70,47,120,572,310,881,41,9,56,436,274,710,103,55,155,585,338,919,25,12,33,405,280,690,84,44,128,514,341,850,18,21,36,389,321,710,69,52,118,477,391,866,22,10,35,760,530,1296,135,94,229,916,643,1558,538,301,839,5655,3874,9528,1153,765,1916,7351,4939,12288
SOS20,1159,1169,2327,134200,127247,261447,7164,6805,13968,142523,135220,277742,1114,1137,2257,129526,123338,252867,6394,5897,12290,137042,130375,267411,1139,1026,2163,118279,112215,230497,5448,5176,10626,124878,118415,243290,1100,1088,2192,124624,121030,245655,6096,5957,12055,131821,128075,259900,1135,1126,2256,155242,152302,307539,9249,9012,18260,165623,162436,328057,936,940,1880,163774,168823,332597,10908,11163,22067,175619,180931,356549,793,750,1543,166053,172080,338130,10706,10458,21156,177545,183288,360832,647,663,1305,148373,150551,298916,8706,8093,16801,157720,159303,317029,685,698,1378,139731,147121,286849,7889,7552,15443,148298,155371,303665,702,660,1360,135251,144907,280158,7523,7264,14791,143480,152833,296314,487,606,1089,123781,130489,254272,7093,6698,13795,131365,137798,269160,417,427,842,111720,120246,231966,6413,6452,12867,118550,127127,245672,346,382,723,95353,104529,199879,5577,5789,11363,101271,110694,211969,484,653,1129,257843,316312,574157,17673,22739,40412,276000,339707,615699,11137,11317,22452,2003755,2091189,4094948,116836,119058,235897,2131735,2221565,4353298
SOS21,1285,1261,2544,31179,29378,60551,2097,2050,4145,34560,32682,67242,1260,1194,2457,31840,30436,62281,2073,1991,4057,35171,33621,68797,1078,1041,2121,29789,28083,57871,1984,1784,3766,32847,30910,63758,963,987,1957,29996,27951,57949,1872,1890,3760,32838,30827,63665,821,797,1617,28302,27643,55949,2108,2012,4122,31234,30455,61683,642,754,1396,27966,29463,57428,2034,2031,4064,30645,32244,62885,470,548,1020,27591,30274,57862,2011,2054,4064,30070,32872,62941,411,511,919,26766,28970,55738,1756,1849,3600,28930,31326,60261,415,508,923,28575,31174,59745,2048,1944,3993,31042,33619,64659,409,547,955,29224,32116,61336,2072,2026,4095,31701,34686,66388,389,455,842,29521,32472,61991,2148,2144,4291,32054,35069,67121,340,398,736,29679,33063,62745,2169,2255,4428,32186,35719,67904,279,298,576,28841,31921,60758,2220,2403,4627,31336,34626,65961,425,552,975,86025,105184,191208,7678,9724,17409,94130,115464,209593,9176,9847,19028,465285,498118,963405,34264,36159,70422,508725,544123,1052851
SOS22,84,71,156,2442,2271,4706,183,157,342,2708,2500,5204,88,86,175,2942,2630,5573,257,218,472,3283,2935,6214,82,74,155,2661,2673,5336,212,204,419,2954,2952,5909,69,77,149,2558,2299,4852,203,174,377,2826,2552,5379,42,34,77,1854,1734,3584,168,143,307,2060,1913,3976,29,44,70,1835,1931,3773,195,179,376,2069,2150,4222,32,32,59,2068,2208,4275,156,168,330,2256,2404,4661,23,37,59,2140,2470,4608,177,208,386,2343,2715,5055,30,25,64,2698,2767,5465,207,229,434,2932,3019,5954,30,43,72,2984,3169,6153,278,255,527,3295,3462,6752,38,38,78,3277,3407,6682,267,256,521,3577,3705,7281,34,31,70,3629,3715,7337,315,288,604,3978,4033,8015,25,19,39,3714,3636,7343,328,305,632,4063,3951,8022,50,44,98,10035,10068,20099,958,1016,1971,11040,11125,22173,659,663,1318,44824,44978,89796,3914,3794,7702,49397,49424,98824
SOS23,209,220,428,9600,9061,18662,772,780,1560,10584,10062,20650,266,242,510,12213,11348,23563,999,942,1939,13481,12526,26009,245,316,564,12846,12447,25296,1045,1028,2075,14141,13789,27936,244,234,482,12920,11700,24620,1026,923,1945,14188,12860,27043,179,125,300,9434,8006,17443,752,676,1433,10371,8809,19177,149,115,263,7885,7240,15125,660,570,1231,8691,7927,16619,137,108,251,8420,8597,17019,656,700,1357,9218,9407,18626,121,112,232,9585,9638,19223,773,762,1535,10487,10508,20990,158,126,285,12288,12525,24811,964,943,1905,13408,13589,26999,175,152,331,14573,14809,29382,1194,1153,2350,15946,16115,32063,166,130,298,15855,15672,31522,1300,1227,2533,17326,17036,34357,137,127,259,16705,15941,32653,1371,1310,2679,18211,17379,35594,92,103,198,16011,14736,30743,1391,1168,2560,17495,16001,33494,184,120,305,36714,31100,67810,3411,2957,6367,40309,34174,74487,2485,2226,4709,195058,182813,377878,16321,15151,31473,213864,200186,414055
