SOS_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
SOS10,471,495,402,380,276,2526,116914,32732,4546,4785,1311,1366,1536,1558,1393,1217,3167,53613,963,59,35,15,12,9,8,15,10,94,1219,136525,10855,7630,1801,1846,2042,1969,1788,1498,5794,171743,189,7,13,7,0,4,0,3,3,285,503,211012,14431,9434,2126,2175,2303,2211,2036,1622,7950,255304,67649,1077,929,177,176,114,150,146,74,1729,72211,68361,1357,1069,217,203,222,188,224,159,1689,73702,26892,2421,3274,795,768,847,815,771,530,1834,38951,778,27,16,0,11,3,4,5,3,109,955,96031,3804,4360,1020,981,1076,1008,997,689,3635,113607,220,4,6,3,0,0,0,0,0,233,469,163901,4887,5296,1198,1155,1187,1162,1145,761,5597,186290,32572,681,405,77,58,54,40,41,30,1366,35322,33434,592,419,59,68,55,52,54,36,1236,36015,25869,1972,1578,259,275,265,212,213,150,1557,32345,520,24,10,3,3,0,4,0,3,156,716,59820,2589,2004,317,344,323,268,271,184,2957,69068,203,6,0,0,0,0
SOS11,54,28,29,26,18,119,4083,339,58,99,39,34,34,35,40,62,91,822,38,8,5,0,3,0,0,0,0,0,57,3630,383,314,80,88,59,62,71,74,212,4966,39,0,0,0,0,0,0,0,0,90,131,20179,1066,738,162,177,118,99,115,102,896,23649,21746,378,280,62,52,36,42,39,11,727,23371,3646,90,77,11,11,9,12,6,7,119,3976,396,24,60,18,21,21,15,21,14,43,630,56,4,0,0,0,0,0,0,0,7,67,4102,119,141,22,30,28,24,26,21,166,4678,83,0,0,0,0,0,3,0,0,61,149,25929,491,418,87,79,63,69,62,35,959,28204,11652,183,120,21,13,7,12,16,12,503,12544,2567,31,24,0,8,5,0,5,0,105,2749,458,21,22,7,7,5,4,0,6,50,577,42,0,3,0,0,0,0,0,0,11,60,3071,56,44,8,8,8,3,8,6,167,3380,83,4,0,0,0,0
SOS12,4,0,5,0,0,9,366,27,3,5,0,0,0,4,3,0,4,47,4,0,0,0,0,0,0,0,0,0,4,341,18,22,0,3,0,6,7,0,10,414,3,0,0,0,0,0,0,0,0,7,7,2562,85,54,13,12,5,14,7,0,107,2856,2682,40,20,0,9,8,0,0,0,97,2853,398,9,7,0,0,0,0,0,3,15,426,26,3,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,8,429,12,5,0,0,0,0,0,3,15,466,6,0,0,0,0,0,0,0,0,5,11,3113,55,24,3,9,5,5,3,3,114,3333,1074,16,7,0,0,3,0,0,0,46,1151,222,0,0,0,0,0,0,0,0,6,231,28,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0,3,256,0,0,0,0,0,0,0,0,4,267,3,0,0,0,0,0
SOS13,8,8,12,7,0,71,2266,214,26,26,8,4,4,8,3,3,25,309,20,0,0,0,0,0,0,0,0,0,21,2237,121,74,19,13,12,21,10,3,97,2603,23,0,0,0,0,0,0,0,0,58,79,10720,446,223,44,26,30,38,25,10,542,12108,8967,117,72,11,3,9,9,4,3,325,9523,2265,27,25,4,0,0,3,0,3,68,2404,259,17,14,3,0,3,4,3,3,16,318,25,0,0,0,0,0,0,0,0,6,31,2550,43,44,10,0,3,5,3,3,89,2749,20,0,0,0,0,0,0,0,0,24,46,11541,159,112,22,5,11,16,9,9,439,12325,3190,44,24,6,0,3,3,3,0,120,3398,1115,11,4,0,0,0,4,0,0,53,1188,269,5,8,0,0,0,0,0,0,25,314,15,0,0,0,0,0,0,0,0,0,20,1394,20,11,0,8,3,4,3,0,78,1521,17,0,0,0,0,0
SOS17,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,10,33,19,0,0,0,0,0,0,3,0,8,31,8,0,0,0,0,0,0,0,0,3,15,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,3,0,12,54,0,0,0,0,0,0,4,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
SOS19,0,0,0,0,0,3,77,16,0,4,0,0,3,0,0,0,5,29,4,0,0,0,0,0,0,0,0,0,3,74,4,9,0,0,3,0,0,0,14,105,0,0,0,0,0,0,0,0,0,35,35,250,15,21,3,0,6,0,3,5,55,355,177,15,0,0,0,0,0,0,8,7,214,30,0,0,0,0,0,0,0,0,3,38,9,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,11,15,219,18,0,0,0,0,0,0,8,26,270,42,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0
SOS20,471,427,396,384,247,1954,83039,20076,2657,3490,927,938,1135,1131,1084,1045,2310,34790,614,51,28,4,8,5,4,6,5,88,821,92176,7244,6178,1400,1417,1566,1531,1473,1296,4358,118649,162,7,5,0,0,0,0,3,0,149,332,153197,10194,7929,1730,1711,1834,1755,1670,1407,6048,187461,58023,915,710,143,115,96,85,123,59,1495,61772,57686,972,881,219,231,194,183,197,130,1630,62334,20568,1361,2054,501,479,510,478,529,460,1359,28302,715,13,19,3,3,3,3,3,9,82,852,78966,2355,2960,724,713,704,661,729,598,3075,91483,213,7,6,0,0,0,0,0,0,132,363,137207,3277,3674,866,829,802,751,853,656,4705,153625,28595,463,356,36,36,41,39,34,17,1060,30673,34689,329,360,65,45,55,49,40,24,1153,36795,24159,995,963,188,157,152,137,98,81,1293,28220,573,9,5,0,0,0,0,0,0,104,698,59424,1325,1330,245,204,200,179,136,107,2554,65712,231,0,0,0,0,0
SOS21,24,26,17,26,23,115,3891,373,82,137,39,54,56,45,51,45,86,963,43,3,6,0,0,0,0,0,0,8,57,3554,367,365,63,70,90,62,81,71,205,4917,32,4,0,0,0,0,0,0,0,36,73,15576,791,662,102,124,145,93,111,92,701,18395,15645,205,143,33,36,37,15,32,7,574,16731,3616,51,56,9,15,7,8,7,12,141,3925,529,48,71,23,14,28,19,22,25,73,862,57,0,0,0,0,0,0,0,0,12,70,4195,102,128,28,27,37,32,35,44,223,4856,58,0,0,0,0,0,0,0,0,31,94,19899,307,273,59,68,77,44,62,51,830,21680,8172,116,54,16,5,4,3,10,0,356,8730,2723,15,11,5,3,3,3,8,5,119,2881,696,22,22,8,3,4,6,3,0,59,835,52,0,0,0,0,0,0,0,0,9,64,3471,38,36,10,5,5,14,7,4,183,3780,79,3,0,0,0,0
SOS22,3,0,0,0,0,8,287,18,3,4,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,279,12,12,3,3,0,0,0,3,8,322,6,0,0,0,0,0,0,0,0,0,6,2059,66,44,12,9,5,3,0,5,87,2291,2198,20,17,0,0,0,0,0,0,72,2314,304,3,0,0,3,0,0,0,0,9,324,39,0,0,0,0,0,3,0,0,0,40,5,0,0,0,0,0,0,0,0,0,5,351,3,4,0,3,0,3,0,3,7,373,7,0,0,0,0,0,0,0,0,7,14,2552,26,24,0,3,0,3,0,3,81,2695,891,4,3,0,0,0,0,0,0,41,938,188,0,0,0,0,0,0,0,0,9,196,28,0,0,0,0,0,0,0,0,3,35,4,0,0,0,0,0,0,0,0,0,9,215,0,0,0,0,0,0,0,0,19,232,6,0,0,0,0,0
SOS23,6,4,12,12,5,89,1730,99,15,17,0,10,6,4,3,8,22,181,16,0,3,0,0,0,0,0,0,3,24,1596,85,64,9,11,13,12,13,14,110,1936,14,0,0,0,0,0,0,0,0,99,118,8160,340,212,32,24,31,28,28,20,468,9356,6887,84,51,4,7,8,5,5,3,287,7337,1775,7,9,6,4,0,3,4,6,71,1882,195,5,8,0,4,6,0,4,0,13,233,34,0,0,0,0,0,0,0,0,0,33,2004,16,16,6,7,6,5,7,6,90,2148,26,0,0,0,0,0,0,0,0,45,76,8921,93,64,6,14,17,8,19,7,420,9567,2336,28,12,3,0,3,0,4,0,92,2480,1016,3,0,0,0,0,0,0,0,43,1061,258,3,3,3,0,0,0,0,0,19,287,10,0,0,0,0,0,0,0,0,3,12,1278,9,7,0,0,0,0,0,0,62,1363,7,0,0,0,0,0
