SOS_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SOS10,0,0,0,352,559,92599,3277,2407,392,399,376,303,311,213,4675,104952,12194,231,116,13,21,23,23,13,7,1340,13984,10479,133,103,9,16,10,9,11,4,947,11725,11377,454,272,51,39,45,32,38,19,1498,13826,219,3,3,0,0,0,0,0,0,156,382,22079,585,378,61,57,56,45,54,24,2598,25934,160,0,3,0,0,0,0,0,0,534,694,34431,816,492,72,79,80,67,65,34,4474,40613,336041,58568,58430,13508,13990,13639,13424,13734,8257,16657,546260,442309,137056,176286,31604,37879,44727,48861,51196,30883,25162,1025958,122696,23800,30942,7220,9782,13150,13391,15896,12734,16079,265682,4066,979,1107,220,267,296,346,390,284,937,8893,569069,161834,208332,39044,47927,58177,62601,67483,43897,42176,1300536,1021,143,177,56,41,43,62,82,113,3833,5567,906131,220547,266941,52610,61960,71856,76089,81293,52270,62668,1852362
SOS11,0,0,0,72,159,14807,246,166,31,23,20,22,17,17,740,16088,3980,46,26,0,3,3,3,5,0,484,4554,974,8,4,0,0,0,0,0,0,130,1110,315,9,7,0,0,0,0,3,0,80,409,25,0,0,0,0,0,0,0,0,9,35,1313,15,9,0,0,0,0,3,0,218,1551,46,0,0,0,0,0,0,0,0,75,129,5337,57,38,0,3,0,3,6,0,777,6231,73791,6664,6891,1489,1521,1277,1091,1060,574,3901,98262,15520,4144,9222,1750,2522,2207,2268,2286,1217,1402,42525,1805,415,913,270,365,439,579,860,697,782,7140,215,50,85,11,29,19,16,32,17,67,544,17541,4609,10223,2032,2916,2674,2862,3174,1933,2251,50212,287,13,12,3,4,8,4,5,10,1035,1379,91618,11279,17122,3518,4438,3960,3963,4247,2514,7189,149849
SOS12,0,0,0,5,11,1332,14,14,0,0,3,0,0,0,58,1425,260,3,4,0,0,0,0,0,0,27,292,73,0,0,0,0,0,0,0,0,14,84,21,0,0,0,0,0,0,0,0,6,29,3,0,0,0,0,0,0,0,0,0,0,92,0,4,0,0,0,0,0,0,18,116,0,0,0,0,0,0,0,0,0,3,3,356,3,8,0,0,0,0,0,0,46,411,8534,688,611,138,132,86,68,67,23,415,10760,1454,235,352,63,76,74,94,75,45,109,2574,122,9,26,9,6,9,25,44,6,20,283,17,0,3,0,0,0,0,0,0,4,31,1596,250,382,73,85,83,115,114,52,138,2891,16,0,3,0,0,0,0,0,0,40,61,10142,939,993,212,212,174,189,185,75,587,13713
SOS13,0,0,0,13,35,4607,57,44,6,4,10,5,12,0,208,4956,677,15,7,5,0,0,0,0,0,56,768,246,3,0,0,0,0,0,3,0,27,281,115,4,3,0,0,0,3,0,0,25,147,7,0,0,0,0,0,0,0,0,0,7,366,6,3,0,3,0,3,0,0,45,436,5,0,0,0,0,0,0,0,0,8,15,1053,20,11,5,6,3,4,5,0,108,1218,30283,2532,2144,439,373,367,293,292,153,1656,38536,8077,1075,1216,230,237,308,288,269,121,443,12252,1022,145,168,33,34,39,68,77,61,181,1837,92,10,9,0,3,7,4,4,3,20,149,9192,1228,1396,258,270,350,361,351,186,650,14240,86,0,9,0,0,0,0,0,0,499,608,39565,3756,3546,697,649,720,655,644,342,2804,53379
SOS17,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,4,3,0,11,61,31,0,5,3,0,0,0,0,0,3,42,19,4,7,0,0,0,0,0,0,10,41,0,0,0,0,0,0,0,0,0,0,0,48,8,7,6,5,0,0,0,0,12,83,0,0,0,0,0,0,0,0,0,0,0,93,9,8,6,5,0,4,3,0,22,142
SOS19,0,0,0,4,4,60,3,0,0,0,0,0,0,3,12,75,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,3,0,3,21,643,79,72,18,17,22,39,143,166,80,1283,268,59,125,35,38,38,89,201,269,99,1229,45,11,23,4,3,23,41,37,61,44,286,5,0,0,0,0,0,0,0,3,0,10,323,66,146,35,44,63,127,239,331,148,1525,0,0,0,0,0,0,0,0,0,195,203,970,145,221,57,63,77,169,383,501,425,3012
SOS20,0,0,0,179,418,88251,1794,1688,286,236,247,216,170,123,3797,96803,11209,163,97,14,16,8,13,8,4,974,12506,10761,80,74,9,18,12,8,10,5,779,11759,10718,243,167,25,22,22,29,24,20,1094,12368,216,3,0,0,0,0,0,0,0,115,337,21696,331,238,34,44,34,34,31,26,1991,24461,139,4,0,0,0,0,0,0,0,235,376,33048,491,335,47,58,43,44,38,30,3195,37334,270636,45054,51760,12415,12958,11435,10959,11609,7166,13102,447091,320249,100218,170687,29994,36659,41725,45335,46727,27862,20983,840445,92166,14423,23812,5961,8045,11106,10844,13579,10893,12475,203310,3246,694,1109,162,249,325,323,350,262,774,7497,415663,115332,195612,36121,44951,53161,56499,60661,39018,34230,1051250,895,126,164,39,44,48,55,72,85,2213,3733,687187,160511,247539,48574,57950,64641,67511,72341,46266,49544,1502067
SOS21,0,0,0,36,113,11719,152,93,21,10,12,18,13,7,579,12632,2849,31,17,0,4,3,0,7,0,282,3201,1072,10,6,0,3,0,0,0,0,84,1170,394,7,9,0,0,0,0,3,0,50,465,32,0,0,0,0,0,0,0,0,3,40,1494,10,17,0,0,0,0,3,0,140,1672,57,0,0,0,0,0,0,0,0,45,100,4393,43,37,3,5,3,0,8,3,466,4967,52874,4965,5600,1199,1178,1007,851,802,397,2901,71775,15315,4791,10487,1577,1749,1952,1718,1717,979,1362,41643,2409,567,1278,312,400,500,608,812,679,762,8317,226,52,92,14,25,12,11,22,17,70,538,17947,5413,11862,1894,2171,2463,2343,2557,1667,2184,50494,257,22,13,14,4,0,3,6,11,409,735,71077,10398,17475,3112,3355,3472,3191,3369,2074,5494,123008
SOS22,0,0,0,0,7,1116,4,5,0,0,0,0,0,0,57,1183,211,3,0,0,0,0,0,0,0,19,239,58,0,0,0,0,0,0,0,0,7,63,12,0,0,0,0,0,0,0,0,9,13,4,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0,0,0,0,0,9,86,7,0,0,0,0,0,0,0,0,6,9,289,3,0,0,0,0,0,0,0,36,329,6643,415,376,80,73,75,68,50,32,350,8151,1076,110,285,49,60,81,63,48,38,93,1917,98,7,25,3,8,8,19,29,28,20,247,18,0,0,0,0,0,0,0,0,5,29,1193,126,315,59,66,98,78,79,74,115,2192,26,3,0,0,0,0,0,0,0,14,48,7861,538,693,136,137,172,150,126,101,479,10389
SOS23,0,0,0,11,20,3620,40,14,7,3,0,0,3,0,168,3861,499,5,10,0,0,0,3,3,0,42,567,268,0,0,0,0,3,0,0,0,8,280,99,0,0,0,0,0,0,0,0,4,106,3,0,0,0,0,0,0,0,0,0,3,368,3,3,0,0,3,0,0,0,16,390,5,0,0,0,0,0,0,0,0,3,4,877,13,17,0,0,3,3,3,0,56,967,22806,2090,2035,348,285,281,218,227,105,1201,29590,6020,835,1636,306,306,262,283,329,244,462,10692,703,58,128,26,43,48,55,101,80,171,1416,74,9,17,0,3,0,3,0,0,17,128,6800,902,1786,331,347,310,347,437,327,647,12243,66,3,4,0,0,3,0,6,3,841,930,29674,3000,3824,676,629,592,562,671,438,2697,42766
