SOS_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SOS10,2762,69,67112,4277,31558,2583,159,34302,24,38603,94,4065,4265,34,8371,7,8469,39,191,32,78,297,0,343,4416,35809,6888,272,42968,29,47412,60,21,0,0,22,68,149,68761,38518,6927,307,45752,163,114672,29441,1135,19,16,1170,24,30631,2092,21012,1775,84,22873,9,24979,74,3111,3686,27,6815,3,6891,17,117,16,40,168,3,191,2185,24241,5478,148,29864,13,32059,32,13,3,0,19,23,71,31657,25390,5498,159,31052,61,62763,14230,580,16,3,598,13,14836,988,10861,968,34,11869,3,12865,28,1676,2241,13,3926,0,3953,11,59,19,22,92,0,104,1022,12595,3226,67,15893,3,16923,7,12,0,0,12,14,35,15260,13182,3241,70,16497,30,31787,513633,27845,429,279,28549,607,542790,43339,292187,18525,1425,312136,188,355671,923,32431,27543,284,60261,41,61224,328,1584,220,725,2531,25,2886,44592,326202,46287,2442,374927,259,419780,687,405,45,28,473,967,2133,558912,354449,46753,2744,403948,1837,964698
SOS11,293,52,24323,514,947,56,3,1009,4,1522,13,71,115,5,191,0,204,6,3,0,6,9,0,18,527,1026,169,13,1210,4,1743,49,8,0,0,9,21,81,24553,1318,176,22,1510,78,26151,5191,71,0,0,71,7,5276,135,285,21,3,311,0,442,3,26,61,0,82,0,91,3,3,0,0,3,0,4,138,317,79,3,394,0,533,3,0,0,0,0,5,12,5339,387,78,3,472,18,5822,1600,14,0,0,14,0,1619,39,87,7,0,94,0,135,3,13,20,0,33,0,38,0,0,0,0,0,0,3,43,102,28,0,127,0,175,3,0,0,0,0,0,3,1648,119,28,0,148,0,1802,187841,2839,51,37,2929,418,191182,4549,9639,407,44,10092,31,14665,102,822,795,12,1622,0,1727,55,68,5,52,119,5,179,4706,10522,1205,104,11834,39,16570,378,30,9,3,41,374,800,192924,13396,1263,140,14799,833,208557
SOS12,35,11,3024,45,58,3,0,59,0,104,0,0,4,0,5,0,5,0,0,0,0,0,0,0,45,58,4,0,59,0,111,8,0,0,0,0,7,14,3035,90,4,0,99,15,3150,696,11,0,0,11,0,713,15,19,0,0,19,0,32,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,22,0,0,22,0,34,3,0,0,0,0,3,7,715,34,0,0,34,5,749,215,7,0,0,7,0,220,5,7,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,7,0,16,0,0,0,0,0,0,0,218,11,0,0,11,3,235,21181,282,0,5,290,61,21537,458,505,25,0,535,0,994,3,19,12,0,38,0,44,7,0,0,0,0,0,7,467,528,46,5,575,0,1046,58,0,0,0,0,58,120,21710,813,46,7,864,125,22699
SOS13,192,34,13091,243,523,12,3,536,0,778,4,15,35,0,48,0,54,4,7,0,0,7,0,10,251,542,51,3,594,0,845,36,0,0,0,0,19,55,13146,732,48,5,788,56,13988,2981,60,0,0,60,5,3044,62,222,7,0,228,0,296,0,13,22,0,32,0,33,5,3,0,0,3,0,3,68,236,29,0,265,0,336,6,0,0,0,0,7,9,3050,293,29,0,319,11,3385,1027,31,0,0,38,0,1065,16,95,5,0,104,0,122,0,5,10,0,20,0,20,3,0,0,0,0,0,4,22,101,22,0,125,0,148,3,0,0,0,0,0,4,1051,140,20,0,164,0,1211,87205,1391,12,28,1432,238,88877,2006,3257,98,6,3365,17,5384,58,191,206,0,393,0,453,32,27,0,13,38,0,69,2094,3477,304,19,3800,17,5905,259,19,0,0,21,199,475,89555,4884,315,47,5253,455,95260
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,2222,56,56285,3431,23960,1748,109,25808,10,29245,81,3069,3559,20,6651,3,6731,23,140,22,87,246,0,268,3531,27172,5322,211,32703,13,36250,54,24,3,0,24,59,139,57594,29357,5362,231,34952,126,92672,29293,1074,18,8,1095,22,30410,1838,16645,1271,49,17970,16,19822,36,2330,2821,12,5156,3,5196,19,72,17,43,132,3,153,1893,19041,4114,111,23260,20,25170,28,10,0,0,12,31,75,31218,20124,4130,116,24371,69,55661,14932,541,5,3,555,18,15504,984,8626,692,28,9348,5,10338,24,1256,1666,0,2926,0,2950,8,42,8,31,91,0,98,1020,9926,2371,65,12362,9,13385,19,10,0,0,6,9,39,15974,10476,2378,74,12924,32,28936,432805,21972,305,253,22531,527,455868,33769,232027,12926,1128,246086,191,280043,601,26113,22772,211,49097,25,49731,279,1236,161,653,2047,13,2348,34652,259372,35863,1998,297239,229,332119,543,291,31,27,347,765,1654,468009,281640,36196,2274,320116,1525,789643
SOS21,345,24,19040,401,1022,91,12,1127,0,1526,18,148,187,0,334,0,355,3,4,0,9,11,0,11,416,1177,272,17,1471,0,1889,47,0,3,0,3,30,77,19132,1515,275,23,1816,53,21004,5759,92,0,0,89,7,5859,135,387,32,0,417,0,555,8,58,99,0,164,0,172,0,0,0,0,0,0,3,143,442,136,3,581,0,726,10,0,0,0,0,8,21,5913,535,138,5,674,14,6604,1831,23,0,0,23,0,1861,49,148,15,0,161,0,210,0,25,33,0,57,0,59,0,0,0,0,0,0,0,55,171,47,0,225,0,275,3,0,0,0,0,0,3,1892,201,47,0,251,3,2145,144402,2583,26,31,2638,294,147329,3771,10509,644,67,11221,20,15008,105,1189,1272,6,2469,0,2576,34,62,5,41,112,0,150,3910,11760,1915,118,13797,23,17728,304,17,7,0,28,284,617,148608,14367,1951,151,16470,606,165678
SOS22,25,3,1927,28,32,0,0,32,0,61,0,0,0,0,3,0,3,0,0,0,0,0,0,0,28,34,0,0,37,0,62,3,0,0,0,0,0,3,1932,59,0,0,56,3,1997,516,4,0,0,4,0,526,7,12,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,12,0,22,3,0,0,0,0,0,3,525,14,0,0,21,0,547,131,0,0,0,0,0,137,3,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,11,0,0,0,0,0,0,0,135,9,0,0,9,0,146,14056,206,0,4,214,40,14304,269,285,8,0,292,0,559,10,24,7,0,30,0,40,9,3,0,0,3,0,6,281,317,14,0,326,0,605,54,0,0,0,0,35,94,14385,518,16,4,535,72,14998
SOS23,159,26,11022,175,317,5,0,326,4,504,0,10,12,0,22,0,28,4,0,0,0,4,0,3,180,330,15,3,347,4,531,33,3,0,0,3,16,52,11051,489,17,5,511,45,11605,3189,53,0,0,53,5,3254,72,139,3,0,141,0,205,0,8,5,0,19,0,19,0,0,0,0,0,0,4,70,144,12,0,153,0,225,10,0,0,0,0,3,20,3277,199,12,0,208,11,3497,1019,14,0,0,14,0,1035,21,67,0,0,67,0,83,0,0,3,0,8,0,8,0,0,0,0,0,0,0,21,68,3,0,67,0,91,3,0,0,0,0,0,3,1042,80,3,0,81,0,1130,68221,939,16,17,966,199,69387,1404,2550,42,17,2604,17,4030,36,113,85,0,195,0,232,21,16,0,11,23,0,50,1463,2676,125,33,2830,17,4309,197,18,0,0,18,120,333,69887,3629,139,42,3810,335,74032
