SOS_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOS10,..,65601,12321,77925,769,78689,..,28133,2455,30584,198,30784,..,61614,2916,64528,541,65074,..,26192,2808,29000,231,29234,..,10028,390,10420,48,10468,..,26101,2348,28449,316,28767,..,56118,4320,60436,453,60888,..,208188,15233,223422,1790,225213,..,57150,8648,65794,797,66593,..,13310,2417,15729,115,15846,..,38593,19445,58037,520,58554,..,22541,4703,27247,322,27569,..,9104,767,9873,142,10008,..,17340,3867,21210,209,21417,..,11424,1372,12795,112,12911,..,14924,2719,17649,105,17748,..,14199,1309,15509,328,15834,..,16669,3605,20270,199,20474,..,21377,613,21992,175,22164,..,26057,2939,28991,212,29203,..,40286,1219,41506,411,41916,..,4909,315,5226,37,5264,..,92623,5085,97711,833,98545,..,51700,7171,58876,617,59494,..,26154,2596,28748,200,28949,..,16474,6001,22469,203,22673,..,16955,3898,20855,205,21060,..,67531,32915,100441,574,101015,..,176219,41426,217645,4459,222103,..,1445533,319918,1765448,17086,1782534,..,13066,2959,16016,286341,302357,3224696,1458591,322872,1781470,303419,5309583
SOS11,..,1718,153,1874,32,1909,..,727,73,809,7,814,..,1452,89,1538,12,1548,..,2877,575,3453,47,3501,..,629,45,672,5,680,..,665,75,739,12,751,..,2175,457,2632,24,2652,..,8532,1317,9851,101,9955,..,4411,592,5004,106,5109,..,897,143,1041,13,1056,..,633,423,1059,13,1071,..,323,29,349,3,351,..,584,13,594,6,606,..,399,83,474,3,479,..,760,58,817,12,827,..,603,58,663,6,669,..,503,47,557,12,567,..,466,63,525,13,537,..,1662,48,1706,25,1730,..,580,29,612,5,614,..,2565,79,2646,40,2685,..,520,33,548,10,554,..,5323,185,5512,81,5590,..,2451,227,2678,37,2708,..,539,68,608,4,611,..,1304,306,1605,28,1630,..,281,80,364,4,366,..,1041,327,1369,27,1395,..,11491,2584,14076,376,14453,..,58494,9808,68301,1190,69491,..,3875,291,4170,101841,106012,1281567,62374,10097,72474,103027,1457064
SOS12,..,164,9,177,3,176,..,17,0,17,0,17,..,54,0,55,0,51,..,76,15,85,0,85,..,14,0,14,0,14,..,24,0,24,7,29,..,42,5,43,0,43,..,225,19,240,4,242,..,398,32,427,5,432,..,82,4,93,3,93,..,36,0,37,0,37,..,30,0,34,0,34,..,79,0,79,0,83,..,14,6,21,0,21,..,78,3,82,0,85,..,56,3,60,0,60,..,20,0,21,0,21,..,46,3,48,0,48,..,82,3,85,3,91,..,54,0,51,0,51,..,113,0,117,0,114,..,17,0,17,0,17,..,263,7,268,3,275,..,229,23,254,5,257,..,27,3,29,0,29,..,80,19,102,0,100,..,20,0,20,0,20,..,61,11,73,0,78,..,653,124,775,33,803,..,3987,452,4438,83,4523,..,422,18,440,10221,10660,133384,4412,466,4876,10303,148561
SOS13,..,776,87,868,16,878,..,46,5,51,3,55,..,288,11,305,7,307,..,498,82,584,12,596,..,61,0,62,0,64,..,127,5,136,0,136,..,97,7,105,0,105,..,1120,113,1233,21,1250,..,3131,322,3450,47,3500,..,280,26,308,3,320,..,139,64,205,0,205,..,154,15,171,3,175,..,1487,113,1606,17,1625,..,100,6,111,0,111,..,277,19,299,0,299,..,229,32,262,0,262,..,77,7,82,6,87,..,372,39,409,8,417,..,188,10,196,5,204,..,119,12,131,3,130,..,368,19,386,4,386,..,85,0,84,0,90,..,763,32,801,11,812,..,876,82,952,12,963,..,64,4,73,0,73,..,327,71,400,7,401,..,143,8,144,4,149,..,240,61,300,9,314,..,2558,393,2953,102,3056,..,20675,2513,23190,374,23564,..,1374,96,1469,47784,49252,479498,22054,2610,24660,48156,552316
SOS17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,16,16,0,16,..,3,0,3,0,5,..,48,44,90,0,92,..,3,0,4,41,44,279,54,46,96,40,412
SOS19,..,34,0,36,0,36,..,16,3,20,0,20,..,51,4,55,0,55,..,15,3,18,0,18,..,6,0,6,0,6,..,37,8,38,0,38,..,36,0,32,0,32,..,157,17,173,0,173,..,55,3,54,0,61,..,14,3,16,0,16,..,27,11,36,0,36,..,10,0,10,0,10,..,3,0,3,0,3,..,16,3,16,0,16,..,8,0,8,0,8,..,15,5,19,0,19,..,35,0,35,0,35,..,8,0,9,0,9,..,22,0,22,0,22,..,28,3,31,0,31,..,28,0,28,0,28,..,8,0,8,0,8,..,88,3,91,0,91,..,83,15,96,3,98,..,12,0,12,0,12,..,22,10,32,0,32,..,24,3,26,0,26,..,61,21,80,0,80,..,243,41,283,8,286,..,1495,314,1803,19,1822,..,36,9,43,3211,3251,7212,1529,320,1848,3230,12288
SOS20,..,86866,18897,105768,957,106726,..,9602,689,10294,79,10371,..,46276,2311,48588,360,48953,..,46197,5289,51484,536,52025,..,33743,1954,35697,263,35960,..,20128,1968,22099,211,22310,..,28425,2445,30877,216,31093,..,184372,14664,199038,1669,200707,..,84768,14578,99340,1314,100657,..,8853,1497,10341,87,10427,..,10627,4129,14753,128,14884,..,23309,4685,27988,302,28295,..,13115,1122,14229,180,14418,..,12689,3111,15799,149,15948,..,12052,1719,13769,125,13901,..,13879,3004,16888,131,17015,..,9451,801,10256,181,10436,..,12983,2785,15765,166,15934,..,14967,413,15383,130,15514,..,14826,1066,15894,104,16001,..,19712,555,20262,201,20460,..,6378,385,6766,59,6818,..,55880,2421,58306,492,58796,..,29022,3659,32679,323,33000,..,22391,2256,24648,219,24867,..,8266,1934,10204,89,10295,..,24078,5634,29710,302,30018,..,69168,31313,100480,769,101251,..,167779,44903,212685,4096,216783,..,1179831,249090,1428918,14734,1443651,..,10625,2683,13301,230663,243963,2665680,1190453,251773,1442224,245394,4353298
SOS21,..,2238,331,2573,48,2622,..,515,37,555,3,559,..,1732,107,1841,17,1856,..,2891,443,3336,51,3382,..,1127,87,1212,8,1219,..,729,67,792,13,808,..,1162,205,1364,11,1377,..,8160,941,9102,98,9197,..,6403,916,7317,151,7470,..,661,103,763,3,766,..,350,165,523,4,524,..,603,80,680,11,693,..,1509,93,1605,21,1630,..,326,80,409,0,411,..,793,97,897,14,903,..,382,47,425,0,428,..,931,72,1007,17,1026,..,685,110,799,17,817,..,1651,53,1710,14,1723,..,542,44,581,8,595,..,2044,68,2115,17,2129,..,565,88,651,8,656,..,4801,255,5053,45,5106,..,1609,173,1779,17,1798,..,558,81,639,7,648,..,794,194,987,23,1012,..,1074,330,1406,6,1414,..,1079,561,1641,28,1669,..,11884,3642,15528,370,15904,..,58864,11313,70176,1099,71279,..,2752,272,3024,70136,73163,908417,61617,11584,73201,71243,1052851
SOS22,..,167,25,196,3,198,..,4,0,4,0,4,..,23,0,23,0,21,..,51,7,61,0,61,..,12,0,12,0,12,..,7,0,7,0,7,..,17,0,23,0,23,..,116,11,126,0,133,..,360,26,393,10,398,..,44,9,45,0,45,..,20,5,25,0,25,..,35,10,38,0,38,..,89,3,90,3,98,..,10,0,14,0,14,..,41,5,42,3,45,..,28,3,31,3,35,..,11,0,18,0,18,..,41,9,48,0,46,..,102,8,110,4,111,..,32,4,35,0,34,..,77,3,78,0,77,..,35,3,38,0,38,..,246,15,262,4,267,..,150,17,163,4,172,..,13,0,13,0,13,..,83,12,96,0,96,..,33,12,38,0,38,..,34,8,43,0,40,..,534,86,616,18,633,..,2929,355,3285,59,3348,..,277,10,284,7488,7775,87699,3200,373,3575,7551,98824
SOS23,..,987,130,1115,17,1131,..,56,4,58,0,58,..,356,15,378,0,377,..,561,108,670,8,677,..,205,13,213,8,220,..,58,3,64,0,61,..,110,7,116,0,116,..,1348,146,1497,15,1511,..,3302,306,3607,68,3671,..,206,21,222,5,226,..,39,6,50,0,50,..,400,54,449,10,460,..,714,29,741,10,750,..,38,0,38,0,38,..,301,22,318,3,323,..,158,25,179,0,182,..,111,4,122,0,121,..,229,25,251,0,258,..,387,20,409,3,407,..,139,5,144,4,149,..,344,17,358,6,368,..,102,12,111,0,111,..,968,53,1022,13,1029,..,419,38,455,11,466,..,112,8,128,0,128,..,219,38,260,0,260,..,278,46,319,6,328,..,262,110,378,4,379,..,2411,400,2810,81,2890,..,16914,1944,18858,302,19154,..,927,70,994,33101,34097,360793,17839,2015,19857,33406,414055
